country,source,date,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,cs_999,defamationcase,total_articles,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal
Bangladesh,aljazeera.com,2012-01-01,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-03-01,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-04-01,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-05-01,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-06-01,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,1,0,0,0,0,0
Bangladesh,aljazeera.com,2012-07-01,0,1,1,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-08-01,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-09-01,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-10-01,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-11-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,1,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2012-12-01,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-01-01,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-02-01,1,4,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-03-01,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-04-01,1,11,0,3,0,1,0,1,0,0,0,2,1,0,1,0,0,0,1,6,0,29,0,0,0,0,0,0,0,0,0,1,0
Bangladesh,aljazeera.com,2013-05-01,0,5,2,7,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,26,0,46,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-06-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,1,0,0,0,0,0,0,0,1,0
Bangladesh,aljazeera.com,2013-07-01,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,13,0,0,0,0,0,0,0,1,0,0,0
Bangladesh,aljazeera.com,2013-08-01,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,12,1,1,0,0,1,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-09-01,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-10-01,0,3,2,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-11-01,1,7,2,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2013-12-01,0,8,4,0,0,0,2,1,1,0,0,2,5,0,0,1,0,0,0,12,0,38,1,0,0,0,1,0,0,0,0,0,0
Bangladesh,aljazeera.com,2014-01-01,0,2,1,0,1,5,3,0,0,1,1,2,4,0,1,0,0,1,1,18,0,41,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2014-02-01,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,8,0,0,0,0,2,0,0,0,0,0,0
Bangladesh,aljazeera.com,2014-03-01,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2014-04-01,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,aljazeera.com,2014-05-01,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0
