country,source,date,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,cs_999,defamationcase,total_articles,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal
Pakistan,aljazeera.com,2012-01-01,1,0,3,0,0,0,0,0,0,2,0,3,5,4,0,0,1,0,0,30,0,45,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-02-01,1,1,5,2,0,0,0,0,0,2,0,1,7,5,0,0,0,0,0,11,0,30,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-03-01,0,1,5,0,0,1,0,0,0,0,1,1,5,1,1,0,0,0,0,16,0,31,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-04-01,1,0,3,3,0,0,0,0,0,2,0,2,7,2,0,0,1,0,0,31,0,52,1,0,0,0,1,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-05-01,1,1,1,2,1,0,0,0,0,2,0,2,4,0,0,0,0,0,0,15,0,30,0,0,0,0,0,0,0,0,0,1,0
Pakistan,aljazeera.com,2012-06-01,0,1,3,0,0,0,0,0,0,1,0,3,13,2,0,0,0,0,0,17,0,41,0,0,0,0,0,1,0,0,0,2,0
Pakistan,aljazeera.com,2012-07-01,0,3,3,1,0,0,0,0,0,1,0,5,8,2,0,0,0,0,0,18,0,39,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-08-01,0,1,4,1,1,0,0,0,0,4,0,2,5,2,2,0,2,0,0,15,0,38,0,1,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-09-01,1,4,5,4,2,1,0,0,0,0,0,1,6,1,1,0,0,1,0,12,0,40,0,1,0,0,1,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-10-01,0,4,2,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,23,0,36,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2012-11-01,0,0,1,4,0,0,0,0,0,1,0,1,9,0,0,0,1,2,0,17,0,39,1,0,0,0,0,1,0,0,0,0,1
Pakistan,aljazeera.com,2012-12-01,0,0,2,2,0,0,0,0,0,3,0,7,13,0,1,0,1,0,0,12,0,42,1,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2013-01-01,0,5,8,3,0,3,0,1,0,5,0,3,8,4,0,0,1,1,0,18,0,58,0,0,0,0,0,0,0,0,0,1,0
Pakistan,aljazeera.com,2013-02-01,2,0,2,3,1,0,0,0,0,2,0,2,9,0,0,0,0,0,0,16,0,37,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2013-03-01,1,1,0,1,0,2,0,0,0,2,0,5,7,0,0,0,0,1,0,17,0,37,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2013-04-01,2,1,9,6,0,4,1,0,0,0,0,4,10,1,0,1,0,0,0,13,0,51,0,0,0,0,0,0,0,0,0,0,0
Pakistan,aljazeera.com,2013-05-01,1,1,1,1,0,16,1,1,0,3,0,4,13,0,0,0,0,1,0,41,0,88,1,0,0,0,2,0,0,0,0,1,0
Pakistan,aljazeera.com,2013-06-01,0,1,1,1,0,0,0,0,0,2,1,5,5,0,0,0,1,0,0,17,0,34,0,0,0,0,0,0,0,0,0,0,1
Pakistan,aljazeera.com,2013-07-01,0,0,1,1,0,4,0,0,0,1,0,4,7,0,0,0,0,0,4,20,0,43,0,0,0,0,0,0,0,0,0,1,0
