country,source,date,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,cs_999,defamationcase,total_articles,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal
Sri Lanka,adaderana.lk,2012-01-01,5,10,10,11,0,3,0,2,0,7,0,5,0,6,0,1,5,1,0,214,0,340,20,4,2,0,20,7,4,2,1,4,4
Sri Lanka,adaderana.lk,2012-02-01,2,23,15,21,1,4,1,3,1,3,2,5,0,5,3,1,2,2,0,204,0,347,12,5,1,0,13,6,2,1,1,12,1
Sri Lanka,adaderana.lk,2012-03-01,8,8,5,18,0,9,5,1,1,3,0,4,1,4,11,2,1,4,0,226,0,368,19,1,1,0,16,4,0,0,1,14,6
Sri Lanka,adaderana.lk,2012-04-01,6,8,7,19,0,2,0,0,0,9,0,6,0,5,2,1,3,2,0,180,0,301,23,7,0,0,9,0,0,0,0,11,6
Sri Lanka,adaderana.lk,2012-05-01,2,9,10,16,0,1,0,2,0,4,0,1,0,4,1,1,8,1,0,161,0,293,33,2,4,0,12,6,1,0,2,13,7
Sri Lanka,adaderana.lk,2012-06-01,6,7,7,25,1,1,0,2,1,7,1,1,2,3,1,1,4,1,0,159,0,296,35,3,3,0,13,0,2,2,1,9,4
Sri Lanka,adaderana.lk,2012-07-01,4,10,5,13,1,13,2,3,1,4,0,3,1,2,1,0,3,2,0,180,0,349,57,2,0,0,12,4,3,3,1,16,5
Sri Lanka,adaderana.lk,2012-08-01,12,21,8,19,0,2,1,0,2,3,0,4,2,5,1,1,7,0,0,185,0,349,46,1,0,0,9,3,0,4,0,16,2
Sri Lanka,adaderana.lk,2012-09-01,8,14,7,22,1,19,2,0,0,7,1,4,3,4,2,2,8,2,0,168,0,334,30,1,2,0,8,7,1,0,0,9,8
Sri Lanka,adaderana.lk,2012-10-01,1,16,10,24,0,1,0,1,0,3,3,4,0,6,4,1,3,0,0,178,0,339,49,2,4,0,9,7,0,0,1,14,8
Sri Lanka,adaderana.lk,2012-11-01,7,9,25,30,0,0,0,3,0,5,0,4,4,5,6,1,5,0,0,164,3,342,31,3,0,0,5,11,0,2,0,22,5
Sri Lanka,adaderana.lk,2012-12-01,4,15,11,34,0,0,0,1,0,6,1,4,2,4,0,1,1,0,0,154,0,313,30,4,2,0,11,7,2,2,0,13,10
Sri Lanka,adaderana.lk,2013-01-01,4,3,9,13,0,5,1,2,0,3,0,3,1,8,3,1,19,0,0,174,0,313,34,3,3,1,9,5,1,3,3,9,5
Sri Lanka,adaderana.lk,2013-02-01,3,9,11,19,0,6,1,1,0,3,0,7,1,1,4,1,3,2,0,149,0,287,28,2,0,0,12,6,1,2,0,4,12
Sri Lanka,adaderana.lk,2013-03-01,4,11,13,15,1,4,2,2,1,9,2,5,1,3,5,1,7,6,0,182,0,335,28,1,2,0,11,3,2,1,0,8,9
Sri Lanka,adaderana.lk,2013-04-01,8,9,6,15,0,5,2,0,0,5,0,9,4,1,1,2,2,1,0,151,0,281,33,1,2,0,4,3,1,1,1,11,6
Sri Lanka,adaderana.lk,2013-05-01,6,6,4,25,0,6,0,2,0,3,1,4,1,6,1,2,2,0,0,165,0,289,28,2,5,0,5,3,1,0,1,12,9
Sri Lanka,adaderana.lk,2013-06-01,6,8,14,22,0,6,0,0,0,2,0,5,1,8,7,2,6,0,0,173,1,317,29,3,4,0,11,6,1,0,1,7,6
Sri Lanka,adaderana.lk,2013-07-01,9,19,20,13,0,10,0,1,0,11,1,5,1,9,2,3,3,1,0,154,0,323,26,2,2,0,19,4,2,2,2,7,6
Sri Lanka,adaderana.lk,2013-08-01,7,5,13,9,1,3,4,3,2,5,0,6,3,5,0,1,2,1,1,160,0,292,25,3,3,0,15,3,1,1,0,12,5
Sri Lanka,adaderana.lk,2013-09-01,8,4,13,11,0,37,5,0,0,6,0,9,0,10,0,2,3,0,0,163,0,301,18,2,1,0,7,1,4,0,0,5,3
Sri Lanka,adaderana.lk,2013-10-01,8,5,8,15,2,5,1,3,1,7,0,2,1,2,4,2,5,0,0,153,0,289,28,2,5,0,15,3,2,2,1,6,8
Sri Lanka,adaderana.lk,2013-11-01,5,7,13,15,2,1,0,0,2,3,0,0,1,0,2,1,1,0,0,196,0,316,34,1,0,0,6,7,1,3,0,12,3
Sri Lanka,adaderana.lk,2013-12-01,10,9,6,18,0,3,0,0,0,8,0,2,2,5,4,0,6,0,0,156,0,295,39,3,1,0,10,7,0,0,1,8,2
Sri Lanka,adaderana.lk,2014-01-01,7,10,8,16,0,1,1,0,0,11,1,4,4,2,0,2,6,1,1,147,0,290,36,3,2,0,14,3,1,3,0,9,0
Sri Lanka,adaderana.lk,2014-02-01,9,6,18,13,0,3,8,1,1,4,0,4,2,8,5,0,8,0,0,142,0,282,36,0,1,0,4,2,0,3,0,5,8
Sri Lanka,adaderana.lk,2014-03-01,12,10,14,10,2,24,5,1,1,5,0,8,2,2,8,0,1,0,0,152,0,320,34,1,5,0,10,4,0,0,0,9,6
Sri Lanka,adaderana.lk,2014-04-01,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,35,5,0,0,0,3,0,0,1,0,1,1
Sri Lanka,adaderana.lk,2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,adaderana.lk,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,adaderana.lk,2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,adaderana.lk,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,adaderana.lk,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
