country,source,date,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,cs_999,defamationcase,total_articles,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal
Turkey,aljazeera.com,2012-01-01,1,1,2,2,1,0,0,0,0,4,1,2,0,0,6,0,0,2,0,16,0,39,0,0,0,1,1,0,0,0,0,0,0
Turkey,aljazeera.com,2012-02-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-03-01,0,1,0,2,0,1,0,0,0,2,1,4,2,0,0,0,0,0,1,3,0,17,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-04-01,0,0,2,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-05-01,1,2,1,0,0,1,0,0,0,4,0,3,1,1,0,1,2,0,0,16,0,33,0,0,0,0,0,0,0,0,0,0,1
Turkey,aljazeera.com,2012-06-01,0,1,1,2,0,0,0,0,0,4,0,3,1,0,3,1,0,1,1,11,0,29,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-07-01,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-08-01,0,0,0,1,0,0,0,0,0,3,0,7,6,0,0,0,0,0,1,21,0,39,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-09-01,0,1,3,3,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,11,0,26,0,0,0,0,0,0,0,0,0,1,0
Turkey,aljazeera.com,2012-10-01,0,1,2,0,0,0,0,0,0,3,0,11,2,0,2,1,0,0,0,19,0,41,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-11-01,0,2,0,2,0,0,0,1,0,1,1,9,0,0,0,1,0,0,0,10,0,27,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2012-12-01,0,0,1,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-01-01,1,0,3,0,0,1,0,0,0,1,1,1,2,0,0,3,0,0,0,17,0,29,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-02-01,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,12,0,19,0,0,0,0,0,1,0,0,0,0,0
Turkey,aljazeera.com,2013-03-01,0,0,1,0,0,0,0,0,0,6,1,3,1,0,0,0,0,1,0,24,0,36,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-04-01,0,0,1,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,15,0,24,1,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-05-01,2,3,0,0,0,0,0,0,0,5,0,2,0,0,1,2,0,2,0,19,0,37,0,1,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-06-01,2,30,0,0,0,0,0,0,0,5,0,1,1,0,2,2,0,3,6,17,0,69,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-07-01,0,4,0,0,0,1,0,0,0,1,1,3,1,0,0,1,0,1,0,16,0,29,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-08-01,2,3,2,0,0,0,0,0,0,2,3,3,2,0,0,2,1,1,0,11,0,32,2,0,1,0,1,0,0,0,0,0,0
Turkey,aljazeera.com,2013-09-01,2,4,4,4,0,2,0,0,0,2,2,4,2,0,2,1,0,0,0,24,0,51,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-10-01,0,1,2,0,0,0,0,1,0,4,0,2,1,0,2,0,0,2,1,22,0,38,0,0,0,0,0,0,0,0,0,0,0
Turkey,aljazeera.com,2013-11-01,1,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0
