country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Albania,2012-01-01,5,1,22,2,12,2,0,11,32,12,1,2,12,3,10,6,0,0,4,2,898,24,5,5,0,30,9,2,1,3,12,14,1132,0.00441696113074205,8.833922261484099e-4,0.019434628975265017,0.0017667844522968198,0.01060070671378092,0.0017667844522968198,0,0.009717314487632508,0.028268551236749116,0.01060070671378092,8.833922261484099e-4,0.0017667844522968198,0.01060070671378092,0.00265017667844523,0.0088339222614841,0.00530035335689046,0,0,0.0035335689045936395,0.0017667844522968198,0.02120141342756184,0.00441696113074205,0.00441696113074205,0,0.026501766784452298,0.007950530035335688,0.0017667844522968198,8.833922261484099e-4,0.00265017667844523,0.01060070671378092,0.012367491166077738
Albania,2012-02-01,2,1,18,7,12,3,0,17,30,24,2,0,10,2,4,8,1,0,2,4,887,18,3,4,2,36,13,2,0,0,16,16,1133,0.00176522506619594,8.8261253309797e-4,0.01588702559576346,0.00617828773168579,0.01059135039717564,0.00264783759929391,0,0.01500441306266549,0.0264783759929391,0.02118270079435128,0.00176522506619594,0,0.0088261253309797,0.00176522506619594,0.00353045013239188,0.00706090026478376,8.8261253309797e-4,0,0.00176522506619594,0.00353045013239188,0.01588702559576346,0.00264783759929391,0.00353045013239188,0.00176522506619594,0.03177405119152692,0.01147396293027361,0.00176522506619594,0,0,0.01412180052956752,0.01412180052956752
Albania,2012-03-01,4,0,18,2,6,3,2,10,35,23,0,0,17,2,11,7,0,0,5,6,1067,39,4,4,1,30,10,1,0,0,23,19,1327,0.003014318010550113,0,0.013564431047475508,0.0015071590052750565,0.00452147701582517,0.002260738507912585,0.0015071590052750565,0.007535795026375283,0.02637528259231349,0.01733232856066315,0,0,0.01281085154483798,0.0015071590052750565,0.008289374529012811,0.0052750565184626974,0,0,0.0037678975131876413,0.00452147701582517,0.0293896006028636,0.003014318010550113,0.003014318010550113,7.535795026375283e-4,0.02260738507912585,0.007535795026375283,7.535795026375283e-4,0,0,0.01733232856066315,0.014318010550113038
Albania,2012-04-01,3,0,49,6,9,1,0,16,20,23,0,2,12,2,4,10,0,1,5,5,1030,35,6,3,0,22,15,3,1,1,25,19,1319,0.002274450341167551,0,0.037149355572403335,0.004548900682335102,0.006823351023502654,7.58150113722517e-4,0,0.012130401819560273,0.015163002274450341,0.017437452615617893,0,0.001516300227445034,0.009097801364670205,0.001516300227445034,0.003032600454890068,0.0075815011372251705,0,7.58150113722517e-4,0.0037907505686125853,0.0037907505686125853,0.026535253980288095,0.004548900682335102,0.002274450341167551,0,0.016679302501895376,0.011372251705837756,0.002274450341167551,7.58150113722517e-4,7.58150113722517e-4,0.018953752843062926,0.014404852160727824
Albania,2012-05-01,2,0,40,2,12,2,2,15,40,24,0,1,19,4,8,10,0,2,4,4,971,33,5,13,1,33,16,3,1,1,17,12,1270,0.0015748031496062992,0,0.031496062992125984,0.0015748031496062992,0.009448818897637795,0.0015748031496062992,0.0015748031496062992,0.011811023622047244,0.031496062992125984,0.01889763779527559,0,7.874015748031496e-4,0.014960629921259842,0.0031496062992125984,0.006299212598425197,0.007874015748031496,0,0.0015748031496062992,0.0031496062992125984,0.0031496062992125984,0.025984251968503937,0.003937007874015748,0.010236220472440945,7.874015748031496e-4,0.025984251968503937,0.012598425196850394,0.002362204724409449,7.874015748031496e-4,7.874015748031496e-4,0.013385826771653543,0.009448818897637795
Albania,2012-06-01,2,1,52,3,17,1,1,21,24,18,1,3,14,1,9,7,0,4,3,7,850,18,9,13,1,37,11,4,2,1,26,15,1155,0.0017316017316017316,8.658008658008658e-4,0.045021645021645025,0.0025974025974025974,0.01471861471861472,8.658008658008658e-4,8.658008658008658e-4,0.01818181818181818,0.02077922077922078,0.015584415584415584,8.658008658008658e-4,0.0025974025974025974,0.012121212121212121,8.658008658008658e-4,0.007792207792207792,0.006060606060606061,0,0.003463203463203463,0.0025974025974025974,0.006060606060606061,0.015584415584415584,0.007792207792207792,0.011255411255411256,8.658008658008658e-4,0.032034632034632034,0.009523809523809525,0.003463203463203463,0.0017316017316017316,8.658008658008658e-4,0.022510822510822513,0.012987012987012988
Albania,2012-07-01,5,0,21,0,11,2,1,21,25,36,0,2,14,0,6,13,2,0,7,10,1058,28,2,9,0,31,14,2,1,2,20,27,1354,0.003692762186115214,0,0.0155096011816839,0,0.00812407680945347,0.0014771048744460858,7.385524372230429e-4,0.0155096011816839,0.01846381093057607,0.026587887740029542,0,0.0014771048744460858,0.0103397341211226,0,0.004431314623338257,0.009601181683899557,0.0014771048744460858,0,0.0051698670605613,0.007385524372230428,0.0206794682422452,0.0014771048744460858,0.0066469719350073855,0,0.022895125553914326,0.0103397341211226,0.0014771048744460858,7.385524372230429e-4,0.0014771048744460858,0.014771048744460856,0.019940915805022157
Albania,2012-08-01,2,2,13,2,5,3,0,35,14,20,0,1,7,2,16,6,0,4,4,2,1128,41,6,7,0,13,10,3,1,3,41,26,1413,0.0014154281670205238,0.0014154281670205238,0.009200283085633405,0.0014154281670205238,0.003538570417551309,0.0021231422505307855,0,0.024769992922859165,0.009907997169143666,0.014154281670205236,0,7.077140835102619e-4,0.004953998584571833,0.0014154281670205238,0.01132342533616419,0.004246284501061571,0,0.0028308563340410475,0.0028308563340410475,0.0014154281670205238,0.029016277423920735,0.004246284501061571,0.004953998584571833,0,0.009200283085633405,0.007077140835102618,0.0021231422505307855,7.077140835102619e-4,0.0021231422505307855,0.029016277423920735,0.01840056617126681
Albania,2012-09-01,9,2,29,6,20,1,0,14,38,24,1,4,20,0,15,5,0,4,6,9,1386,32,15,12,2,43,19,0,0,2,37,26,1758,0.005119453924914676,0.0011376564277588168,0.016496018202502846,0.0034129692832764505,0.011376564277588168,5.688282138794084e-4,0,0.007963594994311717,0.02161547212741752,0.013651877133105802,5.688282138794084e-4,0.0022753128555176336,0.011376564277588168,0,0.008532423208191127,0.002844141069397042,0,0.0022753128555176336,0.0034129692832764505,0.005119453924914676,0.01820250284414107,0.008532423208191127,0.006825938566552901,0.0011376564277588168,0.024459613196814563,0.01080773606370876,0,0,0.0011376564277588168,0.02104664391353811,0.01478953356086462
Albania,2012-10-01,7,2,44,2,15,2,1,17,19,16,1,4,12,4,47,6,2,1,1,10,1446,34,6,7,2,32,24,2,1,2,26,30,1804,0.003880266075388027,0.0011086474501108647,0.024390243902439025,0.0011086474501108647,0.008314855875831485,0.0011086474501108647,5.543237250554324e-4,0.009423503325942351,0.010532150776053215,0.008869179600886918,5.543237250554324e-4,0.0022172949002217295,0.0066518847006651885,0.0022172949002217295,0.026053215077605323,0.0033259423503325942,0.0011086474501108647,5.543237250554324e-4,5.543237250554324e-4,0.005543237250554324,0.018847006651884702,0.0033259423503325942,0.003880266075388027,0.0011086474501108647,0.017738359201773836,0.013303769401330377,0.0011086474501108647,5.543237250554324e-4,0.0011086474501108647,0.014412416851441241,0.01662971175166297
