date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,8,18,20,2,0,18,6,2,0,11,0,7,7,7,14,2,3,4,0,269,0,393,0.0055440055440055,0.0124740124740124,0.0138600138600138,0.0013860013860013,0.0,0.0124740124740124,0.0041580041580041,0.0013860013860013,0.0,0.0076230076230076,0.0,0.0048510048510048,0.0048510048510048,0.0048510048510048,0.0097020097020097,0.0013860013860013,0.002079002079002,0.0027720027720027,0.0,0.1864171864171864,0.0,10,10,17,2,0,4,0,0,0,10,0,9,13,3,16,1,2,6,0,947,0,1048,0.0069300069300069,0.0069300069300069,0.0117810117810117,0.0013860013860013,0.0,0.0027720027720027,0.0,0.0,0.0,0.0069300069300069,0.0,0.0062370062370062,0.009009009009009,0.002079002079002,0.011088011088011,0.0006930006930006,0.0013860013860013,0.0041580041580041,0.0,0.6562716562716563,0.0
2012-02-01,2012,2,3,8,9,5,0,45,9,0,0,21,1,20,18,9,7,4,7,3,1,246,0,413,0.0024793388429752,0.0066115702479338,0.0074380165289256,0.0041322314049586,0.0,0.0371900826446281,0.0074380165289256,0.0,0.0,0.0173553719008264,0.0008264462809917,0.0165289256198347,0.0148760330578512,0.0074380165289256,0.0057851239669421,0.0033057851239669,0.0057851239669421,0.0024793388429752,0.0008264462809917,0.2033057851239669,0.0,11,4,8,23,1,5,0,0,0,4,0,9,7,4,6,1,4,3,0,709,0,796,0.009090909090909,0.0033057851239669,0.0066115702479338,0.0190082644628099,0.0008264462809917,0.0041322314049586,0.0,0.0,0.0,0.0033057851239669,0.0,0.0074380165289256,0.0057851239669421,0.0033057851239669,0.0049586776859504,0.0008264462809917,0.0033057851239669,0.0024793388429752,0.0,0.5859504132231405,0.0
2012-03-01,2012,3,6,12,7,3,0,61,10,4,0,22,5,23,9,5,7,4,5,10,0,367,0,559,0.0040927694406548,0.0081855388813096,0.0047748976807639,0.0020463847203274,0.0,0.0416098226466575,0.0068212824010914,0.0027285129604365,0.0,0.015006821282401,0.0034106412005457,0.0156889495225102,0.0061391541609822,0.0034106412005457,0.0047748976807639,0.0027285129604365,0.0034106412005457,0.0068212824010914,0.0,0.2503410641200546,0.0,11,9,8,5,1,8,0,1,0,18,0,7,17,3,12,1,2,2,1,799,0,903,0.0075034106412005,0.0061391541609822,0.0054570259208731,0.0034106412005457,0.0006821282401091,0.0054570259208731,0.0,0.0006821282401091,0.0,0.0122783083219645,0.0,0.0047748976807639,0.0115961800818553,0.0020463847203274,0.0081855388813096,0.0006821282401091,0.0013642564802182,0.0013642564802182,0.0006821282401091,0.5450204638472033,0.0
2012-04-01,2012,4,3,21,16,2,0,69,14,3,0,15,1,31,4,14,3,8,4,7,1,354,0,565,0.0019736842105263,0.0138157894736842,0.0105263157894736,0.0013157894736842,0.0,0.0453947368421052,0.0092105263157894,0.0019736842105263,0.0,0.0098684210526315,0.0006578947368421,0.0203947368421052,0.0026315789473684,0.0092105263157894,0.0019736842105263,0.0052631578947368,0.0026315789473684,0.0046052631578947,0.0006578947368421,0.2328947368421052,0.0,3,24,8,3,0,7,0,0,0,5,0,9,4,2,10,1,2,6,1,869,0,952,0.0019736842105263,0.0157894736842105,0.0052631578947368,0.0019736842105263,0.0,0.0046052631578947,0.0,0.0,0.0,0.0032894736842105,0.0,0.0059210526315789,0.0026315789473684,0.0013157894736842,0.006578947368421,0.0006578947368421,0.0013157894736842,0.0039473684210526,0.0006578947368421,0.5717105263157894,0.0
2012-05-01,2012,5,10,14,18,4,0,143,19,0,1,11,4,7,12,13,12,2,11,6,1,382,0,660,0.005824111822947,0.0081537565521258,0.0104834012813046,0.0023296447291788,0.0,0.0832847990681421,0.0110658124635993,0.0,0.0005824111822947,0.0064065230052417,0.0023296447291788,0.0040768782760629,0.0069889341875364,0.0075713453698311,0.0069889341875364,0.0011648223645894,0.0064065230052417,0.0034944670937682,0.0005824111822947,0.2224810716365754,0.0,21,10,13,13,0,10,0,1,0,10,0,9,8,3,10,2,2,3,0,941,1,1055,0.0122306348281887,0.005824111822947,0.0075713453698311,0.0075713453698311,0.0,0.005824111822947,0.0,0.0005824111822947,0.0,0.005824111822947,0.0,0.0052417006406523,0.0046592894583576,0.0017472335468841,0.005824111822947,0.0011648223645894,0.0011648223645894,0.0017472335468841,0.0,0.5480489225393127,0.0005824111822947
2012-06-01,2012,6,5,6,23,0,1,28,6,0,0,12,3,17,12,6,12,8,9,3,0,369,1,516,0.0028344671201814,0.0034013605442176,0.0130385487528344,0.0,0.0005668934240362,0.0158730158730158,0.0034013605442176,0.0,0.0,0.0068027210884353,0.0017006802721088,0.0096371882086167,0.0068027210884353,0.0034013605442176,0.0068027210884353,0.0045351473922902,0.0051020408163265,0.0017006802721088,0.0,0.2091836734693877,0.0005668934240362,12,2,19,9,0,5,1,1,1,13,0,8,15,7,6,5,3,4,0,1140,0,1247,0.0068027210884353,0.0011337868480725,0.0107709750566893,0.0051020408163265,0.0,0.0028344671201814,0.0005668934240362,0.0005668934240362,0.0005668934240362,0.0073696145124716,0.0,0.0045351473922902,0.0085034013605442,0.0039682539682539,0.0034013605442176,0.0028344671201814,0.0017006802721088,0.0022675736961451,0.0,0.6462585034013606,0.0
2012-07-01,2012,7,2,13,14,3,0,15,2,2,0,14,2,19,5,6,13,4,9,4,3,378,1,508,0.0011055831951354,0.0071862907683803,0.007739082365948,0.0016583747927031,0.0,0.0082918739635157,0.0011055831951354,0.0011055831951354,0.0,0.007739082365948,0.0011055831951354,0.0105030403537866,0.0027639579878385,0.0033167495854063,0.0071862907683803,0.0022111663902708,0.0049751243781094,0.0022111663902708,0.0016583747927031,0.208955223880597,0.0005527915975677,12,4,8,13,0,3,0,4,0,16,0,17,8,7,13,7,0,4,2,1180,0,1295,0.0066334991708126,0.0022111663902708,0.0044223327805417,0.0071862907683803,0.0,0.0016583747927031,0.0,0.0022111663902708,0.0,0.0088446655610834,0.0,0.0093974571586511,0.0044223327805417,0.003869541182974,0.0071862907683803,0.003869541182974,0.0,0.0022111663902708,0.0011055831951354,0.652294085129906,0.0
2012-08-01,2012,8,8,4,8,1,0,13,0,1,0,13,2,11,9,4,8,0,5,4,0,207,0,297,0.0058055152394775,0.0029027576197387,0.0058055152394775,0.0007256894049346,0.0,0.0094339622641509,0.0,0.0007256894049346,0.0,0.0094339622641509,0.0014513788098693,0.0079825834542815,0.0065312046444121,0.0029027576197387,0.0058055152394775,0.0,0.0036284470246734,0.0029027576197387,0.0,0.1502177068214804,0.0,10,5,8,14,1,1,0,1,1,9,0,7,9,3,6,3,2,8,0,993,0,1081,0.0072568940493468,0.0036284470246734,0.0058055152394775,0.0101596516690856,0.0007256894049346,0.0007256894049346,0.0,0.0007256894049346,0.0007256894049346,0.0065312046444121,0.0,0.0050798258345428,0.0065312046444121,0.002177068214804,0.0043541364296081,0.002177068214804,0.0014513788098693,0.0058055152394775,0.0,0.7206095791001451,0.0
2012-09-01,2012,9,3,18,8,6,1,24,4,2,0,20,0,16,13,3,10,3,9,3,2,275,0,420,0.0020174848688634,0.0121049092131809,0.0053799596503026,0.0040349697377269,0.0006724949562878,0.0161398789509078,0.0026899798251513,0.0013449899125756,0.0,0.0134498991257565,0.0,0.0107599193006052,0.0087424344317417,0.0020174848688634,0.0067249495628782,0.0020174848688634,0.0060524546065904,0.0020174848688634,0.0013449899125756,0.1849361129791526,0.0,14,18,19,4,0,2,0,1,0,11,1,8,5,4,9,3,2,7,2,956,1,1065,0.0094149293880295,0.0121049092131809,0.0127774041694687,0.0026899798251513,0.0,0.0013449899125756,0.0,0.0006724949562878,0.0,0.0073974445191661,0.0006724949562878,0.0053799596503026,0.0033624747814391,0.0026899798251513,0.0060524546065904,0.0020174848688634,0.0013449899125756,0.0047074646940147,0.0013449899125756,0.6429051782111634,0.0006724949562878
2012-10-01,2012,10,5,6,16,0,1,14,4,1,0,24,2,10,7,7,8,5,3,6,0,365,0,481,0.0032133676092544,0.0038560411311053,0.0102827763496143,0.0,0.0006426735218508,0.0089974293059125,0.0025706940874035,0.0006426735218508,0.0,0.0154241645244215,0.0012853470437017,0.0064267352185089,0.0044987146529562,0.0044987146529562,0.0051413881748071,0.0032133676092544,0.0019280205655526,0.0038560411311053,0.0,0.2345758354755784,0.0,12,11,22,13,0,2,0,3,0,18,0,2,11,11,5,4,1,7,0,957,0,1074,0.0077120822622107,0.0070694087403598,0.0141388174807197,0.0083547557840616,0.0,0.0012853470437017,0.0,0.0019280205655526,0.0,0.0115681233933161,0.0,0.0012853470437017,0.0070694087403598,0.0070694087403598,0.0032133676092544,0.0025706940874035,0.0006426735218508,0.0044987146529562,0.0,0.6150385604113111,0.0
