date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,4,3,8,2,2,26,0,8,0,18,0,8,7,6,14,2,2,1,0,435,0,545,0.0012982797792924,0.0009737098344693,0.0025965595585848,0.0006491398896462,0.0006491398896462,0.0084388185654008,0.0,0.0025965595585848,0.0,0.0058422590068159,0.0,0.0025965595585848,0.0022719896137617,0.0019474196689386,0.0045439792275235,0.0006491398896462,0.0006491398896462,0.0003245699448231,0.0,0.1411879259980525,0.0,11,4,28,17,0,8,0,0,1,6,0,23,9,3,7,1,3,1,2,2412,0,2535,0.0035702693930542,0.0012982797792924,0.009087958455047,0.0055176890619928,0.0,0.0025965595585848,0.0,0.0,0.0003245699448231,0.0019474196689386,0.0,0.0074651087309315,0.0029211295034079,0.0009737098344693,0.0022719896137617,0.0003245699448231,0.0009737098344693,0.0003245699448231,0.0006491398896462,0.7828627069133398,0.0
2012-02-01,2012,2,3,3,14,3,4,60,4,8,0,13,0,9,5,7,11,3,2,2,0,451,1,602,0.0008638065073423,0.0008638065073423,0.0040310970342643,0.0008638065073423,0.0011517420097898,0.0172761301468471,0.0011517420097898,0.0023034840195796,0.0,0.0037431615318168,0.0,0.002591419522027,0.0014396775122372,0.0020155485171321,0.0031672905269219,0.0008638065073423,0.0005758710048949,0.0005758710048949,0.0,0.1298589116038007,0.0002879355024474,18,2,20,20,0,9,0,2,0,16,0,14,7,5,12,3,4,4,0,2736,0,2871,0.0051828390440541,0.0005758710048949,0.005758710048949,0.005758710048949,0.0,0.002591419522027,0.0,0.0005758710048949,0.0,0.0046069680391592,0.0,0.0040310970342643,0.0020155485171321,0.0014396775122372,0.0034552260293694,0.0008638065073423,0.0011517420097898,0.0011517420097898,0.0,0.7877915346962281,0.0
2012-03-01,2012,3,6,4,23,7,1,48,5,9,0,10,0,9,14,8,10,2,4,4,0,535,0,696,0.0015463917525773,0.0010309278350515,0.0059278350515463,0.0018041237113402,0.0002577319587628,0.0123711340206185,0.0012886597938144,0.0023195876288659,0.0,0.0025773195876288,0.0,0.0023195876288659,0.0036082474226804,0.002061855670103,0.0025773195876288,0.0005154639175257,0.0010309278350515,0.0010309278350515,0.0,0.1378865979381443,0.0,20,0,31,21,1,7,0,2,0,17,0,25,12,5,11,4,1,3,0,3025,0,3184,0.0051546391752577,0.0,0.0079896907216494,0.0054123711340206,0.0002577319587628,0.0018041237113402,0.0,0.0005154639175257,0.0,0.004381443298969,0.0,0.0064432989690721,0.0030927835051546,0.0012886597938144,0.0028350515463917,0.0010309278350515,0.0002577319587628,0.0007731958762886,0.0,0.779639175257732,0.0
2012-04-01,2012,4,4,6,26,0,1,89,16,12,1,25,0,21,20,7,7,6,5,6,1,667,0,917,0.0008637443316778,0.0012956164975167,0.0056143381559058,0.0,0.0002159360829194,0.0192183113798315,0.0034549773267112,0.0025912329950334,0.0002159360829194,0.0053984020729863,0.0,0.0045346577413085,0.0043187216583891,0.0015115525804361,0.0015115525804361,0.0012956164975167,0.0010796804145972,0.0012956164975167,0.0002159360829194,0.144029367307277,0.0,11,2,28,34,1,9,0,2,0,21,1,30,14,6,13,2,0,7,1,3533,0,3713,0.002375296912114,0.0004318721658389,0.0060462103217447,0.0073418268192614,0.0002159360829194,0.0019434247462751,0.0,0.0004318721658389,0.0,0.0045346577413085,0.0002159360829194,0.0064780824875836,0.0030231051608723,0.0012956164975167,0.0028071690779529,0.0004318721658389,0.0,0.0015115525804361,0.0002159360829194,0.7629021809544375,0.0
2012-05-01,2012,5,8,3,30,10,0,137,17,6,1,27,0,19,9,16,6,2,3,8,0,714,0,1010,0.001685985247629,0.0006322444678609,0.006322444678609,0.0021074815595363,0.0,0.028872497365648,0.0035827186512118,0.0012644889357218,0.0002107481559536,0.0056902002107481,0.0,0.004004214963119,0.0018967334035827,0.0033719704952581,0.0012644889357218,0.0004214963119072,0.0006322444678609,0.001685985247629,0.0,0.1504741833508956,0.0,16,1,30,25,5,21,0,1,0,22,2,31,12,7,7,5,0,4,1,3546,0,3734,0.0033719704952581,0.0002107481559536,0.006322444678609,0.0052687038988408,0.0010537407797681,0.0044257112750263,0.0,0.0002107481559536,0.0,0.0046364594309799,0.0004214963119072,0.0065331928345626,0.0025289778714436,0.0014752370916754,0.0014752370916754,0.0010537407797681,0.0,0.0008429926238145,0.0002107481559536,0.7473129610115912,0.0
2012-06-01,2012,6,6,8,29,4,2,50,2,4,1,23,1,28,28,7,13,4,1,10,0,628,0,847,0.0013510470614726,0.0018013960819635,0.0065300607971177,0.0009006980409817,0.0004503490204908,0.011258725512272,0.0004503490204908,0.0009006980409817,0.0002251745102454,0.0051790137356451,0.0002251745102454,0.0063048862868723,0.0063048862868723,0.001576221571718,0.0029272686331907,0.0009006980409817,0.0002251745102454,0.0022517451024544,0.0,0.1414095924341364,0.0,33,1,36,24,1,7,0,4,1,18,1,36,21,8,8,1,3,8,0,3383,0,3592,0.0074307588380995,0.0002251745102454,0.0081062823688358,0.0054041882458905,0.0002251745102454,0.001576221571718,0.0,0.0009006980409817,0.0002251745102454,0.0040531411844179,0.0002251745102454,0.0081062823688358,0.0047286647151542,0.0018013960819635,0.0018013960819635,0.0002251745102454,0.0006755235307363,0.0018013960819635,0.0,0.7617653681603243,0.0
2012-07-01,2012,7,9,10,32,6,1,51,4,11,0,16,1,35,19,14,16,5,5,5,0,598,0,835,0.001919795221843,0.0021331058020477,0.0068259385665529,0.0012798634812286,0.0002133105802047,0.0108788395904436,0.0008532423208191,0.0023464163822525,0.0,0.0034129692832764,0.0002133105802047,0.0074658703071672,0.0040529010238907,0.0029863481228668,0.0034129692832764,0.0010665529010238,0.0010665529010238,0.0010665529010238,0.0,0.1275597269624573,0.0,16,1,41,21,2,14,0,2,0,17,0,37,22,5,15,2,0,5,1,3652,0,3852,0.0034129692832764,0.0002133105802047,0.0087457337883959,0.0044795221843003,0.0004266211604095,0.0029863481228668,0.0,0.0004266211604095,0.0,0.0036262798634812,0.0,0.0078924914675767,0.0046928327645051,0.0010665529010238,0.0031996587030716,0.0004266211604095,0.0,0.0010665529010238,0.0002133105802047,0.7790102389078498,0.0
2012-08-01,2012,8,4,8,42,13,2,41,2,11,1,10,0,26,13,7,11,3,10,5,0,562,1,770,0.0008303923603902,0.0016607847207805,0.0087191197840979,0.0026987751712684,0.0004151961801951,0.0085115216940004,0.0004151961801951,0.0022835789910732,0.0002075980900975,0.0020759809009757,0.0,0.0053975503425368,0.0026987751712684,0.0014531866306829,0.0022835789910732,0.0006227942702927,0.0020759809009757,0.0010379904504878,0.0,0.1166701266348349,0.0002075980900975,14,1,61,31,0,11,2,3,0,11,0,33,13,10,18,2,4,3,0,3832,0,4045,0.0029063732613659,0.0002075980900975,0.0126634834959518,0.0064355407930247,0.0,0.0022835789910732,0.0004151961801951,0.0006227942702927,0.0,0.0022835789910732,0.0,0.0068507369732198,0.0026987751712684,0.0020759809009757,0.0037367656217562,0.0004151961801951,0.0008303923603902,0.0006227942702927,0.0,0.7955158812538925,0.0
2012-09-01,2012,9,14,4,35,12,0,65,4,5,2,23,0,22,22,14,7,5,5,1,0,725,0,963,0.0024774376216598,0.0007078393204742,0.0061935940541497,0.0021235179614227,0.0,0.0115023889577066,0.0007078393204742,0.0008847991505928,0.0003539196602371,0.0040700760927269,0.0,0.0038931162626083,0.0038931162626083,0.0024774376216598,0.0012387188108299,0.0008847991505928,0.0008847991505928,0.0001769598301185,0.0,0.1282958768359582,0.0,31,2,48,24,5,17,0,1,1,15,0,35,23,12,16,2,4,7,1,4446,1,4685,0.0054857547336754,0.0003539196602371,0.008494071845691,0.0042470359228455,0.0008847991505928,0.0030083171120155,0.0,0.0001769598301185,0.0001769598301185,0.0026543974517784,0.0,0.0061935940541497,0.0040700760927269,0.0021235179614227,0.002831357281897,0.0003539196602371,0.0007078393204742,0.0012387188108299,0.0001769598301185,0.7867634047071315,0.0001769598301185
2012-10-01,2012,10,7,5,28,9,0,58,3,4,2,32,3,25,9,13,7,4,3,7,0,749,0,965,0.001050105010501,0.0007500750075007,0.0042004200420042,0.0013501350135013,0.0,0.0087008700870087,0.0004500450045004,0.0006000600060006,0.0003000300030003,0.0048004800480048,0.0004500450045004,0.0037503750375037,0.0013501350135013,0.0019501950195019,0.001050105010501,0.0006000600060006,0.0004500450045004,0.001050105010501,0.0,0.1123612361236123,0.0,20,1,56,30,1,12,0,3,0,24,0,23,19,9,14,4,3,10,0,5474,0,5700,0.003000300030003,0.0001500150015001,0.0084008400840084,0.0045004500450045,0.0001500150015001,0.0018001800180018,0.0,0.0004500450045004,0.0,0.0036003600360036,0.0,0.0034503450345034,0.0028502850285028,0.0013501350135013,0.0021002100210021,0.0006000600060006,0.0004500450045004,0.0015001500150015,0.0,0.8211821182118212,0.0
