country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Azerbaijan,2012-01-01,9,3,11,0,10,1,0,6,8,3,0,1,14,1,11,2,1,6,2,4,556,6,3,4,0,5,2,2,1,2,4,14,680,0.013235294117647059,0.004411764705882353,0.016176470588235296,0,0.014705882352941176,0.0014705882352941176,0,0.008823529411764706,0.011764705882352941,0.004411764705882353,0,0.0014705882352941176,0.020588235294117647,0.0014705882352941176,0.016176470588235296,0.0029411764705882353,0.0014705882352941176,0.008823529411764706,0.0029411764705882353,0.0058823529411764705,0.008823529411764706,0.004411764705882353,0.0058823529411764705,0,0.007352941176470588,0.0029411764705882353,0.0029411764705882353,0.0014705882352941176,0.0029411764705882353,0.0058823529411764705,0.020588235294117647
Azerbaijan,2012-02-01,12,2,7,2,8,1,0,21,13,3,0,0,11,3,13,2,0,5,8,8,602,9,4,5,0,15,2,0,1,1,3,8,761,0.01576872536136662,0.002628120893561104,0.009198423127463863,0.002628120893561104,0.010512483574244415,0.001314060446780552,0,0.02759526938239159,0.017082785808147174,0.003942181340341655,0,0,0.01445466491458607,0.003942181340341655,0.017082785808147174,0.002628120893561104,0,0.006570302233902759,0.010512483574244415,0.010512483574244415,0.011826544021024968,0.005256241787122208,0.006570302233902759,0,0.01971090670170828,0.002628120893561104,0,0.001314060446780552,0.001314060446780552,0.003942181340341655,0.010512483574244415
Azerbaijan,2012-03-01,12,2,9,0,13,4,0,10,12,2,1,0,11,5,24,5,2,5,5,11,644,12,5,4,0,10,1,1,3,2,5,10,819,0.014652014652014652,0.002442002442002442,0.01098901098901099,0,0.015873015873015872,0.004884004884004884,0,0.01221001221001221,0.014652014652014652,0.002442002442002442,0.001221001221001221,0,0.013431013431013432,0.006105006105006105,0.029304029304029304,0.006105006105006105,0.002442002442002442,0.006105006105006105,0.006105006105006105,0.013431013431013432,0.014652014652014652,0.006105006105006105,0.004884004884004884,0,0.01221001221001221,0.001221001221001221,0.001221001221001221,0.003663003663003663,0.002442002442002442,0.006105006105006105,0.01221001221001221
Azerbaijan,2012-04-01,13,1,14,0,14,0,0,10,14,3,0,7,13,7,39,9,0,7,9,16,661,15,2,4,0,13,8,0,2,0,3,11,883,0.014722536806342015,0.0011325028312570782,0.015855039637599093,0,0.015855039637599093,0,0,0.011325028312570781,0.015855039637599093,0.0033975084937712344,0,0.007927519818799546,0.014722536806342015,0.007927519818799546,0.044167610419026046,0.010192525481313703,0,0.007927519818799546,0.010192525481313703,0.01812004530011325,0.01698754246885617,0.0022650056625141564,0.004530011325028313,0,0.014722536806342015,0.009060022650056626,0,0.0022650056625141564,0,0.0033975084937712344,0.01245753114382786
Azerbaijan,2012-05-01,16,2,9,0,4,0,1,18,18,3,2,1,12,3,22,2,1,13,5,12,802,13,6,16,0,14,1,3,0,1,6,8,992,0.016129032258064516,0.0020161290322580645,0.009072580645161291,0,0.004032258064516129,0,0.0010080645161290322,0.018145161290322582,0.018145161290322582,0.0030241935483870967,0.0020161290322580645,0.0010080645161290322,0.012096774193548387,0.0030241935483870967,0.02217741935483871,0.0020161290322580645,0.0010080645161290322,0.01310483870967742,0.005040322580645161,0.012096774193548387,0.01310483870967742,0.006048387096774193,0.016129032258064516,0,0.014112903225806451,0.0010080645161290322,0.0030241935483870967,0,0.0010080645161290322,0.006048387096774193,0.008064516129032258
Azerbaijan,2012-06-01,11,7,7,0,18,5,0,15,12,9,2,2,12,11,12,4,1,13,15,8,893,19,13,5,1,18,5,2,1,6,9,8,1133,0.009708737864077669,0.00617828773168579,0.00617828773168579,0,0.01588702559576346,0.00441306266548985,0,0.01323918799646955,0.01059135039717564,0.00794351279788173,0.00176522506619594,0.00176522506619594,0.01059135039717564,0.009708737864077669,0.01059135039717564,0.00353045013239188,8.8261253309797e-4,0.01147396293027361,0.01323918799646955,0.00706090026478376,0.01676963812886143,0.01147396293027361,0.00441306266548985,8.8261253309797e-4,0.01588702559576346,0.00441306266548985,0.00176522506619594,8.8261253309797e-4,0.00529567519858782,0.00794351279788173,0.00706090026478376
Azerbaijan,2012-07-01,14,4,15,0,14,2,2,22,37,4,0,4,25,3,17,3,0,5,8,8,1669,22,6,11,0,10,7,0,2,3,13,12,1917,0.007303077725612937,0.0020865936358894104,0.00782472613458529,0,0.007303077725612937,0.0010432968179447052,0.0010432968179447052,0.011476264997391758,0.019300991131977047,0.0020865936358894104,0,0.0020865936358894104,0.013041210224308816,0.001564945226917058,0.008868022952529996,0.001564945226917058,0,0.0026082420448617634,0.004173187271778821,0.004173187271778821,0.011476264997391758,0.003129890453834116,0.005738132498695879,0,0.005216484089723527,0.0036515388628064684,0,0.0010432968179447052,0.001564945226917058,0.006781429316640584,0.006259780907668232
Azerbaijan,2012-08-01,11,6,7,0,18,4,1,37,19,5,0,4,15,5,25,9,0,4,18,5,2179,17,8,15,0,21,7,1,5,2,8,23,2464,0.004464285714285714,0.002435064935064935,0.002840909090909091,0,0.007305194805194805,0.0016233766233766235,4.0584415584415587e-4,0.015016233766233766,0.007711038961038961,0.002029220779220779,0,0.0016233766233766235,0.006087662337662338,0.002029220779220779,0.010146103896103896,0.0036525974025974025,0,0.0016233766233766235,0.007305194805194805,0.002029220779220779,0.006899350649350649,0.003246753246753247,0.006087662337662338,0,0.008522727272727272,0.002840909090909091,4.0584415584415587e-4,0.002029220779220779,8.116883116883117e-4,0.003246753246753247,0.009334415584415584
Azerbaijan,2012-09-01,14,7,14,1,43,2,0,42,41,12,1,2,38,6,36,10,2,6,11,9,2774,42,11,15,0,29,12,1,0,2,9,17,3180,0.00440251572327044,0.00220125786163522,0.00440251572327044,3.1446540880503143e-4,0.013522012578616353,6.289308176100629e-4,0,0.013207547169811321,0.01289308176100629,0.0037735849056603774,3.1446540880503143e-4,6.289308176100629e-4,0.011949685534591196,0.0018867924528301887,0.011320754716981131,0.0031446540880503146,6.289308176100629e-4,0.0018867924528301887,0.003459119496855346,0.002830188679245283,0.013207547169811321,0.003459119496855346,0.0047169811320754715,0,0.009119496855345912,0.0037735849056603774,3.1446540880503143e-4,0,6.289308176100629e-4,0.002830188679245283,0.005345911949685534
Azerbaijan,2012-10-01,15,11,16,2,32,6,0,38,46,11,1,4,35,8,33,11,0,11,8,11,2241,18,23,18,0,30,11,5,3,1,14,22,2653,0.005653976630229929,0.0041462495288352805,0.0060309084055785904,7.538635506973238e-4,0.012061816811157181,0.0022615906520919715,0,0.014323407463249152,0.017338861666038447,0.0041462495288352805,3.769317753486619e-4,0.0015077271013946476,0.013192612137203167,0.0030154542027892952,0.012438748586505842,0.0041462495288352805,0,0.0041462495288352805,0.0030154542027892952,0.0041462495288352805,0.006784771956275914,0.008669430833019224,0.006784771956275914,0,0.011307953260459858,0.0041462495288352805,0.0018846588767433095,0.0011307953260459858,3.769317753486619e-4,0.005277044854881266,0.008292499057670561
