date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,7,5,19,1,4,25,2,10,1,15,0,3,4,10,12,2,8,2,0,370,0,495,0.0015865820489573,0.0011332728921124,0.0043064369900271,0.0002266545784224,0.0009066183136899,0.0056663644605621,0.0004533091568449,0.0022665457842248,0.0002266545784224,0.0033998186763372,0.0,0.0006799637352674,0.0009066183136899,0.0022665457842248,0.0027198549410698,0.0004533091568449,0.0018132366273798,0.0004533091568449,0.0,0.0838621940163191,0.0,13,3,33,43,2,2,0,0,0,9,0,8,11,7,40,0,1,0,3,3742,0,3915,0.0029465095194922,0.0006799637352674,0.0074796010879419,0.0097461468721668,0.0004533091568449,0.0004533091568449,0.0,0.0,0.0,0.0020398912058023,0.0,0.0018132366273798,0.0024932003626473,0.0015865820489573,0.0090661831368993,0.0,0.0002266545784224,0.0,0.0006799637352674,0.8481414324569356,0.0
2012-02-01,2012,2,4,5,21,7,1,21,2,2,0,15,0,7,6,16,13,1,13,8,1,426,0,561,0.0008110300081103,0.0010137875101378,0.004257907542579,0.001419302514193,0.0002027575020275,0.004257907542579,0.0004055150040551,0.0004055150040551,0.0,0.0030413625304136,0.0,0.001419302514193,0.0012165450121654,0.0032441200324412,0.0026358475263584,0.0002027575020275,0.0026358475263584,0.0016220600162206,0.0002027575020275,0.0863746958637469,0.0,16,1,23,42,4,4,0,0,1,21,0,5,10,4,49,1,2,1,1,4184,0,4369,0.0032441200324412,0.0002027575020275,0.0046634225466342,0.0085158150851581,0.0008110300081103,0.0008110300081103,0.0,0.0,0.0002027575020275,0.004257907542579,0.0,0.0010137875101378,0.0020275750202757,0.0008110300081103,0.0099351175993511,0.0002027575020275,0.0004055150040551,0.0002027575020275,0.0002027575020275,0.8483373884833739,0.0
2012-03-01,2012,3,4,8,13,2,2,23,1,6,0,25,0,5,5,6,15,2,3,24,2,451,0,597,0.000805964134596,0.001611928269192,0.002619383437437,0.000402982067298,0.000402982067298,0.004634293773927,0.000201491033649,0.001208946201894,0.0,0.005037275841225,0.0,0.001007455168245,0.001007455168245,0.001208946201894,0.003022365504735,0.000402982067298,0.000604473100947,0.004835784807576,0.000402982067298,0.0908724561757001,0.0,14,4,16,30,2,2,0,0,0,31,0,7,14,8,35,1,1,0,3,4199,0,4365,0.002820874471086,0.000805964134596,0.003223856538384,0.00604473100947,0.000402982067298,0.000402982067298,0.0,0.0,0.0,0.006246222043119,0.0,0.001410437235543,0.002820874471086,0.001611928269192,0.007052186177715,0.000201491033649,0.000201491033649,0.0,0.000604473100947,0.846060850292162,0.0
2012-04-01,2012,4,3,0,19,3,1,11,0,7,0,23,0,6,4,8,13,3,1,8,0,415,0,521,0.0006957328385899,0.0,0.0044063079777365,0.0006957328385899,0.0002319109461966,0.0025510204081632,0.0,0.0016233766233766,0.0,0.0053339517625231,0.0,0.0013914656771799,0.0009276437847866,0.0018552875695732,0.0030148423005565,0.0006957328385899,0.0002319109461966,0.0018552875695732,0.0,0.0962430426716141,0.0,12,4,16,27,0,2,0,4,1,21,0,18,7,1,24,0,1,0,0,3652,0,3790,0.0027829313543599,0.0009276437847866,0.0037105751391465,0.0062615955473098,0.0,0.0004638218923933,0.0,0.0009276437847866,0.0002319109461966,0.0048701298701298,0.0,0.0041743970315398,0.0016233766233766,0.0002319109461966,0.0055658627087198,0.0,0.0002319109461966,0.0,0.0,0.8469387755102041,0.0
2012-05-01,2012,5,8,8,16,1,1,14,2,3,0,29,1,5,7,9,10,4,1,6,0,465,0,589,0.0017046665246111,0.0017046665246111,0.0034093330492222,0.0002130833155763,0.0002130833155763,0.0029831664180694,0.0004261666311527,0.0006392499467291,0.0,0.0061794161517153,0.0002130833155763,0.0010654165778819,0.0014915832090347,0.0019177498401875,0.0021308331557639,0.0008523332623055,0.0002130833155763,0.0012784998934583,0.0,0.0990837417430215,0.0,21,4,23,19,0,4,0,0,1,26,0,17,6,3,33,2,2,1,1,3939,0,4102,0.0044747496271041,0.0008523332623055,0.0049009162582569,0.0040485829959514,0.0,0.0008523332623055,0.0,0.0,0.0002130833155763,0.0055401662049861,0.0,0.0036224163647986,0.0012784998934583,0.0006392499467291,0.0070317494140208,0.0004261666311527,0.0004261666311527,0.0002130833155763,0.0002130833155763,0.8393351800554016,0.0
2012-06-01,2012,6,10,8,22,2,2,33,1,3,2,23,1,2,4,8,16,1,3,6,0,518,0,662,0.0020316944331572,0.0016253555465258,0.0044697277529459,0.0004063388866314,0.0004063388866314,0.0067045916294189,0.0002031694433157,0.0006095083299471,0.0004063388866314,0.0046728971962616,0.0002031694433157,0.0004063388866314,0.0008126777732629,0.0016253555465258,0.0032507110930516,0.0002031694433157,0.0006095083299471,0.0012190166598943,0.0,0.1052417716375457,0.0,13,3,19,31,0,5,0,1,1,28,0,12,17,8,38,4,0,1,2,4077,0,4258,0.0026412027631044,0.0006095083299471,0.0038602194229987,0.0062982527427874,0.0,0.0010158472165786,0.0,0.0002031694433157,0.0002031694433157,0.0056887444128403,0.0,0.0024380333197887,0.0034538805363673,0.0016253555465258,0.0077204388459975,0.0008126777732629,0.0,0.0002031694433157,0.0004063388866314,0.8283218203982121,0.0
2012-07-01,2012,7,15,8,17,10,3,60,1,4,1,19,2,5,3,11,20,1,4,3,2,488,0,673,0.0030612244897959,0.0016326530612244,0.003469387755102,0.0020408163265306,0.0006122448979591,0.0122448979591836,0.000204081632653,0.0008163265306122,0.000204081632653,0.0038775510204081,0.0004081632653061,0.0010204081632653,0.0006122448979591,0.0022448979591836,0.0040816326530612,0.000204081632653,0.0008163265306122,0.0006122448979591,0.0004081632653061,0.0995918367346938,0.0,18,9,27,50,2,7,0,1,3,25,0,15,10,11,34,1,2,2,3,4009,0,4225,0.0036734693877551,0.0018367346938775,0.0055102040816326,0.010204081632653,0.0004081632653061,0.0014285714285714,0.0,0.000204081632653,0.0006122448979591,0.0051020408163265,0.0,0.0030612244897959,0.0020408163265306,0.0022448979591836,0.006938775510204,0.000204081632653,0.0004081632653061,0.0004081632653061,0.0006122448979591,0.8181632653061225,0.0
2012-08-01,2012,8,16,6,23,4,0,99,7,7,0,19,1,9,9,11,10,5,25,3,3,466,0,722,0.0028715003589375,0.0010768126346015,0.0041277817659727,0.0007178750897343,0.0,0.017767408470926,0.0012562814070351,0.0012562814070351,0.0,0.0034099066762383,0.0001794687724335,0.0016152189519023,0.0016152189519023,0.0019741564967695,0.0017946877243359,0.0008973438621679,0.0044867193108399,0.0005384063173007,0.0005384063173007,0.083632447954056,0.0,20,3,33,67,2,9,0,1,1,25,0,15,18,8,46,2,1,1,2,4597,0,4848,0.0035893754486719,0.0005384063173007,0.0059224694903086,0.0120244077530509,0.0003589375448671,0.0016152189519023,0.0,0.0001794687724335,0.0001794687724335,0.0044867193108399,0.0,0.0026920315865039,0.0032304379038047,0.0014357501794687,0.0082555635319454,0.0003589375448671,0.0001794687724335,0.0001794687724335,0.0003589375448671,0.8250179468772434,0.0
2012-09-01,2012,9,14,4,17,2,2,184,41,2,0,18,0,8,4,7,10,1,1,6,0,440,0,761,0.0027960854803275,0.0007988815658078,0.0033952466546834,0.0003994407829039,0.0003994407829039,0.0367485520271619,0.0081885360495306,0.0003994407829039,0.0,0.0035949670461354,0.0,0.0015977631316157,0.0007988815658078,0.0013980427401637,0.0019972039145196,0.0001997203914519,0.0001997203914519,0.0011983223487118,0.0,0.0878769722388655,0.0,31,8,28,36,4,24,0,4,1,29,0,23,15,8,29,3,1,2,1,3996,0,4242,0.0061913321350109,0.0015977631316157,0.005592170960655,0.0071899340922708,0.0007988815658078,0.0047932893948472,0.0,0.0007988815658078,0.0001997203914519,0.005791891352107,0.0,0.0045935690033952,0.0029958058717795,0.0015977631316157,0.005791891352107,0.0005991611743559,0.0001997203914519,0.0003994407829039,0.0001997203914519,0.7980826842420611,0.0
2012-10-01,2012,10,7,3,27,1,1,51,1,4,2,28,2,10,3,11,21,3,7,5,1,564,0,748,0.0012169680111265,0.0005215577190542,0.0046940194714881,0.000173852573018,0.000173852573018,0.0088664812239221,0.000173852573018,0.0006954102920723,0.0003477051460361,0.0048678720445062,0.0003477051460361,0.0017385257301808,0.0005215577190542,0.0019123783031988,0.0036509040333796,0.0005215577190542,0.0012169680111265,0.0008692628650904,0.000173852573018,0.0980528511821974,0.0,26,3,24,38,1,9,0,1,1,45,1,25,15,8,58,2,3,5,0,4737,0,5001,0.00452016689847,0.0005215577190542,0.0041724617524339,0.006606397774687,0.000173852573018,0.0015646731571627,0.0,0.000173852573018,0.000173852573018,0.0078233657858136,0.000173852573018,0.004346314325452,0.0026077885952712,0.0013908205841446,0.0100834492350486,0.0003477051460361,0.0005215577190542,0.0008692628650904,0.0,0.8235396383866481,0.0
