country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Benin,2012-01-01,0,0,2,1,1,1,0,0,0,1,0,0,2,0,3,2,0,1,3,1,112,0,0,0,0,1,1,0,0,0,0,0,132,0,0,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.007575757575757576,0,0,0,0.007575757575757576,0,0,0.015151515151515152,0,0.022727272727272728,0.015151515151515152,0,0.007575757575757576,0.022727272727272728,0.007575757575757576,0,0,0,0,0.007575757575757576,0.007575757575757576,0,0,0,0,0
Benin,2012-02-01,0,0,6,0,1,0,0,2,0,11,0,0,0,1,11,2,0,0,0,1,185,1,4,1,0,3,2,0,0,0,0,0,230,0,0,0.02608695652173913,0,0.004347826086956522,0,0,0.008695652173913044,0,0.04782608695652174,0,0,0,0.004347826086956522,0.04782608695652174,0.008695652173913044,0,0,0,0.004347826086956522,0.004347826086956522,0.017391304347826087,0.004347826086956522,0,0.013043478260869565,0.008695652173913044,0,0,0,0,0
Benin,2012-03-01,0,1,0,0,1,2,0,0,0,10,0,0,1,0,9,0,0,0,0,0,188,1,3,1,0,0,3,0,0,0,1,1,222,0,0.0045045045045045045,0,0,0.0045045045045045045,0.009009009009009009,0,0,0,0.04504504504504504,0,0,0.0045045045045045045,0,0.04054054054054054,0,0,0,0,0,0.0045045045045045045,0.013513513513513514,0.0045045045045045045,0,0,0.013513513513513514,0,0,0,0.0045045045045045045,0.0045045045045045045
Benin,2012-04-01,0,0,2,0,4,0,0,2,0,18,0,0,0,0,4,1,0,0,0,0,192,1,2,0,0,0,2,1,0,0,0,0,229,0,0,0.008733624454148471,0,0.017467248908296942,0,0,0.008733624454148471,0,0.07860262008733625,0,0,0,0,0.017467248908296942,0.004366812227074236,0,0,0,0,0.004366812227074236,0.008733624454148471,0,0,0,0.008733624454148471,0.004366812227074236,0,0,0,0
Benin,2012-05-01,1,0,7,1,4,0,0,4,3,6,0,0,1,1,5,2,1,0,1,3,220,0,1,3,0,4,3,1,0,0,0,6,276,0.0036231884057971015,0,0.025362318840579712,0.0036231884057971015,0.014492753623188406,0,0,0.014492753623188406,0.010869565217391304,0.021739130434782608,0,0,0.0036231884057971015,0.0036231884057971015,0.018115942028985508,0.007246376811594203,0.0036231884057971015,0,0.0036231884057971015,0.010869565217391304,0,0.0036231884057971015,0.010869565217391304,0,0.014492753623188406,0.010869565217391304,0.0036231884057971015,0,0,0,0.021739130434782608
Benin,2012-06-01,1,0,4,3,1,0,0,2,9,4,0,1,0,1,0,0,0,0,0,1,270,0,4,0,0,1,3,0,0,1,1,4,311,0.003215434083601286,0,0.012861736334405145,0.00964630225080386,0.003215434083601286,0,0,0.006430868167202572,0.028938906752411574,0.012861736334405145,0,0.003215434083601286,0,0.003215434083601286,0,0,0,0,0,0.003215434083601286,0,0.012861736334405145,0,0,0.003215434083601286,0.00964630225080386,0,0,0.003215434083601286,0.003215434083601286,0.012861736334405145
Benin,2012-07-01,1,0,6,0,4,0,0,1,0,4,0,0,1,1,5,0,0,3,0,0,285,2,2,1,0,0,1,0,0,0,0,3,320,0.003125,0,0.01875,0,0.0125,0,0,0.003125,0,0.0125,0,0,0.003125,0.003125,0.015625,0,0,0.009375,0,0,0.00625,0.00625,0.003125,0,0,0.003125,0,0,0,0,0.009375
Benin,2012-08-01,0,0,8,1,4,1,0,2,0,3,1,0,1,1,1,0,0,2,1,0,275,0,2,1,0,0,3,0,0,0,0,1,308,0,0,0.025974025974025976,0.003246753246753247,0.012987012987012988,0.003246753246753247,0,0.006493506493506494,0,0.00974025974025974,0.003246753246753247,0,0.003246753246753247,0.003246753246753247,0.003246753246753247,0,0,0.006493506493506494,0.003246753246753247,0,0,0.006493506493506494,0.003246753246753247,0,0,0.00974025974025974,0,0,0,0,0.003246753246753247
Benin,2012-09-01,1,1,5,0,6,0,0,3,1,0,0,0,2,2,5,1,0,0,0,0,226,2,3,0,0,1,2,0,0,0,1,0,262,0.003816793893129771,0.003816793893129771,0.019083969465648856,0,0.022900763358778626,0,0,0.011450381679389313,0.003816793893129771,0,0,0,0.007633587786259542,0.007633587786259542,0.019083969465648856,0.003816793893129771,0,0,0,0,0.007633587786259542,0.011450381679389313,0,0,0.003816793893129771,0.007633587786259542,0,0,0,0.003816793893129771,0
Benin,2012-10-01,5,0,1,0,2,3,1,3,7,2,0,0,2,1,2,0,0,0,0,0,232,6,3,2,2,6,4,1,0,0,2,1,281,0.017793594306049824,0,0.0035587188612099642,0,0.0071174377224199285,0.010676156583629894,0.0035587188612099642,0.010676156583629894,0.02491103202846975,0.0071174377224199285,0,0,0.0071174377224199285,0.0035587188612099642,0.0071174377224199285,0,0,0,0,0,0.021352313167259787,0.010676156583629894,0.0071174377224199285,0.0071174377224199285,0.021352313167259787,0.014234875444839857,0.0035587188612099642,0,0,0.0071174377224199285,0.0035587188612099642
