date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,3,9,18,1,0,2,2,2,0,6,1,3,1,9,2,0,0,1,0,135,3,194,0.0021443888491779,0.0064331665475339,0.0128663330950679,0.0007147962830593,0.0,0.0014295925661186,0.0014295925661186,0.0014295925661186,0.0,0.0042887776983559,0.0007147962830593,0.0021443888491779,0.0007147962830593,0.0064331665475339,0.0014295925661186,0.0,0.0,0.0007147962830593,0.0,0.0964974982130092,0.0021443888491779,20,3,20,17,0,0,0,2,0,3,0,6,7,3,7,0,1,0,0,1118,3,1205,0.0142959256611865,0.0021443888491779,0.0142959256611865,0.0121515368120085,0.0,0.0,0.0,0.0014295925661186,0.0,0.0021443888491779,0.0,0.0042887776983559,0.0050035739814152,0.0021443888491779,0.0050035739814152,0.0,0.0007147962830593,0.0,0.0,0.7991422444603288,0.0021443888491779
2012-02-01,2012,2,1,4,15,2,0,1,1,3,0,2,1,2,6,5,2,2,0,0,0,168,2,212,0.0007178750897343,0.0028715003589375,0.0107681263460157,0.0014357501794687,0.0,0.0007178750897343,0.0007178750897343,0.0021536252692031,0.0,0.0014357501794687,0.0007178750897343,0.0014357501794687,0.0043072505384063,0.0035893754486719,0.0014357501794687,0.0014357501794687,0.0,0.0,0.0,0.1206030150753768,0.0014357501794687,16,3,27,8,0,0,0,4,0,2,0,11,4,3,6,0,0,0,1,1099,2,1181,0.0114860014357501,0.0021536252692031,0.0193826274228284,0.005743000717875,0.0,0.0,0.0,0.0028715003589375,0.0,0.0014357501794687,0.0,0.0078966259870782,0.0028715003589375,0.0021536252692031,0.0043072505384063,0.0,0.0,0.0,0.0007178750897343,0.7889447236180904,0.0014357501794687
2012-03-01,2012,3,6,5,11,3,0,9,1,2,0,8,0,1,4,7,1,2,4,0,0,189,1,253,0.0037383177570093,0.0031152647975077,0.0068535825545171,0.0018691588785046,0.0,0.005607476635514,0.0006230529595015,0.0012461059190031,0.0,0.0049844236760124,0.0,0.0006230529595015,0.0024922118380062,0.0043613707165109,0.0006230529595015,0.0012461059190031,0.0024922118380062,0.0,0.0,0.1177570093457943,0.0006230529595015,16,2,30,15,1,2,0,1,0,6,0,19,10,8,5,3,0,0,1,1236,3,1350,0.0099688473520249,0.0012461059190031,0.0186915887850467,0.0093457943925233,0.0006230529595015,0.0012461059190031,0.0,0.0006230529595015,0.0,0.0037383177570093,0.0,0.0118380062305295,0.0062305295950155,0.0049844236760124,0.0031152647975077,0.0018691588785046,0.0,0.0,0.0006230529595015,0.7700934579439253,0.0018691588785046
2012-04-01,2012,4,4,9,11,5,2,9,1,3,0,10,0,3,9,4,0,1,0,1,0,161,0,232,0.0026791694574681,0.0060281312793034,0.0073677160080375,0.0033489618218352,0.001339584728734,0.0060281312793034,0.000669792364367,0.0020093770931011,0.0,0.0066979236436704,0.0,0.0020093770931011,0.0060281312793034,0.0026791694574681,0.0,0.000669792364367,0.0,0.000669792364367,0.0,0.1078365706630944,0.0,24,4,14,10,0,2,0,5,0,7,5,9,13,2,4,0,0,1,0,1160,0,1260,0.0160750167448091,0.0026791694574681,0.0093770931011386,0.0066979236436704,0.0,0.001339584728734,0.0,0.0033489618218352,0.0,0.0046885465505693,0.0033489618218352,0.0060281312793034,0.0087073007367716,0.001339584728734,0.0026791694574681,0.0,0.0,0.000669792364367,0.0,0.7769591426657736,0.0
2012-05-01,2012,5,5,6,16,3,2,7,1,4,0,9,0,8,4,7,1,0,3,1,1,249,0,326,0.0022371364653243,0.0026845637583892,0.007158836689038,0.0013422818791946,0.0008948545861297,0.0031319910514541,0.0004474272930648,0.0017897091722595,0.0,0.0040268456375838,0.0,0.003579418344519,0.0017897091722595,0.0031319910514541,0.0004474272930648,0.0,0.0013422818791946,0.0004474272930648,0.0004474272930648,0.1114093959731543,0.0,25,2,22,18,0,2,0,0,1,6,0,20,15,2,4,0,0,0,2,1791,0,1908,0.0111856823266219,0.0008948545861297,0.0098434004474272,0.0080536912751677,0.0,0.0008948545861297,0.0,0.0,0.0004474272930648,0.0026845637583892,0.0,0.0089485458612975,0.0067114093959731,0.0008948545861297,0.0017897091722595,0.0,0.0,0.0,0.0008948545861297,0.8013422818791947,0.0
2012-06-01,2012,6,4,5,23,2,2,17,3,4,0,9,0,4,2,8,5,1,2,0,0,242,1,329,0.0018578727357176,0.002322340919647,0.0106827682303762,0.0009289363678588,0.0009289363678588,0.0078959591267998,0.0013934045517882,0.0018578727357176,0.0,0.0041802136553646,0.0,0.0018578727357176,0.0009289363678588,0.0037157454714352,0.002322340919647,0.0004644681839294,0.0009289363678588,0.0,0.0,0.112401300510915,0.0004644681839294,26,5,17,12,0,1,0,2,0,3,0,13,9,0,3,0,0,0,0,1732,0,1823,0.0120761727821644,0.002322340919647,0.0078959591267998,0.0055736182071528,0.0,0.0004644681839294,0.0,0.0009289363678588,0.0,0.0013934045517882,0.0,0.0060380863910822,0.0041802136553646,0.0,0.0013934045517882,0.0,0.0,0.0,0.0,0.8044588945657223,0.0
2012-07-01,2012,7,9,3,14,3,0,2,0,5,0,31,1,3,8,2,6,10,4,3,1,265,1,370,0.0043331728454501,0.0014443909484833,0.0067404910929224,0.0014443909484833,0.0,0.0009629272989889,0.0,0.0024073182474723,0.0,0.0149253731343283,0.0004814636494944,0.0014443909484833,0.0038517091959557,0.0009629272989889,0.0028887818969667,0.0048146364949446,0.0019258545979778,0.0014443909484833,0.0004814636494944,0.1275878671160327,0.0004814636494944,15,5,23,23,0,0,0,3,0,5,1,7,5,1,4,0,0,0,2,1613,1,1706,0.0072219547424169,0.0024073182474723,0.0110736639383726,0.0110736639383726,0.0,0.0,0.0,0.0014443909484833,0.0,0.0024073182474723,0.0004814636494944,0.0033702455464612,0.0024073182474723,0.0004814636494944,0.0019258545979778,0.0,0.0,0.0,0.0009629272989889,0.7766008666345691,0.0004814636494944
2012-08-01,2012,8,5,2,21,5,1,4,1,4,0,9,0,5,7,10,1,1,2,0,0,228,1,299,0.0027948574622694,0.0011179429849077,0.0117384013415315,0.0027948574622694,0.0005589714924538,0.0022358859698155,0.0005589714924538,0.0022358859698155,0.0,0.0050307434320849,0.0,0.0027948574622694,0.0039128004471771,0.0055897149245388,0.0005589714924538,0.0005589714924538,0.0011179429849077,0.0,0.0,0.1274455002794857,0.0005589714924538,20,4,27,17,0,1,0,3,0,2,0,14,14,1,5,1,0,0,3,1378,2,1489,0.0111794298490776,0.0022358859698155,0.0150922302962548,0.009502515371716,0.0,0.0005589714924538,0.0,0.0016769144773616,0.0,0.0011179429849077,0.0,0.0078256008943543,0.0078256008943543,0.0005589714924538,0.0027948574622694,0.0005589714924538,0.0,0.0,0.0016769144773616,0.7702627166014533,0.0011179429849077
2012-09-01,2012,9,6,5,21,4,1,4,1,4,0,7,0,3,7,10,2,0,5,0,0,205,1,277,0.0034985422740524,0.0029154518950437,0.0122448979591836,0.0023323615160349,0.0005830903790087,0.0023323615160349,0.0005830903790087,0.0023323615160349,0.0,0.0040816326530612,0.0,0.0017492711370262,0.0040816326530612,0.0058309037900874,0.0011661807580174,0.0,0.0029154518950437,0.0,0.0,0.119533527696793,0.0005830903790087,34,3,35,17,0,1,0,0,1,6,3,7,12,9,10,0,1,0,2,1301,0,1436,0.0198250728862973,0.0017492711370262,0.0204081632653061,0.0099125364431486,0.0,0.0005830903790087,0.0,0.0,0.0005830903790087,0.0034985422740524,0.0017492711370262,0.0040816326530612,0.0069970845481049,0.0052478134110787,0.0058309037900874,0.0,0.0005830903790087,0.0,0.0011661807580174,0.758600583090379,0.0
2012-10-01,2012,10,5,6,18,6,2,11,1,5,0,4,0,2,6,1,1,0,2,0,0,252,0,321,0.0029205607476635,0.0035046728971962,0.0105140186915887,0.0035046728971962,0.0011682242990654,0.0064252336448598,0.0005841121495327,0.0029205607476635,0.0,0.0023364485981308,0.0,0.0011682242990654,0.0035046728971962,0.0005841121495327,0.0005841121495327,0.0,0.0011682242990654,0.0,0.0,0.1471962616822429,0.0,20,1,22,12,1,0,1,1,0,2,2,8,12,5,5,0,3,1,0,1297,0,1389,0.0116822429906542,0.0005841121495327,0.0128504672897196,0.0070093457943925,0.0005841121495327,0.0,0.0005841121495327,0.0005841121495327,0.0,0.0011682242990654,0.0011682242990654,0.0046728971962616,0.0070093457943925,0.0029205607476635,0.0029205607476635,0.0,0.0017523364485981,0.0005841121495327,0.0,0.7575934579439252,0.0
2012-11-01,2012,11,5,6,17,5,2,5,1,5,0,31,1,5,5,11,3,0,3,0,0,298,2,396,0.0027533039647577,0.0033039647577092,0.0093612334801762,0.0027533039647577,0.001101321585903,0.0027533039647577,0.0005506607929515,0.0027533039647577,0.0,0.0170704845814977,0.0005506607929515,0.0027533039647577,0.0027533039647577,0.0060572687224669,0.0016519823788546,0.0,0.0016519823788546,0.0,0.0,0.1640969162995594,0.001101321585903,16,0,24,17,0,0,0,1,0,10,0,12,7,3,6,1,0,0,1,1323,1,1419,0.0088105726872246,0.0,0.013215859030837,0.0093612334801762,0.0,0.0,0.0,0.0005506607929515,0.0,0.0055066079295154,0.0,0.0066079295154185,0.0038546255506607,0.0016519823788546,0.0033039647577092,0.0005506607929515,0.0,0.0,0.0005506607929515,0.7285242290748899,0.0005506607929515
2012-12-01,2012,12,2,4,26,5,0,6,0,7,0,5,0,6,7,10,8,2,0,3,2,242,0,329,0.0010666666666666,0.0021333333333333,0.0138666666666666,0.0026666666666666,0.0,0.0032,0.0,0.0037333333333333,0.0,0.0026666666666666,0.0,0.0032,0.0037333333333333,0.0053333333333333,0.0042666666666666,0.0010666666666666,0.0,0.0016,0.0010666666666666,0.1290666666666666,0.0,17,6,23,12,0,0,0,1,0,5,0,20,12,5,3,0,2,0,1,1443,0,1545,0.0090666666666666,0.0032,0.0122666666666666,0.0064,0.0,0.0,0.0,0.0005333333333333,0.0,0.0026666666666666,0.0,0.0106666666666666,0.0064,0.0026666666666666,0.0016,0.0,0.0010666666666666,0.0,0.0005333333333333,0.7696,0.0
2013-01-01,2013,1,5,6,25,5,0,4,0,4,0,7,0,6,10,9,1,1,2,2,0,240,4,324,0.0025733401955738,0.0030880082346886,0.0128667009778692,0.0025733401955738,0.0,0.002058672156459,0.0,0.002058672156459,0.0,0.0036026762738033,0.0,0.0030880082346886,0.0051466803911477,0.0046320123520329,0.0005146680391147,0.0005146680391147,0.0010293360782295,0.0010293360782295,0.0,0.123520329387545,0.002058672156459,38,5,26,25,0,0,0,1,0,6,0,13,16,6,6,1,0,1,3,1474,0,1617,0.0195573854863613,0.0025733401955738,0.013381369016984,0.0128667009778692,0.0,0.0,0.0,0.0005146680391147,0.0,0.0030880082346886,0.0,0.006690684508492,0.0082346886258363,0.0030880082346886,0.0030880082346886,0.0005146680391147,0.0,0.0005146680391147,0.0015440041173443,0.7586206896551724,0.0
2013-02-01,2013,2,2,5,15,4,1,6,1,2,0,3,0,11,4,9,3,1,0,1,0,193,1,256,0.0011848341232227,0.0029620853080568,0.0088862559241706,0.0023696682464454,0.0005924170616113,0.0035545023696682,0.0005924170616113,0.0011848341232227,0.0,0.0017772511848341,0.0,0.0065165876777251,0.0023696682464454,0.0053317535545023,0.0017772511848341,0.0005924170616113,0.0,0.0005924170616113,0.0,0.1143364928909952,0.0005924170616113,20,3,33,20,1,0,0,0,0,10,0,5,7,8,12,2,1,1,1,1312,0,1430,0.0118483412322274,0.0017772511848341,0.0195497630331753,0.0118483412322274,0.0005924170616113,0.0,0.0,0.0,0.0,0.0059241706161137,0.0,0.0029620853080568,0.0041469194312796,0.0047393364928909,0.0071090047393364,0.0011848341232227,0.0005924170616113,0.0005924170616113,0.0005924170616113,0.7772511848341233,0.0
2013-03-01,2013,3,4,1,12,3,0,1,3,5,0,4,0,3,3,4,0,0,3,2,0,201,1,249,0.0024706609017912,0.0006176652254478,0.0074119827053736,0.0018529956763434,0.0,0.0006176652254478,0.0018529956763434,0.003088326127239,0.0,0.0024706609017912,0.0,0.0018529956763434,0.0018529956763434,0.0024706609017912,0.0,0.0,0.0018529956763434,0.0012353304508956,0.0,0.1241507103150092,0.0006176652254478,21,2,32,17,0,1,0,3,1,10,0,20,6,7,1,1,2,0,3,1246,1,1367,0.0129709697344039,0.0012353304508956,0.0197652872143298,0.0105003088326127,0.0,0.0006176652254478,0.0,0.0018529956763434,0.0006176652254478,0.006176652254478,0.0,0.0123533045089561,0.0037059913526868,0.0043236565781346,0.0006176652254478,0.0006176652254478,0.0012353304508956,0.0,0.0018529956763434,0.7696108709079679,0.0006176652254478
2013-04-01,2013,4,3,6,16,5,1,6,0,3,0,4,0,3,11,7,2,1,3,2,0,169,1,238,0.0020833333333333,0.0041666666666666,0.0111111111111111,0.0034722222222222,0.0006944444444444,0.0041666666666666,0.0,0.0020833333333333,0.0,0.0027777777777777,0.0,0.0020833333333333,0.0076388888888888,0.0048611111111111,0.0013888888888888,0.0006944444444444,0.0020833333333333,0.0013888888888888,0.0,0.1173611111111111,0.0006944444444444,17,4,23,25,0,0,0,1,0,4,0,10,6,6,4,0,1,0,1,1104,0,1201,0.0118055555555555,0.0027777777777777,0.0159722222222222,0.0173611111111111,0.0,0.0,0.0,0.0006944444444444,0.0,0.0027777777777777,0.0,0.0069444444444444,0.0041666666666666,0.0041666666666666,0.0027777777777777,0.0,0.0006944444444444,0.0,0.0006944444444444,0.7666666666666667,0.0
2013-05-01,2013,5,3,8,8,12,0,20,1,6,0,9,1,10,5,6,6,1,0,2,1,295,0,390,0.0012787723785166,0.0034100596760443,0.0034100596760443,0.0051150895140664,0.0,0.0085251491901108,0.0004262574595055,0.0025575447570332,0.0,0.0038363171355498,0.0004262574595055,0.0042625745950554,0.0021312872975277,0.0025575447570332,0.0025575447570332,0.0004262574595055,0.0,0.000852514919011,0.0004262574595055,0.1257459505541347,0.0,27,5,37,24,0,3,0,2,0,4,2,17,10,10,6,1,0,1,2,1811,0,1954,0.0115089514066496,0.0021312872975277,0.015771526001705,0.0102301790281329,0.0,0.0012787723785166,0.0,0.000852514919011,0.0,0.0017050298380221,0.000852514919011,0.0072463768115942,0.0042625745950554,0.0042625745950554,0.0025575447570332,0.0004262574595055,0.0,0.0004262574595055,0.000852514919011,0.7719522591645354,0.0
2013-06-01,2013,6,6,14,23,7,6,24,5,5,0,5,1,6,3,12,15,2,4,2,1,299,3,435,0.0029126213592233,0.0067961165048543,0.0111650485436893,0.0033980582524271,0.0029126213592233,0.0116504854368932,0.0024271844660194,0.0024271844660194,0.0,0.0024271844660194,0.0004854368932038,0.0029126213592233,0.0014563106796116,0.0058252427184466,0.0072815533980582,0.0009708737864077,0.0019417475728155,0.0009708737864077,0.0004854368932038,0.1451456310679611,0.0014563106796116,22,3,29,11,1,0,0,1,0,7,2,13,5,5,2,1,1,0,1,1524,2,1624,0.0106796116504854,0.0014563106796116,0.0140776699029126,0.0053398058252427,0.0004854368932038,0.0,0.0,0.0004854368932038,0.0,0.0033980582524271,0.0009708737864077,0.0063106796116504,0.0024271844660194,0.0024271844660194,0.0009708737864077,0.0004854368932038,0.0004854368932038,0.0,0.0004854368932038,0.7398058252427184,0.0009708737864077
2013-07-01,2013,7,7,7,24,3,0,85,24,4,1,6,1,8,4,15,3,1,1,0,0,315,2,503,0.0034431874077717,0.0034431874077717,0.0118052139695031,0.0014756517461878,0.0,0.0418101328086571,0.0118052139695031,0.0019675356615838,0.0004918839153959,0.0029513034923757,0.0004918839153959,0.0039350713231677,0.0019675356615838,0.0073782587309394,0.0014756517461878,0.0004918839153959,0.0004918839153959,0.0,0.0,0.1549434333497294,0.0009837678307919,21,0,25,14,0,6,0,1,0,4,0,10,7,8,2,0,0,0,1,1431,0,1526,0.0103295622233152,0.0,0.0122970978848991,0.0068863748155435,0.0,0.0029513034923757,0.0,0.0004918839153959,0.0,0.0019675356615838,0.0,0.0049188391539596,0.0034431874077717,0.0039350713231677,0.0009837678307919,0.0,0.0,0.0,0.0004918839153959,0.7038858829316281,0.0
2013-08-01,2013,8,4,14,16,9,1,22,6,3,0,8,0,3,3,8,3,3,0,5,0,221,0,324,0.0024213075060532,0.0084745762711864,0.009685230024213,0.0054479418886198,0.0006053268765133,0.0133171912832929,0.0036319612590799,0.0018159806295399,0.0,0.0048426150121065,0.0,0.0018159806295399,0.0018159806295399,0.0048426150121065,0.0018159806295399,0.0018159806295399,0.0,0.0030266343825665,0.0,0.1337772397094431,0.0,27,4,24,19,0,2,0,0,0,3,0,11,11,2,1,2,0,1,0,1220,1,1325,0.0163438256658595,0.0024213075060532,0.0145278450363196,0.011501210653753,0.0,0.0012106537530266,0.0,0.0,0.0,0.0018159806295399,0.0,0.0066585956416464,0.0066585956416464,0.0012106537530266,0.0006053268765133,0.0012106537530266,0.0,0.0006053268765133,0.0,0.738498789346247,0.0006053268765133
2013-09-01,2013,9,4,30,14,7,0,15,12,6,2,12,4,9,5,11,5,0,3,4,0,239,2,375,0.0023682652457075,0.0177619893428063,0.0082889283599763,0.0041444641799881,0.0,0.0088809946714031,0.0071047957371225,0.0035523978685612,0.0011841326228537,0.0071047957371225,0.0023682652457075,0.0053285968028419,0.0029603315571343,0.0065127294256956,0.0029603315571343,0.0,0.0017761989342806,0.0023682652457075,0.0,0.1415038484310243,0.0011841326228537,32,7,29,18,1,2,1,3,1,4,0,11,8,6,4,0,0,0,1,1187,2,1310,0.0189461219656601,0.0041444641799881,0.0171699230313795,0.0106571936056838,0.0005920663114268,0.0011841326228537,0.0005920663114268,0.0017761989342806,0.0005920663114268,0.0023682652457075,0.0,0.0065127294256956,0.004736530491415,0.0035523978685612,0.0023682652457075,0.0,0.0,0.0,0.0005920663114268,0.7027827116637063,0.0011841326228537
2013-10-01,2013,10,4,12,14,13,0,12,2,7,0,7,0,5,3,7,3,1,0,0,1,224,1,312,0.0024434941967012,0.0073304825901038,0.0085522296884544,0.0079413561392791,0.0,0.0073304825901038,0.0012217470983506,0.0042761148442272,0.0,0.0042761148442272,0.0,0.0030543677458766,0.0018326206475259,0.0042761148442272,0.0018326206475259,0.0006108735491753,0.0,0.0,0.0006108735491753,0.1368356750152718,0.0006108735491753,27,2,27,26,0,1,0,1,0,2,0,14,14,5,3,0,1,0,3,1201,0,1323,0.0164935858277336,0.0012217470983506,0.0164935858277336,0.0158827122785583,0.0,0.0006108735491753,0.0,0.0006108735491753,0.0,0.0012217470983506,0.0,0.0085522296884544,0.0085522296884544,0.0030543677458766,0.0018326206475259,0.0,0.0006108735491753,0.0,0.0018326206475259,0.7336591325595602,0.0
