date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,0,3,0,3,0,13,3,0,0,1,0,4,2,4,2,5,1,0,0,77,0,118,0.0,0.0090361445783132,0.0,0.0090361445783132,0.0,0.0391566265060241,0.0090361445783132,0.0,0.0,0.003012048192771,0.0,0.0120481927710843,0.0060240963855421,0.0120481927710843,0.0060240963855421,0.0150602409638554,0.003012048192771,0.0,0.0,0.2319277108433735,0.0,1,2,3,0,0,1,0,0,0,0,0,1,2,0,5,0,0,0,0,199,0,214,0.003012048192771,0.0060240963855421,0.0090361445783132,0.0,0.0,0.003012048192771,0.0,0.0,0.0,0.0,0.0,0.003012048192771,0.0060240963855421,0.0,0.0150602409638554,0.0,0.0,0.0,0.0,0.5993975903614458,0.0
2012-02-01,2012,2,2,3,1,0,0,15,1,0,0,0,0,2,3,2,3,0,1,0,1,68,0,102,0.0056022408963585,0.0084033613445378,0.0028011204481792,0.0,0.0,0.042016806722689,0.0028011204481792,0.0,0.0,0.0,0.0,0.0056022408963585,0.0084033613445378,0.0056022408963585,0.0084033613445378,0.0,0.0028011204481792,0.0,0.0028011204481792,0.1904761904761904,0.0,0,1,5,2,1,1,0,0,0,0,0,1,2,0,1,0,1,0,0,240,0,255,0.0,0.0028011204481792,0.0140056022408963,0.0056022408963585,0.0028011204481792,0.0028011204481792,0.0,0.0,0.0,0.0,0.0,0.0028011204481792,0.0056022408963585,0.0,0.0028011204481792,0.0,0.0028011204481792,0.0,0.0,0.6722689075630253,0.0
2012-03-01,2012,3,4,3,4,0,0,10,1,0,1,0,3,3,3,5,1,2,0,0,0,119,1,159,0.008130081300813,0.0060975609756097,0.008130081300813,0.0,0.0,0.0203252032520325,0.0020325203252032,0.0,0.0020325203252032,0.0,0.0060975609756097,0.0060975609756097,0.0060975609756097,0.0101626016260162,0.0020325203252032,0.0040650406504065,0.0,0.0,0.0,0.241869918699187,0.0020325203252032,1,0,3,2,0,2,0,0,0,3,0,0,4,4,2,1,0,1,0,310,0,333,0.0020325203252032,0.0,0.0060975609756097,0.0040650406504065,0.0,0.0040650406504065,0.0,0.0,0.0,0.0060975609756097,0.0,0.0,0.008130081300813,0.008130081300813,0.0040650406504065,0.0020325203252032,0.0,0.0020325203252032,0.0,0.6300813008130082,0.0
2012-04-01,2012,4,3,5,4,2,0,13,4,0,0,0,0,1,5,6,11,1,0,0,0,99,0,151,0.0075949367088607,0.0126582278481012,0.010126582278481,0.0050632911392405,0.0,0.0329113924050632,0.010126582278481,0.0,0.0,0.0,0.0,0.0025316455696202,0.0126582278481012,0.0151898734177215,0.0278481012658227,0.0025316455696202,0.0,0.0,0.0,0.250632911392405,0.0,1,1,0,1,1,0,0,0,0,2,0,1,1,2,0,1,0,0,0,234,0,244,0.0025316455696202,0.0025316455696202,0.0,0.0025316455696202,0.0025316455696202,0.0,0.0,0.0,0.0,0.0050632911392405,0.0,0.0025316455696202,0.0025316455696202,0.0050632911392405,0.0,0.0025316455696202,0.0,0.0,0.0,0.5924050632911393,0.0
2012-05-01,2012,5,0,3,5,0,0,7,2,3,1,2,1,2,1,1,0,0,0,2,0,117,1,147,0.0,0.0076923076923076,0.0128205128205128,0.0,0.0,0.0179487179487179,0.0051282051282051,0.0076923076923076,0.0025641025641025,0.0051282051282051,0.0025641025641025,0.0051282051282051,0.0025641025641025,0.0025641025641025,0.0,0.0,0.0,0.0051282051282051,0.0,0.3,0.0025641025641025,4,1,6,1,0,0,0,1,0,2,0,0,0,1,2,0,1,0,0,224,0,243,0.0102564102564102,0.0025641025641025,0.0153846153846153,0.0025641025641025,0.0,0.0,0.0,0.0025641025641025,0.0,0.0051282051282051,0.0,0.0,0.0,0.0025641025641025,0.0051282051282051,0.0,0.0025641025641025,0.0,0.0,0.5743589743589743,0.0
2012-06-01,2012,6,2,2,10,0,4,6,0,0,0,0,0,2,5,8,2,3,0,0,0,119,0,161,0.0047169811320754,0.0047169811320754,0.0235849056603773,0.0,0.0094339622641509,0.0141509433962264,0.0,0.0,0.0,0.0,0.0,0.0047169811320754,0.0117924528301886,0.0188679245283018,0.0047169811320754,0.0070754716981132,0.0,0.0,0.0,0.2806603773584906,0.0,2,0,10,4,1,1,0,0,2,2,0,1,1,3,3,0,2,1,1,229,0,262,0.0047169811320754,0.0,0.0235849056603773,0.0094339622641509,0.0023584905660377,0.0023584905660377,0.0,0.0,0.0047169811320754,0.0047169811320754,0.0,0.0023584905660377,0.0023584905660377,0.0070754716981132,0.0070754716981132,0.0,0.0047169811320754,0.0023584905660377,0.0023584905660377,0.5400943396226415,0.0
2012-07-01,2012,7,2,1,11,2,0,1,0,1,0,1,0,2,4,4,0,0,2,2,0,102,0,131,0.0051150895140664,0.0025575447570332,0.0281329923273657,0.0051150895140664,0.0,0.0025575447570332,0.0,0.0025575447570332,0.0,0.0025575447570332,0.0,0.0051150895140664,0.0102301790281329,0.0102301790281329,0.0,0.0,0.0051150895140664,0.0051150895140664,0.0,0.2608695652173913,0.0,2,1,7,4,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,239,1,260,0.0051150895140664,0.0025575447570332,0.0179028132992327,0.0102301790281329,0.0025575447570332,0.0,0.0,0.0,0.0,0.0025575447570332,0.0,0.0025575447570332,0.0076726342710997,0.0025575447570332,0.0,0.0,0.0,0.0,0.0,0.6112531969309463,0.0025575447570332
2012-08-01,2012,8,5,2,10,3,4,1,0,2,0,2,2,3,3,5,4,2,0,0,0,105,0,149,0.0120192307692307,0.0048076923076923,0.0240384615384615,0.0072115384615384,0.0096153846153846,0.0024038461538461,0.0,0.0048076923076923,0.0,0.0048076923076923,0.0048076923076923,0.0072115384615384,0.0072115384615384,0.0120192307692307,0.0096153846153846,0.0048076923076923,0.0,0.0,0.0,0.2524038461538461,0.0,3,0,7,1,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,251,0,267,0.0072115384615384,0.0,0.016826923076923,0.0024038461538461,0.0,0.0,0.0,0.0024038461538461,0.0,0.0,0.0024038461538461,0.0024038461538461,0.0024038461538461,0.0048076923076923,0.0,0.0,0.0,0.0,0.0,0.6033653846153846,0.0
2012-09-01,2012,9,0,0,15,8,2,10,0,1,0,4,0,4,1,3,0,1,0,1,0,113,0,160,0.0,0.0,0.0417827298050139,0.022284122562674,0.0055710306406685,0.0278551532033426,0.0,0.0027855153203342,0.0,0.011142061281337,0.0,0.011142061281337,0.0027855153203342,0.0083565459610027,0.0,0.0027855153203342,0.0,0.0027855153203342,0.0,0.3147632311977716,0.0,2,0,7,5,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,181,0,199,0.0055710306406685,0.0,0.0194986072423398,0.0139275766016713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027855153203342,0.0,0.0027855153203342,0.0055710306406685,0.0,0.0,0.0,0.0,0.5041782729805014,0.0
2012-10-01,2012,10,1,1,5,1,0,15,1,1,0,2,0,7,5,5,0,0,0,0,0,168,0,211,0.002004008016032,0.002004008016032,0.0100200400801603,0.002004008016032,0.0,0.0300601202404809,0.002004008016032,0.002004008016032,0.0,0.0040080160320641,0.0,0.0140280561122244,0.0100200400801603,0.0100200400801603,0.0,0.0,0.0,0.0,0.0,0.3366733466933868,0.0,3,1,8,4,1,0,0,0,0,4,0,0,1,1,0,1,0,0,0,264,2,288,0.0060120240480961,0.002004008016032,0.0160320641282565,0.0080160320641282,0.002004008016032,0.0,0.0,0.0,0.0,0.0080160320641282,0.0,0.0,0.002004008016032,0.002004008016032,0.0,0.002004008016032,0.0,0.0,0.0,0.5290581162324649,0.0040080160320641
2012-11-01,2012,11,4,6,8,0,0,7,0,0,0,3,1,1,2,10,8,1,3,2,0,156,0,210,0.0082644628099173,0.012396694214876,0.0165289256198347,0.0,0.0,0.0144628099173553,0.0,0.0,0.0,0.006198347107438,0.0020661157024793,0.0020661157024793,0.0041322314049586,0.0206611570247933,0.0165289256198347,0.0020661157024793,0.006198347107438,0.0041322314049586,0.0,0.3223140495867768,0.0,2,0,4,3,0,0,0,2,0,2,0,3,3,2,0,0,0,0,0,254,0,273,0.0041322314049586,0.0,0.0082644628099173,0.006198347107438,0.0,0.0,0.0,0.0041322314049586,0.0,0.0041322314049586,0.0,0.006198347107438,0.006198347107438,0.0041322314049586,0.0,0.0,0.0,0.0,0.0,0.5247933884297521,0.0
