date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,19,5,171,15,1,43,2,2,3,34,0,36,43,51,18,7,15,4,1,724,2,1159,0.0050464807436918,0.0013280212483399,0.045418326693227,0.0039840637450199,0.0002656042496679,0.0114209827357237,0.0005312084993359,0.0005312084993359,0.0007968127490039,0.0090305444887118,0.0,0.0095617529880478,0.0114209827357237,0.0135458167330677,0.0047808764940239,0.0018592297476759,0.0039840637450199,0.0010624169986719,0.0002656042496679,0.1922974767596281,0.0005312084993359,66,2,61,49,0,2,1,1,2,12,0,47,45,17,40,4,5,3,4,2252,0,2603,0.0175298804780876,0.0005312084993359,0.0162018592297476,0.0130146082337317,0.0,0.0005312084993359,0.0002656042496679,0.0002656042496679,0.0005312084993359,0.0031872509960159,0.0,0.0124833997343957,0.0119521912350597,0.0045152722443559,0.0106241699867197,0.0010624169986719,0.0013280212483399,0.0007968127490039,0.0010624169986719,0.598140770252324,0.0
2012-02-01,2012,2,66,45,290,28,4,91,10,10,2,64,5,83,62,92,51,16,28,6,2,1904,1,2808,0.006629168340699,0.004519887505022,0.0291281639212535,0.0028123744475693,0.0004017677782241,0.0091402169546002,0.0010044194455604,0.0010044194455604,0.000200883889112,0.0064282844515869,0.0005022097227802,0.0083366813981518,0.0062274005624748,0.0092406588991562,0.0051225391723583,0.0016070711128967,0.0028123744475693,0.0006026516673362,0.000200883889112,0.1912414624347127,0.000100441944556,118,16,131,72,0,8,1,5,3,55,1,68,47,64,62,12,12,4,5,6500,0,7143,0.0118521494576135,0.0016070711128967,0.0131578947368421,0.0072318200080353,0.0,0.0008035355564483,0.000100441944556,0.0005022097227802,0.0003013258336681,0.0055243069505825,0.000100441944556,0.0068300522298111,0.0047207713941341,0.0064282844515869,0.0062274005624748,0.0012053033346725,0.0012053033346725,0.0004017677782241,0.0005022097227802,0.652872639614303,0.0
2012-03-01,2012,3,58,65,246,32,1,86,4,11,0,60,0,90,101,90,65,23,51,23,4,1967,9,2914,0.0056016998261541,0.006277767046552,0.0237589337454124,0.0030905930075333,9.658103148541626e-05,0.0083059687077457,0.0003863241259416,0.0010623913463395,0.0,0.0057948618891249,0.0,0.0086922928336874,0.009754684180027,0.0086922928336874,0.006277767046552,0.0022213637241645,0.0049256326057562,0.0022213637241645,0.0003863241259416,0.1899748889318138,0.0008692292833687,112,25,111,90,1,8,0,0,5,40,0,62,45,27,71,11,19,6,2,6824,1,7443,0.0108170755263666,0.0024145257871354,0.0107204944948812,0.0086922928336874,9.658103148541626e-05,0.0007726482518833,0.0,0.0,0.000482905157427,0.0038632412594166,0.0,0.0059880239520958,0.0043461464168437,0.0026076878501062,0.0068572532354645,0.0010623913463395,0.0018350395982229,0.0005794861889124,0.0001931620629708,0.6590689588564805,9.658103148541626e-05
2012-04-01,2012,4,42,39,269,75,0,55,3,6,3,60,4,72,83,100,59,14,63,9,4,1883,1,2795,0.004083219910558,0.0037915613455181,0.0261520513319074,0.0072914641259965,0.0,0.0053470736923974,0.0002916585650398,0.0005833171300797,0.0002916585650398,0.0058331713007972,0.0003888780867198,0.0069998055609566,0.0080692202994361,0.0097219521679953,0.0057359517791172,0.0013610733035193,0.006124829865837,0.0008749756951195,0.0003888780867198,0.1830643593233521,9.721952167995334e-05,62,27,112,134,0,7,0,4,1,37,1,59,63,58,79,4,21,6,8,6811,0,7473,0.0060276103441571,0.0026249270853587,0.0108885864281547,0.0130274159051137,0.0,0.0006805366517596,0.0,0.0003888780867198,9.721952167995334e-05,0.0035971223021582,9.721952167995334e-05,0.0057359517791172,0.006124829865837,0.0056387322574372,0.0076803422127163,0.0003888780867198,0.002041609955279,0.0005833171300797,0.0007777561734396,0.6621621621621622,0.0
2012-05-01,2012,5,74,40,370,32,0,92,8,3,3,41,6,129,82,110,74,14,41,11,0,2152,5,3219,0.0067740754302453,0.0036616623947272,0.0338703771512266,0.0029293299157817,0.0,0.0084218235078725,0.0007323324789454,0.0002746246796045,0.0002746246796045,0.0037532039545953,0.000549249359209,0.0118088612229952,0.0075064079091907,0.0100695715854998,0.0067740754302453,0.0012815818381545,0.0037532039545953,0.0010069571585499,0.0,0.1969974368363237,0.0004577077993409,89,18,118,85,0,8,1,4,1,37,1,76,54,40,102,8,8,9,5,7052,0,7698,0.008147198828268,0.0016477480776272,0.0108019040644452,0.0077810325887953,0.0,0.0007323324789454,9.154155986818016e-05,0.0003661662394727,9.154155986818016e-05,0.0033870377151226,9.154155986818016e-05,0.0069571585499816,0.0049432442328817,0.0036616623947272,0.0093372391065543,0.0007323324789454,0.0007323324789454,0.0008238740388136,0.0004577077993409,0.6455510801904064,0.0
2012-06-01,2012,6,65,27,259,46,1,80,14,7,2,47,6,76,54,70,150,17,61,15,2,1721,1,2677,0.0080009847365829,0.0033234859675036,0.0318808468734613,0.0056622353520433,0.0001230920728705,0.0098473658296405,0.001723289020187,0.0008616445100935,0.000246184145741,0.0057853274249138,0.000738552437223,0.0093549975381585,0.0066469719350073,0.0086164451009355,0.018463810930576,0.0020925652387986,0.0075086164451009,0.0018463810930576,0.000246184145741,0.2118414574101428,0.0001230920728705,68,9,103,74,0,10,3,6,2,33,0,56,74,30,73,7,6,6,4,4904,1,5451,0.0083702609551944,0.0011078286558345,0.0126784835056622,0.0091088133924175,0.0,0.001230920728705,0.0003692762186115,0.000738552437223,0.000246184145741,0.0040620384047267,0.0,0.0068931560807483,0.0091088133924175,0.0036927621861152,0.008985721319547,0.0008616445100935,0.000738552437223,0.000738552437223,0.000492368291482,0.603643525356967,0.0001230920728705
2012-07-01,2012,7,53,32,291,52,1,102,27,8,3,53,7,109,62,94,70,20,46,14,4,1634,9,2632,0.0060268364794177,0.0036388446668182,0.0330907436888787,0.0059131225835797,0.000113713895838,0.0115988173754832,0.0030702751876279,0.0009097111667045,0.0003411416875142,0.0060268364794177,0.0007959972708664,0.0123948146463497,0.0070502615419604,0.0106891062087787,0.007959972708665,0.0022742779167614,0.0052308392085512,0.0015919945417329,0.0004548555833522,0.1858085057994087,0.0010234250625426,105,23,125,77,1,6,1,2,1,31,0,74,73,29,58,7,10,5,7,5537,1,6155,0.0119399590629974,0.0026154196042756,0.0142142369797589,0.0087559699795314,0.000113713895838,0.0006822833750284,0.000113713895838,0.0002274277916761,0.000113713895838,0.0035251307709802,0.0,0.0084148282920172,0.0083011143961792,0.003297702979304,0.0065954059586081,0.0007959972708664,0.0011371389583807,0.0005685694791903,0.0007959972708664,0.6296338412554014,0.000113713895838
2012-08-01,2012,8,52,69,287,37,3,68,4,5,0,136,3,79,78,67,40,16,66,4,4,1662,10,2634,0.0059578368469294,0.0079055912007332,0.0328826764436296,0.0042392300641613,0.0003437213565536,0.0077910174152153,0.0004582951420714,0.0005728689275893,0.0,0.0155820348304307,0.0003437213565536,0.009051329055912,0.0089367552703941,0.0076764436296975,0.0045829514207149,0.0018331805682859,0.0075618698441796,0.0004582951420714,0.0004582951420714,0.1904216315307057,0.0011457378551787,82,23,105,68,0,1,0,2,3,32,0,78,73,20,70,8,8,5,11,5515,0,6091,0.0093950504124656,0.002635197066911,0.0120302474793767,0.0077910174152153,0.0,0.0001145737855178,0.0,0.0002291475710357,0.0003437213565536,0.0036663611365719,0.0,0.0089367552703941,0.0083638863428047,0.0022914757103574,0.0080201649862511,0.0009165902841429,0.0009165902841429,0.0005728689275893,0.0012603116406966,0.6318744271310724,0.0
2012-09-01,2012,9,80,49,267,40,0,82,8,4,1,154,2,59,72,82,48,8,31,11,2,1787,1,2731,0.0084281500210703,0.0051622418879056,0.0281289506953223,0.0042140750105351,0.0,0.0086388537715971,0.000842815002107,0.0004214075010535,0.0001053518752633,0.0162241887905604,0.0002107037505267,0.0062157606405394,0.0075853350189633,0.0086388537715971,0.0050568900126422,0.000842815002107,0.0032659081331647,0.0011588706278971,0.0002107037505267,0.1882638010956595,0.0001053518752633,91,11,126,79,1,5,0,6,5,54,2,69,79,27,76,6,6,1,6,6125,0,6755,0.0095870206489675,0.0011588706278971,0.0132743362831858,0.0083227981458069,0.0001053518752633,0.0005267593763168,0.0,0.0006321112515802,0.0005267593763168,0.0056890012642225,0.0002107037505267,0.0072692793931731,0.0083227981458069,0.0028445006321112,0.0080067425200168,0.0006321112515802,0.0006321112515802,0.0001053518752633,0.0006321112515802,0.6452802359882006,0.0
2012-10-01,2012,10,78,64,264,49,2,104,5,12,4,138,4,66,72,90,93,13,51,6,2,1947,4,2997,0.0082635872444114,0.0067803792774658,0.0279690645195465,0.0051912278843097,0.0002118868524208,0.0110181163258819,0.000529717131052,0.0012713211145248,0.0004237737048416,0.0146201928170357,0.0004237737048416,0.0069922661298866,0.007627926687149,0.0095349083589363,0.0098527386375675,0.0013772645407352,0.0054031147367305,0.0006356605572624,0.0002118868524208,0.2062718508316559,0.0004237737048416,84,29,131,94,0,4,0,3,2,41,4,52,39,43,101,10,5,8,7,5813,3,6439,0.0088992478016739,0.0030723593601017,0.0138785888335628,0.0099586820637779,0.0,0.0004237737048416,0.0,0.0003178302786312,0.0002118868524208,0.0043436804746265,0.0004237737048416,0.0055090581629409,0.0041317936222057,0.0045555673270473,0.0107002860472507,0.001059434262104,0.000529717131052,0.0008475474096832,0.0007416039834728,0.6158491365610764,0.0003178302786312
