date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0444444444444444,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,41,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0
2012-02-01,2012,2,0,1,4,0,0,2,0,0,0,0,1,17,0,1,0,1,1,1,1,35,1,64,0.0,0.0091743119266055,0.036697247706422,0.0,0.0,0.018348623853211,0.0,0.0,0.0,0.0,0.0091743119266055,0.1559633027522936,0.0,0.0091743119266055,0.0,0.0091743119266055,0.0091743119266055,0.0091743119266055,0.0091743119266055,0.3211009174311927,0.0091743119266055,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,38,0,44,0.0,0.0,0.0,0.018348623853211,0.0,0.0,0.0,0.0,0.0,0.0091743119266055,0.0,0.0091743119266055,0.0,0.0,0.018348623853211,0.0,0.0,0.0,0.0,0.3486238532110092,0.0
2012-03-01,2012,3,1,0,1,0,0,8,0,1,0,0,0,1,0,1,1,0,0,0,0,16,0,29,0.0140845070422535,0.0,0.0140845070422535,0.0,0.0,0.1126760563380281,0.0,0.0140845070422535,0.0,0.0,0.0,0.0140845070422535,0.0,0.0140845070422535,0.0140845070422535,0.0,0.0,0.0,0.0,0.2253521126760563,0.0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,37,0,42,0.0,0.0,0.0,0.0,0.0,0.028169014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0140845070422535,0.0,0.0,0.0140845070422535,0.0,0.5211267605633803,0.0
2012-04-01,2012,4,0,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,25,0.0,0.0,0.0,0.0088495575221238,0.0,0.0530973451327433,0.0,0.0,0.0,0.0,0.0,0.0,0.0176991150442477,0.0,0.0,0.0,0.0,0.0,0.0,0.1415929203539823,0.0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,80,0,88,0.0265486725663716,0.0,0.0,0.0088495575221238,0.0,0.0,0.0,0.0,0.0,0.0088495575221238,0.0,0.0,0.0088495575221238,0.0,0.0176991150442477,0.0,0.0,0.0,0.0,0.7079646017699115,0.0
2012-05-01,2012,5,0,3,1,3,0,4,0,1,0,0,1,4,1,1,1,0,0,0,0,18,0,38,0.0,0.0277777777777777,0.0092592592592592,0.0277777777777777,0.0,0.037037037037037,0.0,0.0092592592592592,0.0,0.0,0.0092592592592592,0.037037037037037,0.0092592592592592,0.0092592592592592,0.0092592592592592,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0,0,1,6,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,58,0,69,0.0,0.0,0.0092592592592592,0.0555555555555555,0.0,0.0092592592592592,0.0,0.0,0.0,0.0,0.0,0.0092592592592592,0.0,0.0,0.0185185185185185,0.0,0.0,0.0,0.0,0.5370370370370371,0.0
2012-06-01,2012,6,0,2,4,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,17,0,27,0.0,0.0259740259740259,0.0519480519480519,0.0,0.0,0.0259740259740259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259740259740259,0.0,0.0129870129870129,0.0,0.0,0.0129870129870129,0.2207792207792207,0.0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45,0,50,0.0,0.0129870129870129,0.0,0.0259740259740259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129870129870129,0.0,0.0,0.0,0.0129870129870129,0.5844155844155844,0.0
2012-07-01,2012,7,1,0,3,2,0,0,0,0,0,0,0,2,4,1,1,1,0,0,0,8,0,22,0.0149253731343283,0.0,0.044776119402985,0.0298507462686567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298507462686567,0.0597014925373134,0.0149253731343283,0.0149253731343283,0.0149253731343283,0.0,0.0,0.0,0.1194029850746268,0.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,45,0.0,0.0,0.0149253731343283,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0.0,0.6268656716417911,0.0
2012-08-01,2012,8,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,2,0,0,1,22,0,39,0.0,0.0,0.0,0.0,0.0,0.0404040404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.101010101010101,0.0,0.0,0.0202020202020202,0.0,0.0,0.0101010101010101,0.2222222222222222,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,60,0.0,0.0,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5858585858585859,0.0
2012-09-01,2012,9,4,23,6,1,1,48,2,0,0,0,0,2,2,8,1,1,6,1,0,114,0,218,0.006908462867012,0.0397236614853195,0.0103626943005181,0.001727115716753,0.001727115716753,0.082901554404145,0.003454231433506,0.0,0.0,0.0,0.0,0.003454231433506,0.003454231433506,0.0138169257340241,0.001727115716753,0.001727115716753,0.0103626943005181,0.001727115716753,0.0,0.1968911917098445,0.0,7,4,2,2,0,1,0,0,0,1,0,5,3,0,1,1,1,2,0,331,0,361,0.0120898100172711,0.006908462867012,0.003454231433506,0.003454231433506,0.0,0.001727115716753,0.0,0.0,0.0,0.001727115716753,0.0,0.0086355785837651,0.005181347150259,0.0,0.001727115716753,0.001727115716753,0.001727115716753,0.003454231433506,0.0,0.5716753022452504,0.0
2012-10-01,2012,10,2,6,6,1,1,60,3,0,0,7,1,0,1,2,0,0,4,0,0,139,0,232,0.0033444816053511,0.0100334448160535,0.0100334448160535,0.0016722408026755,0.0016722408026755,0.1003344481605351,0.0050167224080267,0.0,0.0,0.011705685618729,0.0016722408026755,0.0,0.0016722408026755,0.0033444816053511,0.0,0.0,0.0066889632107023,0.0,0.0,0.2324414715719063,0.0,2,1,5,4,0,1,0,0,0,0,0,0,2,3,3,0,1,0,0,325,0,347,0.0033444816053511,0.0016722408026755,0.0083612040133779,0.0066889632107023,0.0,0.0016722408026755,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511,0.0050167224080267,0.0050167224080267,0.0,0.0016722408026755,0.0,0.0,0.5434782608695652,0.0
