country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Ghana,2012-01-01,1,1,62,6,6,0,1,6,10,3,0,0,11,4,4,18,1,2,0,5,598,5,12,15,1,29,4,7,0,3,4,5,797,0.0012547051442910915,0.0012547051442910915,0.07779171894604768,0.0075282308657465494,0.0075282308657465494,0,0.0012547051442910915,0.0075282308657465494,0.012547051442910916,0.0037641154328732747,0,0,0.013801756587202008,0.005018820577164366,0.005018820577164366,0.02258469259723965,0.0012547051442910915,0.002509410288582183,0,0.006273525721455458,0.006273525721455458,0.015056461731493099,0.018820577164366373,0.0012547051442910915,0.03638644918444166,0.005018820577164366,0.00878293601003764,0,0.0037641154328732747,0.005018820577164366,0.006273525721455458
Ghana,2012-02-01,4,0,27,1,7,0,0,1,10,1,1,0,18,5,7,14,0,2,0,5,588,13,6,15,1,22,2,0,1,0,2,1,722,0.00554016620498615,0,0.037396121883656507,0.0013850415512465374,0.009695290858725761,0,0,0.0013850415512465374,0.013850415512465374,0.0013850415512465374,0.0013850415512465374,0,0.024930747922437674,0.006925207756232687,0.009695290858725761,0.019390581717451522,0,0.002770083102493075,0,0.006925207756232687,0.018005540166204988,0.008310249307479225,0.02077562326869806,0.0013850415512465374,0.030470914127423823,0.002770083102493075,0,0.0013850415512465374,0,0.002770083102493075,0.0013850415512465374
Ghana,2012-03-01,3,1,33,3,12,3,1,2,12,2,0,0,8,3,4,1,0,2,0,4,748,20,28,12,0,26,6,1,0,3,0,3,923,0.0032502708559046588,0.0010834236186348862,0.035752979414951244,0.0032502708559046588,0.013001083423618635,0.0032502708559046588,0.0010834236186348862,0.0021668472372697724,0.013001083423618635,0.0021668472372697724,0,0,0.00866738894907909,0.0032502708559046588,0.004333694474539545,0.0010834236186348862,0,0.0021668472372697724,0,0.004333694474539545,0.021668472372697724,0.030335861321776816,0.013001083423618635,0,0.028169014084507043,0.0065005417118093175,0.0010834236186348862,0,0.0032502708559046588,0,0.0032502708559046588
Ghana,2012-04-01,5,0,36,2,12,0,0,8,7,1,0,0,5,5,4,3,1,3,1,6,628,16,7,9,3,22,1,1,0,2,4,5,780,0.00641025641025641,0,0.046153846153846156,0.002564102564102564,0.015384615384615385,0,0,0.010256410256410256,0.008974358974358974,0.001282051282051282,0,0,0.00641025641025641,0.00641025641025641,0.005128205128205128,0.0038461538461538464,0.001282051282051282,0.0038461538461538464,0.001282051282051282,0.007692307692307693,0.020512820512820513,0.008974358974358974,0.011538461538461539,0.0038461538461538464,0.028205128205128206,0.001282051282051282,0.001282051282051282,0,0.002564102564102564,0.005128205128205128,0.00641025641025641
Ghana,2012-05-01,1,1,25,1,10,1,1,4,15,1,0,2,7,4,0,2,0,4,2,3,555,19,10,11,0,12,1,3,1,2,2,4,687,0.001455604075691412,0.001455604075691412,0.036390101892285295,0.001455604075691412,0.01455604075691412,0.001455604075691412,0.001455604075691412,0.005822416302765648,0.021834061135371178,0.001455604075691412,0,0.002911208151382824,0.010189228529839884,0.005822416302765648,0,0.002911208151382824,0,0.005822416302765648,0.002911208151382824,0.004366812227074236,0.027656477438136828,0.01455604075691412,0.01601164483260553,0,0.017467248908296942,0.001455604075691412,0.004366812227074236,0.001455604075691412,0.002911208151382824,0.002911208151382824,0.005822416302765648
Ghana,2012-06-01,1,0,23,0,3,1,0,16,5,2,1,0,4,0,5,1,0,2,0,2,398,12,6,8,0,11,2,3,0,0,7,5,506,0.001976284584980237,0,0.045454545454545456,0,0.005928853754940711,0.001976284584980237,0,0.03162055335968379,0.009881422924901186,0.003952569169960474,0.001976284584980237,0,0.007905138339920948,0,0.009881422924901186,0.001976284584980237,0,0.003952569169960474,0,0.003952569169960474,0.023715415019762844,0.011857707509881422,0.015810276679841896,0,0.021739130434782608,0.003952569169960474,0.005928853754940711,0,0,0.01383399209486166,0.009881422924901186
Ghana,2012-07-01,2,0,29,2,7,0,0,4,4,3,1,0,1,2,2,3,0,3,0,1,680,7,6,3,0,11,4,0,0,0,2,3,776,0.002577319587628866,0,0.037371134020618556,0.002577319587628866,0.00902061855670103,0,0,0.005154639175257732,0.005154639175257732,0.003865979381443299,0.001288659793814433,0,0.001288659793814433,0.002577319587628866,0.002577319587628866,0.003865979381443299,0,0.003865979381443299,0,0.001288659793814433,0.00902061855670103,0.007731958762886598,0.003865979381443299,0,0.014175257731958763,0.005154639175257732,0,0,0,0.002577319587628866,0.003865979381443299
Ghana,2012-08-01,9,0,40,1,7,1,0,2,10,9,1,2,6,5,4,6,0,5,0,0,680,13,16,2,0,10,6,3,1,0,6,4,842,0.010688836104513063,0,0.047505938242280284,0.0011876484560570072,0.00831353919239905,0.0011876484560570072,0,0.0023752969121140144,0.011876484560570071,0.010688836104513063,0.0011876484560570072,0.0023752969121140144,0.007125890736342043,0.0059382422802850355,0.004750593824228029,0.007125890736342043,0,0.0059382422802850355,0,0,0.015439429928741092,0.019002375296912115,0.0023752969121140144,0,0.011876484560570071,0.007125890736342043,0.0035629453681710215,0.0011876484560570072,0,0.007125890736342043,0.004750593824228029
Ghana,2012-09-01,6,0,29,1,4,2,0,8,14,1,2,0,10,1,4,0,1,3,2,2,452,14,14,3,2,10,1,3,0,0,2,6,583,0.010291595197255575,0,0.04974271012006861,0.0017152658662092624,0.00686106346483705,0.003430531732418525,0,0.0137221269296741,0.024013722126929673,0.0017152658662092624,0.003430531732418525,0,0.017152658662092625,0.0017152658662092624,0.00686106346483705,0,0.0017152658662092624,0.005145797598627788,0.003430531732418525,0.003430531732418525,0.024013722126929673,0.024013722126929673,0.005145797598627788,0.003430531732418525,0.017152658662092625,0.0017152658662092624,0.005145797598627788,0,0,0.003430531732418525,0.010291595197255575
Ghana,2012-10-01,4,0,91,4,9,1,1,7,29,3,0,4,27,6,9,15,0,6,0,6,748,24,17,10,0,23,2,4,0,2,7,5,1033,0.003872216844143272,0,0.08809293320425944,0.003872216844143272,0.008712487899322363,9.68054211035818e-4,9.68054211035818e-4,0.006776379477250726,0.028073572120038724,0.002904162633107454,0,0.003872216844143272,0.026137463697967087,0.005808325266214908,0.008712487899322363,0.01452081316553727,0,0.005808325266214908,0,0.005808325266214908,0.023233301064859633,0.016456921587608905,0.00968054211035818,0,0.022265246853823813,0.001936108422071636,0.003872216844143272,0,0.001936108422071636,0.006776379477250726,0.00484027105517909
