country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Guatemala,2012-01-01,0,0,1,0,0,0,0,0,7,1,0,1,1,0,2,1,0,0,3,0,84,0,0,0,0,0,2,0,0,0,1,2,105,0,0,0.009523809523809525,0,0,0,0,0,0.06666666666666667,0.009523809523809525,0,0.009523809523809525,0.009523809523809525,0,0.01904761904761905,0.009523809523809525,0,0,0.02857142857142857,0,0,0,0,0,0,0.01904761904761905,0,0,0,0.009523809523809525,0.01904761904761905
Guatemala,2012-02-01,0,0,1,0,1,0,0,2,2,2,0,0,1,0,0,0,0,0,2,0,68,1,0,0,0,1,3,0,0,0,1,0,84,0,0,0.011904761904761904,0,0.011904761904761904,0,0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0,0,0.011904761904761904,0,0,0,0,0,0.023809523809523808,0,0.011904761904761904,0,0,0,0.011904761904761904,0.03571428571428571,0,0,0,0.011904761904761904,0
Guatemala,2012-03-01,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,1,1,87,2,0,1,0,0,3,0,0,0,4,1,109,0,0,0,0,0,0,0,0.009174311926605505,0.045871559633027525,0.03669724770642202,0,0,0,0,0,0,0,0,0.009174311926605505,0.009174311926605505,0.01834862385321101,0,0.009174311926605505,0,0,0.027522935779816515,0,0,0,0.03669724770642202,0.009174311926605505
Guatemala,2012-04-01,2,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,1,75,1,1,2,0,0,1,1,0,0,1,1,92,0.021739130434782608,0,0,0,0.010869565217391304,0,0,0.010869565217391304,0.010869565217391304,0.03260869565217391,0,0,0,0,0,0,0,0,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.021739130434782608,0,0,0.010869565217391304,0.010869565217391304,0,0,0.010869565217391304,0.010869565217391304
Guatemala,2012-05-01,1,0,0,0,1,0,0,5,3,1,3,1,2,0,0,0,0,0,2,0,96,0,0,1,0,4,1,0,0,0,3,1,122,0.00819672131147541,0,0,0,0.00819672131147541,0,0,0.040983606557377046,0.02459016393442623,0.00819672131147541,0.02459016393442623,0.00819672131147541,0.01639344262295082,0,0,0,0,0,0.01639344262295082,0,0,0,0.00819672131147541,0,0.03278688524590164,0.00819672131147541,0,0,0,0.02459016393442623,0.00819672131147541
Guatemala,2012-06-01,1,0,0,1,0,0,0,2,2,0,0,0,1,1,1,0,0,0,1,3,72,0,0,0,0,4,1,0,1,0,2,0,92,0.010869565217391304,0,0,0.010869565217391304,0,0,0,0.021739130434782608,0.021739130434782608,0,0,0,0.010869565217391304,0.010869565217391304,0.010869565217391304,0,0,0,0.010869565217391304,0.03260869565217391,0,0,0,0,0.043478260869565216,0.010869565217391304,0,0.010869565217391304,0,0.021739130434782608,0
Guatemala,2012-07-01,0,0,0,0,2,0,0,3,1,10,0,0,2,0,0,0,0,0,0,1,94,1,0,1,0,1,3,1,0,0,3,1,123,0,0,0,0,0.016260162601626018,0,0,0.024390243902439025,0.008130081300813009,0.08130081300813008,0,0,0.016260162601626018,0,0,0,0,0,0,0.008130081300813009,0.008130081300813009,0,0.008130081300813009,0,0.008130081300813009,0.024390243902439025,0.008130081300813009,0,0,0.024390243902439025,0.008130081300813009
Guatemala,2012-08-01,4,0,2,0,0,0,0,20,5,0,0,0,1,0,0,2,0,0,2,1,105,0,1,1,0,3,1,0,0,0,0,1,147,0.027210884353741496,0,0.013605442176870748,0,0,0,0,0.1360544217687075,0.034013605442176874,0,0,0,0.006802721088435374,0,0,0.013605442176870748,0,0,0.013605442176870748,0.006802721088435374,0,0.006802721088435374,0.006802721088435374,0,0.02040816326530612,0.006802721088435374,0,0,0,0,0.006802721088435374
Guatemala,2012-09-01,3,0,2,0,0,0,0,17,6,8,0,0,0,0,1,0,0,0,2,1,103,4,1,3,0,10,1,0,0,0,1,2,162,0.018518518518518517,0,0.012345679012345678,0,0,0,0,0.10493827160493827,0.037037037037037035,0.04938271604938271,0,0,0,0,0.006172839506172839,0,0,0,0.012345679012345678,0.006172839506172839,0.024691358024691357,0.006172839506172839,0.018518518518518517,0,0.06172839506172839,0.006172839506172839,0,0,0,0.006172839506172839,0.012345679012345678
Guatemala,2012-10-01,3,0,2,0,2,0,0,4,4,5,0,0,1,1,0,0,0,1,8,4,93,2,0,0,0,1,1,0,1,0,3,1,136,0.022058823529411766,0,0.014705882352941176,0,0.014705882352941176,0,0,0.029411764705882353,0.029411764705882353,0.03676470588235294,0,0,0.007352941176470588,0.007352941176470588,0,0,0,0.007352941176470588,0.058823529411764705,0.029411764705882353,0.014705882352941176,0,0,0,0.007352941176470588,0.007352941176470588,0,0.007352941176470588,0,0.022058823529411766,0.007352941176470588
