country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Honduras,2012-01-01,4,0,20,0,16,0,0,21,19,32,1,1,12,3,3,10,0,1,16,7,646,7,7,2,0,9,25,3,2,3,16,2,878,0.004555808656036446,0,0.022779043280182234,0,0.018223234624145785,0,0,0.023917995444191344,0.02164009111617312,0.03644646924829157,0.0011389521640091116,0.0011389521640091116,0.01366742596810934,0.003416856492027335,0.003416856492027335,0.011389521640091117,0,0.0011389521640091116,0.018223234624145785,0.007972665148063782,0.007972665148063782,0.007972665148063782,0.002277904328018223,0,0.010250569476082005,0.02847380410022779,0.003416856492027335,0.002277904328018223,0.003416856492027335,0.018223234624145785,0.002277904328018223
Honduras,2012-02-01,9,1,11,0,24,1,0,75,32,19,2,4,18,1,4,15,1,4,15,4,660,8,18,3,0,9,12,2,0,2,23,5,969,0.009287925696594427,0.0010319917440660474,0.011351909184726523,0,0.02476780185758514,0.0010319917440660474,0,0.07739938080495357,0.033023735810113516,0.0196078431372549,0.0020639834881320948,0.0041279669762641896,0.018575851393188854,0.0010319917440660474,0.0041279669762641896,0.015479876160990712,0.0010319917440660474,0.0041279669762641896,0.015479876160990712,0.0041279669762641896,0.008255933952528379,0.018575851393188854,0.0030959752321981426,0,0.009287925696594427,0.01238390092879257,0.0020639834881320948,0,0.0020639834881320948,0.023735810113519093,0.005159958720330237
Honduras,2012-03-01,9,0,17,0,24,1,1,18,18,16,2,2,11,0,14,13,0,2,21,9,712,13,13,3,0,8,17,2,1,4,14,4,958,0.009394572025052192,0,0.017745302713987474,0,0.025052192066805846,0.0010438413361169101,0.0010438413361169101,0.018789144050104383,0.018789144050104383,0.016701461377870562,0.0020876826722338203,0.0020876826722338203,0.011482254697286013,0,0.014613778705636743,0.013569937369519834,0,0.0020876826722338203,0.021920668058455117,0.009394572025052192,0.013569937369519834,0.013569937369519834,0.003131524008350731,0,0.008350730688935281,0.017745302713987474,0.0020876826722338203,0.0010438413361169101,0.0041753653444676405,0.014613778705636743,0.0041753653444676405
Honduras,2012-04-01,9,0,14,2,16,0,0,22,24,17,1,1,14,5,11,4,1,2,19,4,610,8,9,1,0,8,19,3,0,0,14,3,833,0.010804321728691477,0,0.01680672268907563,0.0024009603841536613,0.01920768307322929,0,0,0.026410564225690276,0.028811524609843937,0.02040816326530612,0.0012004801920768306,0.0012004801920768306,0.01680672268907563,0.006002400960384154,0.013205282112845138,0.004801920768307323,0.0012004801920768306,0.0024009603841536613,0.022809123649459785,0.004801920768307323,0.009603841536614645,0.010804321728691477,0.0012004801920768306,0,0.009603841536614645,0.022809123649459785,0.003601440576230492,0,0,0.01680672268907563,0.003601440576230492
Honduras,2012-05-01,14,1,19,1,24,0,0,26,34,14,3,5,18,3,37,8,4,1,33,15,797,22,12,1,0,12,24,2,1,2,15,9,1140,0.012280701754385965,8.771929824561404e-4,0.016666666666666666,8.771929824561404e-4,0.021052631578947368,0,0,0.02280701754385965,0.02982456140350877,0.012280701754385965,0.002631578947368421,0.0043859649122807015,0.015789473684210527,0.002631578947368421,0.03245614035087719,0.007017543859649123,0.0035087719298245615,8.771929824561404e-4,0.02894736842105263,0.013157894736842105,0.01929824561403509,0.010526315789473684,8.771929824561404e-4,0,0.010526315789473684,0.021052631578947368,0.0017543859649122807,8.771929824561404e-4,0.0017543859649122807,0.013157894736842105,0.007894736842105263
Honduras,2012-06-01,14,0,13,2,21,0,0,25,38,14,3,3,33,2,21,4,2,3,17,4,601,26,11,5,0,19,7,3,1,1,24,6,893,0.015677491601343786,0,0.014557670772676373,0.0022396416573348264,0.023516237402015677,0,0,0.027995520716685332,0.0425531914893617,0.015677491601343786,0.0033594624860022394,0.0033594624860022394,0.036954087346024636,0.0022396416573348264,0.023516237402015677,0.004479283314669653,0.0022396416573348264,0.0033594624860022394,0.019036954087346025,0.004479283314669653,0.029115341545352745,0.012318029115341545,0.005599104143337066,0,0.02127659574468085,0.007838745800671893,0.0033594624860022394,0.0011198208286674132,0.0011198208286674132,0.026875699888017916,0.006718924972004479
Honduras,2012-07-01,3,0,31,2,19,3,0,20,16,13,2,5,13,2,20,7,1,2,13,11,678,34,14,3,0,10,7,0,0,2,27,8,954,0.0031446540880503146,0,0.03249475890985325,0.0020964360587002098,0.019916142557651992,0.0031446540880503146,0,0.020964360587002098,0.016771488469601678,0.013626834381551363,0.0020964360587002098,0.005241090146750524,0.013626834381551363,0.0020964360587002098,0.020964360587002098,0.007337526205450734,0.0010482180293501049,0.0020964360587002098,0.013626834381551363,0.011530398322851153,0.03563941299790356,0.014675052410901468,0.0031446540880503146,0,0.010482180293501049,0.007337526205450734,0,0,0.0020964360587002098,0.02830188679245283,0.008385744234800839
Honduras,2012-08-01,21,2,19,5,10,0,0,46,35,24,1,6,17,1,23,17,2,3,14,3,699,22,15,3,0,11,18,1,1,1,12,2,1020,0.020588235294117647,0.00196078431372549,0.018627450980392157,0.004901960784313725,0.00980392156862745,0,0,0.045098039215686274,0.03431372549019608,0.023529411764705882,9.80392156862745e-4,0.0058823529411764705,0.016666666666666666,9.80392156862745e-4,0.022549019607843137,0.016666666666666666,0.00196078431372549,0.0029411764705882353,0.013725490196078431,0.0029411764705882353,0.021568627450980392,0.014705882352941176,0.0029411764705882353,0,0.010784313725490196,0.01764705882352941,9.80392156862745e-4,9.80392156862745e-4,9.80392156862745e-4,0.011764705882352941,0.00196078431372549
Honduras,2012-09-01,13,0,17,3,13,0,0,21,23,7,0,10,14,2,20,7,0,3,24,4,548,15,15,3,0,7,10,2,0,1,15,3,790,0.016455696202531647,0,0.021518987341772152,0.0037974683544303796,0.016455696202531647,0,0,0.026582278481012658,0.02911392405063291,0.008860759493670886,0,0.012658227848101266,0.017721518987341773,0.002531645569620253,0.02531645569620253,0.008860759493670886,0,0.0037974683544303796,0.030379746835443037,0.005063291139240506,0.0189873417721519,0.0189873417721519,0.0037974683544303796,0,0.008860759493670886,0.012658227848101266,0.002531645569620253,0,0.0012658227848101266,0.0189873417721519,0.0037974683544303796
Honduras,2012-10-01,9,3,28,2,22,1,1,16,26,11,1,5,22,3,22,4,1,2,22,3,671,18,8,5,0,17,12,1,0,1,19,2,940,0.009574468085106383,0.0031914893617021275,0.029787234042553193,0.002127659574468085,0.023404255319148935,0.0010638297872340426,0.0010638297872340426,0.01702127659574468,0.027659574468085105,0.011702127659574468,0.0010638297872340426,0.005319148936170213,0.023404255319148935,0.0031914893617021275,0.023404255319148935,0.00425531914893617,0.0010638297872340426,0.002127659574468085,0.023404255319148935,0.0031914893617021275,0.019148936170212766,0.00851063829787234,0.005319148936170213,0,0.018085106382978722,0.01276595744680851,0.0010638297872340426,0,0.0010638297872340426,0.02021276595744681,0.002127659574468085
Honduras,2012-11-01,18,0,109,19,18,1,1,9,22,14,0,7,11,3,16,6,2,5,24,6,640,22,12,9,0,16,8,1,2,4,20,1,1009,0.017839444995044598,0,0.10802775024777007,0.018830525272547076,0.017839444995044598,9.910802775024777e-4,9.910802775024777e-4,0.008919722497522299,0.02180376610505451,0.013875123885034688,0,0.006937561942517344,0.010901883052527254,0.002973240832507433,0.015857284440039643,0.005946481665014866,0.0019821605550049554,0.004955401387512388,0.023785926660059464,0.005946481665014866,0.02180376610505451,0.011892963330029732,0.008919722497522299,0,0.015857284440039643,0.007928642220019821,9.910802775024777e-4,0.0019821605550049554,0.003964321110009911,0.019821605550049554,9.910802775024777e-4
Honduras,2012-12-01,14,0,14,6,13,2,0,16,28,18,0,2,13,0,18,26,0,1,28,6,685,12,10,0,0,3,11,2,1,2,25,8,954,0.014675052410901468,0,0.014675052410901468,0.006289308176100629,0.013626834381551363,0.0020964360587002098,0,0.016771488469601678,0.029350104821802937,0.018867924528301886,0,0.0020964360587002098,0.013626834381551363,0,0.018867924528301886,0.027253668763102725,0,0.0010482180293501049,0.029350104821802937,0.006289308176100629,0.012578616352201259,0.010482180293501049,0,0,0.0031446540880503146,0.011530398322851153,0.0020964360587002098,0.0010482180293501049,0.0020964360587002098,0.02620545073375262,0.008385744234800839
Honduras,2013-01-01,15,1,18,0,14,2,1,13,23,26,1,2,12,0,24,17,1,5,30,6,755,26,8,3,0,15,14,0,3,3,26,3,1056,0.014204545454545454,9.46969696969697e-4,0.017045454545454544,0,0.013257575757575758,0.001893939393939394,9.46969696969697e-4,0.01231060606060606,0.021780303030303032,0.02462121212121212,9.46969696969697e-4,0.001893939393939394,0.011363636363636364,0,0.022727272727272728,0.016098484848484848,9.46969696969697e-4,0.004734848484848485,0.028409090909090908,0.005681818181818182,0.02462121212121212,0.007575757575757576,0.002840909090909091,0,0.014204545454545454,0.013257575757575758,0,0.002840909090909091,0.002840909090909091,0.02462121212121212,0.002840909090909091
