country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Hungary,2012-01-01,9,6,62,4,38,6,1,141,107,65,4,4,49,9,138,44,2,16,9,27,5920,67,24,33,2,132,51,14,6,2,58,106,7086,0.0012701100762066045,8.46740050804403e-4,0.008749647191645497,5.644933672029354e-4,0.005362686988427886,8.46740050804403e-4,1.4112334180073385e-4,0.01989839119390347,0.015100197572678522,0.0091730172170477,5.644933672029354e-4,5.644933672029354e-4,0.0069150437482359585,0.0012701100762066045,0.01947502116850127,0.006209427039232289,2.822466836014677e-4,0.0022579734688117415,0.0012701100762066045,0.003810330228619814,0.009455263900649167,0.003386960203217612,0.0046570702794242165,2.822466836014677e-4,0.018628281117696866,0.0071972904318374255,0.0019757267852102737,8.46740050804403e-4,2.822466836014677e-4,0.008185153824442563,0.014959074230877787
Hungary,2012-02-01,6,2,49,1,30,7,0,184,71,37,4,8,31,7,103,26,2,1,8,19,5615,69,10,24,2,119,63,14,7,12,30,90,6607,9.081277433025579e-4,3.027092477675193e-4,0.007416376570304223,1.5135462388375965e-4,0.00454063871651279,0.0010594823671863176,0,0.027849250794611775,0.010746178295746934,0.005600121083699107,6.054184955350386e-4,0.0012108369910700772,0.004691993340396549,0.0010594823671863176,0.015589526260027244,0.0039352202209777505,3.027092477675193e-4,1.5135462388375965e-4,0.0012108369910700772,0.002875737853791433,0.010443469047979416,0.0015135462388375966,0.0036325109732102314,3.027092477675193e-4,0.0180112002421674,0.009535341304676858,0.0021189647343726353,0.0010594823671863176,0.0018162554866051157,0.00454063871651279,0.013621916149538369
Hungary,2012-03-01,14,9,79,2,35,4,0,168,65,55,4,9,48,6,115,25,2,7,8,24,5857,51,20,20,3,123,65,6,8,9,40,92,6923,0.0020222446916076846,0.00130001444460494,0.011411237902643362,2.888920988010978e-4,0.005055611729019211,5.777841976021956e-4,0,0.024266936299292215,0.009388993211035679,0.00794453271703019,5.777841976021956e-4,0.00130001444460494,0.006933410371226347,8.666762964032933e-4,0.016611295681063124,0.0036111512350137224,2.888920988010978e-4,0.0010111223458038423,0.0011555683952043912,0.0034667051856131733,0.007366748519427994,0.002888920988010978,0.002888920988010978,4.3333814820164666e-4,0.017766864076267513,0.009388993211035679,8.666762964032933e-4,0.0011555683952043912,0.00130001444460494,0.005777841976021956,0.013289036544850499
Hungary,2012-04-01,11,9,88,1,39,8,1,116,94,51,9,15,46,6,77,50,1,3,7,18,5233,63,19,23,0,95,103,15,12,5,56,93,6313,0.0017424362426738476,0.0014256296530967844,0.01393948994139078,1.584032947885316e-4,0.006177728496752732,0.0012672263583082528,1.584032947885316e-4,0.018374782195469667,0.01488990971012197,0.008078568034215111,0.0014256296530967844,0.002376049421827974,0.007286551560272454,9.504197687311896e-4,0.012197053698716933,0.00792016473942658,1.584032947885316e-4,4.752098843655948e-4,0.0011088230635197213,0.002851259306193569,0.009979407571677491,0.0030096626009821006,0.003643275780136227,0,0.015048313004910501,0.016315539363218754,0.002376049421827974,0.0019008395374623792,7.92016473942658e-4,0.00887058450815777,0.01473150641533344
Hungary,2012-05-01,8,0,69,1,35,1,4,144,56,45,6,5,35,1,52,28,1,0,11,16,5330,50,12,29,2,123,98,6,9,7,47,90,6269,0.001276120593396076,0,0.011006540118041155,1.595150741745095e-4,0.005583027596107832,1.595150741745095e-4,6.38060296698038e-4,0.022970170681129366,0.008932844153772532,0.007178178337852927,9.57090445047057e-4,7.975753708725474e-4,0.005583027596107832,1.595150741745095e-4,0.008294783857074493,0.004466422076886266,1.595150741745095e-4,0,0.0017546658159196043,0.002552241186792152,0.007975753708725474,0.001914180890094114,0.004625937151060775,3.19030148349019e-4,0.01962035412346467,0.01563247726910193,9.57090445047057e-4,0.0014356356675705854,0.0011166055192215665,0.007497208486201946,0.014356356675705855
Hungary,2012-06-01,17,1,41,1,21,4,1,147,84,51,6,12,83,2,36,46,8,9,6,23,4910,74,25,50,2,131,98,11,13,14,35,102,5960,0.0028523489932885905,1.6778523489932885e-4,0.0068791946308724835,1.6778523489932885e-4,0.003523489932885906,6.711409395973154e-4,1.6778523489932885e-4,0.024664429530201343,0.014093959731543624,0.008557046979865772,0.0010067114093959733,0.0020134228187919465,0.013926174496644295,3.355704697986577e-4,0.006040268456375839,0.0077181208053691275,0.0013422818791946308,0.0015100671140939597,0.0010067114093959733,0.0038590604026845637,0.012416107382550336,0.0041946308724832215,0.008389261744966443,3.355704697986577e-4,0.02197986577181208,0.016442953020134227,0.0018456375838926174,0.002181208053691275,0.002348993288590604,0.00587248322147651,0.017114093959731545
Hungary,2012-07-01,16,4,41,2,34,13,1,202,75,33,7,8,30,6,23,41,2,4,8,17,4877,82,20,24,0,81,71,9,12,4,60,103,5869,0.0027261884477764527,6.815471119441132e-4,0.006985857897427159,3.407735559720566e-4,0.005793150451524962,0.002215028113818368,1.703867779860283e-4,0.03441812915317771,0.012779008348952122,0.005622763673538933,0.001192707445902198,0.0013630942238882263,0.005111603339580849,0.0010223206679161698,0.0039188958936786505,0.006985857897427159,3.407735559720566e-4,6.815471119441132e-4,0.0013630942238882263,0.002896575225762481,0.013971715794854319,0.0034077355597205657,0.004089282671664679,0,0.01380132901686829,0.012097461237008009,0.0015334810018742546,0.0020446413358323396,6.815471119441132e-4,0.010223206679161698,0.017549838132560912
Hungary,2012-08-01,8,2,26,3,9,0,0,147,53,12,10,21,26,2,34,25,0,3,8,30,4665,83,11,26,1,76,39,12,17,3,44,85,5436,0.0014716703458425313,3.679175864606328e-4,0.004782928623988227,5.518763796909492e-4,0.0016556291390728477,0,0,0.02704194260485651,0.00974981604120677,0.002207505518763797,0.001839587932303164,0.003863134657836645,0.004782928623988227,3.679175864606328e-4,0.006254598969830758,0.00459896983075791,0,5.518763796909492e-4,0.0014716703458425313,0.005518763796909493,0.015268579838116261,0.0020235467255334807,0.004782928623988227,1.839587932303164e-4,0.013980868285504048,0.00717439293598234,0.002207505518763797,0.003127299484915379,5.518763796909492e-4,0.008094186902133923,0.015636497424576894
Hungary,2012-09-01,15,4,59,5,20,3,1,136,75,31,5,13,47,8,72,27,1,10,5,23,4924,87,18,22,1,102,62,16,5,9,44,111,5914,0.002536354413256679,6.763611768684477e-4,0.009976327358809604,8.454514710855597e-4,0.0033818058843422386,5.072708826513358e-4,1.6909029421711193e-4,0.022996280013527222,0.012681772066283395,0.00524179912073047,8.454514710855597e-4,0.002198173824822455,0.007947243828204262,0.0013527223537368955,0.01217450118363206,0.004565437943862023,1.6909029421711193e-4,0.0016909029421711193,8.454514710855597e-4,0.0038890767669935745,0.014710855596888738,0.003043625295908015,0.0037199864727764627,1.6909029421711193e-4,0.017247210010145418,0.01048359824146094,0.002705444707473791,8.454514710855597e-4,0.0015218126479540075,0.0074399729455529254,0.018769022658099425
Hungary,2012-10-01,11,6,105,7,36,1,0,136,62,59,7,22,43,7,76,36,0,6,10,25,5863,96,26,36,0,98,114,16,5,9,52,105,7015,0.0015680684248039914,8.553100498930863e-4,0.01496792587312901,9.978617248752673e-4,0.005131860299358517,1.4255167498218105e-4,0,0.01938702779757662,0.008838203848895224,0.008410548823948682,9.978617248752673e-4,0.003136136849607983,0.006129722024233785,9.978617248752673e-4,0.01083392729864576,0.005131860299358517,0,8.553100498930863e-4,0.0014255167498218105,0.003563791874554526,0.01368496079828938,0.003706343549536707,0.005131860299358517,0,0.013970064148253742,0.016250890947968638,0.002280826799714897,7.127583749109052e-4,0.0012829650748396293,0.007412687099073414,0.01496792587312901
