date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,4,14,18,12,1,33,6,5,0,10,1,21,6,65,11,3,10,4,0,376,0,588,0.0012523481527864,0.0043832185347526,0.0056355666875391,0.0037570444583594,0.0003130870381966,0.0103318722604884,0.0018785222291797,0.001565435190983,0.0,0.0031308703819661,0.0003130870381966,0.0065748278021289,0.0018785222291797,0.0203506574827802,0.0034439574201628,0.0009392611145898,0.0031308703819661,0.0012523481527864,0.0,0.1177207263619286,0.0,32,9,48,70,1,4,0,1,1,9,1,35,22,30,33,6,9,7,4,2306,0,2604,0.0100187852222917,0.0028177833437695,0.0150281778334376,0.0219160926737633,0.0003130870381966,0.0012523481527864,0.0,0.0003130870381966,0.0003130870381966,0.0028177833437695,0.0003130870381966,0.0109580463368816,0.0068879148403256,0.0093926111458985,0.0103318722604884,0.0018785222291797,0.0028177833437695,0.0021916092673763,0.0012523481527864,0.7219787100814026,0.0
2012-02-01,2012,2,14,16,29,17,3,29,5,3,0,15,2,20,8,81,19,6,10,4,4,455,0,721,0.0036486838676048,0.0041699244201198,0.0075579880114672,0.0044305446963773,0.0007818608287724,0.0075579880114672,0.0013031013812874,0.0007818608287724,0.0,0.0039093041438623,0.0005212405525149,0.0052124055251498,0.0020849622100599,0.0211102423768569,0.0049517852488923,0.0015637216575449,0.0026062027625749,0.0010424811050299,0.0010424811050299,0.1185822256971592,0.0,73,11,56,64,1,1,0,0,1,21,1,41,34,35,39,14,13,8,19,2707,0,3114,0.0190252801667969,0.0028668230388324,0.0145947354704195,0.0166796976804795,0.0002606202762574,0.0002606202762574,0.0,0.0,0.0002606202762574,0.0054730258014073,0.0002606202762574,0.0106854313265572,0.0088610893927547,0.0091217096690122,0.0101641907740422,0.0036486838676048,0.0033880635913474,0.0020849622100599,0.0049517852488923,0.7054990878290331,0.0
2012-03-01,2012,3,14,54,24,11,0,48,4,9,0,13,2,38,16,57,37,11,7,14,6,546,0,897,0.0032802249297094,0.0126522961574507,0.0056232427366447,0.0025773195876288,0.0,0.0112464854732895,0.0009372071227741,0.0021087160262417,0.0,0.0030459231490159,0.000468603561387,0.0089034676663542,0.0037488284910965,0.0133552014995313,0.0086691658856607,0.0025773195876288,0.0016401124648547,0.0032802249297094,0.0014058106841611,0.1279287722586691,0.0,56,28,72,46,1,10,0,6,0,13,0,55,12,37,65,18,7,9,22,2939,1,3365,0.0131208997188378,0.0065604498594189,0.0168697282099343,0.0107778819119025,0.0002343017806935,0.0023430178069353,0.0,0.0014058106841611,0.0,0.0030459231490159,0.0,0.0128865979381443,0.0028116213683223,0.0086691658856607,0.0152296157450796,0.0042174320524835,0.0016401124648547,0.0021087160262417,0.0051546391752577,0.6886129334582943,0.0002343017806935
2012-04-01,2012,4,9,14,25,85,1,61,5,0,0,12,0,18,5,61,47,11,16,3,2,531,0,891,0.0021337126600284,0.0033191085822664,0.0059269796111901,0.0201517306780464,0.0002370791844476,0.0144618302513039,0.001185395922238,0.0,0.0,0.0028449502133712,0.0,0.0042674253200568,0.001185395922238,0.0144618302513039,0.0111427216690374,0.0026078710289236,0.0037932669511616,0.0007112375533428,0.0004741583688952,0.1258890469416785,0.0,38,7,55,83,0,6,0,2,0,20,0,37,24,34,35,8,14,5,19,2966,0,3322,0.009009009009009,0.0016595542911332,0.0130393551446183,0.0196775723091512,0.0,0.0014224751066856,0.0,0.0004741583688952,0.0,0.0047415836889521,0.0,0.0087719298245614,0.0056899004267425,0.0080606922712185,0.0082977714556661,0.0018966334755808,0.0033191085822664,0.001185395922238,0.0045045045045045,0.7031768610715979,0.0
2012-05-01,2012,5,7,9,21,10,0,22,3,1,1,6,2,13,7,53,16,7,7,1,1,481,1,657,0.0018027298480556,0.0023177955189286,0.0054081895441668,0.0025753283543651,0.0,0.0056657223796034,0.0007725985063095,0.0002575328354365,0.0002575328354365,0.0015451970126191,0.000515065670873,0.0033479268606747,0.0018027298480556,0.0136492402781354,0.0041205253669842,0.0018027298480556,0.0018027298480556,0.0002575328354365,0.0002575328354365,0.1238732938449652,0.0002575328354365,55,17,56,57,1,1,0,1,1,20,1,45,31,32,43,6,7,6,11,2855,0,3219,0.0141643059490084,0.0043780582024208,0.014421838784445,0.0146793716198815,0.0002575328354365,0.0002575328354365,0.0,0.0002575328354365,0.0002575328354365,0.0051506567087303,0.0002575328354365,0.0115889775946433,0.007983517898532,0.0082410507339685,0.0110739119237702,0.0015451970126191,0.0018027298480556,0.0015451970126191,0.0028328611898017,0.7352562451712593,0.0
2012-06-01,2012,6,9,11,34,27,1,31,3,2,0,7,0,14,7,95,12,6,12,6,2,468,0,721,0.0026714158504007,0.0032650638171564,0.0100920154348471,0.0080142475512021,0.0002968239833778,0.0092015434847135,0.0008904719501335,0.0005936479667557,0.0,0.0020777678836449,0.0,0.0041555357672899,0.0020777678836449,0.0281982784208964,0.0035618878005342,0.0017809439002671,0.0035618878005342,0.0017809439002671,0.0005936479667557,0.138913624220837,0.0,61,3,59,54,0,7,0,0,0,8,1,38,24,65,31,4,7,2,10,2324,1,2643,0.0181062629860492,0.0008904719501335,0.0175126150192935,0.0160284951024042,0.0,0.0020777678836449,0.0,0.0,0.0,0.0023745918670228,0.0002968239833778,0.0112793113683585,0.0071237756010685,0.0192935589195607,0.0092015434847135,0.0011872959335114,0.0020777678836449,0.0005936479667557,0.0029682398337785,0.6898189373701396,0.0002968239833778
2012-07-01,2012,7,7,7,31,15,0,51,6,4,0,26,0,11,4,123,17,3,7,7,4,493,0,798,0.0018837459634015,0.0018837459634015,0.0083423035522066,0.0040365984930032,0.0,0.0137244348762109,0.0016146393972012,0.0010764262648008,0.0,0.0069967707212055,0.0,0.0029601722282023,0.0010764262648008,0.0331001076426264,0.0045748116254036,0.0008073196986006,0.0018837459634015,0.0018837459634015,0.0010764262648008,0.1326695371367061,0.0,43,11,63,62,1,11,0,3,1,14,1,24,20,36,27,13,6,11,17,2580,0,2911,0.0115715823466092,0.0029601722282023,0.0169537136706135,0.0166846071044133,0.0002691065662002,0.0029601722282023,0.0,0.0008073196986006,0.0002691065662002,0.003767491926803,0.0002691065662002,0.0064585575888051,0.0053821313240043,0.0096878363832077,0.0072658772874058,0.0034983853606027,0.0016146393972012,0.0029601722282023,0.0045748116254036,0.6942949407965554,0.0
2012-08-01,2012,8,8,9,26,20,3,36,3,4,0,3,0,16,7,79,14,5,13,4,1,493,0,726,0.0019398642095053,0.0021823472356935,0.0063045586808923,0.0048496605237633,0.0007274490785645,0.008729388942774,0.0007274490785645,0.0009699321047526,0.0,0.0007274490785645,0.0,0.0038797284190106,0.0016973811833171,0.0191561590688651,0.0033947623666343,0.0012124151309408,0.0031522793404461,0.0009699321047526,0.0002424830261881,0.1195441319107662,0.0,47,12,72,86,0,5,0,0,1,19,1,49,31,35,27,13,6,8,12,2999,0,3395,0.0113967022308438,0.002909796314258,0.017458777885548,0.0208535402521823,0.0,0.0012124151309408,0.0,0.0,0.0002424830261881,0.0046071774975751,0.0002424830261881,0.0118816682832201,0.0075169738118331,0.0084869059165858,0.0065470417070805,0.0031522793404461,0.001454898157129,0.0019398642095053,0.002909796314258,0.7272065955383124,0.0
2012-09-01,2012,9,24,30,24,26,4,78,3,1,0,13,0,25,5,58,20,5,14,15,13,683,0,1026,0.0054669703872437,0.0068337129840546,0.0054669703872437,0.0059225512528473,0.0009111617312072,0.0177676537585421,0.0006833712984054,0.0002277904328018,0.0,0.0029612756264236,0.0,0.0056947608200455,0.0011389521640091,0.0132118451025056,0.0045558086560364,0.0011389521640091,0.0031890660592255,0.0034168564920273,0.0029612756264236,0.1555808656036446,0.0,61,15,72,103,0,3,0,1,0,21,0,52,25,52,42,9,9,4,10,2930,0,3362,0.0138952164009111,0.0034168564920273,0.0164009111617312,0.0234624145785877,0.0,0.0006833712984054,0.0,0.0002277904328018,0.0,0.0047835990888382,0.0,0.0118451025056947,0.0056947608200455,0.0118451025056947,0.0095671981776765,0.0020501138952164,0.0020501138952164,0.0009111617312072,0.0022779043280182,0.6674259681093394,0.0
2012-10-01,2012,10,31,48,30,17,3,38,2,8,0,18,1,38,16,77,30,17,15,11,6,854,0,1246,0.0052311846101923,0.0080998987512656,0.005062436719541,0.0028687141410732,0.0005062436719541,0.0064124198447519,0.0003374957813027,0.0013499831252109,0.0,0.0030374620317246,0.0001687478906513,0.0064124198447519,0.0026999662504218,0.0129935875801552,0.005062436719541,0.0028687141410732,0.0025312183597705,0.001856226797165,0.0010124873439082,0.1441106986162673,0.0,85,23,89,77,0,5,0,1,1,29,3,73,35,58,100,17,6,10,17,4097,0,4677,0.0143435707053661,0.0038812014849814,0.0150185622679716,0.0129935875801552,0.0,0.0008437394532568,0.0,0.0001687478906513,0.0001687478906513,0.0048936888288896,0.0005062436719541,0.0123185960175497,0.0059061761727978,0.0097873776577792,0.0168747890651366,0.0028687141410732,0.0010124873439082,0.0016874789065136,0.0028687141410732,0.69136010799865,0.0
