date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,1,2,7,0,0,1,0,2,0,10,0,5,0,7,3,0,3,2,0,86,0,125,0.0024752475247524,0.0049504950495049,0.0173267326732673,0.0,0.0,0.0024752475247524,0.0,0.0049504950495049,0.0,0.0247524752475247,0.0,0.0123762376237623,0.0,0.0173267326732673,0.0074257425742574,0.0,0.0074257425742574,0.0049504950495049,0.0,0.2128712871287128,0.0,1,3,2,5,0,0,0,0,0,5,0,15,3,0,2,0,0,0,0,243,0,279,0.0024752475247524,0.0074257425742574,0.0049504950495049,0.0123762376237623,0.0,0.0,0.0,0.0,0.0,0.0123762376237623,0.0,0.0371287128712871,0.0074257425742574,0.0,0.0049504950495049,0.0,0.0,0.0,0.0,0.6014851485148515,0.0
2012-02-01,2012,2,0,1,2,2,2,3,0,0,0,9,0,2,1,2,4,0,2,0,0,70,0,100,0.0,0.0026455026455026,0.0052910052910052,0.0052910052910052,0.0052910052910052,0.0079365079365079,0.0,0.0,0.0,0.0238095238095238,0.0,0.0052910052910052,0.0026455026455026,0.0052910052910052,0.0105820105820105,0.0,0.0052910052910052,0.0,0.0,0.1851851851851851,0.0,6,0,5,3,1,2,0,0,0,2,0,10,4,1,8,0,2,0,0,234,0,278,0.0158730158730158,0.0,0.0132275132275132,0.0079365079365079,0.0026455026455026,0.0052910052910052,0.0,0.0,0.0,0.0052910052910052,0.0,0.0264550264550264,0.0105820105820105,0.0026455026455026,0.0211640211640211,0.0,0.0052910052910052,0.0,0.0,0.6190476190476191,0.0
2012-03-01,2012,3,1,4,3,2,0,2,0,0,0,10,0,7,1,2,1,1,2,2,0,58,0,96,0.0028328611898017,0.0113314447592068,0.0084985835694051,0.0056657223796034,0.0,0.0056657223796034,0.0,0.0,0.0,0.0283286118980169,0.0,0.0198300283286118,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0056657223796034,0.0,0.1643059490084986,0.0,6,0,7,10,0,1,0,0,0,4,0,26,6,2,4,0,1,0,0,190,0,257,0.0169971671388102,0.0,0.0198300283286118,0.0283286118980169,0.0,0.0028328611898017,0.0,0.0,0.0,0.0113314447592068,0.0,0.0736543909348441,0.0169971671388102,0.0056657223796034,0.0113314447592068,0.0,0.0028328611898017,0.0,0.0,0.5382436260623229,0.0
2012-04-01,2012,4,0,1,1,1,1,3,0,0,0,7,0,3,3,1,1,2,2,0,0,53,0,79,0.0,0.0033222591362126,0.0033222591362126,0.0033222591362126,0.0033222591362126,0.0099667774086378,0.0,0.0,0.0,0.0232558139534883,0.0,0.0099667774086378,0.0099667774086378,0.0033222591362126,0.0033222591362126,0.0066445182724252,0.0066445182724252,0.0,0.0,0.1760797342192691,0.0,4,0,7,5,0,0,0,0,0,6,0,24,7,3,3,0,0,0,1,163,0,222,0.0132890365448504,0.0,0.0232558139534883,0.0166112956810631,0.0,0.0,0.0,0.0,0.0,0.0199335548172757,0.0,0.0797342192691029,0.0232558139534883,0.0099667774086378,0.0099667774086378,0.0,0.0,0.0,0.0033222591362126,0.5415282392026578,0.0
2012-05-01,2012,5,6,12,6,3,0,0,0,0,0,4,0,2,0,5,1,0,1,1,0,52,0,90,0.0189873417721519,0.0379746835443038,0.0189873417721519,0.0094936708860759,0.0,0.0,0.0,0.0,0.0,0.0126582278481012,0.0,0.0063291139240506,0.0,0.0158227848101265,0.0031645569620253,0.0,0.0031645569620253,0.0031645569620253,0.0,0.1645569620253164,0.0,6,0,6,1,0,0,0,0,0,8,0,30,6,2,2,0,1,0,1,165,0,226,0.0189873417721519,0.0,0.0189873417721519,0.0031645569620253,0.0,0.0,0.0,0.0,0.0,0.0253164556962025,0.0,0.0949367088607595,0.0189873417721519,0.0063291139240506,0.0063291139240506,0.0,0.0031645569620253,0.0,0.0031645569620253,0.5221518987341772,0.0
2012-06-01,2012,6,1,2,4,0,1,1,1,0,0,4,0,2,0,1,1,0,0,0,0,49,0,66,0.003731343283582,0.0074626865671641,0.0149253731343283,0.0,0.003731343283582,0.003731343283582,0.003731343283582,0.0,0.0,0.0149253731343283,0.0,0.0074626865671641,0.0,0.003731343283582,0.003731343283582,0.0,0.0,0.0,0.0,0.1828358208955224,0.0,8,0,5,6,0,1,0,0,0,5,0,23,7,2,4,0,0,0,0,141,0,202,0.0298507462686567,0.0,0.0186567164179104,0.0223880597014925,0.0,0.003731343283582,0.0,0.0,0.0,0.0186567164179104,0.0,0.085820895522388,0.0261194029850746,0.0074626865671641,0.0149253731343283,0.0,0.0,0.0,0.0,0.5261194029850746,0.0
2012-07-01,2012,7,1,0,3,3,0,3,0,0,0,4,1,7,2,0,2,1,0,0,0,32,0,59,0.0034129692832764,0.0,0.0102389078498293,0.0102389078498293,0.0,0.0102389078498293,0.0,0.0,0.0,0.0136518771331058,0.0034129692832764,0.0238907849829351,0.0068259385665529,0.0,0.0068259385665529,0.0034129692832764,0.0,0.0,0.0,0.1092150170648464,0.0,8,0,6,16,0,0,0,0,0,4,0,17,10,3,2,1,0,1,0,169,0,234,0.0273037542662116,0.0,0.0204778156996587,0.0546075085324232,0.0,0.0,0.0,0.0,0.0,0.0136518771331058,0.0,0.0580204778156996,0.0341296928327645,0.0102389078498293,0.0068259385665529,0.0034129692832764,0.0,0.0034129692832764,0.0,0.5767918088737202,0.0
2012-08-01,2012,8,0,1,2,4,0,1,0,0,0,1,0,2,1,1,5,1,0,1,0,28,1,48,0.0,0.0045045045045045,0.009009009009009,0.018018018018018,0.0,0.0045045045045045,0.0,0.0,0.0,0.0045045045045045,0.0,0.009009009009009,0.0045045045045045,0.0045045045045045,0.0225225225225225,0.0045045045045045,0.0,0.0045045045045045,0.0,0.1261261261261261,0.0045045045045045,6,0,2,12,0,0,0,0,0,5,0,13,3,3,4,0,0,1,0,127,0,174,0.027027027027027,0.0,0.009009009009009,0.054054054054054,0.0,0.0,0.0,0.0,0.0,0.0225225225225225,0.0,0.0585585585585585,0.0135135135135135,0.0135135135135135,0.018018018018018,0.0,0.0,0.0045045045045045,0.0,0.5720720720720721,0.0
2012-09-01,2012,9,0,3,1,2,0,2,0,1,0,10,1,1,1,2,4,1,0,2,1,25,0,56,0.0,0.0114068441064638,0.0038022813688212,0.0076045627376425,0.0,0.0076045627376425,0.0,0.0038022813688212,0.0,0.0380228136882129,0.0038022813688212,0.0038022813688212,0.0038022813688212,0.0076045627376425,0.0152091254752851,0.0038022813688212,0.0,0.0076045627376425,0.0038022813688212,0.0950570342205323,0.0,2,1,11,7,1,0,0,0,0,3,0,22,4,2,3,0,0,1,1,151,0,207,0.0076045627376425,0.0038022813688212,0.0418250950570342,0.026615969581749,0.0038022813688212,0.0,0.0,0.0,0.0,0.0114068441064638,0.0,0.0836501901140684,0.0152091254752851,0.0076045627376425,0.0114068441064638,0.0,0.0,0.0038022813688212,0.0038022813688212,0.5741444866920152,0.0
2012-10-01,2012,10,1,0,6,0,0,1,0,0,0,5,0,8,1,2,5,0,0,0,0,45,3,73,0.002770083102493,0.0,0.0166204986149584,0.0,0.0,0.002770083102493,0.0,0.0,0.0,0.0138504155124653,0.0,0.0221606648199446,0.002770083102493,0.0055401662049861,0.0138504155124653,0.0,0.0,0.0,0.0,0.1246537396121883,0.0083102493074792,11,1,11,3,0,0,0,0,0,7,2,36,7,2,2,0,0,0,0,207,0,288,0.0304709141274238,0.002770083102493,0.0304709141274238,0.0083102493074792,0.0,0.0,0.0,0.0,0.0,0.0193905817174515,0.0055401662049861,0.0997229916897507,0.0193905817174515,0.0055401662049861,0.0055401662049861,0.0,0.0,0.0,0.0,0.5734072022160664,0.0
