country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Malaysia,2012-01-01,13,5,98,17,36,8,14,13,122,18,7,10,55,26,87,33,1,26,5,45,1538,25,8,27,7,65,11,4,3,5,9,18,2287,0.005684302579798863,0.0021862702229995625,0.04285089637079143,0.007433318758198513,0.015741145605596852,0.0034980323567993005,0.006121556624398776,0.005684302579798863,0.05334499344118933,0.007870572802798426,0.003060778312199388,0.004372540445999125,0.024048972452995192,0.011368605159597726,0.03804110188019239,0.014429383471797114,4.3725404459991256e-4,0.011368605159597726,0.0021862702229995625,0.019676432006996064,0.010931351114997814,0.0034980323567993005,0.011805859204197638,0.003060778312199388,0.028421512898994316,0.004809794490599038,0.0017490161783996502,0.0013117621337997377,0.0021862702229995625,0.003935286401399213,0.007870572802798426
Malaysia,2012-02-01,19,14,75,26,26,7,7,11,108,28,3,9,73,30,68,20,2,17,1,48,1712,18,17,19,1,56,10,3,0,7,4,29,2407,0.007893643539675945,0.005816368923971749,0.03115911923556294,0.01080182800166182,0.01080182800166182,0.0029081844619858743,0.0029081844619858743,0.004570004154549232,0.04486913169921063,0.011632737847943497,0.0012463647694225177,0.003739094308267553,0.030328209389281262,0.012463647694225177,0.028250934773577065,0.008309098462816784,8.309098462816784e-4,0.007062733693394266,4.154549231408392e-4,0.019941836310760283,0.007478188616535106,0.007062733693394266,0.007893643539675945,4.154549231408392e-4,0.023265475695886995,0.004154549231408392,0.0012463647694225177,0,0.0029081844619858743,0.0016618196925633569,0.012048192771084338
Malaysia,2012-03-01,19,5,120,51,30,4,15,34,165,31,2,5,85,50,89,23,0,16,7,27,1897,17,16,30,2,87,26,2,0,2,4,29,2806,0.0067712045616536,0.001781895937277263,0.042765502494654314,0.018175338560228082,0.010691375623663579,0.0014255167498218105,0.005345687811831789,0.012116892373485389,0.05880256593014968,0.011047754811119031,7.127583749109052e-4,0.001781895937277263,0.03029223093371347,0.01781895937277263,0.03171774768353528,0.00819672131147541,0,0.005702066999287242,0.0024946543121881683,0.00962223806129722,0.0060584461867426945,0.005702066999287242,0.010691375623663579,7.127583749109052e-4,0.031004989308624376,0.009265858873841768,7.127583749109052e-4,0,7.127583749109052e-4,0.0014255167498218105,0.010334996436208126
Malaysia,2012-04-01,24,12,129,60,31,8,8,27,91,107,7,21,67,34,165,7,5,19,5,57,1614,15,12,26,4,74,37,2,1,5,1,36,2647,0.009066868152625614,0.004533434076312807,0.048734416320362677,0.022667170381564034,0.011711371363808084,0.003022289384208538,0.003022289384208538,0.010200226671703816,0.03437854174537212,0.0404231205137892,0.0026445032111824707,0.007933509633547412,0.025311673592746504,0.012844729882886286,0.062334718549301095,0.0026445032111824707,0.0018889308651303363,0.007177937287495277,0.0018889308651303363,0.021533811862485833,0.0056667925953910086,0.004533434076312807,0.009822440498677748,0.001511144692104269,0.027956176803928975,0.013978088401964487,7.555723460521345e-4,3.7778617302606723e-4,0.0018889308651303363,3.7778617302606723e-4,0.01360030222893842
Malaysia,2012-05-01,24,26,107,52,39,19,13,14,160,32,1,14,46,43,214,17,5,16,7,76,1882,22,24,15,2,63,3,2,4,7,2,23,2916,0.00823045267489712,0.008916323731138546,0.036694101508916326,0.01783264746227709,0.013374485596707819,0.006515775034293553,0.004458161865569273,0.004801097393689987,0.05486968449931413,0.010973936899862825,3.429355281207133e-4,0.004801097393689987,0.01577503429355281,0.014746227709190672,0.07338820301783265,0.005829903978052126,0.0017146776406035665,0.0054869684499314125,0.0024005486968449933,0.026063100137174212,0.0075445816186556925,0.00823045267489712,0.0051440329218107,6.858710562414266e-4,0.021604938271604937,0.00102880658436214,6.858710562414266e-4,0.0013717421124828531,0.0024005486968449933,6.858710562414266e-4,0.007887517146776405
Malaysia,2012-06-01,3,12,118,44,29,7,12,33,136,44,2,8,102,35,57,18,1,20,2,15,1861,8,14,29,2,78,35,3,2,5,4,14,2667,0.0011248593925759281,0.0044994375703037125,0.044244469441319836,0.016497937757780277,0.010873640794900637,0.0026246719160104987,0.0044994375703037125,0.012373453318335208,0.0509936257967754,0.016497937757780277,7.499062617172854e-4,0.0029996250468691415,0.03824521934758155,0.013123359580052493,0.021372328458942633,0.006749156355455568,3.749531308586427e-4,0.0074990626171728535,7.499062617172854e-4,0.00562429696287964,0.0029996250468691415,0.005249343832020997,0.010873640794900637,7.499062617172854e-4,0.02924634420697413,0.013123359580052493,0.0011248593925759281,7.499062617172854e-4,0.0018747656542932134,0.0014998125234345708,0.005249343832020997
Malaysia,2012-07-01,16,8,90,25,33,12,10,24,85,45,0,11,41,30,53,21,5,18,3,30,1890,19,29,34,6,78,38,2,6,3,10,18,2645,0.0060491493383742915,0.0030245746691871457,0.034026465028355386,0.00945179584120983,0.012476370510396975,0.004536862003780718,0.003780718336483932,0.009073724007561436,0.03213610586011342,0.017013232514177693,0,0.004158790170132325,0.01550094517958412,0.011342155009451797,0.02003780718336484,0.007939508506616257,0.001890359168241966,0.006805293005671078,0.0011342155009451795,0.011342155009451797,0.007183364839319471,0.010964083175803403,0.01285444234404537,0.002268431001890359,0.02948960302457467,0.014366729678638942,7.561436672967864e-4,0.002268431001890359,0.0011342155009451795,0.003780718336483932,0.006805293005671078
Malaysia,2012-08-01,11,13,54,6,33,7,5,28,100,59,3,7,50,25,44,18,4,17,4,10,1852,17,18,14,4,54,26,2,0,11,8,12,2466,0.004460665044606651,0.0052716950527169504,0.021897810218978103,0.0024330900243309003,0.01338199513381995,0.00283860502838605,0.00202757502027575,0.0113544201135442,0.040551500405515,0.023925385239253853,0.0012165450121654502,0.00283860502838605,0.0202757502027575,0.01013787510137875,0.017842660178426603,0.0072992700729927005,0.0016220600162206002,0.006893755068937551,0.0016220600162206002,0.0040551500405515,0.006893755068937551,0.0072992700729927005,0.0056772100567721,0.0016220600162206002,0.021897810218978103,0.010543390105433901,8.110300081103001e-4,0,0.004460665044606651,0.0032441200324412004,0.004866180048661801
Malaysia,2012-09-01,15,8,106,20,26,12,8,6,120,37,2,12,74,37,69,10,5,17,1,45,1826,28,16,19,4,77,33,1,2,13,9,24,2627,0.005709935287400076,0.0030452988199467074,0.04035020936429387,0.007613247049866768,0.0098972211648268,0.004567948229920061,0.0030452988199467074,0.0022839741149600305,0.04567948229920061,0.014084507042253521,7.613247049866769e-4,0.004567948229920061,0.028169014084507043,0.014084507042253521,0.02626570232204035,0.003806623524933384,0.001903311762466692,0.006471259992386753,3.8066235249333843e-4,0.01712980586220023,0.010658545869813475,0.006090597639893415,0.00723258469737343,0.0015226494099733537,0.029311001141987057,0.012561857632280167,3.8066235249333843e-4,7.613247049866769e-4,0.0049486105824134,0.0034259611724400457,0.009135896459840122
Malaysia,2012-10-01,5,12,76,11,37,9,11,21,129,39,3,5,110,29,37,10,3,8,6,19,1954,24,17,27,3,75,37,3,2,1,6,18,2654,0.0018839487565938207,0.00452147701582517,0.028636021100226075,0.004144687264506406,0.013941220798794273,0.003391107761868877,0.004144687264506406,0.007912584777694047,0.048605877920120576,0.0146948003014318,0.0011303692539562924,0.0018839487565938207,0.04144687264506405,0.01092690278824416,0.013941220798794273,0.0037678975131876413,0.0011303692539562924,0.003014318010550113,0.002260738507912585,0.007159005275056519,0.00904295403165034,0.00640542577241899,0.010173323285606632,0.0011303692539562924,0.02825923134890731,0.013941220798794273,0.0011303692539562924,7.535795026375283e-4,3.7678975131876413e-4,0.002260738507912585,0.006782215523737754
