date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,1,62,18,1,1,45,7,1,0,30,0,12,11,15,19,4,11,5,0,432,0,671,0.0005780346820809,0.0358381502890173,0.0104046242774566,0.0005780346820809,0.0005780346820809,0.0260115606936416,0.0040462427745664,0.0005780346820809,0.0,0.0173410404624277,0.0,0.006936416184971,0.0063583815028901,0.0086705202312138,0.0109826589595375,0.0023121387283236,0.0063583815028901,0.0028901734104046,0.0,0.2497109826589595,0.0,11,2,21,19,0,3,0,1,0,14,0,13,13,7,11,1,2,1,2,942,0,1059,0.0063583815028901,0.0011560693641618,0.0121387283236994,0.0109826589595375,0.0,0.0017341040462427,0.0,0.0005780346820809,0.0,0.0080924855491329,0.0,0.007514450867052,0.007514450867052,0.0040462427745664,0.0063583815028901,0.0005780346820809,0.0011560693641618,0.0005780346820809,0.0011560693641618,0.5445086705202312,0.0
2012-02-01,2012,2,13,31,19,2,2,64,5,3,1,29,0,5,1,29,28,0,7,1,2,455,0,685,0.0066769388803287,0.0159219311761684,0.0097586029789419,0.0010272213662044,0.0010272213662044,0.0328710837185413,0.002568053415511,0.0015408320493066,0.0005136106831022,0.014894709809964,0.0,0.002568053415511,0.0005136106831022,0.014894709809964,0.0143810991268618,0.0,0.0035952747817154,0.0005136106831022,0.0010272213662044,0.2336928608115048,0.0,21,5,27,40,0,4,0,0,0,13,0,12,8,5,13,1,1,1,2,1114,0,1262,0.0107858243451463,0.002568053415511,0.0138674884437596,0.0205444273240883,0.0,0.0020544427324088,0.0,0.0,0.0,0.0066769388803287,0.0,0.0061633281972265,0.0041088854648176,0.002568053415511,0.0066769388803287,0.0005136106831022,0.0005136106831022,0.0005136106831022,0.0010272213662044,0.5721623009758603,0.0
2012-03-01,2012,3,3,47,18,1,1,120,8,7,1,34,2,8,2,16,18,6,5,3,0,565,0,861,0.0014910536779324,0.0233598409542743,0.0089463220675944,0.0004970178926441,0.0004970178926441,0.0596421471172962,0.003976143141153,0.0034791252485089,0.0004970178926441,0.0168986083499005,0.0009940357852882,0.003976143141153,0.0009940357852882,0.0079522862823061,0.0089463220675944,0.0029821073558648,0.0024850894632206,0.0014910536779324,0.0,0.2808151093439364,0.0,21,3,20,19,0,8,0,2,0,15,0,4,10,12,26,2,2,1,0,1009,0,1151,0.0104373757455268,0.0014910536779324,0.0099403578528827,0.0094433399602385,0.0,0.003976143141153,0.0,0.0009940357852882,0.0,0.007455268389662,0.0,0.0019880715705765,0.0049701789264413,0.0059642147117296,0.0129224652087475,0.0009940357852882,0.0009940357852882,0.0004970178926441,0.0,0.5014910536779325,0.0
2012-04-01,2012,4,14,16,23,1,3,11,1,7,0,21,0,7,3,12,22,5,13,4,0,441,0,600,0.0083432657926102,0.0095351609058402,0.0137067938021454,0.000595947556615,0.001787842669845,0.0065554231227651,0.000595947556615,0.0041716328963051,0.0,0.0125148986889153,0.0,0.0041716328963051,0.001787842669845,0.0071513706793802,0.0131108462455303,0.002979737783075,0.0077473182359952,0.00238379022646,0.0,0.2628128724672229,0.0,16,4,16,19,0,3,0,2,0,4,0,15,9,8,11,3,2,1,0,969,1,1078,0.0095351609058402,0.00238379022646,0.0095351609058402,0.0113230035756853,0.0,0.001787842669845,0.0,0.00119189511323,0.0,0.00238379022646,0.0,0.0089392133492252,0.0053635280095351,0.0047675804529201,0.0065554231227651,0.001787842669845,0.00119189511323,0.000595947556615,0.0,0.5774731823599524,0.000595947556615
2012-05-01,2012,5,11,24,18,2,0,27,0,0,0,24,0,3,4,31,48,4,5,1,0,432,0,625,0.005533199195171,0.0120724346076458,0.0090543259557344,0.0010060362173038,0.0,0.0135814889336016,0.0,0.0,0.0,0.0120724346076458,0.0,0.0015090543259557,0.0020120724346076,0.0155935613682092,0.0241448692152917,0.0020120724346076,0.0025150905432595,0.0005030181086519,0.0,0.2173038229376257,0.0,30,5,35,19,1,0,1,3,0,9,0,11,7,15,36,2,0,0,0,1198,1,1362,0.0150905432595573,0.0025150905432595,0.0176056338028169,0.0095573440643863,0.0005030181086519,0.0,0.0005030181086519,0.0015090543259557,0.0,0.0045271629778672,0.0,0.005533199195171,0.0035211267605633,0.0075452716297786,0.0181086519114688,0.0010060362173038,0.0,0.0,0.0,0.60261569416499,0.0005030181086519
2012-06-01,2012,6,4,11,17,1,1,39,2,2,0,18,1,3,4,27,22,1,11,1,0,471,0,631,0.002002002002002,0.0055055055055055,0.0085085085085085,0.0005005005005005,0.0005005005005005,0.0195195195195195,0.001001001001001,0.001001001001001,0.0,0.009009009009009,0.0005005005005005,0.0015015015015015,0.002002002002002,0.0135135135135135,0.011011011011011,0.0005005005005005,0.0055055055055055,0.0005005005005005,0.0,0.2357357357357357,0.0,12,5,27,18,0,3,0,0,1,5,0,8,11,15,26,2,0,1,1,1235,0,1367,0.006006006006006,0.0025025025025025,0.0135135135135135,0.009009009009009,0.0,0.0015015015015015,0.0,0.0,0.0005005005005005,0.0025025025025025,0.0,0.004004004004004,0.0055055055055055,0.0075075075075075,0.013013013013013,0.001001001001001,0.0,0.0005005005005005,0.0005005005005005,0.6181181181181181,0.0
2012-07-01,2012,7,11,19,19,1,1,44,6,1,0,14,1,5,0,39,20,3,17,3,0,519,0,708,0.0054945054945054,0.0094905094905094,0.0094905094905094,0.0004995004995004,0.0004995004995004,0.0219780219780219,0.0029970029970029,0.0004995004995004,0.0,0.0069930069930069,0.0004995004995004,0.0024975024975024,0.0,0.0194805194805194,0.0099900099900099,0.0014985014985014,0.0084915084915084,0.0014985014985014,0.0,0.2592407592407592,0.0,17,10,23,36,0,4,0,0,0,10,0,9,10,14,22,0,2,4,0,1140,0,1294,0.0084915084915084,0.0049950049950049,0.0114885114885114,0.0179820179820179,0.0,0.0019980019980019,0.0,0.0,0.0,0.0049950049950049,0.0,0.0044955044955044,0.0049950049950049,0.0069930069930069,0.0109890109890109,0.0,0.0009990009990009,0.0019980019980019,0.0,0.5694305694305695,0.0
2012-08-01,2012,8,17,30,15,2,1,12,2,0,1,12,0,16,2,23,14,1,9,2,1,442,0,592,0.0092091007583965,0.0162513542795232,0.0081256771397616,0.0010834236186348,0.0005417118093174,0.0065005417118093,0.0010834236186348,0.0,0.0005417118093174,0.0065005417118093,0.0,0.008667388949079,0.0010834236186348,0.0124593716143011,0.0075839653304442,0.0005417118093174,0.0048754062838569,0.0010834236186348,0.0005417118093174,0.2394366197183098,0.0,27,9,15,16,0,1,0,1,0,5,0,7,5,11,18,6,4,2,1,1130,0,1254,0.0146262188515709,0.0048754062838569,0.0081256771397616,0.008667388949079,0.0,0.0005417118093174,0.0,0.0005417118093174,0.0,0.0027085590465872,0.0,0.0037919826652221,0.0027085590465872,0.0059588299024918,0.0097508125677139,0.0032502708559046,0.0021668472372697,0.0010834236186348,0.0005417118093174,0.6121343445287107,0.0
2012-09-01,2012,9,9,43,12,0,0,29,7,2,0,22,0,5,0,22,24,2,6,2,1,499,0,679,0.0045317220543806,0.0216515609264854,0.0060422960725075,0.0,0.0,0.0146022155085599,0.0035246727089627,0.0010070493454179,0.0,0.0110775427995971,0.0,0.0025176233635448,0.0,0.0110775427995971,0.0120845921450151,0.0010070493454179,0.0030211480362537,0.0010070493454179,0.0005035246727089,0.2512588116817724,0.0,27,20,21,3,0,2,0,0,0,11,4,11,14,7,27,5,1,1,1,1155,0,1307,0.0135951661631419,0.0100704934541792,0.0105740181268882,0.0015105740181268,0.0,0.0010070493454179,0.0,0.0,0.0,0.0055387713997985,0.0020140986908358,0.0055387713997985,0.0070493454179254,0.0035246727089627,0.0135951661631419,0.0025176233635448,0.0005035246727089,0.0005035246727089,0.0005035246727089,0.581570996978852,0.0
2012-10-01,2012,10,3,15,17,2,2,34,0,3,0,16,0,2,0,26,28,2,7,1,0,409,0,560,0.001595744680851,0.0079787234042553,0.0090425531914893,0.001063829787234,0.001063829787234,0.0180851063829787,0.0,0.001595744680851,0.0,0.0085106382978723,0.0,0.001063829787234,0.0,0.0138297872340425,0.0148936170212765,0.001063829787234,0.0037234042553191,0.000531914893617,0.0,0.2175531914893617,0.0,23,2,15,11,0,4,0,0,0,9,0,9,9,7,22,3,1,2,0,1205,0,1320,0.0122340425531914,0.001063829787234,0.0079787234042553,0.0058510638297872,0.0,0.002127659574468,0.0,0.0,0.0,0.0047872340425531,0.0,0.0047872340425531,0.0047872340425531,0.0037234042553191,0.0117021276595744,0.001595744680851,0.000531914893617,0.001063829787234,0.0,0.6409574468085106,0.0
