country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Mozambique,2012-01-01,3,1,3,0,3,1,2,23,11,3,0,0,4,0,2,1,0,0,2,1,321,9,1,0,0,3,0,0,1,0,5,6,400,0.0075,0.0025,0.0075,0,0.0075,0.0025,0.005,0.0575,0.0275,0.0075,0,0,0.01,0,0.005,0.0025,0,0,0.005,0.0025,0.0225,0.0025,0,0,0.0075,0,0,0.0025,0,0.0125,0.015
Mozambique,2012-02-01,4,0,3,1,2,1,1,17,4,1,0,2,3,2,3,1,0,1,1,3,331,10,2,0,0,1,1,1,0,1,5,5,403,0.009925558312655087,0,0.007444168734491315,0.0024813895781637717,0.004962779156327543,0.0024813895781637717,0.0024813895781637717,0.04218362282878412,0.009925558312655087,0.0024813895781637717,0,0.004962779156327543,0.007444168734491315,0.004962779156327543,0.007444168734491315,0.0024813895781637717,0,0.0024813895781637717,0.0024813895781637717,0.007444168734491315,0.02481389578163772,0.004962779156327543,0,0,0.0024813895781637717,0.0024813895781637717,0.0024813895781637717,0,0.0024813895781637717,0.01240694789081886,0.01240694789081886
Mozambique,2012-03-01,5,3,4,1,2,0,0,16,6,2,0,0,2,1,2,2,0,0,4,2,413,5,3,0,0,3,8,0,0,0,3,3,488,0.010245901639344262,0.006147540983606557,0.00819672131147541,0.0020491803278688526,0.004098360655737705,0,0,0.03278688524590164,0.012295081967213115,0.004098360655737705,0,0,0.004098360655737705,0.0020491803278688526,0.004098360655737705,0.004098360655737705,0,0,0.00819672131147541,0.004098360655737705,0.010245901639344262,0.006147540983606557,0,0,0.006147540983606557,0.01639344262295082,0,0,0,0.006147540983606557,0.006147540983606557
Mozambique,2012-04-01,1,1,15,0,5,0,0,9,3,5,0,0,1,0,2,0,0,1,2,3,350,6,5,1,0,6,4,0,1,1,7,6,434,0.002304147465437788,0.002304147465437788,0.03456221198156682,0,0.01152073732718894,0,0,0.020737327188940093,0.0069124423963133645,0.01152073732718894,0,0,0.002304147465437788,0,0.004608294930875576,0,0,0.002304147465437788,0.004608294930875576,0.0069124423963133645,0.013824884792626729,0.01152073732718894,0.002304147465437788,0,0.013824884792626729,0.009216589861751152,0,0.002304147465437788,0.002304147465437788,0.016129032258064516,0.013824884792626729
Mozambique,2012-05-01,2,0,7,1,3,1,0,13,10,2,0,1,6,1,2,2,0,0,8,2,435,12,4,0,0,3,5,1,2,0,7,5,531,0.003766478342749529,0,0.013182674199623353,0.0018832391713747645,0.005649717514124294,0.0018832391713747645,0,0.02448210922787194,0.018832391713747645,0.003766478342749529,0,0.0018832391713747645,0.011299435028248588,0.0018832391713747645,0.003766478342749529,0.003766478342749529,0,0,0.015065913370998116,0.003766478342749529,0.022598870056497175,0.007532956685499058,0,0,0.005649717514124294,0.009416195856873822,0.0018832391713747645,0.003766478342749529,0,0.013182674199623353,0.009416195856873822
Mozambique,2012-06-01,2,3,4,0,1,1,0,9,9,1,0,1,7,2,7,2,1,2,4,11,469,29,5,3,0,11,5,0,0,0,16,9,607,0.0032948929159802307,0.004942339373970346,0.006589785831960461,0,0.0016474464579901153,0.0016474464579901153,0,0.014827018121911038,0.014827018121911038,0.0016474464579901153,0,0.0016474464579901153,0.011532125205930808,0.0032948929159802307,0.011532125205930808,0.0032948929159802307,0.0016474464579901153,0.0032948929159802307,0.006589785831960461,0.018121911037891267,0.047775947281713346,0.008237232289950576,0.004942339373970346,0,0.018121911037891267,0.008237232289950576,0,0,0,0.026359143327841845,0.014827018121911038
Mozambique,2012-07-01,5,0,3,0,0,0,2,16,11,3,0,0,6,0,2,1,0,0,7,7,513,12,9,3,0,4,7,0,0,1,15,11,630,0.007936507936507936,0,0.004761904761904762,0,0,0,0.0031746031746031746,0.025396825396825397,0.01746031746031746,0.004761904761904762,0,0,0.009523809523809525,0,0.0031746031746031746,0.0015873015873015873,0,0,0.011111111111111112,0.011111111111111112,0.01904761904761905,0.014285714285714285,0.004761904761904762,0,0.006349206349206349,0.011111111111111112,0,0,0.0015873015873015873,0.023809523809523808,0.01746031746031746
Mozambique,2012-08-01,2,0,5,0,4,0,1,16,8,8,1,0,5,0,4,3,0,3,6,5,599,11,5,3,0,6,11,3,1,1,15,11,731,0.0027359781121751026,0,0.006839945280437756,0,0.005471956224350205,0,0.0013679890560875513,0.02188782489740082,0.01094391244870041,0.01094391244870041,0.0013679890560875513,0,0.006839945280437756,0,0.005471956224350205,0.004103967168262654,0,0.004103967168262654,0.008207934336525308,0.006839945280437756,0.015047879616963064,0.006839945280437756,0.004103967168262654,0,0.008207934336525308,0.015047879616963064,0.004103967168262654,0.0013679890560875513,0.0013679890560875513,0.02051983584131327,0.015047879616963064
Mozambique,2012-09-01,9,0,6,0,4,1,0,18,5,5,1,1,7,1,1,2,1,0,2,7,536,13,8,2,0,6,7,0,0,0,14,14,666,0.013513513513513514,0,0.009009009009009009,0,0.006006006006006006,0.0015015015015015015,0,0.02702702702702703,0.0075075075075075074,0.0075075075075075074,0.0015015015015015015,0.0015015015015015015,0.010510510510510511,0.0015015015015015015,0.0015015015015015015,0.003003003003003003,0.0015015015015015015,0,0.003003003003003003,0.010510510510510511,0.01951951951951952,0.012012012012012012,0.003003003003003003,0,0.009009009009009009,0.010510510510510511,0,0,0,0.021021021021021023,0.021021021021021023
Mozambique,2012-10-01,4,1,7,0,4,0,1,11,16,9,0,3,10,0,8,4,0,1,7,7,592,18,9,1,0,3,3,2,1,0,11,7,733,0.005457025920873124,0.001364256480218281,0.009549795361527967,0,0.005457025920873124,0,0.001364256480218281,0.015006821282401092,0.021828103683492497,0.01227830832196453,0,0.004092769440654843,0.013642564802182811,0,0.010914051841746248,0.005457025920873124,0,0.001364256480218281,0.009549795361527967,0.009549795361527967,0.02455661664392906,0.01227830832196453,0.001364256480218281,0,0.004092769440654843,0.004092769440654843,0.002728512960436562,0.001364256480218281,0,0.015006821282401092,0.009549795361527967
