country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Namibia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2012-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0
Namibia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
Namibia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2012-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
Namibia,2012-08-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0,0,0,0
Namibia,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
Namibia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
Namibia,2013-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,1,0,1,1,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0.045454545454545456,0.045454545454545456,0,0.045454545454545456,0,0,0,0
Namibia,2013-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0
Namibia,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2013-07-01,0,0,0,0,1,0,0,3,1,0,0,0,1,1,2,1,0,0,0,0,97,0,0,1,0,1,1,0,0,0,0,1,109,0,0,0,0,0.009174311926605505,0,0,0.027522935779816515,0.009174311926605505,0,0,0,0.009174311926605505,0.009174311926605505,0.01834862385321101,0.009174311926605505,0,0,0,0,0,0,0.009174311926605505,0,0.009174311926605505,0.009174311926605505,0,0,0,0,0.009174311926605505
Namibia,2013-08-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2013-09-01,0,0,1,0,2,0,0,2,3,0,0,0,2,0,2,0,0,1,1,0,248,2,1,2,0,3,2,0,0,0,0,1,269,0,0,0.0037174721189591076,0,0.007434944237918215,0,0,0.007434944237918215,0.011152416356877323,0,0,0,0.007434944237918215,0,0.007434944237918215,0,0,0.0037174721189591076,0.0037174721189591076,0,0.007434944237918215,0.0037174721189591076,0.007434944237918215,0,0.011152416356877323,0.007434944237918215,0,0,0,0,0.0037174721189591076
Namibia,2013-10-01,1,1,2,0,0,0,0,8,5,1,0,0,3,2,4,1,0,0,0,0,280,0,2,2,1,11,5,1,0,1,3,1,329,0.00303951367781155,0.00303951367781155,0.0060790273556231,0,0,0,0,0.0243161094224924,0.015197568389057751,0.00303951367781155,0,0,0.00911854103343465,0.0060790273556231,0.0121580547112462,0.00303951367781155,0,0,0,0,0,0.0060790273556231,0.0060790273556231,0.00303951367781155,0.03343465045592705,0.015197568389057751,0.00303951367781155,0,0.00303951367781155,0.00911854103343465,0.00303951367781155
Namibia,2013-11-01,0,0,7,0,1,0,0,12,4,1,0,0,2,1,1,0,0,1,0,0,320,0,2,3,0,9,2,0,0,1,2,2,366,0,0,0.01912568306010929,0,0.00273224043715847,0,0,0.03278688524590164,0.01092896174863388,0.00273224043715847,0,0,0.00546448087431694,0.00273224043715847,0.00273224043715847,0,0,0.00273224043715847,0,0,0,0.00546448087431694,0.00819672131147541,0,0.02459016393442623,0.00546448087431694,0,0,0.00273224043715847,0.00546448087431694,0.00546448087431694
Namibia,2013-12-01,1,1,3,1,0,0,1,5,2,1,1,0,1,0,0,2,0,0,0,0,187,4,1,1,0,4,1,0,0,1,0,0,215,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0,0,0.004651162790697674,0.023255813953488372,0.009302325581395349,0.004651162790697674,0.004651162790697674,0,0.004651162790697674,0,0,0.009302325581395349,0,0,0,0,0.018604651162790697,0.004651162790697674,0.004651162790697674,0,0.018604651162790697,0.004651162790697674,0,0,0.004651162790697674,0,0
Namibia,2014-01-01,0,0,2,3,0,0,0,10,3,0,0,0,1,1,2,1,0,0,0,0,272,1,0,1,1,11,3,2,0,0,4,1,316,0,0,0.006329113924050633,0.00949367088607595,0,0,0,0.03164556962025317,0.00949367088607595,0,0,0,0.0031645569620253164,0.0031645569620253164,0.006329113924050633,0.0031645569620253164,0,0,0,0,0.0031645569620253164,0,0.0031645569620253164,0.0031645569620253164,0.03481012658227848,0.00949367088607595,0.006329113924050633,0,0,0.012658227848101266,0.0031645569620253164
Namibia,2014-02-01,1,0,3,0,0,0,0,7,4,1,0,2,3,0,2,1,0,1,0,1,314,1,2,3,1,10,1,2,1,0,1,4,359,0.002785515320334262,0,0.008356545961002786,0,0,0,0,0.019498607242339833,0.011142061281337047,0.002785515320334262,0,0.005571030640668524,0.008356545961002786,0,0.005571030640668524,0.002785515320334262,0,0.002785515320334262,0,0.002785515320334262,0.002785515320334262,0.005571030640668524,0.008356545961002786,0.002785515320334262,0.027855153203342618,0.002785515320334262,0.005571030640668524,0.002785515320334262,0,0.002785515320334262,0.011142061281337047
Namibia,2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,1,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0.02857142857142857,0,0,0.02857142857142857,0
Namibia,2014-04-01,0,0,0,0,3,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,330,4,4,2,0,11,2,0,1,0,1,0,364,0,0,0,0,0.008241758241758242,0,0,0.016483516483516484,0.0027472527472527475,0,0,0,0,0.0027472527472527475,0,0,0,0,0,0,0.01098901098901099,0.01098901098901099,0.005494505494505495,0,0.03021978021978022,0.005494505494505495,0,0.0027472527472527475,0,0.0027472527472527475,0
Namibia,2014-05-01,0,0,2,0,0,0,0,1,3,2,0,0,2,0,2,0,0,1,0,1,316,2,1,4,0,9,1,1,0,0,2,3,347,0,0,0.005763688760806916,0,0,0,0,0.002881844380403458,0.008645533141210375,0.005763688760806916,0,0,0.005763688760806916,0,0.005763688760806916,0,0,0.002881844380403458,0,0.002881844380403458,0.005763688760806916,0.002881844380403458,0.011527377521613832,0,0.025936599423631124,0.002881844380403458,0.002881844380403458,0,0,0.005763688760806916,0.008645533141210375
Namibia,2014-06-01,1,0,1,1,0,0,0,4,5,2,0,0,5,1,1,1,0,0,0,0,339,3,2,2,0,12,3,1,1,0,1,0,379,0.002638522427440633,0,0.002638522427440633,0.002638522427440633,0,0,0,0.010554089709762533,0.013192612137203167,0.005277044854881266,0,0,0.013192612137203167,0.002638522427440633,0.002638522427440633,0.002638522427440633,0,0,0,0,0.0079155672823219,0.005277044854881266,0.005277044854881266,0,0.0316622691292876,0.0079155672823219,0.002638522427440633,0.002638522427440633,0,0.002638522427440633,0
Namibia,2014-07-01,0,0,0,0,1,1,1,3,4,3,0,1,2,0,4,0,0,0,0,0,401,2,3,2,0,9,0,1,0,0,0,0,432,0,0,0,0,0.0023148148148148147,0.0023148148148148147,0.0023148148148148147,0.006944444444444444,0.009259259259259259,0.006944444444444444,0,0.0023148148148148147,0.004629629629629629,0,0.009259259259259259,0,0,0,0,0,0.004629629629629629,0.006944444444444444,0.004629629629629629,0,0.020833333333333332,0,0.0023148148148148147,0,0,0,0
Namibia,2014-08-01,0,0,9,1,1,1,0,1,3,5,1,0,2,1,5,0,0,0,0,0,292,2,2,1,0,8,0,0,0,0,1,2,336,0,0,0.026785714285714284,0.002976190476190476,0.002976190476190476,0.002976190476190476,0,0.002976190476190476,0.008928571428571428,0.01488095238095238,0.002976190476190476,0,0.005952380952380952,0.002976190476190476,0.01488095238095238,0,0,0,0,0,0.005952380952380952,0.005952380952380952,0.002976190476190476,0,0.023809523809523808,0,0,0,0,0.002976190476190476,0.005952380952380952
Namibia,2014-09-01,2,0,8,1,0,1,0,2,3,0,1,0,2,1,0,1,0,0,1,0,349,0,0,4,0,16,1,0,0,0,0,2,388,0.005154639175257732,0,0.020618556701030927,0.002577319587628866,0,0.002577319587628866,0,0.005154639175257732,0.007731958762886598,0,0.002577319587628866,0,0.005154639175257732,0.002577319587628866,0,0.002577319587628866,0,0,0.002577319587628866,0,0,0,0.010309278350515464,0,0.041237113402061855,0.002577319587628866,0,0,0,0,0.005154639175257732
Namibia,2014-10-01,0,0,7,2,2,0,0,2,2,0,0,0,1,1,2,0,0,0,1,0,400,3,1,6,0,11,0,2,0,0,0,1,437,0,0,0.016018306636155607,0.004576659038901602,0.004576659038901602,0,0,0.004576659038901602,0.004576659038901602,0,0,0,0.002288329519450801,0.002288329519450801,0.004576659038901602,0,0,0,0.002288329519450801,0,0.006864988558352402,0.002288329519450801,0.013729977116704805,0,0.02517162471395881,0,0.004576659038901602,0,0,0,0.002288329519450801
Namibia,2014-11-01,0,0,15,6,0,0,0,0,4,1,0,0,2,0,1,1,0,1,0,1,125,0,0,0,0,0,0,0,0,0,1,0,156,0,0,0.09615384615384616,0.038461538461538464,0,0,0,0,0.02564102564102564,0.00641025641025641,0,0,0.01282051282051282,0,0.00641025641025641,0.00641025641025641,0,0.00641025641025641,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0.00641025641025641,0
Namibia,2014-12-01,1,0,7,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0,0,1,133,3,1,4,0,5,1,1,0,0,1,1,161,0.006211180124223602,0,0.043478260869565216,0,0,0,0,0.006211180124223602,0,0,0,0.006211180124223602,0.012422360248447204,0,0.006211180124223602,0.012422360248447204,0,0,0,0.006211180124223602,0.018633540372670808,0.006211180124223602,0.024844720496894408,0,0.031055900621118012,0.006211180124223602,0.006211180124223602,0,0,0.006211180124223602,0.006211180124223602
Namibia,2015-01-01,0,0,3,0,0,1,0,4,1,1,0,0,0,0,2,2,0,0,0,0,272,2,0,1,0,5,0,1,0,3,1,0,297,0,0,0.010101010101010102,0,0,0.003367003367003367,0,0.013468013468013467,0.003367003367003367,0.003367003367003367,0,0,0,0,0.006734006734006734,0.006734006734006734,0,0,0,0,0.006734006734006734,0,0.003367003367003367,0,0.016835016835016835,0,0.003367003367003367,0,0.010101010101010102,0.003367003367003367,0
Namibia,2015-02-01,1,0,2,0,0,0,0,6,3,1,0,0,2,2,1,0,0,2,0,0,367,2,2,3,0,8,2,2,0,0,2,2,405,0.0024691358024691358,0,0.0049382716049382715,0,0,0,0,0.014814814814814815,0.007407407407407408,0.0024691358024691358,0,0,0.0049382716049382715,0.0049382716049382715,0.0024691358024691358,0,0,0.0049382716049382715,0,0,0.0049382716049382715,0.0049382716049382715,0.007407407407407408,0,0.019753086419753086,0.0049382716049382715,0.0049382716049382715,0,0,0.0049382716049382715,0.0049382716049382715
Namibia,2015-03-01,0,0,2,0,1,0,0,7,2,0,0,0,2,1,1,4,0,0,0,0,455,3,5,6,0,10,7,0,0,1,1,0,501,0,0,0.003992015968063872,0,0.001996007984031936,0,0,0.013972055888223553,0.003992015968063872,0,0,0,0.003992015968063872,0.001996007984031936,0.001996007984031936,0.007984031936127744,0,0,0,0,0.005988023952095809,0.00998003992015968,0.011976047904191617,0,0.01996007984031936,0.013972055888223553,0,0,0.001996007984031936,0.001996007984031936,0
Namibia,2015-04-01,2,0,4,0,2,0,1,6,7,0,0,2,9,1,1,2,0,0,0,1,377,0,4,4,0,10,4,1,0,0,1,0,425,0.004705882352941176,0,0.009411764705882352,0,0.004705882352941176,0,0.002352941176470588,0.01411764705882353,0.01647058823529412,0,0,0.004705882352941176,0.021176470588235293,0.002352941176470588,0.002352941176470588,0.004705882352941176,0,0,0,0.002352941176470588,0,0.009411764705882352,0.009411764705882352,0,0.023529411764705882,0.009411764705882352,0.002352941176470588,0,0,0.002352941176470588,0
Namibia,2015-05-01,0,0,5,0,0,0,0,3,4,2,0,0,2,2,0,0,0,2,0,0,361,1,2,2,0,10,1,1,0,0,0,1,395,0,0,0.012658227848101266,0,0,0,0,0.007594936708860759,0.010126582278481013,0.005063291139240506,0,0,0.005063291139240506,0.005063291139240506,0,0,0,0.005063291139240506,0,0,0.002531645569620253,0.005063291139240506,0.005063291139240506,0,0.02531645569620253,0.002531645569620253,0.002531645569620253,0,0,0,0.002531645569620253
Namibia,2015-06-01,0,0,0,0,0,0,0,4,4,1,0,0,3,2,1,3,0,1,0,1,426,5,3,6,1,12,2,0,0,0,3,0,468,0,0,0,0,0,0,0,0.008547008547008548,0.008547008547008548,0.002136752136752137,0,0,0.00641025641025641,0.004273504273504274,0.002136752136752137,0.00641025641025641,0,0.002136752136752137,0,0.002136752136752137,0.010683760683760684,0.00641025641025641,0.01282051282051282,0.002136752136752137,0.02564102564102564,0.004273504273504274,0,0,0,0.00641025641025641,0
Namibia,2015-07-01,0,0,1,0,0,1,0,5,1,0,0,0,1,3,1,2,0,0,0,1,427,3,4,5,0,8,3,1,0,0,3,4,467,0,0,0.0021413276231263384,0,0,0.0021413276231263384,0,0.010706638115631691,0.0021413276231263384,0,0,0,0.0021413276231263384,0.006423982869379015,0.0021413276231263384,0.004282655246252677,0,0,0,0.0021413276231263384,0.006423982869379015,0.008565310492505354,0.010706638115631691,0,0.017130620985010708,0.006423982869379015,0.0021413276231263384,0,0,0.006423982869379015,0.008565310492505354
Namibia,2015-08-01,0,0,1,0,0,0,1,7,9,0,0,0,4,1,4,1,0,0,0,0,362,5,3,4,0,15,2,0,0,0,3,1,415,0,0,0.0024096385542168677,0,0,0,0.0024096385542168677,0.016867469879518072,0.021686746987951807,0,0,0,0.00963855421686747,0.0024096385542168677,0.00963855421686747,0.0024096385542168677,0,0,0,0,0.012048192771084338,0.007228915662650603,0.00963855421686747,0,0.03614457831325301,0.004819277108433735,0,0,0,0.007228915662650603,0.0024096385542168677
Namibia,2015-09-01,1,0,4,2,1,0,0,6,7,0,0,0,6,2,1,1,0,0,0,0,401,3,3,2,0,9,2,2,1,1,2,1,453,0.002207505518763797,0,0.008830022075055188,0.004415011037527594,0.002207505518763797,0,0,0.013245033112582781,0.01545253863134658,0,0,0,0.013245033112582781,0.004415011037527594,0.002207505518763797,0.002207505518763797,0,0,0,0,0.006622516556291391,0.006622516556291391,0.004415011037527594,0,0.019867549668874173,0.004415011037527594,0.004415011037527594,0.002207505518763797,0.002207505518763797,0.004415011037527594,0.002207505518763797
Namibia,2015-10-01,0,0,4,0,2,2,0,5,7,1,1,1,4,1,1,1,0,0,0,1,422,5,5,2,0,10,2,2,1,0,3,1,476,0,0,0.008403361344537815,0,0.004201680672268907,0.004201680672268907,0,0.01050420168067227,0.014705882352941176,0.0021008403361344537,0.0021008403361344537,0.0021008403361344537,0.008403361344537815,0.0021008403361344537,0.0021008403361344537,0.0021008403361344537,0,0,0,0.0021008403361344537,0.01050420168067227,0.01050420168067227,0.004201680672268907,0,0.02100840336134454,0.004201680672268907,0.004201680672268907,0.0021008403361344537,0,0.0063025210084033615,0.0021008403361344537
Namibia,2015-11-01,0,0,15,0,1,0,0,1,2,2,0,0,1,3,4,1,0,0,0,0,399,3,0,5,0,8,2,0,0,0,4,0,446,0,0,0.033632286995515695,0,0.002242152466367713,0,0,0.002242152466367713,0.004484304932735426,0.004484304932735426,0,0,0.002242152466367713,0.006726457399103139,0.008968609865470852,0.002242152466367713,0,0,0,0,0.006726457399103139,0,0.011210762331838564,0,0.017937219730941704,0.004484304932735426,0,0,0,0.008968609865470852,0
Namibia,2015-12-01,0,0,4,0,0,0,0,6,6,2,0,0,4,1,1,2,0,1,1,0,307,3,2,6,0,11,0,0,0,2,1,2,353,0,0,0.0113314447592068,0,0,0,0,0.0169971671388102,0.0169971671388102,0.0056657223796034,0,0,0.0113314447592068,0.0028328611898017,0.0028328611898017,0.0056657223796034,0,0.0028328611898017,0.0028328611898017,0,0.0084985835694051,0.0056657223796034,0.0169971671388102,0,0.031161473087818695,0,0,0,0.0056657223796034,0.0028328611898017,0.0056657223796034
Namibia,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0
Namibia,2016-02-01,0,0,3,0,2,2,0,7,9,2,2,1,4,3,7,3,0,1,0,0,412,5,3,3,0,8,6,2,0,1,0,0,479,0,0,0.006263048016701462,0,0.0041753653444676405,0.0041753653444676405,0,0.014613778705636743,0.018789144050104383,0.0041753653444676405,0.0041753653444676405,0.0020876826722338203,0.008350730688935281,0.006263048016701462,0.014613778705636743,0.006263048016701462,0,0.0020876826722338203,0,0,0.010438413361169102,0.006263048016701462,0.006263048016701462,0,0.016701461377870562,0.012526096033402923,0.0041753653444676405,0,0.0020876826722338203,0,0
Namibia,2016-03-01,0,0,0,0,1,1,0,5,3,3,0,1,3,1,3,1,0,0,1,0,498,4,4,4,2,13,4,2,2,1,3,5,556,0,0,0,0,0.0017985611510791368,0.0017985611510791368,0,0.008992805755395683,0.00539568345323741,0.00539568345323741,0,0.0017985611510791368,0.00539568345323741,0.0017985611510791368,0.00539568345323741,0.0017985611510791368,0,0,0.0017985611510791368,0,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.0035971223021582736,0.023381294964028777,0.007194244604316547,0.0035971223021582736,0.0035971223021582736,0.0017985611510791368,0.00539568345323741,0.008992805755395683
Namibia,2016-04-01,0,0,0,0,1,0,0,8,4,0,0,0,3,0,5,1,0,0,0,2,454,3,2,4,0,10,5,0,1,0,4,1,501,0,0,0,0,0.001996007984031936,0,0,0.015968063872255488,0.007984031936127744,0,0,0,0.005988023952095809,0,0.00998003992015968,0.001996007984031936,0,0,0,0.003992015968063872,0.005988023952095809,0.003992015968063872,0.007984031936127744,0,0.01996007984031936,0.00998003992015968,0,0.001996007984031936,0,0.007984031936127744,0.001996007984031936
Namibia,2016-05-01,1,0,1,1,0,0,0,4,2,1,0,0,3,0,3,1,0,1,0,1,332,3,5,3,0,11,2,0,0,0,3,0,372,0.002688172043010753,0,0.002688172043010753,0.002688172043010753,0,0,0,0.010752688172043012,0.005376344086021506,0.002688172043010753,0,0,0.008064516129032258,0,0.008064516129032258,0.002688172043010753,0,0.002688172043010753,0,0.002688172043010753,0.008064516129032258,0.013440860215053764,0.008064516129032258,0,0.02956989247311828,0.005376344086021506,0,0,0,0.008064516129032258,0
Namibia,2016-06-01,0,0,1,0,0,0,0,7,2,4,1,0,3,4,6,4,0,0,0,0,479,1,5,1,0,15,3,1,1,1,2,1,539,0,0,0.0018552875695732839,0,0,0,0,0.012987012987012988,0.0037105751391465678,0.0074211502782931356,0.0018552875695732839,0,0.0055658627087198514,0.0074211502782931356,0.011131725417439703,0.0074211502782931356,0,0,0,0,0.0018552875695732839,0.00927643784786642,0.0018552875695732839,0,0.027829313543599257,0.0055658627087198514,0.0018552875695732839,0.0018552875695732839,0.0018552875695732839,0.0037105751391465678,0.0018552875695732839
Namibia,2016-07-01,2,0,3,0,2,1,0,6,5,4,0,0,2,0,1,0,0,0,2,1,432,8,1,4,1,9,7,1,1,1,1,1,489,0.00408997955010225,0,0.006134969325153374,0,0.00408997955010225,0.002044989775051125,0,0.012269938650306749,0.010224948875255624,0.0081799591002045,0,0,0.00408997955010225,0,0.002044989775051125,0,0,0,0.00408997955010225,0.002044989775051125,0.016359918200409,0.002044989775051125,0.0081799591002045,0.002044989775051125,0.018404907975460124,0.014314928425357873,0.002044989775051125,0.002044989775051125,0.002044989775051125,0.002044989775051125,0.002044989775051125
Namibia,2016-08-01,0,0,0,1,0,1,0,7,8,10,0,0,3,1,2,0,0,1,1,0,457,5,8,6,0,18,5,3,0,0,2,5,534,0,0,0,0.0018726591760299626,0,0.0018726591760299626,0,0.013108614232209739,0.0149812734082397,0.018726591760299626,0,0,0.0056179775280898875,0.0018726591760299626,0.003745318352059925,0,0,0.0018726591760299626,0.0018726591760299626,0,0.009363295880149813,0.0149812734082397,0.011235955056179775,0,0.033707865168539325,0.009363295880149813,0.0056179775280898875,0,0,0.003745318352059925,0.009363295880149813
Namibia,2016-09-01,0,0,1,1,3,0,0,4,3,4,0,0,3,2,3,2,0,3,0,0,451,7,3,2,0,15,6,0,1,1,5,3,518,0,0,0.0019305019305019305,0.0019305019305019305,0.005791505791505791,0,0,0.007722007722007722,0.005791505791505791,0.007722007722007722,0,0,0.005791505791505791,0.003861003861003861,0.005791505791505791,0.003861003861003861,0,0.005791505791505791,0,0,0.013513513513513514,0.005791505791505791,0.003861003861003861,0,0.02895752895752896,0.011583011583011582,0,0.0019305019305019305,0.0019305019305019305,0.009652509652509652,0.005791505791505791
Namibia,2016-10-01,1,0,3,0,3,0,1,8,6,1,0,0,2,2,7,2,0,1,0,0,435,3,6,0,0,9,6,1,0,3,5,0,502,0.00199203187250996,0,0.00597609561752988,0,0.00597609561752988,0,0.00199203187250996,0.01593625498007968,0.01195219123505976,0.00199203187250996,0,0,0.00398406374501992,0.00398406374501992,0.013944223107569721,0.00398406374501992,0,0.00199203187250996,0,0,0.00597609561752988,0.01195219123505976,0,0,0.017928286852589643,0.01195219123505976,0.00199203187250996,0,0.00597609561752988,0.0099601593625498,0
Namibia,2016-11-01,1,0,2,0,3,1,0,6,2,2,0,0,2,4,5,4,0,0,0,0,435,4,2,4,0,7,9,1,0,1,1,0,489,0.002044989775051125,0,0.00408997955010225,0,0.006134969325153374,0.002044989775051125,0,0.012269938650306749,0.00408997955010225,0.00408997955010225,0,0,0.00408997955010225,0.0081799591002045,0.010224948875255624,0.0081799591002045,0,0,0,0,0.0081799591002045,0.00408997955010225,0.0081799591002045,0,0.014314928425357873,0.018404907975460124,0.002044989775051125,0,0.002044989775051125,0.002044989775051125,0
Namibia,2016-12-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222222222223,0,0,0,0,0,0,0,0,0.022222222222222223,0.022222222222222223
