country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Nicaragua,2012-01-01,2,1,31,3,15,3,1,13,22,3,0,2,8,2,12,5,0,2,1,10,720,1,6,4,0,10,12,2,0,0,6,4,891,0.002244668911335578,0.001122334455667789,0.03479236812570146,0.003367003367003367,0.016835016835016835,0.003367003367003367,0.001122334455667789,0.014590347923681257,0.024691358024691357,0.003367003367003367,0,0.002244668911335578,0.008978675645342313,0.002244668911335578,0.013468013468013467,0.005611672278338945,0,0.002244668911335578,0.001122334455667789,0.01122334455667789,0.001122334455667789,0.006734006734006734,0.004489337822671156,0,0.01122334455667789,0.013468013468013467,0.002244668911335578,0,0,0.006734006734006734,0.004489337822671156
Nicaragua,2012-02-01,1,0,12,3,7,1,2,5,15,7,1,5,5,0,9,4,0,3,3,7,542,5,9,3,1,8,8,0,0,1,4,3,664,0.0015060240963855422,0,0.018072289156626505,0.004518072289156626,0.010542168674698794,0.0015060240963855422,0.0030120481927710845,0.007530120481927711,0.022590361445783132,0.010542168674698794,0.0015060240963855422,0.007530120481927711,0.007530120481927711,0,0.01355421686746988,0.006024096385542169,0,0.004518072289156626,0.004518072289156626,0.010542168674698794,0.007530120481927711,0.01355421686746988,0.004518072289156626,0.0015060240963855422,0.012048192771084338,0.012048192771084338,0,0,0.0015060240963855422,0.006024096385542169,0.004518072289156626
Nicaragua,2012-03-01,3,0,7,1,15,2,0,9,8,8,0,1,5,3,18,7,1,1,6,6,610,6,15,1,0,15,15,0,0,0,2,5,769,0.0039011703511053317,0,0.0091027308192457735,0.0013003901170351106,0.01950585175552666,0.002600780234070221,0,0.011703511053315995,0.010403120936280884,0.010403120936280884,0,0.0013003901170351106,0.006501950585175552,0.0039011703511053317,0.02340702210663199,0.0091027308192457735,0.0013003901170351106,0.0013003901170351106,0.007802340702210663,0.007802340702210663,0.007802340702210663,0.01950585175552666,0.0013003901170351106,0,0.01950585175552666,0.01950585175552666,0,0,0,0.002600780234070221,0.006501950585175552
Nicaragua,2012-04-01,2,0,12,1,6,3,0,19,10,9,0,1,6,3,7,0,0,1,8,0,506,3,5,2,0,11,6,0,1,0,6,4,626,0.003194888178913738,0,0.019169329073482427,0.001597444089456869,0.009584664536741214,0.004792332268370607,0,0.03035143769968051,0.01597444089456869,0.01437699680511182,0,0.001597444089456869,0.009584664536741214,0.004792332268370607,0.011182108626198083,0,0,0.001597444089456869,0.012779552715654952,0,0.004792332268370607,0.007987220447284345,0.003194888178913738,0,0.01757188498402556,0.009584664536741214,0,0.001597444089456869,0,0.009584664536741214,0.006389776357827476
Nicaragua,2012-05-01,5,0,11,1,6,1,0,24,18,13,0,1,5,1,29,6,0,1,4,6,667,6,6,2,1,9,4,1,3,1,3,3,833,0.006002400960384154,0,0.013205282112845138,0.0012004801920768306,0.007202881152460984,0.0012004801920768306,0,0.028811524609843937,0.021608643457382955,0.015606242496998799,0,0.0012004801920768306,0.006002400960384154,0.0012004801920768306,0.03481392557022809,0.007202881152460984,0,0.0012004801920768306,0.004801920768307323,0.007202881152460984,0.007202881152460984,0.007202881152460984,0.0024009603841536613,0.0012004801920768306,0.010804321728691477,0.004801920768307323,0.0012004801920768306,0.003601440576230492,0.0012004801920768306,0.003601440576230492,0.003601440576230492
Nicaragua,2012-06-01,3,0,8,1,4,1,0,7,12,9,1,4,5,0,11,4,0,2,3,1,436,7,4,1,0,9,9,0,0,0,1,0,539,0.0055658627087198514,0,0.014842300556586271,0.0018552875695732839,0.0074211502782931356,0.0018552875695732839,0,0.012987012987012988,0.022263450834879406,0.016697588126159554,0.0018552875695732839,0.0074211502782931356,0.00927643784786642,0,0.02040816326530612,0.0074211502782931356,0,0.0037105751391465678,0.0055658627087198514,0.0018552875695732839,0.012987012987012988,0.0074211502782931356,0.0018552875695732839,0,0.016697588126159554,0.016697588126159554,0,0,0,0.0018552875695732839,0
Nicaragua,2012-07-01,2,0,28,7,5,1,0,14,13,8,2,3,4,2,28,7,0,0,2,5,655,5,3,5,0,18,7,1,1,1,8,4,832,0.002403846153846154,0,0.03365384615384615,0.008413461538461538,0.006009615384615385,0.001201923076923077,0,0.016826923076923076,0.015625,0.009615384615384616,0.002403846153846154,0.003605769230769231,0.004807692307692308,0.002403846153846154,0.03365384615384615,0.008413461538461538,0,0,0.002403846153846154,0.006009615384615385,0.006009615384615385,0.003605769230769231,0.006009615384615385,0,0.021634615384615384,0.008413461538461538,0.001201923076923077,0.001201923076923077,0.001201923076923077,0.009615384615384616,0.004807692307692308
Nicaragua,2012-08-01,6,0,29,4,8,1,0,36,27,5,1,4,13,0,25,4,0,2,7,3,579,8,6,8,0,29,7,5,1,0,8,7,817,0.0073439412484700125,0,0.03549571603427173,0.004895960832313341,0.009791921664626682,0.0012239902080783353,0,0.044063647490820076,0.033047735618115054,0.006119951040391677,0.0012239902080783353,0.004895960832313341,0.01591187270501836,0,0.030599755201958383,0.004895960832313341,0,0.0024479804161566705,0.008567931456548347,0.0036719706242350062,0.009791921664626682,0.0073439412484700125,0.009791921664626682,0,0.03549571603427173,0.008567931456548347,0.006119951040391677,0.0012239902080783353,0,0.009791921664626682,0.008567931456548347
Nicaragua,2012-09-01,3,0,14,2,9,0,0,40,18,5,0,3,9,1,5,3,0,1,2,5,448,5,1,6,0,16,3,0,0,0,4,2,592,0.005067567567567568,0,0.02364864864864865,0.0033783783783783786,0.015202702702702704,0,0,0.06756756756756757,0.030405405405405407,0.008445945945945946,0,0.005067567567567568,0.015202702702702704,0.0016891891891891893,0.008445945945945946,0.005067567567567568,0,0.0016891891891891893,0.0033783783783783786,0.008445945945945946,0.008445945945945946,0.0016891891891891893,0.010135135135135136,0,0.02702702702702703,0.005067567567567568,0,0,0,0.006756756756756757,0.0033783783783783786
Nicaragua,2012-10-01,4,0,43,2,6,0,0,10,4,7,0,0,2,0,11,3,1,0,4,4,528,5,5,2,0,13,5,0,0,1,3,5,666,0.006006006006006006,0,0.06456456456456457,0.003003003003003003,0.009009009009009009,0,0,0.015015015015015015,0.006006006006006006,0.010510510510510511,0,0,0.003003003003003003,0,0.016516516516516516,0.0045045045045045045,0.0015015015015015015,0,0.006006006006006006,0.006006006006006006,0.0075075075075075074,0.0075075075075075074,0.003003003003003003,0,0.01951951951951952,0.0075075075075075074,0,0,0.0015015015015015015,0.0045045045045045045,0.0075075075075075074
Nicaragua,2012-11-01,3,0,40,5,14,0,0,16,11,12,0,5,4,2,16,3,0,1,1,2,643,3,5,5,0,9,11,1,0,0,3,2,814,0.0036855036855036856,0,0.04914004914004914,0.006142506142506142,0.0171990171990172,0,0,0.019656019656019656,0.013513513513513514,0.014742014742014743,0,0.006142506142506142,0.004914004914004914,0.002457002457002457,0.019656019656019656,0.0036855036855036856,0,0.0012285012285012285,0.0012285012285012285,0.002457002457002457,0.0036855036855036856,0.006142506142506142,0.006142506142506142,0,0.011056511056511056,0.013513513513513514,0.0012285012285012285,0,0,0.0036855036855036856,0.002457002457002457
Nicaragua,2012-12-01,2,0,9,3,12,0,0,19,7,5,0,1,6,0,6,0,0,3,5,2,641,5,4,2,0,19,7,0,2,0,1,3,757,0.002642007926023778,0,0.011889035667107,0.003963011889035667,0.015852047556142668,0,0,0.02509907529722589,0.009247027741083224,0.0066050198150594455,0,0.001321003963011889,0.007926023778071334,0,0.007926023778071334,0,0,0.003963011889035667,0.0066050198150594455,0.002642007926023778,0.0066050198150594455,0.005284015852047556,0.002642007926023778,0,0.02509907529722589,0.009247027741083224,0,0.002642007926023778,0,0.001321003963011889,0.003963011889035667
Nicaragua,2013-01-01,3,1,14,2,5,1,0,11,12,8,0,4,4,0,22,4,0,2,6,5,654,5,4,3,0,15,17,3,1,0,2,6,810,0.003703703703703704,0.0012345679012345679,0.01728395061728395,0.0024691358024691358,0.006172839506172839,0.0012345679012345679,0,0.013580246913580247,0.014814814814814815,0.009876543209876543,0,0.0049382716049382715,0.0049382716049382715,0,0.027160493827160494,0.0049382716049382715,0,0.0024691358024691358,0.007407407407407408,0.006172839506172839,0.006172839506172839,0.0049382716049382715,0.003703703703703704,0,0.018518518518518517,0.020987654320987655,0.003703703703703704,0.0012345679012345679,0,0.0024691358024691358,0.007407407407407408
Nicaragua,2013-02-01,2,2,14,0,6,1,0,12,17,5,3,5,3,0,9,7,0,2,6,4,655,8,7,1,0,15,11,1,0,0,4,4,800,0.0025,0.0025,0.0175,0,0.0075,0.00125,0,0.015,0.02125,0.00625,0.00375,0.00625,0.00375,0,0.01125,0.00875,0,0.0025,0.0075,0.005,0.01,0.00875,0.00125,0,0.01875,0.01375,0.00125,0,0,0.005,0.005
Nicaragua,2013-03-01,4,1,10,0,16,0,0,16,8,13,0,6,3,5,16,2,0,0,2,4,713,9,3,2,0,10,7,0,0,0,1,2,850,0.004705882352941176,0.001176470588235294,0.011764705882352941,0,0.018823529411764704,0,0,0.018823529411764704,0.009411764705882352,0.015294117647058824,0,0.007058823529411765,0.0035294117647058825,0.0058823529411764705,0.018823529411764704,0.002352941176470588,0,0,0.002352941176470588,0.004705882352941176,0.010588235294117647,0.0035294117647058825,0.002352941176470588,0,0.011764705882352941,0.00823529411764706,0,0,0,0.001176470588235294,0.002352941176470588
Nicaragua,2013-04-01,7,3,19,4,10,0,0,17,28,22,0,5,10,4,23,8,0,2,4,5,792,13,6,0,0,17,19,1,0,0,4,3,1018,0.0068762278978389,0.0029469548133595285,0.018664047151277015,0.003929273084479371,0.009823182711198428,0,0,0.01669941060903733,0.0275049115913556,0.021611001964636542,0,0.004911591355599214,0.009823182711198428,0.003929273084479371,0.022593320235756387,0.007858546168958742,0,0.0019646365422396855,0.003929273084479371,0.004911591355599214,0.012770137524557957,0.005893909626719057,0,0,0.01669941060903733,0.018664047151277015,9.823182711198428e-4,0,0,0.003929273084479371,0.0029469548133595285
Nicaragua,2013-05-01,7,1,9,3,11,0,0,29,30,12,0,1,10,2,20,11,0,2,5,6,673,10,7,1,0,16,25,1,0,0,6,3,894,0.007829977628635347,0.0011185682326621924,0.010067114093959731,0.003355704697986577,0.012304250559284116,0,0,0.03243847874720358,0.03355704697986577,0.013422818791946308,0,0.0011185682326621924,0.011185682326621925,0.0022371364653243847,0.02237136465324385,0.012304250559284116,0,0.0022371364653243847,0.005592841163310962,0.006711409395973154,0.011185682326621925,0.007829977628635347,0.0011185682326621924,0,0.017897091722595078,0.02796420581655481,0.0011185682326621924,0,0,0.006711409395973154,0.003355704697986577
Nicaragua,2013-06-01,2,0,10,1,13,0,1,30,17,11,2,0,6,2,33,7,0,2,3,4,685,6,8,0,0,13,17,3,1,1,7,5,884,0.0022624434389140274,0,0.011312217194570135,0.0011312217194570137,0.014705882352941176,0,0.0011312217194570137,0.033936651583710405,0.019230769230769232,0.012443438914027148,0.0022624434389140274,0,0.006787330316742082,0.0022624434389140274,0.03733031674208145,0.007918552036199095,0,0.0022624434389140274,0.003393665158371041,0.004524886877828055,0.006787330316742082,0.00904977375565611,0,0,0.014705882352941176,0.019230769230769232,0.003393665158371041,0.0011312217194570137,0.0011312217194570137,0.007918552036199095,0.005656108597285068
Nicaragua,2013-07-01,6,1,6,1,16,1,0,37,25,14,0,5,11,5,6,4,7,1,5,2,725,5,12,1,0,7,14,3,0,0,3,0,912,0.006578947368421052,0.0010964912280701754,0.006578947368421052,0.0010964912280701754,0.017543859649122806,0.0010964912280701754,0,0.04057017543859649,0.027412280701754384,0.015350877192982455,0,0.005482456140350877,0.01206140350877193,0.005482456140350877,0.006578947368421052,0.0043859649122807015,0.007675438596491228,0.0010964912280701754,0.005482456140350877,0.0021929824561403508,0.005482456140350877,0.013157894736842105,0.0010964912280701754,0,0.007675438596491228,0.015350877192982455,0.003289473684210526,0,0,0.003289473684210526,0
Nicaragua,2013-08-01,4,1,5,0,8,2,0,18,16,14,0,5,4,1,14,3,0,4,4,8,763,4,12,1,0,12,24,2,0,0,7,3,934,0.004282655246252677,0.0010706638115631692,0.0053533190578158455,0,0.008565310492505354,0.0021413276231263384,0,0.019271948608137045,0.017130620985010708,0.014989293361884369,0,0.0053533190578158455,0.004282655246252677,0.0010706638115631692,0.014989293361884369,0.0032119914346895075,0,0.004282655246252677,0.004282655246252677,0.008565310492505354,0.004282655246252677,0.01284796573875803,0.0010706638115631692,0,0.01284796573875803,0.02569593147751606,0.0021413276231263384,0,0,0.007494646680942184,0.0032119914346895075
Nicaragua,2013-09-01,5,0,16,2,15,1,0,29,17,24,1,3,8,2,11,3,0,3,3,5,1347,9,10,3,0,9,28,1,0,2,6,5,1557,0.0032113037893384713,0,0.010276172125883108,0.0012845215157353885,0.009633911368015413,6.422607578676942e-4,0,0.018625561978163133,0.010918432883750802,0.015414258188824663,6.422607578676942e-4,0.0019267822736030828,0.005138086062941554,0.0012845215157353885,0.007064868336544637,0.0019267822736030828,0,0.0019267822736030828,0.0019267822736030828,0.0032113037893384713,0.005780346820809248,0.006422607578676943,0.0019267822736030828,0,0.005780346820809248,0.01798330122029544,6.422607578676942e-4,0,0.0012845215157353885,0.0038535645472061657,0.0032113037893384713
Nicaragua,2013-10-01,5,1,15,1,16,0,0,48,26,20,0,6,9,2,16,3,0,3,3,4,1476,12,8,3,0,33,37,2,2,2,6,6,1755,0.002849002849002849,5.698005698005698e-4,0.008547008547008548,5.698005698005698e-4,0.009116809116809116,0,0,0.02735042735042735,0.014814814814814815,0.011396011396011397,0,0.003418803418803419,0.005128205128205128,0.0011396011396011395,0.009116809116809116,0.0017094017094017094,0,0.0017094017094017094,0.0017094017094017094,0.002279202279202279,0.006837606837606838,0.004558404558404558,0.0017094017094017094,0,0.018803418803418803,0.021082621082621083,0.0011396011396011395,0.0011396011396011395,0.0011396011396011395,0.003418803418803419,0.003418803418803419
Nicaragua,2013-11-01,10,1,33,4,12,1,0,63,25,70,0,7,14,2,39,7,1,3,7,15,1547,8,8,5,0,18,16,1,0,0,6,7,1919,0.005211047420531527,5.211047420531526e-4,0.017196456487754037,0.0020844189682126106,0.006253256904637832,5.211047420531526e-4,0,0.03282959874934862,0.013027618551328817,0.03647733194372069,0,0.0036477331943720686,0.007295466388744137,0.0010422094841063053,0.020323084940072955,0.0036477331943720686,5.211047420531526e-4,0.001563314226159458,0.0036477331943720686,0.007816571130797291,0.004168837936425221,0.004168837936425221,0.0026055237102657635,0,0.009379885356956748,0.008337675872850442,5.211047420531526e-4,0,0,0.003126628452318916,0.0036477331943720686
Nicaragua,2013-12-01,3,0,10,4,15,1,0,29,9,25,0,5,11,1,14,5,1,1,10,8,1289,5,8,2,0,31,21,1,1,0,9,7,1517,0.001977587343441002,0,0.0065919578114700065,0.0026367831245880024,0.00988793671720501,6.591957811470006e-4,0,0.01911667765326302,0.005932762030323006,0.016479894528675015,0,0.0032959789057350032,0.007251153592617007,6.591957811470006e-4,0.00922874093605801,0.0032959789057350032,6.591957811470006e-4,6.591957811470006e-4,0.0065919578114700065,0.005273566249176005,0.0032959789057350032,0.005273566249176005,0.0013183915622940012,0,0.02043506921555702,0.013843111404087014,6.591957811470006e-4,6.591957811470006e-4,0,0.005932762030323006,0.004614370468029005
Nicaragua,2014-01-01,4,0,7,0,5,0,0,10,4,21,0,0,1,0,12,4,1,0,1,2,718,3,5,1,0,9,6,2,1,0,3,2,820,0.004878048780487805,0,0.00853658536585366,0,0.006097560975609756,0,0,0.012195121951219513,0.004878048780487805,0.025609756097560974,0,0,0.0012195121951219512,0,0.014634146341463415,0.004878048780487805,0.0012195121951219512,0,0.0012195121951219512,0.0024390243902439024,0.003658536585365854,0.006097560975609756,0.0012195121951219512,0,0.01097560975609756,0.007317073170731708,0.0024390243902439024,0.0012195121951219512,0,0.003658536585365854,0.0024390243902439024
Nicaragua,2014-02-01,6,0,23,3,11,1,0,19,15,10,0,4,5,3,8,2,0,1,1,7,656,3,6,2,0,9,8,0,0,0,0,1,799,0.007509386733416771,0,0.028785982478097622,0.0037546933667083854,0.01376720901126408,0.0012515644555694619,0,0.023779724655819776,0.01877346683354193,0.012515644555694618,0,0.0050062578222778474,0.006257822277847309,0.0037546933667083854,0.010012515644555695,0.0025031289111389237,0,0.0012515644555694619,0.0012515644555694619,0.008760951188986232,0.0037546933667083854,0.007509386733416771,0.0025031289111389237,0,0.011264080100125156,0.010012515644555695,0,0,0,0,0.0012515644555694619
Nicaragua,2014-03-01,7,0,40,10,26,0,0,44,21,16,0,12,7,6,21,5,1,2,8,2,1651,21,11,6,1,33,18,1,2,1,8,9,1980,0.0035353535353535356,0,0.020202020202020204,0.005050505050505051,0.013131313131313131,0,0,0.022222222222222223,0.010606060606060607,0.00808080808080808,0,0.006060606060606061,0.0035353535353535356,0.0030303030303030303,0.010606060606060607,0.0025252525252525255,5.05050505050505e-4,0.00101010101010101,0.00404040404040404,0.00101010101010101,0.010606060606060607,0.005555555555555556,0.0030303030303030303,5.05050505050505e-4,0.016666666666666666,0.00909090909090909,5.05050505050505e-4,0.00101010101010101,5.05050505050505e-4,0.00404040404040404,0.004545454545454545
Nicaragua,2014-04-01,4,1,27,1,23,0,0,121,11,12,1,10,3,2,9,6,2,1,6,4,1401,13,10,2,0,24,15,2,1,0,12,12,1733,0.002308136180034622,5.770340450086555e-4,0.015579919215233698,5.770340450086555e-4,0.013271783035199077,0,0,0.06982111944604731,0.006347374495095211,0.006924408540103866,5.770340450086555e-4,0.005770340450086555,0.0017311021350259665,0.001154068090017311,0.0051933064050779,0.003462204270051933,0.001154068090017311,5.770340450086555e-4,0.003462204270051933,0.002308136180034622,0.0075014425851125215,0.005770340450086555,0.001154068090017311,0,0.013848817080207732,0.008655510675129832,0.001154068090017311,5.770340450086555e-4,0,0.006924408540103866,0.006924408540103866
Nicaragua,2014-05-01,4,2,28,3,24,1,0,48,24,4,1,3,10,3,21,7,3,1,4,4,1516,10,9,7,0,32,27,1,2,2,8,10,1808,0.0022123893805309734,0.0011061946902654867,0.015486725663716814,0.00165929203539823,0.01327433628318584,5.530973451327434e-4,0,0.02654867256637168,0.01327433628318584,0.0022123893805309734,5.530973451327434e-4,0.00165929203539823,0.0055309734513274336,0.00165929203539823,0.011615044247787611,0.0038716814159292035,0.00165929203539823,5.530973451327434e-4,0.0022123893805309734,0.0022123893805309734,0.0055309734513274336,0.00497787610619469,0.0038716814159292035,0,0.017699115044247787,0.014933628318584071,5.530973451327434e-4,0.0011061946902654867,0.0011061946902654867,0.004424778761061947,0.0055309734513274336
