country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Paraguay,2012-01-01,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,1,0,45,0,1,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0.07272727272727272,0,0.01818181818181818,0,0,0,0,0.03636363636363636,0,0,0,0.01818181818181818,0,0,0.01818181818181818,0,0,0.01818181818181818,0,0,0,0,0,0
Paraguay,2012-02-01,0,0,1,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,67,0,1,0,0,0,1,0,0,0,0,0,76,0,0,0.013157894736842105,0,0.013157894736842105,0,0,0.013157894736842105,0,0.039473684210526314,0,0,0,0.013157894736842105,0,0,0,0,0,0,0,0.013157894736842105,0,0,0,0.013157894736842105,0,0,0,0,0
Paraguay,2012-03-01,0,0,0,0,0,0,0,2,3,0,0,0,1,0,2,1,0,1,1,1,66,1,0,0,0,2,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0.025,0.0375,0,0,0,0.0125,0,0.025,0.0125,0,0.0125,0.0125,0.0125,0.0125,0,0,0,0.025,0,0,0,0,0,0
Paraguay,2012-04-01,0,0,4,0,1,0,0,3,0,0,0,0,1,0,2,2,0,0,0,0,103,0,1,0,0,3,2,0,0,0,0,1,123,0,0,0.032520325203252036,0,0.008130081300813009,0,0,0.024390243902439025,0,0,0,0,0.008130081300813009,0,0.016260162601626018,0.016260162601626018,0,0,0,0,0,0.008130081300813009,0,0,0.024390243902439025,0.016260162601626018,0,0,0,0,0.008130081300813009
Paraguay,2012-05-01,0,0,1,0,1,0,0,4,4,2,0,0,1,0,2,0,0,0,0,1,136,1,0,1,0,3,0,0,0,1,0,2,159,0,0,0.006289308176100629,0,0.006289308176100629,0,0,0.025157232704402517,0.025157232704402517,0.012578616352201259,0,0,0.006289308176100629,0,0.012578616352201259,0,0,0,0,0.006289308176100629,0.006289308176100629,0,0.006289308176100629,0,0.018867924528301886,0,0,0,0.006289308176100629,0,0.012578616352201259
Paraguay,2012-06-01,1,1,2,0,4,26,0,1,6,4,0,2,2,1,5,23,0,1,2,2,191,0,0,2,0,6,0,0,0,0,3,1,282,0.0035460992907801418,0.0035460992907801418,0.0070921985815602835,0,0.014184397163120567,0.09219858156028368,0,0.0035460992907801418,0.02127659574468085,0.014184397163120567,0,0.0070921985815602835,0.0070921985815602835,0.0035460992907801418,0.01773049645390071,0.08156028368794327,0,0.0035460992907801418,0.0070921985815602835,0.0070921985815602835,0,0,0.0070921985815602835,0,0.02127659574468085,0,0,0,0,0.010638297872340425,0.0035460992907801418
Paraguay,2012-07-01,1,0,3,0,1,1,0,2,2,1,0,0,1,0,2,2,0,2,0,0,114,1,3,0,0,1,0,0,0,0,0,2,139,0.007194244604316547,0,0.02158273381294964,0,0.007194244604316547,0.007194244604316547,0,0.014388489208633094,0.014388489208633094,0.007194244604316547,0,0,0.007194244604316547,0,0.014388489208633094,0.014388489208633094,0,0.014388489208633094,0,0,0.007194244604316547,0.02158273381294964,0,0,0.007194244604316547,0,0,0,0,0,0.014388489208633094
Paraguay,2012-08-01,0,0,3,1,2,1,0,3,4,0,0,1,2,1,1,1,0,0,0,2,116,3,0,1,0,1,1,0,1,0,0,1,144,0,0,0.020833333333333332,0.006944444444444444,0.013888888888888888,0.006944444444444444,0,0.020833333333333332,0.027777777777777776,0,0,0.006944444444444444,0.013888888888888888,0.006944444444444444,0.006944444444444444,0.006944444444444444,0,0,0,0.013888888888888888,0.020833333333333332,0,0.006944444444444444,0,0.006944444444444444,0.006944444444444444,0,0.006944444444444444,0,0,0.006944444444444444
Paraguay,2012-09-01,1,0,0,1,0,0,0,2,0,2,0,0,0,0,6,2,0,1,2,1,132,1,2,2,0,4,0,0,0,0,2,3,162,0.006172839506172839,0,0,0.006172839506172839,0,0,0,0.012345679012345678,0,0.012345679012345678,0,0,0,0,0.037037037037037035,0.012345679012345678,0,0.006172839506172839,0.012345679012345678,0.006172839506172839,0.006172839506172839,0.012345679012345678,0.012345679012345678,0,0.024691358024691357,0,0,0,0,0.012345679012345678,0.018518518518518517
Paraguay,2012-10-01,0,0,2,0,2,0,0,3,1,1,0,0,0,1,0,2,0,0,1,0,109,0,1,1,0,3,0,0,0,0,3,0,130,0,0,0.015384615384615385,0,0.015384615384615385,0,0,0.023076923076923078,0.007692307692307693,0.007692307692307693,0,0,0,0.007692307692307693,0,0.015384615384615385,0,0,0.007692307692307693,0,0,0.007692307692307693,0.007692307692307693,0,0.023076923076923078,0,0,0,0,0.023076923076923078,0
Paraguay,2012-11-01,0,0,5,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,96,2,0,1,0,3,2,1,0,0,1,1,116,0,0,0.04310344827586207,0,0.008620689655172414,0,0,0.008620689655172414,0.008620689655172414,0,0,0,0,0,0.017241379310344827,0,0,0,0,0,0.017241379310344827,0,0.008620689655172414,0,0.02586206896551724,0.017241379310344827,0.008620689655172414,0,0,0.008620689655172414,0.008620689655172414
Paraguay,2012-12-01,0,0,4,0,0,0,0,6,3,3,1,0,1,2,0,2,0,0,2,0,119,3,1,0,0,3,2,0,0,0,1,1,153,0,0,0.026143790849673203,0,0,0,0,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.006535947712418301,0,0.006535947712418301,0.013071895424836602,0,0.013071895424836602,0,0,0.013071895424836602,0,0.0196078431372549,0.006535947712418301,0,0,0.0196078431372549,0.013071895424836602,0,0,0,0.006535947712418301,0.006535947712418301
