date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,9,8,190,54,1,14,3,8,0,21,9,30,34,83,24,6,22,4,4,499,5,954,0.0029013539651837,0.0025789813023855,0.0612508059316569,0.0174081237911025,0.0003223726627981,0.0045132172791747,0.0009671179883945,0.0025789813023855,0.0,0.006769825918762,0.0029013539651837,0.0096711798839458,0.0109606705351386,0.0267569310122501,0.0077369439071566,0.0019342359767891,0.0070921985815602,0.0012894906511927,0.0012894906511927,0.1608639587362991,0.0016118633139909,56,6,97,85,1,3,0,7,1,28,2,36,69,40,31,4,3,1,3,1694,3,2136,0.0180528691166989,0.0019342359767891,0.0312701482914248,0.0274016763378465,0.0003223726627981,0.0009671179883945,0.0,0.0022566086395873,0.0003223726627981,0.0090264345583494,0.0006447453255963,0.011605415860735,0.0222437137330754,0.0128949065119277,0.009993552546744,0.0012894906511927,0.0009671179883945,0.0003223726627981,0.0009671179883945,0.5460992907801419,0.0009671179883945
2012-02-01,2012,2,9,11,217,76,2,15,3,11,1,15,3,27,49,100,20,11,22,5,0,530,5,1056,0.0029173419773095,0.0035656401944894,0.0703403565640194,0.0246353322528363,0.0006482982171799,0.0048622366288492,0.0009724473257698,0.0035656401944894,0.0003241491085899,0.0048622366288492,0.0009724473257698,0.0087520259319286,0.0158833063209076,0.0324149108589951,0.006482982171799,0.0035656401944894,0.0071312803889789,0.0016207455429497,0.0,0.1717990275526742,0.0016207455429497,60,2,122,66,0,0,0,2,1,18,2,30,54,36,43,3,1,2,1,1613,4,2021,0.019448946515397,0.0006482982171799,0.039546191247974,0.0213938411669367,0.0,0.0,0.0,0.0006482982171799,0.0003241491085899,0.0058346839546191,0.0006482982171799,0.0097244732576985,0.0175040518638573,0.0116693679092382,0.0139384116693679,0.0009724473257698,0.0003241491085899,0.0006482982171799,0.0003241491085899,0.5228525121555916,0.0012965964343598
2012-03-01,2012,3,16,12,166,28,0,26,2,13,0,27,8,26,35,75,27,11,14,12,1,548,3,981,0.0048426150121065,0.0036319612590799,0.0502421307506053,0.0084745762711864,0.0,0.0078692493946731,0.0006053268765133,0.0039346246973365,0.0,0.0081719128329297,0.0024213075060532,0.0078692493946731,0.010593220338983,0.0226997578692493,0.0081719128329297,0.0033292978208232,0.0042372881355932,0.0036319612590799,0.0003026634382566,0.1658595641646489,0.0009079903147699,60,7,115,87,0,5,0,8,1,29,2,26,43,33,48,4,6,3,2,1865,3,2315,0.0181598062953995,0.0021186440677966,0.0348062953995157,0.0263317191283293,0.0,0.0015133171912832,0.0,0.0024213075060532,0.0003026634382566,0.008777239709443,0.0006053268765133,0.0078692493946731,0.0130145278450363,0.0099878934624697,0.0145278450363196,0.0012106537530266,0.0018159806295399,0.0009079903147699,0.0006053268765133,0.5644673123486683,0.0009079903147699
2012-04-01,2012,4,21,19,89,21,2,34,5,6,0,41,4,25,43,41,18,16,8,18,2,525,4,902,0.0068897637795275,0.0062335958005249,0.0291994750656168,0.0068897637795275,0.0006561679790026,0.0111548556430446,0.0016404199475065,0.0019685039370078,0.0,0.0134514435695538,0.0013123359580052,0.0082020997375328,0.0141076115485564,0.0134514435695538,0.0059055118110236,0.0052493438320209,0.0026246719160104,0.0059055118110236,0.0006561679790026,0.1722440944881889,0.0013123359580052,47,4,85,62,1,1,0,6,2,28,0,23,45,21,31,5,3,2,5,1789,4,2140,0.0154199475065616,0.0013123359580052,0.0278871391076115,0.0203412073490813,0.0003280839895013,0.0003280839895013,0.0,0.0019685039370078,0.0006561679790026,0.0091863517060367,0.0,0.0075459317585301,0.014763779527559,0.0068897637795275,0.0101706036745406,0.0016404199475065,0.0009842519685039,0.0006561679790026,0.0016404199475065,0.5869422572178478,0.0013123359580052
2012-05-01,2012,5,8,39,199,23,2,49,7,5,1,28,1,20,38,97,28,9,16,9,1,659,6,1156,0.0022675736961451,0.0110544217687074,0.0564058956916099,0.0065192743764172,0.0005668934240362,0.0138888888888888,0.0019841269841269,0.0014172335600907,0.0002834467120181,0.0079365079365079,0.0002834467120181,0.0056689342403628,0.0107709750566893,0.0274943310657596,0.0079365079365079,0.0025510204081632,0.0045351473922902,0.0025510204081632,0.0002834467120181,0.1867913832199546,0.0017006802721088,49,5,89,98,1,4,0,10,0,28,2,18,50,25,33,4,3,3,5,1952,1,2357,0.0138888888888888,0.0014172335600907,0.0252267573696145,0.0277777777777777,0.0002834467120181,0.0011337868480725,0.0,0.0028344671201814,0.0,0.0079365079365079,0.0005668934240362,0.0051020408163265,0.014172335600907,0.0070861678004535,0.0093537414965986,0.0011337868480725,0.0008503401360544,0.0008503401360544,0.0014172335600907,0.5532879818594104,0.0002834467120181
2012-06-01,2012,6,7,13,68,45,2,32,3,5,2,31,1,23,36,43,53,8,16,6,3,530,1,896,0.0023201856148491,0.0043089161418627,0.0225389459728206,0.0149154789526019,0.0006629101756711,0.0106065628107391,0.0009943652635067,0.0016572754391779,0.0006629101756711,0.0102751077229035,0.0003314550878355,0.0076234670202187,0.0119323831620815,0.0142525687769307,0.0175671196552867,0.0026516407026847,0.0053032814053695,0.0019887305270135,0.0009943652635067,0.1756711965528671,0.0003314550878355,44,5,73,102,1,2,1,6,1,23,2,31,36,15,48,9,6,2,6,1710,5,2112,0.0145840238647663,0.0016572754391779,0.0241962214119986,0.033808418959231,0.0003314550878355,0.0006629101756711,0.0003314550878355,0.0019887305270135,0.0003314550878355,0.0076234670202187,0.0006629101756711,0.0102751077229035,0.0119323831620815,0.0049718263175339,0.0159098442161087,0.0029830957905203,0.0019887305270135,0.0006629101756711,0.0019887305270135,0.5667882001988731,0.0016572754391779
2012-07-01,2012,7,7,21,100,47,0,42,7,5,2,47,2,27,30,61,66,6,14,4,2,655,2,1098,0.0020901761719916,0.0062705285159749,0.0298596595998805,0.0140340400119438,0.0,0.0125410570319498,0.0020901761719916,0.001492982979994,0.0005971931919976,0.0140340400119438,0.0005971931919976,0.0080621080919677,0.0089578978799641,0.0182143923559271,0.0197073753359211,0.0017915795759928,0.0041803523439832,0.0011943863839952,0.0005971931919976,0.1955807703792176,0.0005971931919976,41,2,64,95,1,4,0,7,1,26,0,27,42,21,69,2,7,4,4,1852,4,2249,0.012242460435951,0.0005971931919976,0.0191101821439235,0.0283666766198865,0.0002985965959988,0.0011943863839952,0.0,0.0020901761719916,0.0002985965959988,0.0077635114959689,0.0,0.0080621080919677,0.0125410570319498,0.0062705285159749,0.0206031651239175,0.0005971931919976,0.0020901761719916,0.0011943863839952,0.0011943863839952,0.553000895789788,0.0011943863839952
2012-08-01,2012,8,10,15,69,147,0,27,3,9,7,25,1,30,45,37,53,6,10,3,1,617,2,1091,0.0027831895352073,0.004174784302811,0.0192040077929307,0.040912886167548,0.0,0.0075146117450598,0.0008349568605622,0.0025048705816866,0.0019482326746451,0.0069579738380183,0.0002783189535207,0.008349568605622,0.012524352908433,0.0102978012802671,0.0147509045365989,0.0016699137211244,0.0027831895352073,0.0008349568605622,0.0002783189535207,0.1717227943222933,0.0005566379070414,41,5,64,170,2,1,0,11,3,19,7,24,56,12,54,6,9,5,2,2011,6,2493,0.0114110770943501,0.0013915947676036,0.017812413025327,0.0473142220985249,0.0005566379070414,0.0002783189535207,0.0,0.003061508488728,0.0008349568605622,0.0052880601168939,0.0019482326746451,0.0066796548844976,0.0155858613971611,0.0033398274422488,0.0150292234901196,0.0016699137211244,0.0025048705816866,0.0013915947676036,0.0005566379070414,0.5596994155301976,0.0016699137211244
2012-09-01,2012,9,11,7,83,80,11,59,4,2,6,31,5,27,32,60,46,18,24,14,1,626,3,1115,0.0033670033670033,0.0021426385062748,0.0254055708601163,0.0244872972145699,0.0033670033670033,0.0180593816957453,0.0012243648607284,0.0006121824303642,0.0018365472910927,0.0094888276706458,0.0015304560759106,0.0082644628099173,0.0097949188858279,0.0183654729109274,0.0140801958983777,0.0055096418732782,0.0073461891643709,0.0042852770125497,0.0003060912151821,0.1916131007040098,0.0009182736455463,63,1,84,89,0,4,0,9,6,32,4,16,41,16,66,1,9,2,1,1719,3,2148,0.0192837465564738,0.0003060912151821,0.0257116620752984,0.027242118151209,0.0,0.0012243648607284,0.0,0.0027548209366391,0.0018365472910927,0.0097949188858279,0.0012243648607284,0.0048974594429139,0.012549739822467,0.0048974594429139,0.0202020202020202,0.0003060912151821,0.0027548209366391,0.0006121824303642,0.0003060912151821,0.5261707988980716,0.0009182736455463
2012-10-01,2012,10,18,20,96,54,0,97,5,14,1,84,4,15,38,50,88,8,20,8,2,719,4,1299,0.0050406048725847,0.0056006720806496,0.0268832259871184,0.0151218146177541,0.0,0.0271632595911509,0.0014001680201624,0.0039204704564547,0.0002800336040324,0.0235228227387286,0.0011201344161299,0.0042005040604872,0.0106412769532343,0.0140016802016241,0.0246429571548585,0.0022402688322598,0.0056006720806496,0.0022402688322598,0.0005600672080649,0.2013441612993559,0.0011201344161299,60,2,63,68,1,5,0,8,4,35,0,37,46,25,73,4,7,5,6,1834,0,2261,0.016802016241949,0.0005600672080649,0.0176421170540464,0.0190422850742089,0.0002800336040324,0.0014001680201624,0.0,0.0022402688322598,0.0011201344161299,0.0098011761411369,0.0,0.0103612433492019,0.0128815457854942,0.007000840100812,0.0204424530943713,0.0011201344161299,0.0019602352282273,0.0014001680201624,0.0016802016241949,0.5135816297955754,0.0
