country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Serbia,2012-01-01,5,2,28,0,14,1,1,16,11,6,2,7,10,2,14,2,0,3,1,5,1252,12,2,5,1,18,4,3,1,2,4,14,1439,0.0034746351633078527,0.001389854065323141,0.019457956914523976,0,0.009728978457261988,6.949270326615705e-4,6.949270326615705e-4,0.011118832522585128,0.007644197359277276,0.004169562195969423,0.001389854065323141,0.004864489228630994,0.006949270326615705,0.001389854065323141,0.009728978457261988,0.001389854065323141,0,0.0020847810979847115,6.949270326615705e-4,0.0034746351633078527,0.008339124391938846,0.001389854065323141,0.0034746351633078527,6.949270326615705e-4,0.01250868658790827,0.002779708130646282,0.0020847810979847115,6.949270326615705e-4,0.001389854065323141,0.002779708130646282,0.009728978457261988
Serbia,2012-02-01,8,2,35,0,18,0,0,33,21,7,9,3,6,6,10,2,0,1,0,5,1300,13,5,3,0,25,8,2,1,0,1,22,1539,0.005198180636777128,0.001299545159194282,0.022742040285899934,0,0.011695906432748537,0,0,0.021442495126705652,0.01364522417153996,0.004548408057179987,0.005847953216374269,0.001949317738791423,0.003898635477582846,0.003898635477582846,0.00649772579597141,0.001299545159194282,0,6.49772579597141e-4,0,0.003248862897985705,0.008447043534762833,0.003248862897985705,0.001949317738791423,0,0.016244314489928524,0.005198180636777128,0.001299545159194282,6.49772579597141e-4,0,6.49772579597141e-4,0.014294996751137101
Serbia,2012-03-01,5,3,95,4,26,0,0,24,25,2,1,2,13,6,32,3,0,2,0,6,1612,17,12,3,1,26,10,1,0,1,4,13,1939,0.0025786487880350697,0.0015471892728210418,0.04899432697266632,0.0020629190304280558,0.013408973697782363,0,0,0.012377514182568335,0.012893243940175348,0.0010314595152140279,5.157297576070139e-4,0.0010314595152140279,0.006704486848891181,0.0030943785456420837,0.016503352243424446,0.0015471892728210418,0,0.0010314595152140279,0,0.0030943785456420837,0.008767405879319236,0.006188757091284167,0.0015471892728210418,5.157297576070139e-4,0.013408973697782363,0.005157297576070139,5.157297576070139e-4,0,5.157297576070139e-4,0.0020629190304280558,0.006704486848891181
Serbia,2012-04-01,11,1,93,5,13,2,2,8,18,10,2,1,12,2,33,6,0,4,3,5,1495,20,8,2,0,26,5,0,1,0,7,13,1799,0.006114508060033352,5.558643690939411e-4,0.05169538632573652,0.0027793218454697055,0.007226236798221234,0.0011117287381878821,0.0011117287381878821,0.0044469149527515284,0.010005558643690939,0.005558643690939411,0.0011117287381878821,5.558643690939411e-4,0.006670372429127293,0.0011117287381878821,0.018343524180100056,0.0033351862145636463,0,0.0022234574763757642,0.0016675931072818232,0.0027793218454697055,0.011117287381878822,0.0044469149527515284,0.0011117287381878821,0,0.014452473596442469,0.0027793218454697055,0,5.558643690939411e-4,0,0.0038910505836575876,0.007226236798221234
Serbia,2012-05-01,6,2,186,20,37,0,0,20,26,4,0,1,13,4,22,3,0,3,1,7,1602,11,13,7,0,28,2,0,1,0,2,9,2016,0.002976190476190476,9.92063492063492e-4,0.09226190476190477,0.00992063492063492,0.018353174603174604,0,0,0.00992063492063492,0.012896825396825396,0.001984126984126984,0,4.96031746031746e-4,0.006448412698412698,0.001984126984126984,0.010912698412698412,0.001488095238095238,0,0.001488095238095238,4.96031746031746e-4,0.003472222222222222,0.005456349206349206,0.006448412698412698,0.003472222222222222,0,0.013888888888888888,9.92063492063492e-4,0,4.96031746031746e-4,0,9.92063492063492e-4,0.004464285714285714
Serbia,2012-06-01,3,1,20,3,31,2,0,12,33,2,0,1,12,2,12,10,0,0,3,12,1444,7,12,5,0,21,6,0,0,2,3,14,1657,0.0018105009052504525,6.035003017501509e-4,0.012070006035003017,0.0018105009052504525,0.018708509354254676,0.0012070006035003018,0,0.00724200362100181,0.019915509957754977,0.0012070006035003018,0,6.035003017501509e-4,0.00724200362100181,0.0012070006035003018,0.00724200362100181,0.006035003017501509,0,0,0.0018105009052504525,0.00724200362100181,0.004224502112251056,0.00724200362100181,0.0030175015087507543,0,0.012673506336753168,0.003621001810500905,0,0,0.0012070006035003018,0.0018105009052504525,0.008449004224502113
Serbia,2012-07-01,6,2,20,1,23,1,0,19,11,3,2,2,6,4,9,11,0,1,0,4,1401,11,9,3,0,13,9,0,1,2,5,15,1589,0.003775959723096287,0.0012586532410320957,0.012586532410320957,6.293266205160479e-4,0.0144745122718691,6.293266205160479e-4,0,0.01195720578980491,0.006922592825676526,0.0018879798615481435,0.0012586532410320957,0.0012586532410320957,0.003775959723096287,0.0025173064820641915,0.005663939584644431,0.006922592825676526,0,6.293266205160479e-4,0,0.0025173064820641915,0.006922592825676526,0.005663939584644431,0.0018879798615481435,0,0.008181246066708621,0.005663939584644431,0,6.293266205160479e-4,0.0012586532410320957,0.0031466331025802393,0.009439899307740718
Serbia,2012-08-01,6,0,10,1,11,3,0,31,17,4,2,3,14,3,5,10,1,3,4,5,1367,15,6,10,2,19,12,1,1,1,3,14,1562,0.0038412291933418692,0,0.006402048655569782,6.402048655569782e-4,0.007042253521126761,0.0019206145966709346,0,0.019846350832266324,0.01088348271446863,0.002560819462227913,0.0012804097311139564,0.0019206145966709346,0.008962868117797696,0.0019206145966709346,0.003201024327784891,0.006402048655569782,6.402048655569782e-4,0.0019206145966709346,0.002560819462227913,0.003201024327784891,0.009603072983354673,0.0038412291933418692,0.006402048655569782,0.0012804097311139564,0.012163892445582587,0.0076824583866837385,6.402048655569782e-4,6.402048655569782e-4,6.402048655569782e-4,0.0019206145966709346,0.008962868117797696
Serbia,2012-09-01,0,0,16,1,11,3,0,29,13,7,0,2,13,3,15,18,0,0,1,2,1113,8,7,5,1,17,9,2,0,0,3,8,1295,0,0,0.012355212355212355,7.722007722007722e-4,0.008494208494208495,0.0023166023166023165,0,0.022393822393822392,0.010038610038610039,0.005405405405405406,0,0.0015444015444015444,0.010038610038610039,0.0023166023166023165,0.011583011583011582,0.013899613899613899,0,0,7.722007722007722e-4,0.0015444015444015444,0.006177606177606178,0.005405405405405406,0.003861003861003861,7.722007722007722e-4,0.013127413127413128,0.0069498069498069494,0.0015444015444015444,0,0,0.0023166023166023165,0.006177606177606178
Serbia,2012-10-01,4,1,23,1,26,1,1,23,28,10,2,1,11,3,15,12,0,3,0,4,1332,15,10,7,0,31,13,2,1,1,3,8,1575,0.0025396825396825397,6.349206349206349e-4,0.014603174603174604,6.349206349206349e-4,0.01650793650793651,6.349206349206349e-4,6.349206349206349e-4,0.014603174603174604,0.017777777777777778,0.006349206349206349,0.0012698412698412698,6.349206349206349e-4,0.006984126984126984,0.0019047619047619048,0.009523809523809525,0.007619047619047619,0,0.0019047619047619048,0,0.0025396825396825397,0.009523809523809525,0.006349206349206349,0.0044444444444444444,0,0.019682539682539683,0.008253968253968255,0.0012698412698412698,6.349206349206349e-4,6.349206349206349e-4,0.0019047619047619048,0.005079365079365079
Serbia,2012-11-01,7,4,10,0,23,6,0,6,45,5,1,1,17,3,11,5,1,4,1,9,1283,9,11,9,0,21,12,3,2,2,2,7,1494,0.004685408299866131,0.002677376171352075,0.006693440428380187,0,0.015394912985274432,0.004016064257028112,0,0.004016064257028112,0.030120481927710843,0.0033467202141900937,6.693440428380187e-4,6.693440428380187e-4,0.011378848728246318,0.002008032128514056,0.007362784471218206,0.0033467202141900937,6.693440428380187e-4,0.002677376171352075,6.693440428380187e-4,0.006024096385542169,0.006024096385542169,0.007362784471218206,0.006024096385542169,0,0.014056224899598393,0.008032128514056224,0.002008032128514056,0.0013386880856760374,0.0013386880856760374,0.0013386880856760374,0.004685408299866131
Serbia,2012-12-01,13,1,15,4,16,2,2,12,17,13,3,0,14,4,15,8,0,3,0,2,1104,11,6,6,0,19,13,0,0,1,1,8,1293,0.010054137664346482,7.733952049497294e-4,0.01160092807424594,0.0030935808197989174,0.01237432327919567,0.0015467904098994587,0.0015467904098994587,0.009280742459396751,0.013147718484145398,0.010054137664346482,0.002320185614849188,0,0.01082753286929621,0.0030935808197989174,0.01160092807424594,0.006187161639597835,0,0.002320185614849188,0,0.0015467904098994587,0.008507347254447023,0.004640371229698376,0.004640371229698376,0,0.014694508894044857,0.010054137664346482,0,0,7.733952049497294e-4,7.733952049497294e-4,0.006187161639597835
Serbia,2013-01-01,2,3,17,1,18,2,1,3,26,8,1,0,9,4,21,8,4,3,1,8,1108,10,11,5,0,21,7,0,4,0,3,16,1313,0.0015232292460015233,0.002284843869002285,0.012947448591012947,7.616146230007616e-4,0.013709063214013708,0.0015232292460015233,7.616146230007616e-4,0.002284843869002285,0.019801980198019802,0.006092916984006093,7.616146230007616e-4,0,0.006854531607006854,0.0030464584920030465,0.015993907083015995,0.006092916984006093,0.0030464584920030465,0.002284843869002285,7.616146230007616e-4,0.006092916984006093,0.007616146230007616,0.008377760853008377,0.003808073115003808,0,0.015993907083015995,0.005331302361005331,0,0.0030464584920030465,0,0.002284843869002285,0.012185833968012186
