country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Tanzania,2012-01-01,1,0,4,0,6,0,0,7,18,9,0,0,6,7,7,2,0,2,3,0,511,4,5,6,0,18,14,3,1,2,7,7,640,0.0015625,0,0.00625,0,0.009375,0,0,0.0109375,0.028125,0.0140625,0,0,0.009375,0.0109375,0.0109375,0.003125,0,0.003125,0.0046875,0,0.00625,0.0078125,0.009375,0,0.028125,0.021875,0.0046875,0.0015625,0.003125,0.0109375,0.0109375
Tanzania,2012-02-01,1,0,11,0,6,0,0,10,10,4,0,1,5,8,7,2,0,0,6,0,550,4,8,1,0,17,10,0,2,1,6,0,665,0.0015037593984962407,0,0.016541353383458645,0,0.009022556390977444,0,0,0.015037593984962405,0.015037593984962405,0.006015037593984963,0,0.0015037593984962407,0.007518796992481203,0.012030075187969926,0.010526315789473684,0.0030075187969924814,0,0,0.009022556390977444,0,0.006015037593984963,0.012030075187969926,0.0015037593984962407,0,0.02556390977443609,0.015037593984962405,0,0.0030075187969924814,0.0015037593984962407,0.009022556390977444,0
Tanzania,2012-03-01,5,1,12,1,9,1,0,17,16,8,1,4,13,11,11,2,0,1,6,0,801,10,14,4,0,25,13,0,1,1,5,3,981,0.0050968399592252805,0.0010193679918450561,0.012232415902140673,0.0010193679918450561,0.009174311926605505,0.0010193679918450561,0,0.017329255861365953,0.0163098878695209,0.00815494393476045,0.0010193679918450561,0.004077471967380225,0.013251783893985729,0.011213047910295617,0.011213047910295617,0.0020387359836901123,0,0.0010193679918450561,0.0061162079510703364,0,0.010193679918450561,0.014271151885830785,0.004077471967380225,0,0.0254841997961264,0.013251783893985729,0,0.0010193679918450561,0.0010193679918450561,0.0050968399592252805,0.0030581039755351682
Tanzania,2012-04-01,2,0,16,5,4,0,0,17,14,5,0,2,7,6,4,6,0,3,4,3,702,15,10,2,0,18,20,0,0,0,8,2,869,0.0023014959723820483,0,0.018411967779056387,0.005753739930955121,0.004602991944764097,0,0,0.019562715765247412,0.01611047180667434,0.005753739930955121,0,0.0023014959723820483,0.00805523590333717,0.006904487917146145,0.004602991944764097,0.006904487917146145,0,0.0034522439585730723,0.004602991944764097,0.0034522439585730723,0.01726121979286536,0.011507479861910242,0.0023014959723820483,0,0.020713463751438434,0.023014959723820484,0,0,0,0.009205983889528193,0.0023014959723820483
Tanzania,2012-05-01,1,0,6,0,6,0,0,15,12,6,0,3,11,6,5,10,0,1,0,4,773,8,16,8,0,29,22,3,1,1,3,4,936,0.0010683760683760685,0,0.00641025641025641,0,0.00641025641025641,0,0,0.016025641025641024,0.01282051282051282,0.00641025641025641,0,0.003205128205128205,0.011752136752136752,0.00641025641025641,0.005341880341880342,0.010683760683760684,0,0.0010683760683760685,0,0.004273504273504274,0.008547008547008548,0.017094017094017096,0.008547008547008548,0,0.030982905982905984,0.023504273504273504,0.003205128205128205,0.0010683760683760685,0.0010683760683760685,0.003205128205128205,0.004273504273504274
Tanzania,2012-06-01,4,1,8,1,6,0,0,9,24,9,1,0,13,9,14,7,0,2,2,4,891,17,9,16,0,25,21,6,2,1,8,5,1090,0.003669724770642202,9.174311926605505e-4,0.007339449541284404,9.174311926605505e-4,0.005504587155963303,0,0,0.008256880733944955,0.022018348623853212,0.008256880733944955,9.174311926605505e-4,0,0.011926605504587157,0.008256880733944955,0.012844036697247707,0.006422018348623854,0,0.001834862385321101,0.001834862385321101,0.003669724770642202,0.015596330275229359,0.008256880733944955,0.014678899082568808,0,0.022935779816513763,0.01926605504587156,0.005504587155963303,0.001834862385321101,9.174311926605505e-4,0.007339449541284404,0.0045871559633027525
Tanzania,2012-07-01,6,2,1,1,5,0,0,31,18,9,0,1,15,7,15,6,0,1,3,6,773,11,13,6,1,23,26,3,0,2,5,4,973,0.006166495375128468,0.0020554984583761563,0.0010277492291880781,0.0010277492291880781,0.0051387461459403904,0,0,0.03186022610483042,0.018499486125385406,0.009249743062692703,0,0.0010277492291880781,0.015416238437821172,0.007194244604316547,0.015416238437821172,0.006166495375128468,0,0.0010277492291880781,0.003083247687564234,0.006166495375128468,0.011305241521068859,0.013360739979445015,0.006166495375128468,0.0010277492291880781,0.023638232271325797,0.02672147995889003,0.003083247687564234,0,0.0020554984583761563,0.0051387461459403904,0.0041109969167523125
Tanzania,2012-08-01,0,0,8,1,11,1,2,17,22,6,1,1,11,8,10,2,0,4,2,2,788,7,10,8,0,19,20,6,0,1,10,9,972,0,0,0.00823045267489712,0.00102880658436214,0.01131687242798354,0.00102880658436214,0.00205761316872428,0.01748971193415638,0.02263374485596708,0.006172839506172839,0.00102880658436214,0.00102880658436214,0.01131687242798354,0.00823045267489712,0.0102880658436214,0.00205761316872428,0,0.00411522633744856,0.00205761316872428,0.00205761316872428,0.00720164609053498,0.0102880658436214,0.00823045267489712,0,0.01954732510288066,0.0205761316872428,0.006172839506172839,0,0.00102880658436214,0.0102880658436214,0.009259259259259259
Tanzania,2012-09-01,0,2,11,0,14,1,0,7,15,15,0,0,8,9,0,4,0,2,3,2,809,7,24,5,1,15,17,4,1,0,2,2,971,0,0.0020597322348094747,0.01132852729145211,0,0.014418125643666324,0.0010298661174047373,0,0.007209062821833162,0.015447991761071062,0.015447991761071062,0,0,0.008238928939237899,0.009268795056642637,0,0.004119464469618949,0,0.0020597322348094747,0.003089598352214212,0.0020597322348094747,0.007209062821833162,0.024716786817713696,0.005149330587023687,0.0010298661174047373,0.015447991761071062,0.017507723995880537,0.004119464469618949,0.0010298661174047373,0,0.0020597322348094747,0.0020597322348094747
Tanzania,2012-10-01,4,0,9,0,16,1,0,14,19,15,0,1,14,4,13,6,0,1,2,11,814,5,18,7,0,18,16,3,0,4,2,2,1005,0.003980099502487562,0,0.008955223880597015,0,0.015920398009950248,9.950248756218905e-4,0,0.013930348258706468,0.01890547263681592,0.014925373134328358,0,9.950248756218905e-4,0.013930348258706468,0.003980099502487562,0.012935323383084577,0.005970149253731343,0,9.950248756218905e-4,0.001990049751243781,0.010945273631840797,0.004975124378109453,0.01791044776119403,0.006965174129353234,0,0.01791044776119403,0.015920398009950248,0.0029850746268656717,0,0.003980099502487562,0.001990049751243781,0.001990049751243781
