country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Turkey,2012-01-01,47,12,57,4,51,14,0,273,99,81,2,29,20,11,42,22,5,28,34,49,9990,129,24,28,2,175,91,19,27,4,148,143,11618,0.004045446720605956,0.0010328800137717334,0.004906180065415734,3.4429333792391115e-4,0.004389740058529867,0.0012050266827336891,0,0.023498020313306937,0.008521260113616801,0.006971940092959201,1.7214666896195557e-4,0.002496126699948356,0.001721466689619556,9.468066792907557e-4,0.0036150800482010674,0.0018936133585815114,4.30366672404889e-4,0.0024100533654673783,0.002926493372353245,0.004217593389567912,0.011103460148046135,0.002065760027543467,0.0024100533654673783,1.7214666896195557e-4,0.015062833534171113,0.007832673437768979,0.001635393355138578,0.0023239800309864003,3.4429333792391115e-4,0.012738853503184714,0.012308486830779824
Turkey,2012-02-01,43,3,60,2,32,16,0,199,85,36,5,21,22,3,32,20,4,7,48,65,8130,114,27,34,2,143,60,9,19,3,152,137,9489,0.004531562862261566,3.161555485298767e-4,0.006323110970597534,2.1077036568658446e-4,0.0033723258509853514,0.0016861629254926757,0,0.020971651385815155,0.00895774054167984,0.0037938665823585203,5.269259142164611e-4,0.002213088839709137,0.002318474022552429,3.161555485298767e-4,0.0033723258509853514,0.0021077036568658445,4.2154073137316893e-4,7.376962799030457e-4,0.005058488776478028,0.006850036884813995,0.012013910844135315,0.00284539993676889,0.003583096216671936,2.1077036568658446e-4,0.015070081146590789,0.006323110970597534,9.484666455896301e-4,0.0020023184740225524,3.161555485298767e-4,0.01601854779218042,0.014437770049531036
Turkey,2012-03-01,34,8,42,1,46,18,1,221,74,30,6,26,21,19,70,17,5,7,49,92,8583,124,20,20,3,116,47,6,13,5,139,159,9982,0.0034061310358645563,8.014425966740132e-4,0.004207573632538569,1.0018032458425165e-4,0.004608294930875576,0.0018032458425165298,1.0018032458425165e-4,0.022139851733119616,0.007413344019234622,0.0030054097375275496,6.010819475055099e-4,0.002604688439190543,0.0021037868162692847,0.0019034261671007815,0.0070126227208976155,0.0017030655179322781,5.009016229212583e-4,7.012622720897616e-4,0.004908835904628331,0.009216589861751152,0.012422360248447204,0.002003606491685033,0.002003606491685033,3.0054097375275494e-4,0.011620917651773192,0.004708475255459828,6.010819475055099e-4,0.0013023442195952714,5.009016229212583e-4,0.013925065117210979,0.015928671608896012
Turkey,2012-04-01,30,7,34,0,86,33,0,232,56,29,2,20,15,10,37,11,7,18,60,96,8003,101,17,12,1,156,53,7,11,3,159,149,9435,0.003179650238473768,7.419183889772125e-4,0.0036036036036036037,0,0.009114997350291467,0.0034976152623211448,0,0.02458929517753047,0.0059353471118177,0.0030736618971913088,2.1197668256491787e-4,0.0021197668256491787,0.001589825119236884,0.0010598834128245894,0.00392156862745098,0.0011658717541070483,7.419183889772125e-4,0.0019077901430842607,0.006359300476947536,0.010174880763116057,0.010704822469528351,0.0018018018018018018,0.0012718600953895071,1.0598834128245893e-4,0.016534181240063592,0.0056173820879703235,7.419183889772125e-4,0.0011658717541070483,3.179650238473768e-4,0.01685214626391097,0.01579226285108638
Turkey,2012-05-01,38,3,72,0,48,11,0,228,99,38,3,18,19,10,45,31,2,9,77,91,8358,115,23,24,1,138,68,8,18,6,164,191,9920,0.0038306451612903224,3.024193548387097e-4,0.007258064516129033,0,0.004838709677419355,0.0011088709677419355,0,0.022983870967741935,0.009979838709677419,0.0038306451612903224,3.024193548387097e-4,0.0018145161290322581,0.0019153225806451612,0.0010080645161290322,0.0045362903225806455,0.003125,2.0161290322580645e-4,9.072580645161291e-4,0.007762096774193548,0.009173387096774193,0.011592741935483871,0.002318548387096774,0.0024193548387096775,1.0080645161290323e-4,0.013911290322580646,0.0068548387096774195,8.064516129032258e-4,0.0018145161290322581,6.048387096774194e-4,0.01653225806451613,0.019254032258064515
Turkey,2012-06-01,40,10,42,2,90,8,1,260,67,30,2,35,16,10,36,17,8,31,76,114,8123,130,23,20,1,92,56,14,17,7,142,140,9629,0.004154117769238758,0.0010385294423096896,0.004361823657700696,2.077058884619379e-4,0.009346764980787205,8.308235538477516e-4,1.0385294423096895e-4,0.027001765500051927,0.006958147263474919,0.0031155883269290683,2.077058884619379e-4,0.003634853048083913,0.0016616471076955032,0.0010385294423096896,0.0037387059923148823,0.0017655000519264722,8.308235538477516e-4,0.0032194412711600375,0.00789282376155364,0.01183923564233046,0.013500882750025964,0.002388617717312286,0.002077058884619379,1.0385294423096895e-4,0.009554470869249144,0.0058157648769342615,0.0014539412192335654,0.0017655000519264722,7.269706096167827e-4,0.014747118080797591,0.014539412192335652
Turkey,2012-07-01,43,7,42,1,41,9,3,277,80,29,4,46,25,4,36,18,6,18,75,147,8968,68,18,27,0,104,39,8,11,3,179,148,10442,0.00411798506033327,6.703696609844858e-4,0.004022217965906914,9.57670944263551e-5,0.003926450871480559,8.61903849837196e-4,2.873012832790653e-4,0.026527485156100365,0.007661367554108408,0.002777245738364298,3.830683777054204e-4,0.004405286343612335,0.0023941773606588777,3.830683777054204e-4,0.003447615399348784,0.001723807699674392,5.746025665581306e-4,0.001723807699674392,0.007182532081976633,0.0140777628806742,0.006512162420992147,0.001723807699674392,0.002585711549511588,0,0.00995977782034093,0.0037349166826278492,7.661367554108408e-4,0.0010534380386899062,2.873012832790653e-4,0.017142309902317562,0.014173529975100555
Turkey,2012-08-01,28,6,32,3,50,13,0,299,65,12,3,24,15,4,32,18,12,15,162,215,9515,92,14,22,0,99,27,7,19,8,170,189,11141,0.0025132393860515215,5.385512970110403e-4,0.0028722735840588814,2.6927564850552014e-4,0.004487927475092002,0.0011668611435239206,0,0.026837806301050177,0.005834305717619603,0.0010771025940220806,2.6927564850552014e-4,0.002154205188044161,0.0013463782425276007,3.590341980073602e-4,0.0028722735840588814,0.0016156538910331209,0.0010771025940220806,0.0013463782425276007,0.014540885019298087,0.01929808814289561,0.008257786554169285,0.0012566196930257607,0.001974688089040481,0,0.008886096400682164,0.0024234808365496815,6.283098465128804e-4,0.001705412440534961,7.180683960147203e-4,0.015258953415312809,0.01696436585584777
Turkey,2012-09-01,43,12,70,4,52,29,0,266,69,14,4,33,17,11,68,27,12,7,192,185,9479,115,22,24,4,104,41,5,12,4,169,135,11190,0.003842716711349419,0.0010723860589812334,0.006255585344057194,3.5746201966041106e-4,0.004647006255585344,0.0025915996425379803,0,0.02377122430741734,0.0061662198391420914,0.0012511170688114387,3.5746201966041106e-4,0.0029490616621983914,0.0015192135835567471,9.830205540661305e-4,0.0060768543342269886,0.002412868632707775,0.0010723860589812334,6.255585344057193e-4,0.017158176943699734,0.01653261840929401,0.010277033065236819,0.001966041108132261,0.0021447721179624667,3.5746201966041106e-4,0.009294012511170688,0.0036639857015192136,4.4682752457551384e-4,0.0010723860589812334,3.5746201966041106e-4,0.015102770330652368,0.012064343163538873
Turkey,2012-10-01,40,9,89,7,70,17,0,279,61,35,8,51,11,8,117,22,6,34,126,252,9501,99,20,29,4,98,53,11,12,13,175,190,11421,0.0035023202871902635,7.880220646178094e-4,0.0077926626389983366,6.129060502582961e-4,0.006129060502582961,0.001488486122055862,0,0.02442868400315209,0.005341038437965152,0.0030645302512914805,7.004640574380527e-4,0.004465458366167586,9.631380789773225e-4,7.004640574380527e-4,0.01024428684003152,0.001926276157954645,5.253480430785396e-4,0.002976972244111724,0.01103230890464933,0.02206461780929866,0.008668242710795903,0.0017511601435951317,0.002539182208212941,3.5023202871902636e-4,0.008580684703616146,0.004640574380527099,9.631380789773225e-4,0.0010506960861570791,0.0011382540933368357,0.015322651256457404,0.016636021364153753
Turkey,2012-11-01,39,8,38,1,69,17,1,197,75,45,2,40,29,15,141,26,6,19,87,186,9908,107,31,36,1,119,45,13,20,2,161,153,11589,0.003365260160497023,6.903097765122098e-4,0.003278971438432997,8.628872206402623e-5,0.00595392182241781,0.001466908275088446,8.628872206402623e-5,0.01699887824661317,0.0064716541548019675,0.0038829924928811804,1.7257744412805246e-4,0.0034515488825610494,0.0025023729398567607,0.0012943308309603934,0.0121667098110277,0.002243506773664682,5.177323323841574e-4,0.0016394857192164984,0.007507118819570282,0.01604970230390888,0.009232893260850807,0.0026749503839848133,0.003106393994304944,8.628872206402623e-5,0.010268357925619122,0.0038829924928811804,0.001121753386832341,0.0017257744412805247,1.7257744412805246e-4,0.013892484252308223,0.013202174475796014
Turkey,2012-12-01,33,12,65,1,68,15,1,328,73,27,3,50,34,12,59,38,9,14,61,96,12984,119,49,27,2,149,59,8,28,7,173,175,14733,0.002239869680309509,8.144980655670943e-4,0.004411864521821761,6.787483879725786e-5,0.004615489038213534,0.0010181225819588678,6.787483879725786e-5,0.022262947125500577,0.004954863232199824,0.0018326206475259622,2.0362451639177357e-4,0.003393741939862893,0.002307744519106767,8.144980655670943e-4,0.004004615489038213,0.0025792438742957987,6.108735491753207e-4,9.5024774316161e-4,0.004140365166632729,0.006515984524536754,0.008077105816873684,0.003325867101065635,0.0018326206475259622,1.357496775945157e-4,0.01011335098079142,0.004004615489038213,5.429987103780628e-4,0.00190049548632322,4.75123871580805e-4,0.01174234711192561,0.011878096789520124
Turkey,2013-01-01,40,6,87,4,79,16,0,357,98,45,4,36,24,10,68,50,3,10,90,79,14799,150,45,30,1,137,74,23,30,10,190,182,16738,0.002389771776795316,3.584657665192974e-4,0.005197753614529813,2.389771776795316e-4,0.004719799259170749,9.559087107181264e-4,0,0.021328713107898196,0.005854940853148524,0.0026884932488947305,2.389771776795316e-4,0.0021507945991157845,0.0014338630660771896,5.97442944198829e-4,0.004062612020552038,0.0029872147209941452,1.792328832596487e-4,5.97442944198829e-4,0.005376986497789461,0.004719799259170749,0.008961644162982434,0.0026884932488947305,0.0017923288325964871,5.97442944198829e-5,0.008184968335523957,0.004421077787071335,0.0013741187716573068,0.0017923288325964871,5.97442944198829e-4,0.01135141593977775,0.010873461584418688
Turkey,2013-02-01,51,9,55,5,57,17,3,267,64,43,5,20,20,13,51,50,5,13,55,109,13821,119,39,54,4,150,55,10,24,9,166,186,15494,0.0032915967471279207,5.808700141990448e-4,0.0035497611978830513,3.2270556344391377e-4,0.003678843423260617,0.0010971989157093067,1.9362333806634827e-4,0.017232477087904995,0.004130631212082096,0.0027752678456176585,3.2270556344391377e-4,0.001290822253775655,0.001290822253775655,8.390344649541759e-4,0.0032915967471279207,0.003227055634439138,3.2270556344391377e-4,8.390344649541759e-4,0.0035497611978830513,0.00703498128307732,0.007680392409965148,0.0025171033948625274,0.0034852200851942686,2.58164450755131e-4,0.009681166903317414,0.0035497611978830513,6.454111268878275e-4,0.0015489867045307862,5.808700141990448e-4,0.010713824706337938,0.012004646960113592
Turkey,2013-03-01,35,7,79,4,95,10,0,226,79,22,3,33,20,19,66,27,5,10,51,108,14847,111,39,26,2,150,71,14,38,14,169,172,16517,0.002119028879336441,4.2380577586728825e-4,0.004782950899073682,2.4217472906702184e-4,0.005751649815341769,6.054368226675546e-4,0,0.013682872192286736,0.004782950899073682,0.0013319610098686202,1.816310468002664e-4,0.0019979415148029304,0.0012108736453351092,0.0011503299630683539,0.003995883029605861,0.0016346794212023976,3.027184113337773e-4,6.054368226675546e-4,0.0030877277956045286,0.00653871768480959,0.006720348731609856,0.002361203608403463,0.001574135738935642,1.2108736453351092e-4,0.00908155234001332,0.004298601440939638,8.476115517345765e-4,0.0023006599261367077,8.476115517345765e-4,0.010231882303081674,0.01041351334988194
Turkey,2013-04-01,23,8,89,0,70,4,4,207,72,40,6,43,22,14,75,56,2,18,35,64,14160,127,49,35,3,137,49,20,24,9,130,159,15709,0.0014641288433382138,5.092622063785091e-4,0.005665542045960914,0,0.004456044305811955,2.5463110318925457e-4,2.5463110318925457e-4,0.013177159590043924,0.004583359857406582,0.0025463110318925458,3.819466547838819e-4,0.0027372843592844867,0.0014004710675409,8.91208861162391e-4,0.004774333184798523,0.003564835444649564,1.2731555159462728e-4,0.0011458399643516455,0.0022280221529059775,0.004074097651028073,0.008084537526258833,0.0031192310140683685,0.0022280221529059775,1.9097332739194094e-4,0.00872111528423197,0.0031192310140683685,0.0012731555159462729,0.0015277866191355275,5.729199821758227e-4,0.008275510853650773,0.01012158635177287
Turkey,2013-05-01,46,12,111,4,85,11,4,334,77,38,12,49,18,17,119,39,5,16,88,122,14188,110,26,29,1,146,99,11,21,6,154,175,16132,0.002851475328539549,7.438631291842301e-4,0.006880733944954129,2.479543763947434e-4,0.005269030498388297,6.818745350855443e-4,2.479543763947434e-4,0.020704190428961072,0.00477312174559881,0.002355566575750062,7.438631291842301e-4,0.0030374411108356064,0.0011157946937763452,0.0010538060996776594,0.007376642697743616,0.002417555169848748,3.099429704934292e-4,9.918175055789735e-4,0.005454996280684354,0.007562608480039673,0.006818745350855443,0.001611703446565832,0.0017976692288618895,6.198859409868585e-5,0.009050334738408133,0.006136870815769899,6.818745350855443e-4,0.0013017604760724028,3.7193156459211507e-4,0.00954624349119762,0.010848003967270023
Turkey,2013-06-01,81,20,118,10,113,18,2,210,81,39,5,107,22,85,554,32,49,51,54,174,13821,169,62,18,1,122,57,16,41,16,86,144,16350,0.004954128440366972,0.0012232415902140672,0.007217125382262997,6.116207951070336e-4,0.00691131498470948,0.0011009174311926607,1.2232415902140674e-4,0.012844036697247707,0.004954128440366972,0.0023853211009174312,3.058103975535168e-4,0.00654434250764526,0.001345565749235474,0.005198776758409786,0.03388379204892966,0.0019571865443425078,0.0029969418960244646,0.0031192660550458714,0.0033027522935779817,0.010642201834862385,0.010336391437308868,0.0037920489296636084,0.0011009174311926607,6.116207951070337e-5,0.00746177370030581,0.0034862385321100917,0.00097859327217125389,0.002507645259938838,0.00097859327217125389,0.0052599388379204895,0.008807339449541285
Turkey,2013-07-01,48,19,106,1,58,32,1,325,111,35,10,48,24,22,124,30,9,25,50,122,14059,166,48,29,0,162,53,14,26,10,132,180,16043,0.002991959109892165,0.0011843171476656486,0.006607243034345197,6.233248145608676e-5,0.0036152839244530323,0.0019946394065947764,6.233248145608676e-5,0.0202580564732282,0.006918905441625631,0.002181636850963037,6.233248145608676e-4,0.002991959109892165,0.0014959795549460825,0.0013713145920339089,0.007729227700554759,0.001869974443682603,5.609923331047809e-4,0.001558312036402169,0.003116624072804338,0.0076045627376425855,0.010347191921710403,0.002991959109892165,0.0018076419622265162,0,0.010097861995886056,0.0033036215171725987,8.726547403852148e-4,0.001620644517858256,6.233248145608676e-4,0.008227887552203453,0.011219846662095618
Turkey,2013-08-01,48,8,77,1,42,36,1,279,67,17,4,56,12,11,86,42,11,12,66,101,13170,109,25,33,2,133,32,21,16,20,135,158,14791,0.0032452166858224596,5.408694476370766e-4,0.005205868433506862,6.760868095463458e-5,0.002839564600094652,0.0024339125143668446,6.760868095463458e-5,0.018862821986343047,0.004529781623960516,0.0011493475762287878,2.704347238185383e-4,0.003786086133459536,8.113041714556149e-4,7.436954905009803e-4,0.005814346562098573,0.002839564600094652,7.436954905009803e-4,8.113041714556149e-4,0.004462172943005882,0.006828476776418092,0.007369346224055169,0.0016902170238658643,0.002231086471502941,1.3521736190926916e-4,0.008991954566966399,0.0021634777905483065,0.001419782300047326,0.0010817388952741533,0.0013521736190926915,0.009127171928875667,0.010682171590832262
Turkey,2013-09-01,36,20,120,6,44,11,1,228,74,34,1,74,30,17,89,24,8,12,64,111,12811,112,33,27,6,130,39,13,20,12,140,127,14426,0.002495494246499376,0.0013863856924996535,0.008318314154997921,4.15915707749896e-4,0.0030500485234992375,7.625121308748094e-4,6.931928462498267e-5,0.01580479689449605,0.005129627062248718,0.0023568556772494108,6.931928462498267e-5,0.005129627062248718,0.0020795785387494803,0.0011784278386247054,0.0061694163316234575,0.001663662830999584,5.545542769998614e-4,8.31831415499792e-4,0.004436434215998891,0.007694440593373077,0.007763759877998059,0.002287536392624428,0.0018716206848745321,4.15915707749896e-4,0.009011507001247747,0.002703452100374324,9.011507001247748e-4,0.0013863856924996535,8.31831415499792e-4,0.009704699847497575,0.008803549147372799
Turkey,2013-10-01,32,9,134,1,61,12,2,216,62,34,3,37,18,15,65,33,5,12,35,76,13128,136,40,23,2,126,55,8,26,5,116,180,14675,0.002180579216354344,6.132879045996593e-4,0.009131175468483816,6.814310051107325e-5,0.0041567291311754686,8.17717206132879e-4,1.362862010221465e-4,0.014718909710391822,0.004224872231686542,0.0023168654173764906,2.0442930153321976e-4,0.0025212947189097103,0.0012265758091993186,0.0010221465076660989,0.004429301533219762,0.0022487223168654175,3.4071550255536625e-4,8.17717206132879e-4,0.002385008517887564,0.005178875638841568,0.009267461669505962,0.00272572402044293,0.0015672913117546847,1.362862010221465e-4,0.00858603066439523,0.003747870528109029,5.45144804088586e-4,0.0017717206132879047,3.4071550255536625e-4,0.007904599659284497,0.012265758091993186
Turkey,2013-11-01,43,12,173,3,78,11,2,202,87,27,1,31,30,10,94,41,6,15,39,68,13426,130,51,30,2,164,54,13,33,10,140,184,15163,0.002835850425377564,7.914001187100178e-4,0.011409351711402756,1.9785002967750444e-4,0.005144100771615116,7.254501088175163e-4,1.3190001978500296e-4,0.0133219019982853,0.005737650860647629,0.00178065026709754,6.595000989250148e-5,0.002044450306667546,0.0019785002967750444,6.595000989250148e-4,0.00619930092989514,0.002703950405592561,3.957000593550089e-4,9.892501483875222e-4,0.002572050385807558,0.004484600672690101,0.008573501286025192,0.0033634505045175758,0.0019785002967750444,1.3190001978500296e-4,0.010815801622370244,0.00356130053419508,8.573501286025193e-4,0.002176350326452549,6.595000989250148e-4,0.009233001384950208,0.012134801820220273
Turkey,2013-12-01,85,12,177,3,51,26,5,258,241,29,2,36,418,17,90,241,17,15,33,73,13227,115,38,67,3,202,46,25,17,20,99,113,15403,0.0055184055054210215,7.790690125300266e-4,0.011491267934817893,1.9476725313250664e-4,0.003311043303252613,0.0016879828604817243,3.2461208855417777e-4,0.01674998376939557,0.01564630266831137,0.001882750113614231,1.298448354216711e-4,0.00233720703759008,0.02713757060312926,0.0011036811010842044,0.0058430175939752,0.01564630266831137,0.0011036811010842044,9.738362656625333e-4,0.002142439784457573,0.004739336492890996,0.007466078036746088,0.002467051873011751,0.004349801986625982,1.9476725313250664e-4,0.013114328377588781,0.0029864312146984356,0.0016230604427708887,0.0011036811010842044,0.001298448354216711,0.00642731935337272,0.007336233201324417
Turkey,2014-01-01,45,27,158,10,83,24,5,265,239,65,11,41,212,13,49,141,12,26,35,78,13054,108,38,52,3,192,64,40,26,9,117,131,15152,0.0029699049630411826,0.0017819429778247096,0.01042766631467793,6.599788806758184e-4,0.005477824709609292,0.0015839493136219642,3.299894403379092e-4,0.017489440337909185,0.01577349524815206,0.004289862724392819,7.259767687434002e-4,0.002705913410770855,0.01399155227032735,8.579725448785638e-4,0.00323389651531151,0.009305702217529039,7.919746568109821e-4,0.0017159450897571277,0.0023099260823653644,0.005147835269271384,0.007127771911298838,0.00250791974656811,0.0034318901795142554,1.9799366420274552e-4,0.012671594508975714,0.004223864836325237,0.0026399155227032735,0.0017159450897571277,5.939809926082365e-4,0.007721752903907075,0.00864572333685322
Turkey,2014-02-01,34,54,202,6,52,20,4,233,177,125,12,36,112,25,118,134,15,9,61,82,12556,78,36,36,6,207,135,24,20,10,97,102,14705,0.0023121387283236996,0.003672220333219993,0.013736824209452566,4.0802448146888814e-4,0.003536212172730364,0.0013600816048962938,2.720163209792588e-4,0.015844950697041824,0.0120367222033322,0.008500510030601836,8.160489629377763e-4,0.002448146888813329,0.007616456987419245,0.0017001020061203672,0.008024481468888133,0.009112546752805168,0.0010200612036722204,6.120367222033322e-4,0.004148248894933696,0.005576334580074805,0.005304318259095546,0.002448146888813329,0.002448146888813329,4.0802448146888814e-4,0.014076844610676641,0.009180550833049982,0.0016320979258755525,0.0013600816048962938,6.800408024481469e-4,0.0065963957837470244,0.006936416184971098
Turkey,2014-03-01,42,133,558,31,49,27,4,256,157,42,5,57,96,30,128,83,19,21,104,153,13834,115,42,57,2,156,45,23,27,12,114,166,16479,0.0025486983433460767,0.008070878087262577,0.03386127799016931,0.0018811821105649614,0.002973481400570423,0.0016384489350081922,2.4273317555676923e-4,0.01553492323563323,0.009527277140603191,0.0025486983433460767,3.034164694459615e-4,0.0034589477516839616,0.005825596213362461,0.0018204988166757691,0.007767461617816615,0.005036713392802961,0.0011529825838946539,0.0012743491716730383,0.006311062564476,0.009284543965046422,0.006978578797257115,0.0025486983433460767,0.0034589477516839616,1.2136658777838462e-4,0.009466593846714,0.002730748225013654,0.001395715759451423,0.0016384489350081922,7.281995266703076e-4,0.006917895503367923,0.010073426785605922
Turkey,2014-04-01,36,51,357,70,39,14,7,234,141,63,5,38,57,15,61,75,9,15,35,140,13635,139,45,40,2,136,77,21,15,14,149,172,15830,0.002274162981680354,0.0032217308907138346,0.022552116234996842,0.004421983575489577,0.0024636765634870497,8.843967150979153e-4,4.4219835754895766e-4,0.014782059380922299,0.008907138344914719,0.003979785217940619,3.158559696778269e-4,0.0024005053695514847,0.0036007580543272267,9.475679090334807e-4,0.0038534428300694883,0.004737839545167404,5.685407454200885e-4,9.475679090334807e-4,0.0022109917877447885,0.008843967150979154,0.008780795957043588,0.002842703727100442,0.002526847757422615,1.2634238787113077e-4,0.008591282375236892,0.004864181933038534,0.001326595072646873,9.475679090334807e-4,8.843967150979153e-4,0.009412507896399242,0.010865445356917245
Turkey,2014-05-01,54,25,116,4,51,14,2,447,149,26,11,58,53,19,181,88,13,20,81,129,14344,166,44,33,3,152,50,23,34,7,132,178,16636,0.003245972589564799,0.0015027650877614811,0.006972830007213273,2.4044241404183698e-4,0.0030656407790334217,8.415484491464295e-4,1.2022120702091849e-4,0.02686943976917528,0.008956479923058428,0.0015628756912719403,6.612166386150517e-4,0.0034864150036066363,0.00318586198605434,0.0011421014666987256,0.010880019235393123,0.005289733108920414,7.814378456359702e-4,0.0012022120702091848,0.004868958884347199,0.007754267852849242,0.009978360182736234,0.002644866554460207,0.001983649915845155,1.8033181053137774e-4,0.009136811733589805,0.0030055301755229622,0.0013825438807405627,0.0020437605193556144,4.2077422457321474e-4,0.00793459966338062,0.010699687424861746
