country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Uganda,2012-01-01,1,0,2,0,9,1,0,3,5,3,1,0,7,1,3,2,0,0,0,1,329,2,1,4,0,6,4,0,0,0,0,1,376,0.0026595744680851063,0,0.005319148936170213,0,0.023936170212765957,0.0026595744680851063,0,0.007978723404255319,0.013297872340425532,0.007978723404255319,0.0026595744680851063,0,0.018617021276595744,0.0026595744680851063,0.007978723404255319,0.005319148936170213,0,0,0,0.0026595744680851063,0.005319148936170213,0.0026595744680851063,0.010638297872340425,0,0.015957446808510637,0.010638297872340425,0,0,0,0,0.0026595744680851063
Uganda,2012-02-01,1,1,9,1,2,1,1,6,11,9,1,0,5,5,0,6,2,1,0,2,284,1,2,4,0,4,3,1,0,0,0,1,353,0.0028328611898017,0.0028328611898017,0.025495750708215296,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.0028328611898017,0.0169971671388102,0.031161473087818695,0.025495750708215296,0.0028328611898017,0,0.014164305949008499,0.014164305949008499,0,0.0169971671388102,0.0056657223796034,0.0028328611898017,0,0.0056657223796034,0.0028328611898017,0.0056657223796034,0.0113314447592068,0,0.0113314447592068,0.0084985835694051,0.0028328611898017,0,0,0,0.0028328611898017
Uganda,2012-03-01,1,1,3,0,0,5,0,4,10,3,0,3,4,3,4,2,0,2,0,6,370,3,3,1,0,8,3,0,0,0,0,2,436,0.0022935779816513763,0.0022935779816513763,0.006880733944954129,0,0,0.011467889908256881,0,0.009174311926605505,0.022935779816513763,0.006880733944954129,0,0.006880733944954129,0.009174311926605505,0.006880733944954129,0.009174311926605505,0.0045871559633027525,0,0.0045871559633027525,0,0.013761467889908258,0.006880733944954129,0.006880733944954129,0.0022935779816513763,0,0.01834862385321101,0.006880733944954129,0,0,0,0,0.0045871559633027525
Uganda,2012-04-01,5,0,7,3,5,4,1,8,15,12,0,1,13,4,6,6,0,2,2,0,471,4,7,4,1,14,4,0,0,1,1,2,587,0.008517887563884156,0,0.01192504258943782,0.005110732538330494,0.008517887563884156,0.0068143100511073255,0.0017035775127768314,0.013628620102214651,0.02555366269165247,0.020442930153321975,0,0.0017035775127768314,0.022146507666098807,0.0068143100511073255,0.010221465076660987,0.010221465076660987,0,0.0034071550255536627,0.0034071550255536627,0,0.0068143100511073255,0.01192504258943782,0.0068143100511073255,0.0017035775127768314,0.02385008517887564,0.0068143100511073255,0,0,0.0017035775127768314,0.0017035775127768314,0.0034071550255536627
Uganda,2012-05-01,9,1,7,2,5,1,1,14,16,7,0,5,7,4,1,3,0,3,1,3,514,1,7,1,1,12,3,0,0,1,1,1,623,0.014446227929373997,0.0016051364365971107,0.011235955056179775,0.0032102728731942215,0.008025682182985553,0.0016051364365971107,0.0016051364365971107,0.02247191011235955,0.025682182985553772,0.011235955056179775,0,0.008025682182985553,0.011235955056179775,0.006420545746388443,0.0016051364365971107,0.004815409309791332,0,0.004815409309791332,0.0016051364365971107,0.004815409309791332,0.0016051364365971107,0.011235955056179775,0.0016051364365971107,0.0016051364365971107,0.019261637239165328,0.004815409309791332,0,0,0.0016051364365971107,0.0016051364365971107,0.0016051364365971107
Uganda,2012-06-01,4,0,7,0,11,1,0,10,13,7,0,3,6,4,7,3,1,0,1,2,415,3,3,4,0,10,11,0,1,0,1,1,519,0.007707129094412331,0,0.01348747591522158,0,0.02119460500963391,0.0019267822736030828,0,0.019267822736030827,0.025048169556840076,0.01348747591522158,0,0.005780346820809248,0.011560693641618497,0.007707129094412331,0.01348747591522158,0.005780346820809248,0.0019267822736030828,0,0.0019267822736030828,0.0038535645472061657,0.005780346820809248,0.005780346820809248,0.007707129094412331,0,0.019267822736030827,0.02119460500963391,0,0.0019267822736030828,0,0.0019267822736030828,0.0019267822736030828
Uganda,2012-07-01,2,1,4,0,9,1,2,17,11,6,0,3,9,2,5,1,0,3,0,7,387,3,3,2,1,9,2,0,0,0,1,0,479,0.0041753653444676405,0.0020876826722338203,0.008350730688935281,0,0.018789144050104383,0.0020876826722338203,0.0041753653444676405,0.03549060542797495,0.022964509394572025,0.012526096033402923,0,0.006263048016701462,0.018789144050104383,0.0041753653444676405,0.010438413361169102,0.0020876826722338203,0,0.006263048016701462,0,0.014613778705636743,0.006263048016701462,0.006263048016701462,0.0041753653444676405,0.0020876826722338203,0.018789144050104383,0.0041753653444676405,0,0,0,0.0020876826722338203,0
Uganda,2012-08-01,5,0,15,1,12,0,0,25,19,5,1,4,16,12,8,7,0,3,4,1,575,7,6,9,0,17,5,1,2,0,2,2,740,0.006756756756756757,0,0.02027027027027027,0.0013513513513513514,0.016216216216216217,0,0,0.033783783783783786,0.025675675675675677,0.006756756756756757,0.0013513513513513514,0.005405405405405406,0.021621621621621623,0.016216216216216217,0.010810810810810811,0.00945945945945946,0,0.004054054054054054,0.005405405405405406,0.0013513513513513514,0.00945945945945946,0.008108108108108109,0.012162162162162163,0,0.022972972972972974,0.006756756756756757,0.0013513513513513514,0.002702702702702703,0,0.002702702702702703,0.002702702702702703
Uganda,2012-09-01,2,1,4,0,3,0,0,7,6,2,0,1,6,3,2,2,0,2,0,1,393,3,3,2,0,8,7,0,0,0,0,0,451,0.004434589800443459,0.0022172949002217295,0.008869179600886918,0,0.0066518847006651885,0,0,0.015521064301552107,0.013303769401330377,0.004434589800443459,0,0.0022172949002217295,0.013303769401330377,0.0066518847006651885,0.004434589800443459,0.004434589800443459,0,0.004434589800443459,0,0.0022172949002217295,0.0066518847006651885,0.0066518847006651885,0.004434589800443459,0,0.017738359201773836,0.015521064301552107,0,0,0,0,0
Uganda,2012-10-01,3,3,1,0,8,0,1,8,16,4,0,2,9,4,4,4,0,5,3,4,456,5,2,2,2,10,2,1,0,1,1,2,551,0.0054446460980036296,0.0054446460980036296,0.0018148820326678765,0,0.014519056261343012,0,0.0018148820326678765,0.014519056261343012,0.029038112522686024,0.007259528130671506,0,0.003629764065335753,0.016333938294010888,0.007259528130671506,0.007259528130671506,0.007259528130671506,0,0.009074410163339383,0.0054446460980036296,0.007259528130671506,0.009074410163339383,0.003629764065335753,0.003629764065335753,0.003629764065335753,0.018148820326678767,0.003629764065335753,0.0018148820326678765,0,0.0018148820326678765,0.0018148820326678765,0.003629764065335753
