country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Ukraine,2012-01-01,22,4,72,5,98,3,1,147,106,72,6,2,35,17,34,30,3,12,7,22,4049,40,52,14,0,143,95,5,6,5,36,82,5189,0.004239737907111196,7.708614376565812e-4,0.013875505877818462,9.635767970707265e-4,0.01888610522258624,5.781460782424359e-4,1.927153594141453e-4,0.02832915783387936,0.020427828097899402,0.013875505877818462,0.0011562921564848719,3.854307188282906e-4,0.006745037579495085,0.0032761611100404703,0.006552322220080941,0.005781460782424359,5.781460782424359e-4,0.0023125843129697438,0.0013490075158990172,0.004239737907111196,0.007708614376565812,0.010021198689535556,0.0026980150317980345,0,0.02755829639622278,0.018307959144343803,9.635767970707265e-4,0.0011562921564848719,9.635767970707265e-4,0.006937752938909231,0.015802659471959916
Ukraine,2012-02-01,36,9,82,10,105,9,0,230,127,81,1,7,65,12,29,49,1,14,13,25,4393,42,43,17,0,130,102,12,5,8,32,62,5701,0.006314681634800912,0.001578670408700228,0.014383441501490967,0.0017540782318891423,0.018417821434835994,0.001578670408700228,0,0.040343799333450274,0.022276793544992107,0.014208033678302052,1.7540782318891423e-4,0.0012278547623223997,0.011401508507279424,0.002104893878266971,0.005086826872478512,0.008594983336256797,1.7540782318891423e-4,0.0024557095246447993,0.002280301701455885,0.004385195579722855,0.007367128573934397,0.0075425363971233115,0.0029819329942115417,0,0.02280301701455885,0.017891597965269252,0.002104893878266971,8.770391159445711e-4,0.0014032625855113139,0.0056130503420452555,0.010875285037712682
Ukraine,2012-03-01,36,14,181,7,147,0,0,129,124,101,1,10,54,14,20,22,5,13,22,28,4585,48,75,10,0,96,130,7,12,2,39,77,5970,0.006030150753768844,0.0023450586264656616,0.03031825795644891,0.0011725293132328308,0.024623115577889446,0,0,0.021608040201005024,0.020770519262981575,0.0169179229480737,1.6750418760469013e-4,0.0016750418760469012,0.009045226130653266,0.0023450586264656616,0.0033500837520938024,0.0036850921273031824,8.375209380234506e-4,0.0021775544388609714,0.0036850921273031824,0.004690117252931323,0.008040201005025126,0.01256281407035176,0.0016750418760469012,0,0.016080402010050253,0.021775544388609715,0.0011725293132328308,0.0020100502512562816,3.3500837520938025e-4,0.006532663316582915,0.01289782244556114
Ukraine,2012-04-01,27,11,146,18,89,3,1,144,212,89,8,16,69,13,42,22,2,21,8,82,4732,47,52,25,0,148,106,10,8,14,31,92,6222,0.004339440694310511,0.0017679202828672453,0.023465123754419802,0.0028929604628736743,0.014304082288653167,4.8216007714561236e-4,1.607200257152041e-4,0.023143683702989394,0.03407264545162327,0.014304082288653167,0.0012857602057216328,0.0025715204114432656,0.011089681774349084,0.0020893603342976535,0.006750241080038573,0.0035358405657344907,3.214400514304082e-4,0.0033751205400192863,0.0012857602057216328,0.013179042108646738,0.007553841208614593,0.008357441337190614,0.004018000642880103,0,0.02378656380585021,0.017036322725811636,0.0016072002571520412,0.0012857602057216328,0.0022500803600128574,0.004982320797171327,0.014786242365798778
Ukraine,2012-05-01,27,13,81,5,139,4,0,128,182,115,1,11,56,14,51,33,8,23,18,70,4865,55,46,20,1,145,106,4,7,11,32,74,6285,0.0042959427207637235,0.0020684168655529037,0.012887828162291169,7.955449482895784e-4,0.02211614956245028,6.364359586316627e-4,0,0.020365950676213208,0.02895783611774065,0.018297533810660304,1.5910898965791568e-4,0.0017501988862370723,0.008910103420843278,0.0022275258552108194,0.008114558472553698,0.005250596658711217,0.0012728719172633255,0.0036595067621320605,0.002863961813842482,0.011137629276054098,0.008750994431185362,0.007319013524264121,0.0031821797931583136,1.5910898965791568e-4,0.023070803500397773,0.01686555290373906,6.364359586316627e-4,0.0011137629276054097,0.0017501988862370723,0.005091487669053302,0.011774065234685759
Ukraine,2012-06-01,39,7,60,11,70,3,0,174,131,126,2,19,52,8,41,17,0,10,3,45,4662,28,56,20,1,123,111,5,1,3,28,75,5878,0.006634909833276624,0.0011908812521265737,0.010207553589656346,0.00187138482477033,0.011908812521265737,5.103776794828172e-4,0,0.029601905410003404,0.02228649200408302,0.021435862538278325,3.402517863218782e-4,0.003232391970057843,0.008846546444368834,0.0013610071452875127,0.006975161619598503,0.0028921401837359645,0,0.001701258931609391,5.103776794828172e-4,0.007655665192242259,0.004763525008506295,0.00952705001701259,0.003402517863218782,1.701258931609391e-4,0.020925484858795508,0.018883974140864238,8.506294658046955e-4,1.701258931609391e-4,5.103776794828172e-4,0.004763525008506295,0.012759441987070432
Ukraine,2012-07-01,21,13,244,16,96,3,0,215,157,197,3,14,47,16,115,42,5,11,16,46,4766,50,71,13,0,118,136,12,4,7,37,84,6530,0.003215926493108729,0.001990811638591118,0.03736600306278714,0.002450229709035222,0.014701378254211332,4.594180704441041e-4,0,0.032924961715160794,0.024042879019908116,0.03016845329249617,4.594180704441041e-4,0.0021439509954058193,0.007197549770290965,0.002450229709035222,0.01761102603369066,0.006431852986217458,7.656967840735069e-4,0.0016845329249617152,0.002450229709035222,0.007044410413476264,0.007656967840735069,0.010872894333843797,0.001990811638591118,0,0.01807044410413476,0.020826952526799388,0.0018376722817764165,6.125574272588055e-4,0.0010719754977029097,0.005666156202143951,0.012863705972434915
Ukraine,2012-08-01,33,7,257,26,40,3,2,202,259,115,3,7,73,8,48,30,6,7,12,33,4373,58,46,20,0,115,97,6,2,6,43,73,5938,0.005557426743011115,0.0011788480970023577,0.04328056584708656,0.004378578646008757,0.006736274840013472,5.052206130010104e-4,3.368137420006736e-4,0.03401818794206803,0.043617379589087235,0.019366790165038734,5.052206130010104e-4,0.0011788480970023577,0.012293701583024588,0.0013472549680026945,0.008083529808016167,0.005052206130010104,0.0010104412260020209,0.0011788480970023577,0.0020208824520040417,0.005557426743011115,0.009767598518019536,0.007746716066015493,0.003368137420006736,0,0.019366790165038734,0.01633546648703267,0.0010104412260020209,3.368137420006736e-4,0.0010104412260020209,0.007241495453014483,0.012293701583024588
Ukraine,2012-09-01,22,10,224,56,71,5,1,116,118,145,4,10,63,12,61,18,3,17,7,39,4249,51,63,18,1,103,109,5,11,5,54,98,5712,0.003851540616246499,0.0017507002801120449,0.0392156862745098,0.00980392156862745,0.012429971988795517,8.753501400560224e-4,1.7507002801120448e-4,0.02030812324929972,0.02065826330532213,0.02538515406162465,7.002801120448179e-4,0.0017507002801120449,0.011029411764705883,0.0021008403361344537,0.010679271708683474,0.0031512605042016808,5.252100840336134e-4,0.002976190476190476,0.0012254901960784314,0.006827731092436975,0.008928571428571428,0.011029411764705883,0.0031512605042016808,1.7507002801120448e-4,0.01803221288515406,0.01908263305322129,8.753501400560224e-4,0.0019257703081232494,8.753501400560224e-4,0.009453781512605041,0.01715686274509804
Ukraine,2012-10-01,35,23,1205,280,178,4,1,134,177,170,4,14,87,15,72,21,2,27,23,73,5181,75,59,23,0,94,120,8,9,6,71,99,8231,0.004252217227554368,0.0027943141781071558,0.14639776454865752,0.03401773782043494,0.021625561900133643,4.859676831490706e-4,1.2149192078726765e-4,0.016279917385493864,0.021504069979346372,0.0206536265338355,4.859676831490706e-4,0.001700886891021747,0.010569797108492285,0.0018223788118090147,0.00874741829668327,0.0025513303365326204,2.429838415745353e-4,0.0032802818612562264,0.0027943141781071558,0.008868910217470539,0.009111894059045073,0.0071680233264487915,0.0027943141781071558,0,0.01142024055400316,0.014579030494472118,9.719353662981412e-4,0.0010934272870854087,7.289515247236059e-4,0.008625926375896003,0.012027700157939497
