country,date,arrest,censor,electionactivity,electionirregularities,cooperate,coup,defamationcase,disaster,legalaction,legalchange,martiallaw,mobilizesecurity,corruption,activism,protest,purge,raid,threaten,violencelethal,violencenonlethal,cs_999,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal,total_articles,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm,ncr_arrestNorm,ncr_cooperateNorm,ncr_corruptionNorm,ncr_defamationcaseNorm,ncr_legalactionNorm,ncr_legalchangeNorm,ncr_purgeNorm,ncr_raidNorm,ncr_threatenNorm,ncr_violencelethalNorm,ncr_violencenonlethalNorm
Uzbekistan,2012-01-01,1,0,4,0,6,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,155,1,4,1,0,0,6,1,0,0,0,0,183,0.00546448087431694,0,0.02185792349726776,0,0.03278688524590164,0,0,0.01092896174863388,0.00546448087431694,0.00546448087431694,0,0,0,0,0.00546448087431694,0,0,0,0,0,0.00546448087431694,0.02185792349726776,0.00546448087431694,0,0,0.03278688524590164,0.00546448087431694,0,0,0,0
Uzbekistan,2012-02-01,1,0,1,1,8,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,147,0,5,0,0,0,4,0,0,0,0,1,174,0.005747126436781609,0,0.005747126436781609,0.005747126436781609,0.04597701149425287,0,0,0.017241379310344827,0,0.005747126436781609,0,0,0,0,0,0,0,0.005747126436781609,0,0.005747126436781609,0,0.028735632183908046,0,0,0,0.022988505747126436,0,0,0,0,0.005747126436781609
Uzbekistan,2012-03-01,1,1,2,1,6,0,0,1,1,2,0,0,1,0,0,0,0,0,3,0,174,1,7,0,0,1,5,0,0,0,0,0,207,0.004830917874396135,0.004830917874396135,0.00966183574879227,0.004830917874396135,0.028985507246376812,0,0,0.004830917874396135,0.004830917874396135,0.00966183574879227,0,0,0.004830917874396135,0,0,0,0,0,0.014492753623188406,0,0.004830917874396135,0.033816425120772944,0,0,0.004830917874396135,0.024154589371980676,0,0,0,0,0
Uzbekistan,2012-04-01,2,0,0,1,4,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,193,0,8,0,0,0,4,0,0,0,0,0,219,0.0091324200913242,0,0,0.0045662100456621,0.0182648401826484,0,0,0.0182648401826484,0.0091324200913242,0.0045662100456621,0,0,0.0045662100456621,0,0,0,0,0,0,0,0,0.0365296803652968,0,0,0,0.0182648401826484,0,0,0,0,0
Uzbekistan,2012-05-01,0,0,1,0,8,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,200,1,8,0,0,0,3,0,0,0,0,1,226,0,0,0.004424778761061947,0,0.035398230088495575,0,0,0.004424778761061947,0.004424778761061947,0.004424778761061947,0,0,0,0,0,0,0,0.004424778761061947,0,0,0.004424778761061947,0.035398230088495575,0,0,0,0.01327433628318584,0,0,0,0,0.004424778761061947
Uzbekistan,2012-06-01,0,0,0,0,11,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,194,2,7,0,0,0,2,1,0,1,0,0,223,0,0,0,0,0.04932735426008968,0,0,0,0.008968609865470852,0.004484304932735426,0,0.008968609865470852,0,0,0,0,0,0,0,0,0.008968609865470852,0.03139013452914798,0,0,0,0.008968609865470852,0.004484304932735426,0,0.004484304932735426,0,0
Uzbekistan,2012-07-01,3,1,0,0,19,0,1,10,3,2,0,0,2,1,0,3,2,0,1,4,392,4,5,2,0,4,12,1,1,0,0,0,469,0.006396588486140725,0.0021321961620469083,0,0,0.04051172707889126,0,0.0021321961620469083,0.021321961620469083,0.006396588486140725,0.0042643923240938165,0,0,0.0042643923240938165,0.0021321961620469083,0,0.006396588486140725,0.0042643923240938165,0,0.0021321961620469083,0.008528784648187633,0.008528784648187633,0.010660980810234541,0.0042643923240938165,0,0.008528784648187633,0.0255863539445629,0.0021321961620469083,0.0021321961620469083,0,0,0
Uzbekistan,2012-08-01,1,0,3,0,15,0,0,0,4,13,0,3,1,1,1,1,0,1,0,0,382,0,2,4,0,6,4,0,0,0,0,0,439,0.002277904328018223,0,0.00683371298405467,0,0.03416856492027335,0,0,0,0.009111617312072893,0.029612756264236904,0,0.00683371298405467,0.002277904328018223,0.002277904328018223,0.002277904328018223,0.002277904328018223,0,0.002277904328018223,0,0,0,0.004555808656036446,0.009111617312072893,0,0.01366742596810934,0.009111617312072893,0,0,0,0,0
Uzbekistan,2012-09-01,0,0,1,0,28,0,0,0,3,3,0,0,2,0,0,0,0,0,0,1,264,1,5,5,0,5,10,0,0,0,0,0,321,0,0,0.003115264797507788,0,0.08722741433021806,0,0,0,0.009345794392523364,0.009345794392523364,0,0,0.006230529595015576,0,0,0,0,0,0,0.003115264797507788,0.003115264797507788,0.01557632398753894,0.01557632398753894,0,0.01557632398753894,0.03115264797507788,0,0,0,0,0
Uzbekistan,2012-10-01,0,0,2,0,20,0,0,1,5,1,0,0,5,1,0,0,0,0,0,0,275,5,12,3,0,3,9,0,0,0,0,1,336,0,0,0.005952380952380952,0,0.05952380952380952,0,0,0.002976190476190476,0.01488095238095238,0.002976190476190476,0,0,0.01488095238095238,0.002976190476190476,0,0,0,0,0,0,0.01488095238095238,0.03571428571428571,0.008928571428571428,0,0.008928571428571428,0.026785714285714284,0,0,0,0,0.002976190476190476
