date,year,month,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,-999,defamationcase,total_articles,arrestNorm,protestNorm,legalactionNorm,disasterNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,activismNorm,martiallawNorm,cooperateNorm,coupNorm,violencenonlethalNorm,violencelethalNorm,corruptionNorm,legalchangeNorm,mobilizesecurityNorm,purgeNorm,threatenNorm,raidNorm,-999Norm,defamationcaseNorm,ncr_arrest,ncr_protest,ncr_legalaction,ncr_disaster,ncr_censor,ncr_electionactivity,ncr_electionirregularities,ncr_activism,ncr_martiallaw,ncr_cooperate,ncr_coup,ncr_violencenonlethal,ncr_violencelethal,ncr_corruption,ncr_legalchange,ncr_mobilizesecurity,ncr_purge,ncr_threaten,ncr_raid,ncr_-999,ncr_defamationcase,ncr_total_articles,ncr_arrestNorm,ncr_protestNorm,ncr_legalactionNorm,ncr_disasterNorm,ncr_censorNorm,ncr_electionactivityNorm,ncr_electionirregularitiesNorm,ncr_activismNorm,ncr_martiallawNorm,ncr_cooperateNorm,ncr_coupNorm,ncr_violencenonlethalNorm,ncr_violencelethalNorm,ncr_corruptionNorm,ncr_legalchangeNorm,ncr_mobilizesecurityNorm,ncr_purgeNorm,ncr_threatenNorm,ncr_raidNorm,ncr_-999Norm,ncr_defamationcaseNorm
2012-01-01,2012,1,19,35,62,2,1,29,1,9,0,24,4,12,3,32,13,4,14,12,2,265,3,522,0.0113500597371565,0.0209080047789725,0.037037037037037,0.001194743130227,0.0005973715651135,0.0173237753882915,0.0005973715651135,0.0053763440860215,0.0,0.014336917562724,0.002389486260454,0.007168458781362,0.0017921146953405,0.019115890083632,0.0077658303464755,0.002389486260454,0.008363201911589,0.007168458781362,0.001194743130227,0.1583034647550776,0.0017921146953405,29,3,63,39,1,1,0,6,0,14,0,21,8,20,22,2,5,5,9,920,1,1152,0.0173237753882915,0.0017921146953405,0.0376344086021505,0.0232974910394265,0.0005973715651135,0.0005973715651135,0.0,0.003584229390681,0.0,0.008363201911589,0.0,0.0125448028673835,0.004778972520908,0.01194743130227,0.013142174432497,0.001194743130227,0.0029868578255675,0.0029868578255675,0.0053763440860215,0.5495818399044206,0.0005973715651135
2012-02-01,2012,2,29,16,62,4,17,21,7,9,2,30,5,8,5,69,46,1,21,15,3,366,1,697,0.0137440758293838,0.0075829383886255,0.0293838862559241,0.0018957345971563,0.0080568720379146,0.009952606635071,0.0033175355450236,0.0042654028436018,0.0009478672985781,0.0142180094786729,0.0023696682464454,0.0037914691943127,0.0023696682464454,0.0327014218009478,0.0218009478672985,0.000473933649289,0.009952606635071,0.0071090047393364,0.0014218009478672,0.1734597156398104,0.000473933649289,43,4,75,31,1,1,0,8,0,33,2,21,9,35,23,1,5,4,4,1139,3,1413,0.0203791469194312,0.0018957345971563,0.0355450236966824,0.014691943127962,0.000473933649289,0.000473933649289,0.0,0.0037914691943127,0.0,0.0156398104265402,0.0009478672985781,0.009952606635071,0.0042654028436018,0.0165876777251184,0.0109004739336492,0.000473933649289,0.0023696682464454,0.0018957345971563,0.0018957345971563,0.5398104265402843,0.0014218009478672
2012-03-01,2012,3,29,13,115,5,4,25,9,12,1,27,12,14,3,63,49,2,22,14,11,438,3,832,0.0116279069767441,0.0052125100240577,0.0461106655974338,0.0020048115477145,0.0016038492381716,0.0100240577385725,0.0036086607858861,0.0048115477145148,0.0004009623095429,0.0108259823576583,0.0048115477145148,0.0056134723336006,0.0012028869286287,0.0252606255012028,0.0196471531676022,0.0008019246190858,0.0088211708099438,0.0056134723336006,0.0044105854049719,0.1756214915797915,0.0012028869286287,57,5,77,17,0,2,0,6,0,37,0,19,19,33,26,2,8,4,8,1367,2,1662,0.0228548516439454,0.0020048115477145,0.0308740978348035,0.0068163592622293,0.0,0.0008019246190858,0.0,0.0024057738572574,0.0,0.0148356054530874,0.0,0.0076182838813151,0.0076182838813151,0.0132317562149157,0.0104250200481154,0.0008019246190858,0.0032076984763432,0.0016038492381716,0.0032076984763432,0.5481154771451484,0.0008019246190858
2012-04-01,2012,4,21,13,56,4,3,20,5,8,0,18,3,17,4,36,35,0,16,8,0,398,0,645,0.0104115022310361,0.0064452156668319,0.0277640059494298,0.0019831432821021,0.0014873574615765,0.0099157164105106,0.0024789291026276,0.0039662865642042,0.0,0.0089241447694595,0.0014873574615765,0.008428358948934,0.0019831432821021,0.0178482895389191,0.0173525037183936,0.0,0.0079325731284085,0.0039662865642042,0.0,0.1973227565691621,0.0,37,7,79,22,1,2,0,4,0,18,1,19,6,26,26,4,8,5,3,1127,1,1372,0.0183440753594447,0.0034705007436787,0.0391670798215171,0.0109072880515617,0.0004957858205255,0.000991571641051,0.0,0.0019831432821021,0.0,0.0089241447694595,0.0004957858205255,0.0094199305899851,0.0029747149231531,0.0128904313336638,0.0128904313336638,0.0019831432821021,0.0039662865642042,0.0024789291026276,0.0014873574615765,0.5587506197322757,0.0004957858205255
2012-05-01,2012,5,18,13,57,3,6,25,13,9,0,36,3,15,6,23,53,1,8,15,3,392,0,686,0.0088452088452088,0.0063882063882063,0.028009828009828,0.0014742014742014,0.0029484029484029,0.0122850122850122,0.0063882063882063,0.0044226044226044,0.0,0.0176904176904176,0.0014742014742014,0.0073710073710073,0.0029484029484029,0.0113022113022113,0.026044226044226,0.0004914004914004,0.0039312039312039,0.0073710073710073,0.0014742014742014,0.1926289926289926,0.0,38,0,71,25,0,2,0,4,0,26,0,23,13,27,30,2,5,5,2,1099,0,1349,0.0186732186732186,0.0,0.0348894348894348,0.0122850122850122,0.0,0.0009828009828009,0.0,0.0019656019656019,0.0,0.0127764127764127,0.0,0.0113022113022113,0.0063882063882063,0.0132678132678132,0.0147420147420147,0.0009828009828009,0.0024570024570024,0.0024570024570024,0.0009828009828009,0.5400491400491401,0.0
2012-06-01,2012,6,11,15,70,0,1,24,9,15,0,27,5,9,7,33,17,3,19,9,1,342,4,597,0.0059652928416485,0.0081344902386117,0.0379609544468546,0.0,0.0005422993492407,0.0130151843817787,0.004880694143167,0.0081344902386117,0.0,0.014642082429501,0.0027114967462039,0.004880694143167,0.0037960954446854,0.0178958785249457,0.0092190889370932,0.0016268980477223,0.0103036876355748,0.004880694143167,0.0005422993492407,0.185466377440347,0.0021691973969631,27,3,62,18,1,2,0,5,0,23,0,15,21,18,19,2,5,4,2,1035,1,1247,0.014642082429501,0.0016268980477223,0.0336225596529284,0.009761388286334,0.0005422993492407,0.0010845986984815,0.0,0.0027114967462039,0.0,0.0124728850325379,0.0,0.0081344902386117,0.0113882863340564,0.009761388286334,0.0103036876355748,0.0010845986984815,0.0027114967462039,0.0021691973969631,0.0010845986984815,0.5612798264642083,0.0005422993492407
2012-07-01,2012,7,19,17,55,5,2,25,14,9,3,21,3,11,3,28,52,1,22,21,1,389,1,687,0.0090004737091425,0.0080530554239696,0.0260540028422548,0.0023685457129322,0.0009474182851729,0.0118427285646612,0.0066319279962103,0.004263382283278,0.0014211274277593,0.0099478919943154,0.0014211274277593,0.0052108005684509,0.0014211274277593,0.0132638559924206,0.0246328754144955,0.0004737091425864,0.0104216011369019,0.0099478919943154,0.0004737091425864,0.1842728564661298,0.0004737091425864,36,3,70,16,0,1,0,4,2,15,0,19,18,35,30,2,7,6,1,1181,0,1424,0.0170535291331122,0.0014211274277593,0.0331596399810516,0.0075793462813832,0.0,0.0004737091425864,0.0,0.0018948365703458,0.0009474182851729,0.0071056371387967,0.0,0.0090004737091425,0.0085267645665561,0.0165798199905258,0.0142112742775935,0.0009474182851729,0.0033159639981051,0.0028422548555187,0.0004737091425864,0.5594504973945997,0.0
2012-08-01,2012,8,9,13,49,2,3,14,16,13,0,23,6,13,2,43,81,4,20,23,5,446,4,757,0.0033745781777277,0.0048743907011623,0.0183727034120734,0.0007499062617172,0.0011248593925759,0.0052493438320209,0.0059992500937382,0.0048743907011623,0.0,0.0086239220097487,0.0022497187851518,0.0048743907011623,0.0007499062617172,0.0161229846269216,0.03037120359955,0.0014998125234345,0.0074990626171728,0.0086239220097487,0.0018747656542932,0.1672290963629546,0.0014998125234345,52,0,89,22,0,1,1,6,1,31,1,29,18,34,39,3,6,6,2,1592,1,1910,0.0194975628046494,0.0,0.0333708286464191,0.0082489688788901,0.0,0.0003749531308586,0.0003749531308586,0.0022497187851518,0.0003749531308586,0.0116235470566179,0.0003749531308586,0.0108736407949006,0.0067491563554555,0.0127484064491938,0.014623172103487,0.0011248593925759,0.0022497187851518,0.0022497187851518,0.0007499062617172,0.5969253843269592,0.0003749531308586
2012-09-01,2012,9,9,16,61,1,5,34,12,8,0,23,3,21,0,33,47,1,8,7,7,323,5,602,0.0045317220543806,0.0080563947633434,0.0307150050352467,0.0005035246727089,0.0025176233635448,0.0171198388721047,0.0060422960725075,0.0040281973816717,0.0,0.0115810674723061,0.0015105740181268,0.0105740181268882,0.0,0.0166163141993957,0.0236656596173212,0.0005035246727089,0.0040281973816717,0.0035246727089627,0.0035246727089627,0.1626384692849949,0.0025176233635448,31,5,72,19,1,1,0,6,0,33,4,23,6,23,18,3,6,5,6,1139,0,1384,0.0156092648539778,0.0025176233635448,0.0362537764350453,0.0095669687814702,0.0005035246727089,0.0005035246727089,0.0,0.0030211480362537,0.0,0.0166163141993957,0.0020140986908358,0.0115810674723061,0.0030211480362537,0.0115810674723061,0.0090634441087613,0.0015105740181268,0.0030211480362537,0.0025176233635448,0.0030211480362537,0.5735146022155085,0.0
2012-10-01,2012,10,24,16,61,2,3,52,15,14,0,30,11,12,2,53,54,3,9,17,9,460,6,824,0.0094376720408965,0.0062917813605977,0.0239874164372788,0.0007864726700747,0.001179709005112,0.0204482894219425,0.0058985450255603,0.005505308690523,0.0,0.0117970900511207,0.0043255996854109,0.0047188360204482,0.0007864726700747,0.0208415257569799,0.0212347620920173,0.001179709005112,0.0035391270153362,0.006685017695635,0.0035391270153362,0.1808887141171844,0.0023594180102241,38,6,70,21,2,5,0,3,1,29,0,25,16,28,27,4,1,2,2,1459,2,1719,0.0149429807314195,0.0023594180102241,0.027526543452615,0.0082579630357845,0.0007864726700747,0.0019661816751867,0.0,0.001179709005112,0.0003932363350373,0.0114038537160833,0.0,0.0098309083759339,0.0062917813605977,0.011010617381046,0.0106173810460086,0.0015729453401494,0.0003932363350373,0.0007864726700747,0.0007864726700747,0.5737318128195045,0.0007864726700747
