country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Angola,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,654,655,0,0,0,0,0,0,0,0,0,0.0015267175572519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015267175572519084,0,0
Angola,Russia,2012-02-01,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,705,711,0,0,0,0,0,0.0014064697609001407,0,0,0,0.0028129395218002813,0,0,0,0,0,0,0,0.0014064697609001407,0.0028129395218002813,0,0,0,0,0.0014064697609001407,0.007032348804500703,0,0
Angola,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,798,799,0,0,0,0,0,0,0,0,0,0,0,0.0012515644555694619,0,0,0,0,0,0,0,0,0,0.0012515644555694619,0,0,0,0,0
Angola,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1067,1070,0,0,0,0,0,0,0,0,0,0,0,0.001869158878504673,0,0,0,0,0,9.345794392523365e-4,0,0,0,0.001869158878504673,0,0,9.345794392523365e-4,0,0
Angola,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,888,889,0,0,0,0,0,0,0,0,0,0,0,0.0011248593925759281,0,0,0,0,0,0,0,0,0,0.0011248593925759281,0,0,0,0,0
Angola,Russia,2012-06-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,876,0.001141552511415525,0,0,0,0,0.001141552511415525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001141552511415525,0,0.001141552511415525,0,0,0
Angola,Russia,2012-07-01,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,843,847,0,0,0,0,0,0.0023612750885478157,0,0,0,0,0,0.0011806375442739079,0,0.0011806375442739079,0,0,0,0,0,0,0,0.0023612750885478157,0,0.0023612750885478157,0,0,0
Angola,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,932,936,0,0,0,0,0,0,0,0,0,0,0,0.003205128205128205,0,0.0010683760683760685,0,0,0,0,0,0,0,0.004273504273504274,0,0,0,0,0
Angola,Russia,2012-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,750,751,0,0,0,0,0,0,0,0.0013315579227696406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013315579227696406,0,0,0
Angola,Russia,2012-10-01,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,968,974,0,0,0,0,0,0,0.001026694045174538,0,0,0.001026694045174538,0,0,0,0.002053388090349076,0.001026694045174538,0,0,0,0,0,0.001026694045174538,0.002053388090349076,0.001026694045174538,0.001026694045174538,0.001026694045174538,0.001026694045174538,0
Angola,Russia,2012-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,930,932,0,0,0,0,0,0,0,0.001072961373390558,0,0,0,0,0,0,0,0,0,0,0.001072961373390558,0,0,0,0,0.001072961373390558,0.001072961373390558,0,0
Angola,Russia,2012-12-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,498,500,0,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0
Angola,Russia,2013-01-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1105,1108,0,0,0,0,0,0,0,0,0,0,9.025270758122744e-4,9.025270758122744e-4,0,0,0,0,0,0,9.025270758122744e-4,0,0,9.025270758122744e-4,0,0,9.025270758122744e-4,9.025270758122744e-4,0
Angola,Russia,2013-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,1098,0,0,0,0,0,0,9.107468123861566e-4,9.107468123861566e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018214936247723133,0,0,0
Angola,Russia,2013-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1134,1137,0,0,0,0,0,0,0,0,0,0,8.795074758135445e-4,0,0,0,0,0,0,0,8.795074758135445e-4,0,8.795074758135445e-4,0,8.795074758135445e-4,0,8.795074758135445e-4,8.795074758135445e-4,0
