country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Armenia,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3053,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245699448231094e-4,0,0,0,0,0,0,0,3.245699448231094e-4,0,0,0,0,0
Armenia,China,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,China,2012-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3865,3880,2.577319587628866e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.577319587628866e-4,0,0,0,0,2.577319587628866e-4,0,0,0,0,2.577319587628866e-4
Armenia,China,2012-04-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4611,4630,0,0,0,0,0,0,0,0,0,2.1598272138228941e-4,2.1598272138228941e-4,0,0,0,0,0,2.1598272138228941e-4,0,0,0,0,0,0,0,2.1598272138228941e-4,2.1598272138228941e-4,2.1598272138228941e-4
Armenia,China,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4703,4745,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1074815595363542e-4,0,0,0,0,0,0,0,2.1074815595363542e-4,0,0,0,0,0
Armenia,China,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4411,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2527596305474206e-4,0,0,0,0,0,0,2.2527596305474206e-4,0,0
Armenia,China,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4661,4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,China,2012-08-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4770,4815,0,0,0,0,0,0,0,0,0,2.0768431983385254e-4,0,2.0768431983385254e-4,0,0,0,0,0,0,0,0,0,2.0768431983385254e-4,0,0,2.0768431983385254e-4,0,0
Armenia,China,2012-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5618,5649,0,0,0,0,0,0,0,0,0,1.770224818551956e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770224818551956e-4,0,0
Armenia,China,2012-10-01,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6646,6665,0,0,0,0,0,0,0,0,0,1.5003750937734434e-4,0,1.5003750937734434e-4,0,1.5003750937734434e-4,0,0,0,0,0,0,0,3.000750187546887e-4,0,0,1.5003750937734434e-4,0,0
Armenia,China,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6245,6266,0,0,0,0,0,0,0,0,0,0,0,1.5959144589849984e-4,0,0,0,0,0,0,0,0,0,1.5959144589849984e-4,0,0,0,0,0
Armenia,China,2012-12-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6560,6574,0,0,0,0,0,0,0,0,0,3.04228780042592e-4,0,0,0,0,0,0,1.52114390021296e-4,0,0,0,0,0,0,0,3.04228780042592e-4,0,1.52114390021296e-4
Armenia,China,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6478,6497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,China,2013-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7864,7941,0,0,0,0,0,1.259287243420224e-4,0,0,0,0,0,0,0,0,0,0,1.259287243420224e-4,0,0,0,0,0,0,1.259287243420224e-4,0,0,1.259287243420224e-4
Armenia,China,2013-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7203,7242,0,0,0,1.3808340237503452e-4,0,0,0,0,0,0,0,0,0,1.3808340237503452e-4,0,0,1.3808340237503452e-4,0,0,0,0,1.3808340237503452e-4,0,1.3808340237503452e-4,0,0,1.3808340237503452e-4
Armenia,China,2013-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6956,6967,0,0,0,0,0,0,2.8706760442084113e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8706760442084113e-4,0,0,0
Armenia,China,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6703,6728,0,0,0,0,0,0,0,0,0,0,0,1.4863258026159333e-4,0,0,0,0,0,0,0,0,0,1.4863258026159333e-4,0,0,0,0,0
Armenia,China,2013-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5852,5874,0,0,0,0,0,0,0,0,0,0,1.7024174327545113e-4,0,0,0,0,0,0,1.7024174327545113e-4,0,0,0,0,0,0,1.7024174327545113e-4,1.7024174327545113e-4,0
Armenia,China,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6465,6482,0,0,0,0,0,0,0,0,0,0,0,1.54273372415921e-4,0,1.54273372415921e-4,0,0,0,0,0,0,0,3.08546744831842e-4,0,0,0,0,0
