country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Armenia,Combined,2012-01-01,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3050,3081,0,0,0,0,3.245699448231094e-4,3.245699448231094e-4,0,0,0,0,0,3.245699448231094e-4,0,3.245699448231094e-4,0,0,0,0,0,0,0,6.491398896462187e-4,0,6.491398896462187e-4,0,0,0
Armenia,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3455,3472,0,0,0,0,0,0,0,0,0,2.880184331797235e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.880184331797235e-4,0,0
Armenia,Combined,2012-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3863,3880,5.154639175257732e-4,0,0,0,0,0,0,0,0,0,0,0,0,5.154639175257732e-4,0,0,0,0,0,0,0,0.0010309278350515464,0,0,0,0,0
Armenia,Combined,2012-04-01,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,4605,4630,0,0,0,2.1598272138228941e-4,0,2.1598272138228941e-4,0,0,0,2.1598272138228941e-4,2.1598272138228941e-4,2.1598272138228941e-4,0,2.1598272138228941e-4,0,0,2.1598272138228941e-4,2.1598272138228941e-4,0,2.1598272138228941e-4,0,4.3196544276457883e-4,0,4.3196544276457883e-4,6.479481641468683e-4,2.1598272138228941e-4,2.1598272138228941e-4
Armenia,Combined,2012-05-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,4699,4745,0,0,0,0,0,2.1074815595363542e-4,0,0,0,2.1074815595363542e-4,0,0,0,4.2149631190727084e-4,0,0,2.1074815595363542e-4,0,0,0,0,4.2149631190727084e-4,0,2.1074815595363542e-4,2.1074815595363542e-4,0,2.1074815595363542e-4
Armenia,Combined,2012-06-01,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,1,0,0,1,1,0,4402,4439,0,0,0,0,2.2527596305474206e-4,0,0,0,0,0,0,6.758278891642261e-4,0,6.758278891642261e-4,0,2.2527596305474206e-4,0,0,2.2527596305474206e-4,2.2527596305474206e-4,0,0.0015769317413831944,0,2.2527596305474206e-4,4.505519261094841e-4,0,0
Armenia,Combined,2012-07-01,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4656,4688,0,0,0,2.1331058020477816e-4,0,0,0,0,0,0,0,2.1331058020477816e-4,0,6.399317406143345e-4,0,0,0,0,0,0,0,8.532423208191126e-4,0,2.1331058020477816e-4,0,0,0
Armenia,Combined,2012-08-01,1,0,0,0,0,1,0,0,0,2,0,4,0,3,0,1,0,0,1,0,0,4759,4815,2.0768431983385254e-4,0,0,0,0,2.0768431983385254e-4,0,0,0,4.153686396677051e-4,0,8.307372793354102e-4,0,6.230529595015577e-4,0,2.0768431983385254e-4,0,0,2.0768431983385254e-4,0,0,0.001869158878504673,0,2.0768431983385254e-4,6.230529595015577e-4,0,0
Armenia,Combined,2012-09-01,0,0,0,0,0,0,1,0,0,4,0,4,0,4,0,1,0,0,0,0,0,5605,5649,0,0,0,0,0,0,1.770224818551956e-4,0,0,7.080899274207824e-4,0,7.080899274207824e-4,0,7.080899274207824e-4,0,1.770224818551956e-4,0,0,0,0,0,0.0015932023366967605,0,1.770224818551956e-4,7.080899274207824e-4,0,0
Armenia,Combined,2012-10-01,0,0,0,1,2,0,1,0,0,1,0,4,0,4,0,0,1,0,1,0,0,6634,6665,0,0,0,1.5003750937734434e-4,3.000750187546887e-4,0,1.5003750937734434e-4,0,0,1.5003750937734434e-4,0,6.001500375093774e-4,0,6.001500375093774e-4,0,0,1.5003750937734434e-4,0,1.5003750937734434e-4,0,0,0.0012003000750187547,0,6.001500375093774e-4,3.000750187546887e-4,0,1.5003750937734434e-4
