country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Azerbaijan,Combined,2012-01-01,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,675,680,0,0,0,0,0,0.0014705882352941176,0,0,0,0.0029411764705882353,0,0.0014705882352941176,0,0.0014705882352941176,0,0,0,0,0,0,0,0.0029411764705882353,0,0.0014705882352941176,0.0029411764705882353,0,0
Azerbaijan,Combined,2012-02-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,755,761,0,0,0,0,0,0.001314060446780552,0,0,0,0.001314060446780552,0,0,0,0,0,0,0,0,0,0.001314060446780552,0.001314060446780552,0,0.001314060446780552,0.001314060446780552,0.002628120893561104,0,0
Azerbaijan,Combined,2012-03-01,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,811,819,0.001221001221001221,0,0,0,0,0,0.002442002442002442,0,0,0.001221001221001221,0,0,0,0,0,0,0.001221001221001221,0,0.001221001221001221,0,0.001221001221001221,0.001221001221001221,0.001221001221001221,0.002442002442002442,0.002442002442002442,0,0.001221001221001221
Azerbaijan,Combined,2012-04-01,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,877,883,0,0,0,0,0,0.0011325028312570782,0.0011325028312570782,0,0,0,0,0.0011325028312570782,0,0.0033975084937712344,0,0,0,0,0,0,0,0.004530011325028313,0,0.0022650056625141564,0,0,0
Azerbaijan,Combined,2012-05-01,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,986,992,0,0,0,0.0010080645161290322,0,0,0.0010080645161290322,0,0,0.0010080645161290322,0,0.0010080645161290322,0,0.0010080645161290322,0,0,0.0010080645161290322,0,0,0,0,0.0020161290322580645,0,0.0020161290322580645,0.0010080645161290322,0,0.0010080645161290322
Azerbaijan,Combined,2012-06-01,0,0,0,1,0,0,1,0,0,0,1,2,0,3,0,0,0,0,1,0,0,1124,1133,0,0,0,8.8261253309797e-4,0,0,8.8261253309797e-4,0,0,0,8.8261253309797e-4,0.00176522506619594,0,0.00264783759929391,0,0,0,0,8.8261253309797e-4,0,0,0.0044130626654898504,0,0.00176522506619594,8.8261253309797e-4,8.8261253309797e-4,0
Azerbaijan,Combined,2012-07-01,0,0,0,0,0,0,1,2,3,2,0,1,0,4,0,0,0,0,0,0,0,1904,1917,0,0,0,0,0,0,5.216484089723526e-4,0.0010432968179447052,0.001564945226917058,0.0010432968179447052,0,5.216484089723526e-4,0,0.0020865936358894104,0,0,0,0,0,0,0,0.002608242044861763,0,0.001564945226917058,0.002608242044861763,0,0
Azerbaijan,Combined,2012-08-01,0,0,0,1,0,0,0,0,1,0,0,2,1,7,0,0,1,0,1,0,0,2450,2464,0,0,0,4.0584415584415587e-4,0,0,0,0,4.0584415584415587e-4,0,0,8.116883116883117e-4,4.0584415584415587e-4,0.002840909090909091,0,0,4.0584415584415587e-4,0,4.0584415584415587e-4,0,0,0.003652597402597403,0,4.0584415584415587e-4,8.116883116883117e-4,0,8.116883116883117e-4
Azerbaijan,Combined,2012-09-01,0,0,0,0,1,0,6,1,0,3,0,1,0,3,0,0,2,0,1,1,0,3161,3180,0,0,0,0,3.1446540880503143e-4,0,0.0018867924528301887,3.1446540880503143e-4,0,9.433962264150943e-4,0,3.1446540880503143e-4,0,9.433962264150943e-4,0,0,6.289308176100629e-4,0,3.1446540880503143e-4,3.1446540880503143e-4,0,0.0012578616352201257,0,0.0025157232704402514,0.0015723270440251573,0,6.289308176100629e-4
Azerbaijan,Combined,2012-10-01,0,0,0,0,1,0,2,1,0,3,0,1,0,3,0,0,0,0,0,0,1,2641,2653,0,0,0,0,3.769317753486619e-4,0,7.538635506973238e-4,3.769317753486619e-4,0,0.0011307953260459858,0,3.769317753486619e-4,0,0.0011307953260459858,0,0,0,0,0,0,3.769317753486619e-4,0.0015077271013946476,3.769317753486619e-4,0.0015077271013946476,0.0011307953260459858,0,0
