country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Belarus,China,2012-01-01,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,3,0,0,1,0,4337,4410,0,0,0,0,0,0,0,4.5351473922902497e-4,0,9.070294784580499e-4,0,2.2675736961451248e-4,0,0,0,0,6.802721088435374e-4,0,0,2.2675736961451248e-4,0,2.2675736961451248e-4,0,4.5351473922902497e-4,0.0011337868480725624,0,6.802721088435374e-4
Belarus,China,2012-02-01,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,4874,4930,0,0,0,0,0,0,0,0,0,0.0010141987829614604,0,0.00020283975659229209,0,0,0,0,6.085192697768763e-4,0,0,0,0,0.00020283975659229209,0,0,0.0010141987829614604,0,6.085192697768763e-4
Belarus,China,2012-03-01,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,4856,4962,0,0,0,0,0,0,2.0153164046755341e-4,2.0153164046755341e-4,0,4.0306328093510683e-4,0,2.0153164046755341e-4,0,0,0,0,2.0153164046755341e-4,0,0,0,0,2.0153164046755341e-4,0,4.0306328093510683e-4,4.0306328093510683e-4,0,2.0153164046755341e-4
Belarus,China,2012-04-01,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,4238,4311,0,0,0,0,0,0,0,0,0,0.001159823706796567,0,0,0,0,0,0,6.958942240779402e-4,2.3196474135931338e-4,0,0,0,0,0,0,0.0013917884481558804,0,6.958942240779402e-4
Belarus,China,2012-05-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,4631,4691,0,0,0,0,0,0,0,2.1317416329140907e-4,0,0,0,2.1317416329140907e-4,0,0,0,0,0,2.1317416329140907e-4,2.1317416329140907e-4,0,0,2.1317416329140907e-4,0,2.1317416329140907e-4,4.2634832658281814e-4,0,0
Belarus,China,2012-06-01,1,0,0,0,0,0,2,0,1,4,0,2,0,1,0,0,3,1,0,0,0,4858,4919,2.0329335230737954e-4,0,0,0,0,0,4.065867046147591e-4,0,2.0329335230737954e-4,8.131734092295182e-4,0,4.065867046147591e-4,0,2.0329335230737954e-4,0,0,6.098800569221387e-4,2.0329335230737954e-4,0,0,0,8.131734092295182e-4,0,4.065867046147591e-4,0.0012197601138442772,0,6.098800569221387e-4
Belarus,China,2012-07-01,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,2,0,0,0,0,4784,4896,0,0,0,0,0,6.127450980392157e-4,0,0,0,2.042483660130719e-4,0,8.169934640522876e-4,0,0,0,2.042483660130719e-4,4.084967320261438e-4,0,0,0,0,0.0010212418300653595,0,6.127450980392157e-4,2.042483660130719e-4,0,4.084967320261438e-4
Belarus,China,2012-08-01,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,3,1,0,0,5264,5568,0,0,0,0,0,0,0,0,0,7.183908045977011e-4,0,5.387931034482759e-4,0,0,0,0,1.7959770114942528e-4,5.387931034482759e-4,1.7959770114942528e-4,0,0,5.387931034482759e-4,0,0,0.0014367816091954023,0,1.7959770114942528e-4
Belarus,China,2012-09-01,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,2,1,1,0,4880,5000,0,2e-4,0,2e-4,0,0,0,0,0,6e-4,0,0,0,0,0,0,4e-4,4e-4,2e-4,2e-4,0,0,2e-4,2e-4,0.0014,0,4e-4
Belarus,China,2012-10-01,0,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0,2,2,1,0,0,5665,5748,0,0,0,0,0,0,1.7397355601948505e-4,0,1.7397355601948505e-4,0.0012178148921363954,0,1.7397355601948505e-4,0,0,0,0,3.479471120389701e-4,3.479471120389701e-4,1.7397355601948505e-4,0,0,1.7397355601948505e-4,0,1.7397355601948505e-4,0.0019137091162143354,0,3.479471120389701e-4
