country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Belarus,Combined,2012-01-01,1,1,0,4,0,2,1,3,0,6,0,3,0,5,1,0,8,0,5,3,0,4305,4410,2.2675736961451248e-4,2.2675736961451248e-4,0,9.070294784580499e-4,0,4.5351473922902497e-4,2.2675736961451248e-4,6.802721088435374e-4,0,0.0013605442176870747,0,6.802721088435374e-4,0,0.0011337868480725624,2.2675736961451248e-4,0,0.0018140589569160999,0,0.0011337868480725624,6.802721088435374e-4,0,0.0020408163265306124,2.2675736961451248e-4,0.0022675736961451248,0.0031746031746031746,2.2675736961451248e-4,0.0018140589569160999
Belarus,Combined,2012-02-01,1,0,0,1,0,0,3,2,0,9,0,4,1,3,3,2,8,1,3,2,1,4839,4930,0.00020283975659229209,0,0,0.00020283975659229209,0,0,6.085192697768763e-4,0.00040567951318458417,0,0.0018255578093306288,0,8.113590263691683e-4,0.00020283975659229209,6.085192697768763e-4,6.085192697768763e-4,0.00040567951318458417,0.0016227180527383367,0.00020283975659229209,6.085192697768763e-4,0.00040567951318458417,0.00020283975659229209,0.002028397565922921,0.00020283975659229209,0.0012170385395537525,0.0030425963488843813,6.085192697768763e-4,0.0018255578093306288
Belarus,Combined,2012-03-01,0,0,1,1,1,2,8,3,0,4,0,7,0,4,1,4,9,0,1,6,0,4810,4962,0,0,2.0153164046755341e-4,2.0153164046755341e-4,2.0153164046755341e-4,4.0306328093510683e-4,0.0016122531237404273,6.045949214026602e-4,0,8.061265618702137e-4,0,0.0014107214832728737,0,8.061265618702137e-4,2.0153164046755341e-4,8.061265618702137e-4,0.0018137847642079807,0,2.0153164046755341e-4,0.0012091898428053204,0,0.003022974607013301,0,0.003022974607013301,0.0022168480451430876,4.0306328093510683e-4,0.0018137847642079807
Belarus,Combined,2012-04-01,0,0,0,6,1,0,3,3,0,9,0,3,0,0,0,3,12,2,3,2,0,4200,4311,0,0,0,0.0013917884481558804,2.3196474135931338e-4,0,6.958942240779402e-4,6.958942240779402e-4,0,0.0020876826722338203,0,6.958942240779402e-4,0,0,0,6.958942240779402e-4,0.0027835768963117608,4.6392948271862676e-4,6.958942240779402e-4,4.6392948271862676e-4,0,0.0013917884481558804,0,0.003015541637671074,0.003711435861749014,0,0.0027835768963117608
Belarus,Combined,2012-05-01,0,0,0,0,0,6,3,3,1,0,1,6,0,2,1,1,2,1,4,2,1,4601,4691,0,0,0,0,0,0.0012790449797484545,6.395224898742272e-4,6.395224898742272e-4,2.1317416329140907e-4,0,2.1317416329140907e-4,0.0012790449797484545,0,4.2634832658281814e-4,2.1317416329140907e-4,2.1317416329140907e-4,4.2634832658281814e-4,2.1317416329140907e-4,8.526966531656363e-4,4.2634832658281814e-4,2.1317416329140907e-4,0.0019185674696226816,2.1317416329140907e-4,0.002558089959496909,0.0017053933063312726,4.2634832658281814e-4,4.2634832658281814e-4
Belarus,Combined,2012-06-01,1,0,0,3,0,8,4,4,1,13,0,11,0,4,0,2,12,3,6,7,0,4794,4919,2.0329335230737954e-4,0,0,6.098800569221387e-4,0,0.0016263468184590363,8.131734092295182e-4,8.131734092295182e-4,2.0329335230737954e-4,0.002642813579995934,0,0.002236226875381175,0,8.131734092295182e-4,0,4.065867046147591e-4,0.002439520227688555,6.098800569221387e-4,0.0012197601138442774,0.0014230534661516568,0,0.003659280341532832,0,0.003862573693840211,0.006098800569221387,0,0.002439520227688555
Belarus,Combined,2012-07-01,0,0,0,6,1,4,4,1,1,5,2,16,0,1,0,5,5,0,1,4,1,4738,4896,0,0,0,0.0012254901960784314,2.042483660130719e-4,8.169934640522876e-4,8.169934640522876e-4,2.042483660130719e-4,2.042483660130719e-4,0.0010212418300653595,4.084967320261438e-4,0.0032679738562091504,0,2.042483660130719e-4,0,0.0010212418300653595,0.0010212418300653595,0,2.042483660130719e-4,8.169934640522876e-4,2.042483660130719e-4,0.004493464052287582,2.042483660130719e-4,0.0032679738562091504,0.002246732026143791,4.084967320261438e-4,0.0010212418300653595
Belarus,Combined,2012-08-01,0,0,0,3,3,2,4,1,0,6,0,3,0,4,4,0,3,5,3,4,2,5229,5568,0,0,0,5.387931034482759e-4,5.387931034482759e-4,3.5919540229885057e-4,7.183908045977011e-4,1.7959770114942528e-4,0,0.0010775862068965517,0,5.387931034482759e-4,0,7.183908045977011e-4,7.183908045977011e-4,0,5.387931034482759e-4,8.979885057471264e-4,5.387931034482759e-4,7.183908045977011e-4,3.5919540229885057e-4,0.001257183908045977,3.5919540229885057e-4,0.0023347701149425285,0.003232758620689655,7.183908045977011e-4,5.387931034482759e-4
Belarus,Combined,2012-09-01,1,1,0,2,3,4,3,6,2,4,0,4,0,2,4,0,4,4,9,3,0,4835,5000,2e-4,2e-4,0,4e-4,6e-4,8e-4,6e-4,0.0012,4e-4,8e-4,0,8e-4,0,4e-4,8e-4,0,8e-4,8e-4,0.0018,6e-4,0,0.0014,2e-4,0.0036,0.0044,8e-4,8e-4
Belarus,Combined,2012-10-01,0,0,0,0,1,9,6,1,1,15,1,2,1,4,3,3,9,4,6,5,0,5609,5748,0,0,0,0,1.7397355601948505e-4,0.0015657620041753654,0.0010438413361169101,1.7397355601948505e-4,1.7397355601948505e-4,0.0026096033402922755,1.7397355601948505e-4,3.479471120389701e-4,1.7397355601948505e-4,6.958942240779402e-4,5.219206680584551e-4,5.219206680584551e-4,0.0015657620041753654,6.958942240779402e-4,0.0010438413361169101,8.698677800974252e-4,0,0.0015657620041753654,0,0.0029575504523312456,0.005393180236604036,6.958942240779401e-4,0.0017397355601948504
Belarus,Combined,2012-11-01,0,0,0,2,2,8,1,0,2,18,0,3,0,1,2,0,12,4,9,4,1,5935,6058,0,0,0,3.301419610432486e-4,3.301419610432486e-4,0.0013205678441729944,1.650709805216243e-4,0,3.301419610432486e-4,0.0029712776493892373,0,4.952129415648729e-4,0,1.650709805216243e-4,3.301419610432486e-4,0,0.0019808517662594917,6.602839220864972e-4,0.0014856388246946186,6.602839220864972e-4,1.650709805216243e-4,6.602839220864972e-4,1.650709805216243e-4,0.002145922746781116,0.006107626279300099,3.301419610432486e-4,0.0019808517662594917
Belarus,Combined,2012-12-01,2,0,0,1,4,3,6,3,2,13,0,1,0,3,1,0,10,6,9,2,0,5548,5670,3.527336860670194e-4,0,0,1.763668430335097e-4,7.054673721340388e-4,5.291005291005291e-4,0.0010582010582010583,5.291005291005291e-4,3.527336860670194e-4,0.002292768959435626,0,1.763668430335097e-4,0,5.291005291005291e-4,1.763668430335097e-4,0,0.001763668430335097,0.0010582010582010583,0.0015873015873015873,3.527336860670194e-4,0,0.0010582010582010583,0,0.002998236331569665,0.005643738977072311,1.763668430335097e-4,0.001763668430335097
