country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Belarus,Russia,2012-01-01,1,2,0,4,0,2,2,1,0,5,0,7,1,5,1,0,5,0,6,3,0,4365,4410,2.2675736961451248e-4,4.5351473922902497e-4,0,9.070294784580499e-4,0,4.5351473922902497e-4,4.5351473922902497e-4,2.2675736961451248e-4,0,0.0011337868480725624,0,0.0015873015873015873,2.2675736961451248e-4,0.0011337868480725624,2.2675736961451248e-4,0,0.0011337868480725624,0,0.0013605442176870747,6.802721088435374e-4,0,0.0029478458049886623,4.5351473922902497e-4,0.0020408163265306124,0.0031746031746031746,2.2675736961451248e-4,0.001360544217687075
Belarus,Russia,2012-02-01,1,0,0,1,0,0,4,3,0,4,0,3,1,3,3,2,9,1,3,3,1,4888,4930,0.00020283975659229209,0,0,0.00020283975659229209,0,0,8.113590263691683e-4,6.085192697768763e-4,0,8.113590263691683e-4,0,6.085192697768763e-4,0.00020283975659229209,6.085192697768763e-4,6.085192697768763e-4,0.00040567951318458417,0.0018255578093306288,0.00020283975659229209,6.085192697768763e-4,6.085192697768763e-4,0.00020283975659229209,0.0018255578093306288,0.00020283975659229209,0.0016227180527383367,0.002231237322515213,6.085192697768763e-4,0.002028397565922921
Belarus,Russia,2012-03-01,0,0,1,2,1,4,7,2,0,2,0,9,2,4,1,4,8,0,6,8,0,4901,4962,0,0,2.0153164046755341e-4,4.0306328093510683e-4,2.0153164046755341e-4,8.061265618702137e-4,0.0014107214832728737,4.0306328093510683e-4,0,4.0306328093510683e-4,0,0.0018137847642079807,4.0306328093510683e-4,8.061265618702137e-4,2.0153164046755341e-4,8.061265618702137e-4,0.0016122531237404273,0,0.0012091898428053204,0.0016122531237404273,0,0.003426037887948408,0,0.0032245062474808546,0.0032245062474808546,4.0306328093510683e-4,0.002015316404675534
Belarus,Russia,2012-04-01,0,0,0,6,1,0,3,3,0,7,1,6,0,0,0,3,9,1,3,2,0,4266,4311,0,0,0,0.0013917884481558804,2.3196474135931338e-4,0,6.958942240779402e-4,6.958942240779402e-4,0,0.0016237531895151936,2.3196474135931338e-4,0.0013917884481558804,0,0,0,6.958942240779402e-4,0.0020876826722338203,2.3196474135931338e-4,6.958942240779402e-4,4.6392948271862676e-4,0,0.0020876826722338207,0,0.003015541637671074,0.003015541637671074,2.3196474135931338e-4,0.0020876826722338203
Belarus,Russia,2012-05-01,0,0,0,0,1,11,3,4,2,0,2,6,0,2,1,2,2,0,4,3,1,4647,4691,0,0,0,0,2.1317416329140907e-4,0.0023449157962055,6.395224898742272e-4,8.526966531656363e-4,4.2634832658281814e-4,0,4.2634832658281814e-4,0.0012790449797484545,0,4.2634832658281814e-4,2.1317416329140907e-4,4.2634832658281814e-4,4.2634832658281814e-4,0,8.526966531656363e-4,6.395224898742272e-4,2.1317416329140907e-4,0.002131741632914091,2.1317416329140907e-4,0.004050309102536773,0.0019185674696226816,6.395224898742272e-4,4.2634832658281814e-4
Belarus,Russia,2012-06-01,0,0,0,3,0,9,6,4,1,10,0,11,0,4,0,3,11,2,8,10,0,4837,4919,0,0,0,6.098800569221387e-4,0,0.001829640170766416,0.0012197601138442774,8.131734092295182e-4,2.0329335230737954e-4,0.0020329335230737954,0,0.002236226875381175,0,8.131734092295182e-4,0,6.098800569221387e-4,0.002236226875381175,4.065867046147591e-4,0.0016263468184590363,0.0020329335230737954,0,0.003659280341532832,0,0.00447245375076235,0.0063020939215287656,0,0.002236226875381175
Belarus,Russia,2012-07-01,0,0,0,6,1,4,4,1,3,6,2,14,0,2,0,4,5,0,2,5,1,4836,4896,0,0,0,0.0012254901960784314,2.042483660130719e-4,8.169934640522876e-4,8.169934640522876e-4,2.042483660130719e-4,6.127450980392157e-4,0.0012254901960784314,4.084967320261438e-4,0.0028594771241830064,0,4.084967320261438e-4,0,8.169934640522876e-4,0.0010212418300653595,0,4.084967320261438e-4,0.0010212418300653595,2.042483660130719e-4,0.004084967320261438,2.042483660130719e-4,0.0032679738562091504,0.0032679738562091504,4.084967320261438e-4,0.0010212418300653595
Belarus,Russia,2012-08-01,0,0,0,5,3,2,8,2,0,5,0,5,0,5,4,0,6,3,2,5,2,5511,5568,0,0,0,8.979885057471264e-4,5.387931034482759e-4,3.5919540229885057e-4,0.0014367816091954023,3.5919540229885057e-4,0,8.979885057471264e-4,0,8.979885057471264e-4,0,8.979885057471264e-4,7.183908045977011e-4,0,0.0010775862068965517,5.387931034482759e-4,3.5919540229885057e-4,8.979885057471264e-4,3.5919540229885057e-4,0.0017959770114942528,3.5919540229885057e-4,0.0035919540229885057,0.0026939655172413795,7.183908045977011e-4,0.0010775862068965517
Belarus,Russia,2012-09-01,1,0,0,2,3,5,4,7,2,2,0,6,1,2,7,0,4,2,8,3,1,4940,5000,2e-4,0,0,4e-4,6e-4,0.001,8e-4,0.0014,4e-4,4e-4,0,0.0012,2e-4,4e-4,0.0014,0,8e-4,4e-4,0.0016,6e-4,2e-4,0.0018,2e-4,0.0042,0.0034000000000000002,0.0014,0.001
Belarus,Russia,2012-10-01,1,0,0,0,1,14,5,3,0,13,1,3,1,5,4,4,8,2,6,5,1,5671,5748,1.7397355601948505e-4,0,0,0,1.7397355601948505e-4,0.0024356297842727907,8.698677800974252e-4,5.219206680584551e-4,0,0.0022616562282533055,1.7397355601948505e-4,5.219206680584551e-4,1.7397355601948505e-4,8.698677800974252e-4,6.958942240779402e-4,6.958942240779402e-4,0.0013917884481558804,3.479471120389701e-4,0.0010438413361169101,8.698677800974252e-4,1.7397355601948505e-4,0.0022616562282533055,1.7397355601948505e-4,0.004001391788448156,0.004523312456506611,8.698677800974252e-4,0.0015657620041753654
Belarus,Russia,2012-11-01,0,0,1,5,2,14,2,0,1,34,0,3,0,2,3,0,13,2,8,5,1,5962,6058,0,0,1.650709805216243e-4,8.253549026081215e-4,3.301419610432486e-4,0.00231099372730274,3.301419610432486e-4,0,1.650709805216243e-4,0.005612413337735226,0,4.952129415648729e-4,0,3.301419610432486e-4,4.952129415648729e-4,0,0.002145922746781116,3.301419610432486e-4,0.0013205678441729944,8.253549026081215e-4,1.650709805216243e-4,8.253549026081215e-4,1.650709805216243e-4,0.0037966325519973587,0.008253549026081216,6.602839220864972e-4,0.002145922746781116
Belarus,Russia,2012-12-01,3,0,0,2,4,9,7,3,4,18,1,3,0,5,1,0,7,2,13,2,0,5586,5670,5.291005291005291e-4,0,0,3.527336860670194e-4,7.054673721340388e-4,0.0015873015873015873,0.0012345679012345679,5.291005291005291e-4,7.054673721340388e-4,0.0031746031746031746,1.763668430335097e-4,5.291005291005291e-4,0,8.818342151675485e-4,1.763668430335097e-4,0,0.0012345679012345679,3.527336860670194e-4,0.002292768959435626,3.527336860670194e-4,0,0.0019400352733686067,0,0.004409171075837742,0.0068783068783068784,3.527336860670194e-4,0.0012345679012345679
Belarus,Russia,2013-01-01,2,0,0,1,1,7,2,4,1,10,0,4,0,3,1,3,12,0,6,5,1,5803,5866,3.4094783498124785e-4,0,0,1.7047391749062393e-4,1.7047391749062393e-4,0.0011933174224343676,3.4094783498124785e-4,6.818956699624957e-4,1.7047391749062393e-4,0.0017047391749062393,0,6.818956699624957e-4,0,5.114217524718718e-4,1.7047391749062393e-4,5.114217524718718e-4,0.002045687009887487,0,0.0010228435049437436,8.523695874531196e-4,1.7047391749062393e-4,0.002045687009887487,1.7047391749062393e-4,0.002557108762359359,0.0037504261847937266,1.7047391749062393e-4,0.002045687009887487
Belarus,Russia,2013-02-01,2,0,0,1,1,5,2,1,0,7,0,8,0,2,0,4,8,3,6,1,3,5462,5516,3.6258158085569254e-4,0,0,1.8129079042784627e-4,1.8129079042784627e-4,9.064539521392314e-4,3.6258158085569254e-4,1.8129079042784627e-4,0,0.0012690355329949238,0,0.0014503263234227702,0,3.6258158085569254e-4,0,7.251631617113851e-4,0.0014503263234227702,5.438723712835388e-4,0.0010877447425670776,1.8129079042784627e-4,5.438723712835388e-4,0.0029006526468455403,5.438723712835388e-4,0.0018129079042784628,0.0030819434372733865,0,0.0014503263234227702
Belarus,Russia,2013-03-01,0,0,0,2,1,6,0,3,4,14,0,6,0,4,0,2,14,1,2,0,2,5743,5804,0,0,0,3.4458993797381116e-4,1.7229496898690558e-4,0.0010337698139214334,0,5.168849069607167e-4,6.891798759476223e-4,0.002412129565816678,0,0.0010337698139214334,0,6.891798759476223e-4,0,3.4458993797381116e-4,0.002412129565816678,1.7229496898690558e-4,3.4458993797381116e-4,0,3.4458993797381116e-4,0.002067539627842867,3.4458993797381116e-4,0.002067539627842867,0.003618194348725017,0,0.002412129565816678
Belarus,Russia,2013-04-01,2,0,0,4,3,10,1,2,3,13,0,9,0,14,0,4,18,2,0,6,2,6023,6116,3.270111183780249e-4,0,0,6.540222367560497e-4,4.905166775670373e-4,0.0016350555918901242,1.6350555918901244e-4,3.270111183780249e-4,4.905166775670373e-4,0.0021255722694571615,0,0.0014715500327011119,0,0.002289077828646174,0,6.540222367560497e-4,0.0029431000654022237,3.270111183780249e-4,0,9.810333551340746e-4,3.270111183780249e-4,0.00474166121648136,3.270111183780249e-4,0.0032701111837802484,0.003924133420536298,0,0.0029431000654022237
