country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
DR Congo,China,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,556,557,0,0,0,0,0,0,0,0,0,0.0017953321364452424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017953321364452424,0,0
DR Congo,China,2012-02-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,569,572,0,0,0,0,0,0,0,0,0,0.0034965034965034965,0,0,0,0,0,0,0.0017482517482517483,0,0,0,0,0,0,0,0.0034965034965034965,0,0.0017482517482517483
DR Congo,China,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,China,2012-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,711,712,0,0,0,0,0,0,0,0,0,0.0014044943820224719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014044943820224719,0,0
DR Congo,China,2012-05-01,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,926,931,0,0,0,0,0,0,0,0,0,0.0021482277121374865,0,0.0010741138560687433,0,0,0,0,0,0.0010741138560687433,0,0,0.0010741138560687433,0.0010741138560687433,0.0010741138560687433,0,0.0032223415682062296,0,0
DR Congo,China,2012-06-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,910,912,0,0,0,0,0,0,0,0,0,0.0021929824561403508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021929824561403508,0,0
DR Congo,China,2012-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1095,1100,0,0,0,0,0,0,0,0,0.0018181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.0027272727272727275,0,0.0027272727272727275,0,0.0018181818181818182,0,0
DR Congo,China,2012-08-01,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,942,951,0.0010515247108307045,0,0,0.0010515247108307045,0,0,0,0,0.0010515247108307045,0.006309148264984227,0,0,0,0,0,0,0,0,0,0,0,0.0010515247108307045,0,0.0010515247108307045,0.007360672975814931,0,0
DR Congo,China,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,767,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013020833333333333,0,0,0,0,0,0.0013020833333333333,0,0
DR Congo,China,2012-10-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,993,996,0,0,0,0,0,0,0,0,0,0.002008032128514056,0,0,0,0,0,0,0,0,0,0,0.001004016064257028,0,0.001004016064257028,0,0.002008032128514056,0,0
DR Congo,China,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1221,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081766148814390845,0,0,0.00081766148814390845,0,0.00081766148814390845,0,0.00081766148814390845,0,0
DR Congo,China,2012-12-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,816,818,0,0,0,0,0,0,0,0,0,0.0024449877750611247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024449877750611247,0,0
