country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
DR Congo,Combined,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,512,557,0,0,0,0,0,0,0.0017953321364452424,0,0,0,0,0,0,0,0.0017953321364452424,0,0,0,0,0,0,0,0,0.0017953321364452424,0,0.0017953321364452424,0
DR Congo,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017482517482517483,0,0,0,0,0,0,0,0,0,0.0017482517482517483
DR Congo,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,844,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010741138560687433,0,0.0010741138560687433,0,0,0,0
DR Congo,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,832,912,0,0,0,0,0,0,0,0,0,0.0010964912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010964912280701754,0,0
DR Congo,Combined,2012-07-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,908,1100,0,0,0,0,0,0,0,0,9.090909090909091e-4,0,0,9.090909090909091e-4,0,0,0,0,0,0,0,0,0.0027272727272727275,9.090909090909091e-4,0.0027272727272727275,0,9.090909090909091e-4,0,0
DR Congo,Combined,2012-08-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,836,951,0,0,0,0.0010515247108307045,0,0,0,0,0.0010515247108307045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010515247108307045,0.0010515247108307045,0,0
DR Congo,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,847,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001004016064257028,0,0.001004016064257028,0,0,0,0
DR Congo,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,838,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081766148814390845,0.00081766148814390845,0,0,0,0,0,0,0.00081766148814390845,0,0.00081766148814390845
DR Congo,Combined,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,751,927,0,0,0,0,0,0.0010787486515641855,0,0,0,0,0,0,0,0.0010787486515641855,0,0,0,0,0,0,0,0.0010787486515641855,0,0.0010787486515641855,0,0,0
DR Congo,Combined,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,751,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001215066828675577,0,0,0,0,0,0,0.001215066828675577,0.001215066828675577,0.001215066828675577,0,0,0,0
DR Congo,Combined,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-06-01,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,771,834,0,0,0,0,0,0,0.002398081534772182,0,0,0,0,0.001199040767386091,0,0,0,0,0,0,0,0,0,0.001199040767386091,0,0.002398081534772182,0,0,0
DR Congo,Combined,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,814,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011148272017837235,0,0.0011148272017837235,0,0,0,0
DR Congo,Combined,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,801,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010309278350515464,0,0,0,0,0,0,0,0,0,0.0010309278350515464
DR Congo,Combined,2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,788,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011389521640091116,0,0,0,0,0,0,0,0,0,0.0011389521640091116
DR Congo,Combined,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,876,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010471204188481676,0,0.0010471204188481676,0,0.0010471204188481676,0,0.0010471204188481676,0,0
DR Congo,Combined,2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Combined,2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
