country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
DR Congo,Russia,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,555,557,0,0,0,0,0,0,0.0017953321364452424,0,0,0,0,0,0,0,0.0017953321364452424,0,0,0,0,0,0,0,0,0.0017953321364452424,0,0.0017953321364452424,0
DR Congo,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,714,716,0,0,0,0,0,0,0,0,0,0.0013966480446927375,0,0,0,0,0,0,0.0013966480446927375,0,0,0,0,0,0,0,0.0013966480446927375,0,0.0013966480446927375
DR Congo,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,910,912,0,0,0,0,0,0,0,0,0,0.0010964912280701754,0,0.0010964912280701754,0,0,0,0,0,0,0,0,0,0.0010964912280701754,0,0,0.0010964912280701754,0,0
DR Congo,Russia,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1099,1100,0,0,0,0,0,0,0,0,0,0,0,9.090909090909091e-4,0,0,0,0,0,0,0,0,0,9.090909090909091e-4,0,0,0,0,0
DR Congo,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Russia,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR Congo,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,995,996,0,0,0,0,0,0,0,0,0,0.001004016064257028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001004016064257028,0,0
