country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Dominican Republic,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3689,3689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2012-02-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3739,3741,0,0,0,0,2.673082063619353e-4,0,0,0,0,0,0,2.673082063619353e-4,0,0,0,0,0,0,0,0,0,2.673082063619353e-4,0,2.673082063619353e-4,0,0,0
Dominican Republic,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025,4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3634,3635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.751031636863824e-4,0,0,0,0,0,0,0,0,0,2.751031636863824e-4
Dominican Republic,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4222,4223,0,0,0,0,0,0,0,0,0,2.3679848448969926e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3679848448969926e-4,0,0
Dominican Republic,Combined,2012-06-01,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,3953,3959,0,0,0,0,0,2.5258903763576663e-4,0,2.5258903763576663e-4,0,0,0,5.051780752715333e-4,0,0,0,0,2.5258903763576663e-4,0,2.5258903763576663e-4,0,0,5.051780752715333e-4,0,5.051780752715333e-4,2.5258903763576663e-4,0,2.5258903763576663e-4
Dominican Republic,Combined,2012-07-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3677,3681,0,0,0,0,0,0,0,2.7166530834012495e-4,0,0,0,2.7166530834012495e-4,0,0,0,0,2.7166530834012495e-4,0,0,0,2.7166530834012495e-4,2.7166530834012495e-4,2.7166530834012495e-4,2.7166530834012495e-4,0,0,2.7166530834012495e-4
Dominican Republic,Combined,2012-08-01,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3716,3721,0,0,0,0,2.687449610319806e-4,0,2.687449610319806e-4,0,0,0,0,8.062348830959419e-4,0,0,0,0,0,0,0,0,0,8.062348830959419e-4,0,5.374899220639613e-4,0,0,0
Dominican Republic,Combined,2012-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3886,3888,0,0,0,0,0,2.57201646090535e-4,0,0,0,0,0,0,0,0,0,0,2.57201646090535e-4,0,0,0,0,0,0,2.57201646090535e-4,0,0,2.57201646090535e-4
Dominican Republic,Combined,2012-10-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4394,4397,0,0,0,0,0,2.2742779167614282e-4,0,0,0,0,0,0,2.2742779167614282e-4,0,0,0,0,0,0,0,2.2742779167614282e-4,0,2.2742779167614282e-4,2.2742779167614282e-4,0,0,2.2742779167614282e-4
Dominican Republic,Combined,2012-11-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4125,4128,0,0,0,0,0,4.8449612403100775e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4224806201550387e-4,0,2.4224806201550387e-4,4.8449612403100775e-4,0,0,0
Dominican Republic,Combined,2012-12-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3855,3857,0,0,0,0,0,2.5926886180969663e-4,0,0,0,2.5926886180969663e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5926886180969663e-4,2.5926886180969663e-4,0,0
Dominican Republic,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4089,4090,0,0,0,0,0,0,0,0,0,2.4449877750611245e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4449877750611245e-4,0,0
Dominican Republic,Combined,2013-02-01,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3678,3683,0,0,0,0,0,2.7151778441487917e-4,0,0,0,2.7151778441487917e-4,0,2.7151778441487917e-4,0,2.7151778441487917e-4,0,0,0,0,2.7151778441487917e-4,0,0,5.430355688297583e-4,0,2.7151778441487917e-4,5.430355688297583e-4,0,0
Dominican Republic,Combined,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3819,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617801047120419e-4,0,0,0,0,0,0,0,0,0,2.617801047120419e-4
Dominican Republic,Combined,2013-04-01,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3792,3796,0,0,0,0,0,0,0,2.6343519494204424e-4,0,5.268703898840885e-4,0,2.6343519494204424e-4,0,0,0,0,0,0,0,0,0,2.6343519494204424e-4,0,2.6343519494204424e-4,5.268703898840885e-4,0,0
Dominican Republic,Combined,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4124,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.423654871546292e-4,0,0,0,2.423654871546292e-4,0,2.423654871546292e-4,0,0,0,2.423654871546292e-4
Dominican Republic,Combined,2013-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3999,4001,0,0,0,0,0,2.4993751562109475e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4993751562109475e-4,0,2.4993751562109475e-4,2.4993751562109475e-4,0,0,0
Dominican Republic,Combined,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4382,4384,0,0,0,0,0,0,0,0,0,0,0,4.562043795620438e-4,0,0,0,0,0,0,0,0,0,4.562043795620438e-4,0,0,0,0,0
Dominican Republic,Combined,2013-08-01,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4586,4590,0,0,0,0,0,0,0,0,0,4.3572984749455336e-4,0,2.1786492374727668e-4,0,2.1786492374727668e-4,0,0,0,0,0,0,0,4.3572984749455336e-4,0,0,4.3572984749455336e-4,0,0
Dominican Republic,Combined,2013-09-01,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4212,4218,0,0,0,7.112375533428165e-4,0,0,0,0,0,4.74158368895211e-4,0,0,0,0,0,0,0,0,2.370791844476055e-4,0,0,0,0,7.112375533428165e-4,7.112375533428165e-4,0,0
Dominican Republic,Combined,2013-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4264,4265,0,0,0,0,0,0,0,0,0,2.3446658851113716e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3446658851113716e-4,0,0
Dominican Republic,Combined,2013-11-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4057,4060,0,0,0,0,0,0,0,0,0,2.463054187192118e-4,0,2.463054187192118e-4,0,0,0,0,2.463054187192118e-4,0,0,0,0,2.463054187192118e-4,0,0,2.463054187192118e-4,0,2.463054187192118e-4
Dominican Republic,Combined,2013-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3840,3841,0,0,0,0,0,0,0,0,0,2.603488674824265e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.603488674824265e-4,0,0
Dominican Republic,Combined,2014-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3874,3876,0,0,0,0,0,0,0,0,0,5.159958720330237e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.159958720330237e-4,0,0
Dominican Republic,Combined,2014-02-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,3791,3796,0,0,0,0,0,0,0,0,2.6343519494204424e-4,5.268703898840885e-4,0,0,0,0,0,0,2.6343519494204424e-4,2.6343519494204424e-4,0,0,0,0,0,0,0.001053740779768177,0,2.6343519494204424e-4
Dominican Republic,Combined,2014-03-01,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,4285,4291,0,0,0,0,0,2.3304591004427873e-4,0,0,0,6.991377301328362e-4,0,2.3304591004427873e-4,0,0,0,0,0,0,0,2.3304591004427873e-4,0,2.3304591004427873e-4,0,2.3304591004427873e-4,9.321836401771149e-4,0,0
Dominican Republic,Combined,2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3897,3899,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5647601949217746e-4,0,0,2.5647601949217746e-4,0,0,0,0,2.5647601949217746e-4,0,0,0,0,2.5647601949217746e-4
Dominican Republic,Combined,2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4350,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2014-06-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3769,3772,0,0,0,0,0,0,0,0,0,2.651113467656416e-4,0,2.651113467656416e-4,0,0,0,0,0,0,2.651113467656416e-4,0,0,2.651113467656416e-4,0,0,5.302226935312832e-4,0,0
Dominican Republic,Combined,2014-07-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4034,4037,0,0,0,2.4770869457517957e-4,0,0,0,0,0,0,0,2.4770869457517957e-4,0,0,0,0,2.4770869457517957e-4,0,0,0,0,2.4770869457517957e-4,0,2.4770869457517957e-4,0,0,2.4770869457517957e-4
Dominican Republic,Combined,2014-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4071,4073,0,0,0,0,0,0,0,2.4551927326295114e-4,0,0,0,0,0,0,0,0,2.4551927326295114e-4,0,0,0,0,0,0,2.4551927326295114e-4,0,0,2.4551927326295114e-4
Dominican Republic,Combined,2014-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4028,4031,0,0,0,0,0,0,0,0,0,2.4807740014884643e-4,0,0,0,0,0,0,2.4807740014884643e-4,0,2.4807740014884643e-4,0,0,0,0,0,4.961548002976929e-4,0,2.4807740014884643e-4
Dominican Republic,Combined,2014-10-01,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4290,4297,0,0,2.3272050267628578e-4,0,0,2.3272050267628578e-4,0,0,0,0,0,9.308820107051431e-4,0,0,0,0,0,0,2.3272050267628578e-4,0,0,9.308820107051431e-4,0,2.3272050267628578e-4,2.3272050267628578e-4,2.3272050267628578e-4,0
Dominican Republic,Combined,2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3985,3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.508780732563974e-4,0,0,0,0,0,2.508780732563974e-4,0,0
Dominican Republic,Combined,2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2037,2038,0,0,0,0,0,0,0,0,0,0,0,4.906771344455348e-4,0,0,0,0,0,0,0,0,0,4.906771344455348e-4,0,0,0,0,0
Dominican Republic,Combined,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2015-03-01,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3562,3565,0,0,0,0,0,0,0,0,0,2.8050490883590464e-4,2.8050490883590464e-4,2.8050490883590464e-4,0,0,0,0,0,0,0,0,0,2.8050490883590464e-4,0,0,2.8050490883590464e-4,2.8050490883590464e-4,0
Dominican Republic,Combined,2015-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,2037,0,0,0,4.909180166912126e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.909180166912126e-4,0,0,0
Dominican Republic,Combined,2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2186,2188,0,0,0,0,0,4.570383912248629e-4,0,0,0,0,0,4.570383912248629e-4,0,0,0,0,0,0,0,0,0,4.570383912248629e-4,0,4.570383912248629e-4,0,0,0
Dominican Republic,Combined,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2015-09-01,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2271,2275,0,0,0,4.3956043956043956e-4,4.3956043956043956e-4,4.3956043956043956e-4,0,0,0,0,0,0,0,0,0,0,4.3956043956043956e-4,0,0,0,0,0,0,0.0013186813186813187,0,0,4.3956043956043956e-4
Dominican Republic,Combined,2015-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2324,2328,0,0,0,0,0,0,0,0,0,0,0,4.29553264604811e-4,0,0,0,0,4.29553264604811e-4,0,8.59106529209622e-4,0,0,4.29553264604811e-4,0,0,8.59106529209622e-4,0,4.29553264604811e-4
Dominican Republic,Combined,2015-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2103,2104,0,0,0,0,0,0,0,0,0,0,0,4.752851711026616e-4,0,0,0,0,0,0,0,0,0,4.752851711026616e-4,0,0,0,0,0
Dominican Republic,Combined,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2016-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3277,3279,0,0,0,0,0,0,6.09942055504727e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09942055504727e-4,0,0,0
Dominican Republic,Combined,2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3703,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2016-03-01,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4124,4127,0,2.42306760358614e-4,0,0,0,2.42306760358614e-4,0,0,0,0,0,2.42306760358614e-4,0,0,0,0,0,0,0,0,0,2.42306760358614e-4,2.42306760358614e-4,2.42306760358614e-4,0,0,0
Dominican Republic,Combined,2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127,4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2016-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3666,3667,0,0,0,0,0,0,0,2.727024815925825e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.727024815925825e-4,0,0,0
Dominican Republic,Combined,2016-07-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3920,3925,0,0,0,2.5477707006369424e-4,0,0,0,0,0,2.5477707006369424e-4,0,0,0,0,0,2.5477707006369424e-4,0,0,0,0,5.095541401273885e-4,2.5477707006369424e-4,5.095541401273885e-4,2.5477707006369424e-4,2.5477707006369424e-4,0,0
Dominican Republic,Combined,2016-08-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,3875,3881,0,0,0,2.576655501159495e-4,0,0,0,0,0,0,0,2.576655501159495e-4,0,0,0,0,2.576655501159495e-4,0,7.729966503478485e-4,0,0,2.576655501159495e-4,0,2.576655501159495e-4,7.729966503478485e-4,0,2.576655501159495e-4
Dominican Republic,Combined,2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3759,3759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741,3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Combined,2016-11-01,0,1,0,0,0,1,0,0,2,4,0,2,0,0,0,0,1,0,1,0,0,3859,3871,0,2.583311805734952e-4,0,0,0,2.583311805734952e-4,0,0,5.166623611469904e-4,0.0010333247222939809,0,5.166623611469904e-4,0,0,0,0,2.583311805734952e-4,0,2.583311805734952e-4,0,0,5.166623611469904e-4,2.583311805734952e-4,2.583311805734952e-4,0.0018083182640144665,0,2.583311805734952e-4
Dominican Republic,Combined,2016-12-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3711,3713,2.6932399676811203e-4,0,2.6932399676811203e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6932399676811203e-4,0,0,0,2.6932399676811203e-4,0
Dominican Republic,Combined,2017-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1573,1575,0,0,6.349206349206349e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.349206349206349e-4,0,0,0,0,6.349206349206349e-4,6.349206349206349e-4,0
Dominican Republic,Combined,2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
