country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Dominican Republic,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,3689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Russia,2012-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732,3741,0,0,0,0,2.673082063619353e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.673082063619353e-4,0,0,0
Dominican Republic,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4014,4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3618,3635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.751031636863824e-4,0,0,0,0,0,0,0,0,0,2.751031636863824e-4
Dominican Republic,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4199,4223,0,0,0,0,0,0,0,0,0,0,0,0,2.3679848448969926e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3679848448969926e-4
Dominican Republic,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Russia,2012-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3630,3681,0,0,0,0,0,0,0,2.7166530834012495e-4,0,0,0,0,0,0,0,0,0,0,0,0,2.7166530834012495e-4,0,2.7166530834012495e-4,2.7166530834012495e-4,0,0,0
Dominican Republic,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3622,3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Russia,2012-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3880,3888,0,0,0,0,0,2.57201646090535e-4,0,0,0,0,0,0,0,0,0,0,2.57201646090535e-4,0,0,0,0,0,0,2.57201646090535e-4,0,0,2.57201646090535e-4
Dominican Republic,Russia,2012-10-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4374,4397,0,0,0,0,0,2.2742779167614282e-4,0,0,0,0,0,0,2.2742779167614282e-4,0,0,0,0,0,0,0,2.2742779167614282e-4,0,2.2742779167614282e-4,2.2742779167614282e-4,0,0,2.2742779167614282e-4
