country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Ecuador,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5681,5725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4742,4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4951,4995,0,0,0,0,0,0,0,0,0,0,0,0,2.002002002002002e-4,0,2.002002002002002e-4,0,0,0,0,0,0,0,0,0,0,2.002002002002002e-4,2.002002002002002e-4
Ecuador,Russia,2012-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4716,4743,0,0,0,0,0,0,2.108370229812355e-4,0,0,0,0,0,0,0,2.108370229812355e-4,0,6.325110689437065e-4,0,0,0,0,0,0,2.108370229812355e-4,0,2.108370229812355e-4,6.325110689437065e-4
Ecuador,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4976,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96078431372549e-4,0,0,0,0,0,1.96078431372549e-4,0,0,0,0,0
Ecuador,Russia,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5196,5245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9065776930409913e-4,0,1.9065776930409913e-4,0,1.9065776930409913e-4,0,1.9065776930409913e-4,0,0
Ecuador,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5420,5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Russia,2012-09-01,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4872,4928,0,0,0,6.087662337662338e-4,0,0,0,2.0292207792207794e-4,0,0,0,2.0292207792207794e-4,0,0,0,0,0,0,0,0,0,2.0292207792207794e-4,0,8.116883116883117e-4,0,0,0
Ecuador,Russia,2012-10-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5173,5248,0,0,0,0,0,0,1.9054878048780488e-4,0,0,0,0,1.9054878048780488e-4,0,0,0,0,1.9054878048780488e-4,0,0,0,0,1.9054878048780488e-4,0,1.9054878048780488e-4,0,0,1.9054878048780488e-4
Ecuador,Russia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4977,5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Russia,2012-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4519,4565,0,0,0,0,0,0,0,2.190580503833516e-4,0,0,0,0,0,0,0,0,0,4.381161007667032e-4,0,0,0,0,0,2.190580503833516e-4,4.381161007667032e-4,0,0
Ecuador,Russia,2013-01-01,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,4302,4337,0,0,0,0,0,0,0,0,0,6.917223887479825e-4,0,0,2.3057412958266084e-4,0,0,0,2.3057412958266084e-4,0,0,0,0,0,0,0,6.917223887479825e-4,0,4.611482591653217e-4
Ecuador,Russia,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Russia,2013-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3250,3285,3.0441400304414006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0441400304414006e-4,0,0,0,0,3.0441400304414006e-4,0,0,0,0,3.0441400304414006e-4
