country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
El Salvador,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1156,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.539709649871904e-4,0,0,0,0,0,8.539709649871904e-4,0,0
El Salvador,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1203,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,8.130081300813008e-4,0,0,0,0,0,0,0,8.130081300813008e-4,0,0,0,0,0
El Salvador,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1711,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.793742757821553e-4,0,0,0,0,0,0,0,0,0,5.793742757821553e-4
El Salvador,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2012-11-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1535,1554,0,0,0,0,0,0,0,0,6.435006435006435e-4,6.435006435006435e-4,0,0,0,0,0,0,0,6.435006435006435e-4,0,0,0,0,0,0,0.0019305019305019305,0,0
El Salvador,Combined,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2013-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,3096,6.459948320413437e-4,0,6.459948320413437e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.459948320413437e-4,0,0,0,6.459948320413437e-4,0
El Salvador,Combined,2013-02-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926,2936,0,0,6.811989100817438e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.811989100817438e-4,0
El Salvador,Combined,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2814,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.536067892503536e-4,0,3.536067892503536e-4,0,0,0,0
El Salvador,Combined,2013-04-01,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2952,2982,0,0,0,0,0,0,6.706908115358819e-4,3.3534540576794097e-4,0,6.706908115358819e-4,0,0,0,0,0,0,0,0,0,0,3.3534540576794097e-4,0,3.3534540576794097e-4,0.001006036217303823,6.706908115358819e-4,0,0
El Salvador,Combined,2013-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091,3126,3.198976327575176e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.198976327575176e-4,0,0,0,0,0
El Salvador,Combined,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853,2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3097,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2013-08-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,3097,0,0,0,0,0,9.686793671294801e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.686793671294801e-4,0,0,0
El Salvador,Combined,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2950,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,3.370407819346141e-4,0,0,0,0,0,0,0,3.370407819346141e-4,0,0,0,0,0
El Salvador,Combined,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3238,3259,0,0,0,0,0,0,0,0,0,0,0,9.205277692543725e-4,0,3.068425897514575e-4,0,0,0,0,0,0,0,0.00122737035900583,0,0,0,0,0
El Salvador,Combined,2013-11-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3130,3152,0,0,0,0,0,0,0,0,0,6.345177664974619e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.345177664974619e-4,0,0
El Salvador,Combined,2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2967,3037,0,0,0,0,0,0,0,0,3.2927230819888045e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2927230819888045e-4,0,0
El Salvador,Combined,2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2965,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.272251308900524e-4,0,0,0,0,0,3.272251308900524e-4,0,0
El Salvador,Combined,2014-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2787,2814,0,0,0,0,0,0,0,0,0,0,0,3.5536602700781805e-4,0,0,0,0,0,0,0,0,0,3.5536602700781805e-4,0,0,0,0,0
El Salvador,Combined,2014-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,3281,0,0,0,0,0,6.095702529716549e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.095702529716549e-4,0,0,0
El Salvador,Combined,2014-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801,2865,0,0,0,0,0,6.980802792321117e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.980802792321117e-4,0,0,0
El Salvador,Combined,2014-07-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2979,3102,0,0,0,0,0,0,0,0,0,6.447453255963894e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447453255963894e-4,0,0
El Salvador,Combined,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2650,2694,0,0,0,0,0,0,0,0,0,0,0,3.711952487008166e-4,0,0,0,0,0,0,0,0,0,3.711952487008166e-4,0,0,0,0,0
El Salvador,Combined,2014-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2606,2662,0,0,0,0,0,0,0,3.756574004507889e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756574004507889e-4,0,0,0
El Salvador,Combined,2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2911,2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.798096532970768e-4,0,0,0,0,0,6.798096532970768e-4,0,0
El Salvador,Combined,2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2015-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2493,2521,0,0,0,0,0,0,0,0,0,3.966679888932963e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.966679888932963e-4,0,0
El Salvador,Combined,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2420,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0716612377850165e-4,0,0,0,0,0,4.0716612377850165e-4,0,0
El Salvador,Combined,2015-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2611,2645,0,0,0,0,0,0,0,0,0,0,3.780718336483932e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.780718336483932e-4,0
El Salvador,Combined,2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2015-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2546,2615,0,0,0,3.824091778202677e-4,0,0,0,0,0,0,0,0,0,3.824091778202677e-4,0,0,0,0,3.824091778202677e-4,0,0,3.824091778202677e-4,0,3.824091778202677e-4,3.824091778202677e-4,0,0
El Salvador,Combined,2015-06-01,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2941,2961,0,0,0,0,0,3.3772374197906115e-4,0,0,0,6.754474839581223e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3772374197906115e-4,6.754474839581223e-4,0,0
El Salvador,Combined,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3294,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.998500749625187e-4,0,0,0,0,0,0,0,0,0,2.998500749625187e-4
El Salvador,Combined,2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2872,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.427004797806717e-4,0,0,0,0,0,3.427004797806717e-4,0,0
El Salvador,Combined,2015-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2969,3011,0,0,0,0,0,0,0,0,0,3.3211557622052476e-4,0,0,0,3.3211557622052476e-4,0,0,0,0,0,0,0,3.3211557622052476e-4,0,0,3.3211557622052476e-4,0,0
El Salvador,Combined,2015-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3287,3329,0,0,0,0,0,0,0,0,0,0,0,3.0039050765995795e-4,0,0,0,0,0,0,0,0,3.0039050765995795e-4,3.0039050765995795e-4,3.0039050765995795e-4,0,0,0,0
El Salvador,Combined,2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2966,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66000666000666e-4,0,0,0,0,3.33000333000333e-4,0,0,6.66000666000666e-4,0,0,3.33000333000333e-4,0,0
El Salvador,Combined,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3561,3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2016-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3992,4041,0,0,0,0,0,0,0,0,0,0,0,2.4746349913387774e-4,0,0,0,0,0,0,0,0,0,2.4746349913387774e-4,0,0,0,0,0
El Salvador,Combined,2016-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4310,4346,2.300966405890474e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.300966405890474e-4,0,0,0,0,0
El Salvador,Combined,2016-04-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3968,4009,0,0,0,0,0,0,0,0,0,0,0,4.988775255674732e-4,0,0,0,0,0,0,0,0,0,4.988775255674732e-4,0,0,0,0,0
El Salvador,Combined,2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4003,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.469135802469136e-4,0,2.469135802469136e-4,0,0,0,0
El Salvador,Combined,2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123,4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4135,4168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2016-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748,3796,0,0,0,0,0,2.6343519494204424e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6343519494204424e-4,0,0,0
El Salvador,Combined,2016-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4105,4141,0,0,0,0,0,0,0,0,0,0,0,2.414875633904854e-4,0,0,0,0,0,0,0,0,0,2.414875633904854e-4,0,0,0,0,0
El Salvador,Combined,2016-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4369,4422,0,0,0,0,0,0,0,0,0,0,0,4.522840343735866e-4,0,0,0,0,0,0,0,0,0,4.522840343735866e-4,0,0,0,0,0
El Salvador,Combined,2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928,3982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2017-01-01,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3292,3358,0,0,0,0,0,8.933889219773674e-4,0,5.955926146515784e-4,0,0,0,0,0,0,0,0,0,0,2.977963073257892e-4,0,0,0,0,0.0014889815366289458,2.977963073257892e-4,0,0
El Salvador,Combined,2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3263,3304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Combined,2017-03-01,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3545,3607,0,0,0,0,0,8.317161075686166e-4,0,2.772387025228722e-4,0,2.772387025228722e-4,0,0,0,0,2.772387025228722e-4,0,0,0,0,0,0,0,0,0.0011089548100914888,2.772387025228722e-4,2.772387025228722e-4,0
