country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Georgia,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2012-09-01,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,424,593,0.0016863406408094434,0,0,0,0,0,0,0.0016863406408094434,0,0,0,0.003372681281618887,0,0.0016863406408094434,0,0,0,0,0,0,0,0.006745362563237774,0,0.0016863406408094434,0,0,0
Georgia,Combined,2012-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,611,0,0,0,0,0,0,0.0016366612111292963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016366612111292963,0,0,0
Georgia,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,371,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002145922746781116,0,0,0,0,0,0,0,0,0,0.002145922746781116
Georgia,Combined,2012-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,317,389,0,0,0,0,0,0,0.002570694087403599,0,0,0,0,0,0,0.002570694087403599,0,0,0,0,0,0,0,0.002570694087403599,0,0.002570694087403599,0,0,0
Georgia,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Combined,2013-02-01,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,614,690,0,0,0,0,0,0,0.0014492753623188406,0,0,0.002898550724637681,0,0,0,0,0,0,0.0014492753623188406,0,0,0,0,0,0,0.0014492753623188406,0.002898550724637681,0,0.0014492753623188406
Georgia,Combined,2013-03-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,572,655,0,0.0015267175572519084,0,0,0,0,0.0015267175572519084,0,0,0,0,0,0,0,0.0015267175572519084,0,0.0015267175572519084,0,0,0,0,0,0.0015267175572519084,0.0015267175572519084,0,0.0015267175572519084,0.0015267175572519084
Georgia,Combined,2013-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,740,0,0,0,0,0,0,0.002702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002702702702702703,0,0,0
Georgia,Combined,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
