country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Ghana,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,768,797,0,0,0,0,0,0,0,0,0,0,0,0.0012547051442910915,0,0,0,0,0.002509410288582183,0,0,0,0,0.0012547051442910915,0,0,0,0,0.002509410288582183
Ghana,Combined,2012-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,676,722,0,0,0,0,0,0,0.0013850415512465374,0,0,0,0,0,0,0,0,0,0.0013850415512465374,0,0,0,0,0,0,0.0013850415512465374,0,0,0.0013850415512465374
Ghana,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,892,923,0,0,0,0,0,0,0,0,0,0.0010834236186348862,0,0,0,0,0.0010834236186348862,0,0,0,0.0010834236186348862,0,0,0,0,0,0.0021668472372697724,0.0010834236186348862,0
Ghana,Combined,2012-04-01,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,749,780,0,0,0,0,0,0.001282051282051282,0,0,0,0.002564102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001282051282051282,0.002564102564102564,0,0
Ghana,Combined,2012-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,652,687,0,0,0,0,0,0,0,0.001455604075691412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001455604075691412,0,0,0
Ghana,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,471,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001976284584980237,0,0,0,0,0,0,0,0.001976284584980237,0,0,0,0,0
Ghana,Combined,2012-07-01,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,697,776,0,0,0,0,0,0.001288659793814433,0.001288659793814433,0,0,0,0,0.001288659793814433,0,0,0,0,0,0,0,0,0,0.001288659793814433,0,0.002577319587628866,0,0,0
Ghana,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,791,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011876484560570072,0,0,0,0,0,0,0,0.0011876484560570072,0,0,0,0,0
Ghana,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,Combined,2012-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,955,1033,0,0,0,0,0,9.68054211035818e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68054211035818e-4,0,9.68054211035818e-4,9.68054211035818e-4,0,0,0
