country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Hungary,Combined,2012-01-01,0,0,0,0,0,1,0,0,0,1,2,2,0,4,0,0,0,0,0,0,0,6924,7086,0,0,0,0,0,1.4112334180073385e-4,0,0,0,1.4112334180073385e-4,2.822466836014677e-4,2.822466836014677e-4,0,5.644933672029354e-4,0,0,0,0,0,0,0,8.467400508044031e-4,0,1.4112334180073385e-4,1.4112334180073385e-4,2.822466836014677e-4,0
Hungary,Combined,2012-02-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,6531,6607,0,0,0,0,0,0,0,0,1.5135462388375965e-4,3.027092477675193e-4,0,0,0,0,0,0,0,0,0,1.5135462388375965e-4,0,0,0,0,6.054184955350386e-4,0,0
Hungary,Combined,2012-03-01,0,1,0,1,0,0,1,0,0,4,0,1,0,2,1,0,0,0,2,0,0,6804,6923,0,1.444460494005489e-4,0,1.444460494005489e-4,0,0,1.444460494005489e-4,0,0,5.777841976021956e-4,0,1.444460494005489e-4,0,2.888920988010978e-4,1.444460494005489e-4,0,0,0,2.888920988010978e-4,0,0,4.333381482016467e-4,1.444460494005489e-4,2.888920988010978e-4,8.666762964032934e-4,1.444460494005489e-4,0
Hungary,Combined,2012-04-01,0,1,0,0,0,5,0,2,0,2,0,1,0,3,0,0,1,0,0,0,0,6177,6313,0,1.584032947885316e-4,0,0,0,7.92016473942658e-4,0,3.168065895770632e-4,0,3.168065895770632e-4,0,1.584032947885316e-4,0,4.752098843655948e-4,0,0,1.584032947885316e-4,0,0,0,0,6.336131791541264e-4,1.584032947885316e-4,0.0011088230635197213,3.168065895770632e-4,0,1.584032947885316e-4
Hungary,Combined,2012-05-01,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,6169,6269,0,0,0,0,0,0,0,1.595150741745095e-4,1.595150741745095e-4,4.785452225235285e-4,0,0,0,0,0,0,0,0,3.19030148349019e-4,0,0,0,0,1.595150741745095e-4,9.57090445047057e-4,0,0
Hungary,Combined,2012-06-01,1,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,5871,5960,1.6778523489932885e-4,1.6778523489932885e-4,0,0,0,0,0,0,0,3.355704697986577e-4,1.6778523489932885e-4,3.355704697986577e-4,0,1.6778523489932885e-4,0,0,0,0,0,0,0,6.711409395973154e-4,1.6778523489932885e-4,0,3.355704697986577e-4,1.6778523489932885e-4,0
Hungary,Combined,2012-07-01,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,5707,5869,0,0,0,0,0,0,1.703867779860283e-4,0,1.703867779860283e-4,5.111603339580849e-4,0,1.703867779860283e-4,0,0,0,0,0,0,0,0,0,1.703867779860283e-4,0,1.703867779860283e-4,6.815471119441132e-4,0,0
Hungary,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5235,5436,0,0,0,0,0,0,0,0,0,0,0,1.839587932303164e-4,0,1.839587932303164e-4,0,0,0,0,0,0,0,3.679175864606328e-4,0,0,0,0,0
Hungary,Combined,2012-09-01,0,0,0,0,0,0,1,3,0,2,2,0,0,1,0,0,1,0,0,1,0,5821,5914,0,0,0,0,0,0,1.6909029421711193e-4,5.072708826513358e-4,0,3.3818058843422386e-4,3.3818058843422386e-4,0,0,1.6909029421711193e-4,0,0,1.6909029421711193e-4,0,0,1.6909029421711193e-4,0,1.6909029421711193e-4,0,6.763611768684477e-4,5.072708826513358e-4,3.3818058843422386e-4,1.6909029421711193e-4
Hungary,Combined,2012-10-01,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,6888,7015,1.4255167498218105e-4,0,0,0,0,0,0,0,0,0,0,1.4255167498218105e-4,0,1.4255167498218105e-4,0,0,2.851033499643621e-4,0,0,0,0,4.276550249465432e-4,0,0,0,0,2.851033499643621e-4
Hungary,Combined,2012-11-01,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,6322,6421,0,1.557389814670612e-4,0,0,0,0,0,0,0,4.672169444011836e-4,0,1.557389814670612e-4,0,0,0,0,3.114779629341224e-4,1.557389814670612e-4,0,0,0,1.557389814670612e-4,1.557389814670612e-4,0,6.229559258682448e-4,0,3.114779629341224e-4
Hungary,Combined,2012-12-01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5868,5923,0,1.6883336147222692e-4,0,0,1.6883336147222692e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6883336147222692e-4,0,1.6883336147222692e-4,0,3.3766672294445384e-4,1.6883336147222692e-4,1.6883336147222692e-4,0,0
Hungary,Combined,2013-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,6477,6533,0,0,0,0,0,0,1.5306903413439462e-4,0,0,1.5306903413439462e-4,0,0,0,3.0613806826878924e-4,0,1.5306903413439462e-4,1.5306903413439462e-4,0,0,0,0,4.5920710240318386e-4,0,1.5306903413439462e-4,1.5306903413439462e-4,0,1.5306903413439462e-4
Hungary,Combined,2013-02-01,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,6081,6163,0,0,1.6225864027259452e-4,0,0,0,0,0,0,4.8677592081778357e-4,1.6225864027259452e-4,1.6225864027259452e-4,0,0,0,0,1.6225864027259452e-4,0,0,0,0,1.6225864027259452e-4,0,0,4.8677592081778357e-4,3.2451728054518905e-4,1.6225864027259452e-4
Hungary,Combined,2013-03-01,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6100,6194,0,0,0,0,1.6144656118824668e-4,3.2289312237649337e-4,0,0,0,1.6144656118824668e-4,0,0,0,3.2289312237649337e-4,0,0,0,0,0,0,0,3.2289312237649337e-4,0,4.8433968356474005e-4,1.6144656118824668e-4,0,0
Hungary,Combined,2013-04-01,0,0,0,1,0,2,0,0,0,1,0,1,0,2,0,0,3,0,0,0,0,5991,6083,0,0,0,1.643925694558606e-4,0,3.287851389117212e-4,0,0,0,1.643925694558606e-4,0,1.643925694558606e-4,0,3.287851389117212e-4,0,0,4.931777083675817e-4,0,0,0,0,4.931777083675818e-4,0,4.931777083675818e-4,1.643925694558606e-4,0,4.931777083675817e-4
Hungary,Combined,2013-05-01,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,5507,5602,0,0,1.785076758300607e-4,0,0,0,0,0,0,1.785076758300607e-4,0,1.785076758300607e-4,0,1.785076758300607e-4,0,0,3.570153516601214e-4,0,0,0,0,3.570153516601214e-4,0,0,1.785076758300607e-4,1.785076758300607e-4,3.570153516601214e-4
Hungary,Combined,2013-06-01,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,5638,5765,0,0,0,0,0,0,1.7346053772766696e-4,0,0,1.7346053772766696e-4,0,1.7346053772766696e-4,0,1.7346053772766696e-4,0,0,3.469210754553339e-4,0,0,0,0,3.469210754553339e-4,0,1.7346053772766696e-4,1.7346053772766696e-4,0,3.469210754553339e-4
Hungary,Combined,2013-07-01,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,5441,5586,0,1.7901897601145723e-4,0,0,0,0,0,0,0,0,1.7901897601145723e-4,0,1.7901897601145723e-4,7.160759040458289e-4,0,0,0,0,0,0,0,7.160759040458289e-4,1.7901897601145723e-4,0,0,1.7901897601145723e-4,1.7901897601145723e-4
Hungary,Combined,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5118,5225,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9138755980861245e-4,1.9138755980861245e-4,0,0,0,0,1.9138755980861245e-4,0,1.9138755980861245e-4,0,0,1.9138755980861245e-4,1.9138755980861245e-4,0
Hungary,Combined,2013-09-01,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,5578,5666,0,1.7649135192375574e-4,0,0,1.7649135192375574e-4,0,1.7649135192375574e-4,1.7649135192375574e-4,0,0,0,3.5298270384751147e-4,0,1.7649135192375574e-4,0,0,0,1.7649135192375574e-4,0,0,0,5.294740557712672e-4,1.7649135192375574e-4,5.294740557712672e-4,1.7649135192375574e-4,0,0
Hungary,Combined,2013-10-01,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5919,6023,0,0,0,1.6603021749958492e-4,0,0,0,0,0,1.6603021749958492e-4,0,1.6603021749958492e-4,0,1.6603021749958492e-4,0,0,0,0,0,0,0,3.3206043499916984e-4,0,1.6603021749958492e-4,1.6603021749958492e-4,0,0
Hungary,Combined,2013-11-01,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,5280,5400,0,0,0,0,0,0,0,0,0,5.555555555555556e-4,0,0,0,1.8518518518518518e-4,0,0,1.8518518518518518e-4,0,1.8518518518518518e-4,0,0,1.8518518518518518e-4,0,0,7.407407407407407e-4,0,1.8518518518518518e-4
Hungary,Combined,2013-12-01,0,1,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,5415,5516,0,1.8129079042784627e-4,1.8129079042784627e-4,0,0,0,0,0,0,1.8129079042784627e-4,0,3.6258158085569254e-4,0,3.6258158085569254e-4,0,0,0,0,1.8129079042784627e-4,0,0,7.251631617113851e-4,1.8129079042784627e-4,0,3.6258158085569254e-4,1.8129079042784627e-4,0
Hungary,Combined,2014-01-01,0,0,0,0,0,0,0,0,1,3,0,4,0,3,0,0,0,0,0,0,0,5532,5666,0,0,0,0,0,0,0,0,1.7649135192375574e-4,5.294740557712672e-4,0,7.059654076950229e-4,0,5.294740557712672e-4,0,0,0,0,0,0,0,0.0012354394634662902,0,0,7.059654076950229e-4,0,0
Hungary,Combined,2014-02-01,0,0,0,1,1,0,2,0,1,0,0,4,1,2,0,0,0,0,0,1,0,4846,4962,0,0,0,2.0153164046755341e-4,2.0153164046755341e-4,0,4.0306328093510683e-4,0,2.0153164046755341e-4,0,0,8.061265618702137e-4,2.0153164046755341e-4,4.0306328093510683e-4,0,0,0,0,0,2.0153164046755341e-4,0,0.0012091898428053206,0,8.061265618702137e-4,4.0306328093510683e-4,0,2.0153164046755341e-4
Hungary,Combined,2014-03-01,0,0,0,3,0,2,3,0,1,3,0,4,0,6,0,0,0,1,0,6,0,4892,5004,0,0,0,5.995203836930455e-4,0,3.996802557953637e-4,5.995203836930455e-4,0,1.9984012789768185e-4,5.995203836930455e-4,0,7.993605115907274e-4,0,0.001199040767386091,0,0,0,1.9984012789768185e-4,0,0.001199040767386091,0,0.0019984012789768186,0,0.0015987210231814548,0.0021982414068745003,0,0
Hungary,Combined,2014-04-01,0,0,0,1,0,0,2,0,2,0,0,1,1,6,0,0,0,0,2,3,0,5393,5596,0,0,0,1.7869907076483203e-4,0,0,3.5739814152966406e-4,0,3.5739814152966406e-4,0,0,1.7869907076483203e-4,1.7869907076483203e-4,0.001072194424588992,0,0,0,0,3.5739814152966406e-4,5.36097212294496e-4,0,0.001250893495353824,0,5.360972122944961e-4,0.0012508934953538242,0,1.7869907076483203e-4
Hungary,Combined,2014-05-01,0,0,0,0,0,0,0,1,0,3,2,1,1,8,0,0,0,0,0,1,0,5326,5460,0,0,0,0,0,0,0,1.8315018315018315e-4,0,0.00054945054945054945,3.663003663003663e-4,1.8315018315018315e-4,1.8315018315018315e-4,0.0014652014652014652,0,0,0,0,0,1.8315018315018315e-4,0,0.0016483516483516484,0,1.8315018315018315e-4,7.326007326007326e-4,3.663003663003663e-4,1.8315018315018315e-4
