country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
India,Combined,2012-01-01,3,0,2,8,5,3,8,2,0,10,1,8,2,5,0,1,3,1,4,6,0,16942,17014,1.7632537909956507e-4,0,1.1755025273304338e-4,4.702010109321735e-4,2.9387563183260845e-4,1.7632537909956507e-4,4.702010109321735e-4,1.1755025273304338e-4,0,5.877512636652169e-4,5.877512636652169e-5,4.702010109321735e-4,1.1755025273304338e-4,2.9387563183260845e-4,0,5.877512636652169e-5,1.7632537909956507e-4,5.877512636652169e-5,2.3510050546608676e-4,3.5265075819913014e-4,0,9.991771482308687e-4,0,0.001528153285529564,0.0012342776536969555,1.7632537909956507e-4,2.9387563183260845e-4
India,Combined,2012-02-01,4,0,1,4,3,15,12,4,2,12,0,11,0,11,3,2,3,3,5,11,2,20237,20345,1.9660850331776848e-4,0,4.915212582944212e-5,1.9660850331776848e-4,1.4745637748832637e-4,7.372818874416319e-4,5.898255099533055e-4,1.9660850331776848e-4,9.830425165888424e-5,5.898255099533055e-4,0,5.406733841238633e-4,0,5.406733841238633e-4,1.4745637748832637e-4,9.830425165888424e-5,1.4745637748832637e-4,1.4745637748832637e-4,2.457606291472106e-4,5.406733841238633e-4,9.830425165888424e-5,0.0013762595232243793,9.830425165888424e-5,0.0018677807815188007,0.00162202015237159,1.9660850331776848e-4,1.4745637748832637e-4
India,Combined,2012-03-01,10,1,2,3,3,10,9,4,1,18,1,10,0,9,1,3,4,2,11,14,1,23691,23808,4.200268817204301e-4,4.2002688172043014e-5,8.400537634408603e-5,1.2600806451612903e-4,1.2600806451612903e-4,4.200268817204301e-4,3.780241935483871e-4,1.6801075268817206e-4,4.2002688172043014e-5,7.560483870967742e-4,4.2002688172043014e-5,4.200268817204301e-4,0,3.780241935483871e-4,4.2002688172043014e-5,1.2600806451612903e-4,1.6801075268817206e-4,8.400537634408603e-5,4.6202956989247314e-4,5.880376344086022e-4,4.2002688172043014e-5,0.0013440860215053765,8.400537634408603e-5,0.0012180779569892473,0.0019321236559139785,1.6801075268817206e-4,1.6801075268817206e-4
India,Combined,2012-04-01,4,0,0,1,3,5,15,0,0,27,0,25,0,25,1,1,3,1,10,5,0,23931,24057,1.662717712100428e-4,0,0,4.15679428025107e-5,1.2470382840753212e-4,2.078397140125535e-4,6.235191420376606e-4,0,0,0.001122334455667789,0,0.0010391985700627677,0,0.0010391985700627677,4.15679428025107e-5,4.15679428025107e-5,1.2470382840753212e-4,4.15679428025107e-5,4.15679428025107e-4,2.078397140125535e-4,0,0.002286236854138089,0,9.97630627260257e-4,0.0017874215405079604,4.15679428025107e-5,1.2470382840753212e-4
India,Combined,2012-05-01,4,0,0,1,1,4,7,4,0,9,5,11,0,11,0,2,0,2,8,10,0,36293,36372,1.0997470581766194e-4,0,0,2.7493676454415485e-5,2.7493676454415485e-5,1.0997470581766194e-4,1.9245573518090838e-4,1.0997470581766194e-4,0,2.4744308808973936e-4,1.3746838227207743e-4,3.024304409985703e-4,0,3.024304409985703e-4,0,5.498735290883097e-5,0,5.498735290883097e-5,2.1994941163532388e-4,2.7493676454415486e-4,0,7.698229407236335e-4,0,4.673924997250632e-4,7.973166171780491e-4,1.3746838227207743e-4,0
India,Combined,2012-06-01,10,2,0,3,1,8,9,5,6,15,2,9,0,11,0,9,1,1,5,9,0,35611,35717,2.799787216171571e-4,5.5995744323431417e-5,0,8.399361648514713e-5,2.7997872161715708e-5,2.2398297729372567e-4,2.519808494554414e-4,1.3998936080857855e-4,1.6798723297029426e-4,4.199680824257356e-4,5.5995744323431417e-5,2.519808494554414e-4,0,3.079765937788728e-4,0,2.519808494554414e-4,2.7997872161715708e-5,2.7997872161715708e-5,1.3998936080857855e-4,2.519808494554414e-4,0,0.0010919170143069126,5.5995744323431417e-5,7.279446762046085e-4,0.0010079233978217655,5.5995744323431417e-5,2.7997872161715708e-5
India,Combined,2012-07-01,7,0,1,4,4,0,4,1,0,15,0,11,2,9,2,3,3,1,6,6,0,40537,40616,1.723458735473705e-4,0,2.4620839078195784e-5,9.848335631278314e-5,9.848335631278314e-5,0,9.848335631278314e-5,2.4620839078195784e-5,0,3.693125861729368e-4,0,2.7082922986015363e-4,4.924167815639157e-5,2.2158755170376205e-4,4.924167815639157e-5,7.386251723458736e-5,7.386251723458736e-5,2.4620839078195784e-5,1.4772503446917472e-4,1.4772503446917472e-4,0,7.386251723458736e-4,0,3.200709080165452e-4,6.89383494189482e-4,7.386251723458736e-5,1.2310419539097892e-4
India,Combined,2012-08-01,2,0,1,2,0,2,5,1,1,8,0,16,0,10,1,1,4,1,10,6,0,48148,48219,4.1477425910947965e-5,0,2.0738712955473983e-5,4.1477425910947965e-5,0,4.1477425910947965e-5,1.0369356477736992e-4,2.0738712955473983e-5,2.0738712955473983e-5,1.6590970364379186e-4,0,3.318194072875837e-4,0,2.0738712955473983e-4,2.0738712955473983e-5,2.0738712955473983e-5,8.295485182189593e-5,2.0738712955473983e-5,2.0738712955473983e-4,1.244322777328439e-4,0,6.014226757087455e-4,0,2.0738712955473983e-4,5.392065368423235e-4,4.1477425910947965e-5,8.295485182189593e-5
India,Combined,2012-09-01,9,0,0,0,0,6,4,2,0,12,0,25,0,11,0,11,1,2,9,1,0,41797,41890,2.14848412508952e-4,0,0,0,0,1.43232275005968e-4,9.548818333731201e-5,4.7744091668656006e-5,0,2.86464550011936e-4,0,5.968011458582001e-4,0,2.62592504177608e-4,0,2.62592504177608e-4,2.3872045834328003e-5,4.7744091668656006e-5,2.14848412508952e-4,2.3872045834328003e-5,0,0.001336834566722368,0,2.86464550011936e-4,5.72929100023872e-4,0,2.3872045834328003e-5
India,Combined,2012-10-01,8,0,0,0,8,7,7,3,0,17,0,8,0,9,0,5,3,0,6,5,1,54418,54505,1.4677552518117603e-4,0,0,0,1.4677552518117603e-4,1.2842858453352904e-4,1.2842858453352904e-4,5.504082194294101e-5,0,3.118979910099991e-4,0,1.4677552518117603e-4,0,1.6512246582882305e-4,0,9.173470323823502e-5,5.504082194294101e-5,0,1.1008164388588202e-4,9.173470323823502e-5,1.8346940647647004e-5,5.504082194294101e-4,1.8346940647647004e-5,4.5867351619117514e-4,5.137143381341162e-4,0,5.504082194294101e-5
