country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Indonesia,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,China,2012-02-01,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,3673,3832,2.6096033402922753e-4,0,0,0,0,0,5.219206680584551e-4,0,0,2.6096033402922753e-4,0,2.6096033402922753e-4,0,0,0,0,0,2.6096033402922753e-4,2.6096033402922753e-4,0,0,5.219206680584551e-4,0,5.219206680584551e-4,7.828810020876826e-4,0,0
Indonesia,China,2012-03-01,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,3882,4262,0,0,0,0,0,0,0,0,0,4.692632566870014e-4,0,7.038948850305022e-4,0,0,0,0,0,0,2.346316283435007e-4,0,0,7.038948850305022e-4,0,0,7.038948850305021e-4,0,0
Indonesia,China,2012-04-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,3780,4202,0,0,0,0,0,0,0,0,0,9.519276534983341e-4,0,0,0,0,0,0,0,0,2.3798191337458352e-4,2.3798191337458352e-4,0,0,0,0,0.0014278914802475012,0,0
Indonesia,China,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3474,3868,0,0,0,0,0,0,0,0,0,0,0,2.585315408479835e-4,0,0,0,0,0,0,0,0,0,2.585315408479835e-4,0,0,0,0,0
Indonesia,China,2012-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3048,3363,2.973535533749628e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.973535533749628e-4,0,0,0,0,0
Indonesia,China,2012-07-01,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,3373,3710,0,0,0,0,0,0,0,0,0,8.086253369272237e-4,0,2.6954177897574127e-4,0,0,0,0,0,0,0,0,2.6954177897574127e-4,2.6954177897574127e-4,2.6954177897574127e-4,0,8.086253369272237e-4,0,0
Indonesia,China,2012-08-01,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3746,4116,0,0,0,0,2.4295432458697764e-4,0,2.4295432458697764e-4,0,0,4.8590864917395527e-4,0,2.4295432458697764e-4,0,0,0,2.4295432458697764e-4,0,0,0,0,0,4.8590864917395527e-4,0,4.8590864917395527e-4,4.8590864917395527e-4,0,0
Indonesia,China,2012-09-01,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4034,4380,0,0,0,0,0,0,0,2.2831050228310502e-4,0,2.2831050228310502e-4,0,2.2831050228310502e-4,0,0,0,0,0,0,0,0,0,2.2831050228310502e-4,0,2.2831050228310502e-4,2.2831050228310502e-4,0,0
Indonesia,China,2012-10-01,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,5469,5921,0,0,0,1.6889039013680122e-4,0,0,0,0,0,3.3778078027360244e-4,0,0,0,3.3778078027360244e-4,0,0,0,0,0,0,0,3.3778078027360244e-4,0,1.6889039013680122e-4,3.3778078027360244e-4,0,0
