country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Indonesia,Russia,2012-01-01,2012,1,3187,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0.9978083907326236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003130870381966,0.0,0.0006261740763932,0.0,0.0003130870381966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-02-01,2012,2,3831,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.9984362783424552,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007818608287724,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-03-01,2012,3,4263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9988284910965324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002343017806935,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-04-01,2012,4,4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9990516832622096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-05-01,2012,5,3840,1,0,0,0,0,0,0,0,1,0,2,5,0,25,0,0,0,0,0,0,0,0.9889260880762296,0.0002575328354365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002575328354365,0.0,0.000515065670873,0.0012876641771825,0.0,0.0064383208859129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-06-01,2012,6,3363,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.9982190560997328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008904719501335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002968239833778,0.0
Indonesia,Russia,2012-07-01,2012,7,3712,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9989235737351992,0.0,0.0,0.0,0.0,0.0,0.0,0.0002691065662002,0.0,0.0,0.0,0.0,0.0002691065662002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-08-01,2012,8,4121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9992725509214356,0.0002424830261881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-09-01,2012,9,4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9990888382687928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-10-01,2012,10,5924,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9996625042186972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001687478906513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-11-01,2012,11,5593,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9992853314275504,0.0001786671431123,0.0001786671431123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-12-01,2012,12,5238,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.999046347510967,0.0001907304978065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003814609956131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-01-01,2013,1,5958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993290841999328,0.0001677289500167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-02-01,2013,2,5657,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.9991169198163192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003532320734722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-03-01,2013,3,4887,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0.99897792313982,0.0002044153720359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004088307440719,0.0,0.0,0.0002044153720359,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-04-01,2013,4,5979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998496993987976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-05-01,2013,5,4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9985166872682324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-06-01,2013,6,9598,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.9992712129099428,0.0002082248828735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001041124414367,0.0,0.0,0.0,0.0001041124414367,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-07-01,2013,7,10227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999413661682791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-08-01,2013,8,9662,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9992760368186988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002068466232288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-09-01,2013,9,10559,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994320870799812,0.0,0.0,0.0,0.0,0.0,9.46521533364884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-10-01,2013,10,11036,0,1,0,0,4,0,5,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0.998191027496382,0.0,9.044862518089724e-05,0.0,0.0,0.0003617945007235,0.0,0.0004522431259044,0.0,0.0,0.0001808972503617,0.0,9.044862518089724e-05,0.0,9.044862518089724e-05,0.0,0.0,0.0,0.0,9.044862518089724e-05,0.0,0.0
Indonesia,Russia,2013-11-01,2013,11,10424,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0.9988501341510158,0.0,0.0,0.0,0.0,0.0,9.582215408202376e-05,9.582215408202376e-05,0.0,0.0,0.000191644308164,0.0,0.000287466462246,0.0,0.0,0.0,0.0,9.582215408202376e-05,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-12-01,2013,12,9888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9995956328346138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001010917913465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-01-01,2014,1,10049,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.9992045341553148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001988664611713,0.0,0.0001988664611713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-02-01,2014,2,9355,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9982926048447336,0.0,0.0,0.0,0.0,0.0003201365916124,0.0,0.0003201365916124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001067121972041,0.0,0.0
