country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Kazakhstan,China,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1539,1546,0,0,0,0,0,0,0,0,0,6.46830530401035e-4,0,6.46830530401035e-4,0,0,0,0,6.46830530401035e-4,0,6.46830530401035e-4,0,0,6.46830530401035e-4,0,0,0.00129366106080207,0,6.46830530401035e-4
Kazakhstan,China,2012-02-01,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,1578,1587,0,0,0,0,0,0,0,0,0,0.001890359168241966,6.30119722747322e-4,6.30119722747322e-4,0,0,0,0,6.30119722747322e-4,0,0,0,0,6.30119722747322e-4,0,0,0.001890359168241966,6.30119722747322e-4,6.30119722747322e-4
Kazakhstan,China,2012-03-01,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1504,1510,6.622516556291391e-4,0,0,0,6.622516556291391e-4,0,0,0,0,0.0019867549668874172,0,0,0,0,0,0,0,0,0,0,0,6.622516556291391e-4,0,6.622516556291391e-4,0.0019867549668874172,0,0
Kazakhstan,China,2012-04-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1595,1601,0,0,0,0,0,0,0,0,0,0.0012492192379762648,0,0,0,0,0,0,6.246096189881324e-4,0,0,0,0,0,0,0,0.0012492192379762648,0,6.246096189881324e-4
Kazakhstan,China,2012-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,1615,1624,0,0,0,0,0,0,0,0,0,0.0012315270935960591,0,0,0,0.0024630541871921183,0,0,0,0,0,0.0012315270935960591,0,0.0024630541871921183,0,0,0.0024630541871921183,0,0
Kazakhstan,China,2012-06-01,0,0,0,0,1,3,1,0,3,3,0,4,0,1,0,0,1,0,0,0,1,1635,1655,0,0,0,0,6.042296072507553e-4,0.0018126888217522659,6.042296072507553e-4,0,0.0018126888217522659,0.0018126888217522659,0,0.002416918429003021,0,6.042296072507553e-4,0,0,6.042296072507553e-4,0,0,0,6.042296072507553e-4,0.0030211480362537764,6.042296072507553e-4,0.0030211480362537764,0.0036253776435045317,0,6.042296072507553e-4
Kazakhstan,China,2012-07-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1505,1508,0,0,0,0,0,0,0,6.63129973474801e-4,0,6.63129973474801e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63129973474801e-4,6.63129973474801e-4,0,0
Kazakhstan,China,2012-08-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1532,1540,0,0,0,0,0,0,0,0,0,0.00064935064935064935,0,0.00064935064935064935,0,0,0,0,0,0,0,0,0,0.00064935064935064935,0,0,0.00064935064935064935,0,0
Kazakhstan,China,2012-09-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1143,1151,0,0,0,0,0,0,0,0,0,0.0017376194613379669,0,0,0,0,0,0,8.688097306689834e-4,0,0.0017376194613379669,0,0,0,0,0,0.0034752389226759338,0,8.688097306689834e-4
Kazakhstan,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
