country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Kenya,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,China,2012-02-01,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,656,662,0,0,0,0.0015105740181268882,0,0,0,0,0,0.0015105740181268882,0,0.004531722054380665,0,0.0015105740181268882,0,0,0,0,0,0,0,0.006042296072507553,0,0.0015105740181268882,0.0015105740181268882,0,0
Kenya,China,2012-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,803,806,0,0,0,0,0,0,0,0,0,0.0012406947890818859,0,0,0,0,0.0012406947890818859,0,0.0012406947890818859,0,0,0,0,0,0,0,0.0012406947890818859,0.0012406947890818859,0.0012406947890818859
Kenya,China,2012-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,717,719,0,0,0,0,0,0,0,0,0,0.0013908205841446453,0,0,0,0,0,0,0,0,0.0013908205841446453,0,0,0,0,0,0.0027816411682892906,0,0
Kenya,China,2012-05-01,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,817,823,0,0,0,0,0,0.001215066828675577,0,0,0,0.0036452004860267314,0,0.002430133657351154,0,0,0,0,0,0,0,0,0,0.002430133657351154,0,0.001215066828675577,0.0036452004860267314,0,0
Kenya,China,2012-06-01,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,768,771,0,0,0,0,0,0,0.0012970168612191958,0,0,0.0025940337224383916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012970168612191958,0.0025940337224383916,0,0
Kenya,China,2012-07-01,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,1,0,1,0,0,865,875,0,0,0,0,0,0,0,0.001142857142857143,0.002285714285714286,0.005714285714285714,0,0,0,0,0,0,0.001142857142857143,0,0.001142857142857143,0,0,0,0,0.001142857142857143,0.009142857142857144,0,0.001142857142857143
Kenya,China,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,978,984,0,0,0,0,0,0,0,0,0,0,0,0.0020325203252032522,0,0,0,0,0.0020325203252032522,0.0010162601626016261,0,0,0.0010162601626016261,0.0020325203252032522,0.0010162601626016261,0,0.0010162601626016261,0,0.0020325203252032522
Kenya,China,2012-09-01,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,763,771,0,0,0,0,0,0.0012970168612191958,0.0012970168612191958,0.0012970168612191958,0,0.0038910505836575876,0,0,0,0,0,0,0,0,0.0025940337224383916,0,0,0,0,0.0038910505836575876,0.006485084306095979,0,0
Kenya,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
