country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Kosovo,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,83,85,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0.011764705882352941,0,0,0,0,0,0,0,0.023529411764705882,0,0,0,0,0
Kosovo,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122,123,0,0,0,0,0,0,0,0,0,0,0,0.008130081300813009,0,0,0,0,0,0,0,0,0,0.008130081300813009,0,0,0,0,0
Kosovo,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Russia,2012-05-01,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,129,134,0,0,0,0,0,0.014925373134328358,0,0,0,0,0,0.007462686567164179,0,0.014925373134328358,0,0,0,0,0,0,0,0.022388059701492536,0,0.014925373134328358,0,0,0
Kosovo,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,131,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015037593984962405,0,0.015037593984962405,0,0,0,0
Kosovo,Russia,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,87,0,0,0,0,0,0,0,0,0,0,0,0.011494252873563218,0,0,0,0,0,0,0,0,0,0.011494252873563218,0,0,0,0,0
Kosovo,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029850746268656716,0,0,0,0,0,0,0,0.029850746268656716,0,0,0,0,0
Kosovo,Russia,2012-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,92,0,0,0,0,0,0,0,0.010869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391304,0,0,0
Kosovo,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Russia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Russia,2012-12-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,101,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0.009900990099009901,0,0.009900990099009901,0,0,0
Kosovo,Russia,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,99,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0,0,0,0
