country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Kyrgyzstan,China,2012-01-01,0,1,0,0,0,1,0,2,0,4,0,1,0,0,0,0,2,0,0,0,1,1869,1881,0,5.31632110579479e-4,0,0,0,5.31632110579479e-4,0,0.001063264221158958,0,0.002126528442317916,0,5.31632110579479e-4,0,0,0,0,0.001063264221158958,0,0,0,5.31632110579479e-4,5.31632110579479e-4,0.001063264221158958,0.0015948963317384372,0.002126528442317916,0,0.001063264221158958
Kyrgyzstan,China,2012-02-01,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2017,2027,0,0,0,0,0,0,0,0,0,0.00493339911198816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493339911198816,0,0
Kyrgyzstan,China,2012-03-01,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,1,0,0,0,1,1957,1971,0,0,0,0,0,0,0,0,5.073566717402334e-4,0.0050735667174023336,0,5.073566717402334e-4,0,0,0,0,5.073566717402334e-4,0,0,0,5.073566717402334e-4,5.073566717402334e-4,5.073566717402334e-4,0,0.005580923389142567,0,5.073566717402334e-4
Kyrgyzstan,China,2012-04-01,1,0,0,1,0,1,0,2,1,14,0,3,0,0,0,3,1,0,2,1,3,1634,1667,5.998800239952009e-4,0,0,5.998800239952009e-4,0,5.998800239952009e-4,0,0.0011997600479904018,5.998800239952009e-4,0.008398320335932814,0,0.001799640071985603,0,0,0,0.001799640071985603,5.998800239952009e-4,0,0.0011997600479904018,5.998800239952009e-4,0.001799640071985603,0.004199160167966407,0.001799640071985603,0.0023995200959808036,0.010797840431913617,0,5.998800239952009e-4
Kyrgyzstan,China,2012-05-01,0,0,0,1,0,5,1,3,0,18,1,3,1,1,0,0,3,0,2,2,0,1638,1679,0,0,0,5.955926146515784e-4,0,0.0029779630732578916,5.955926146515784e-4,0.001786777843954735,0,0.01072066706372841,5.955926146515784e-4,0.001786777843954735,5.955926146515784e-4,5.955926146515784e-4,0,0,0.001786777843954735,0,0.0011911852293031567,0.0011911852293031567,0,0.0023823704586063135,0,0.005955926146515783,0.013103037522334722,5.955926146515784e-4,0.0023823704586063135
Kyrgyzstan,China,2012-06-01,0,0,0,0,1,14,1,3,3,18,0,3,0,0,0,0,4,0,0,0,0,1663,1710,0,0,0,0,5.847953216374269e-4,0.008187134502923977,5.847953216374269e-4,0.0017543859649122807,0.0017543859649122807,0.010526315789473684,0,0.0017543859649122807,0,0,0,0,0.0023391812865497076,0,0,0,0,0.0017543859649122807,0,0.011111111111111112,0.012280701754385965,0,0.0023391812865497076
Kyrgyzstan,China,2012-07-01,0,0,0,0,0,1,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1651,1660,0,0,0,0,0,6.024096385542169e-4,0,6.024096385542169e-4,0,0.0030120481927710845,0,0.0012048192771084338,0,0,0,0,0,0,0,0,0,0.0012048192771084338,0,0.0012048192771084338,0.0030120481927710845,0,0
Kyrgyzstan,China,2012-08-01,0,0,0,1,0,2,0,0,0,13,0,3,0,0,0,0,1,1,5,0,1,1854,1881,0,0,0,5.31632110579479e-4,0,0.001063264221158958,0,0,0,0.006911217437533227,0,0.001594896331738437,0,0,0,0,5.31632110579479e-4,5.31632110579479e-4,0.002658160552897395,0,5.31632110579479e-4,0.001594896331738437,5.31632110579479e-4,0.0015948963317384372,0.010101010101010102,0,5.31632110579479e-4
Kyrgyzstan,China,2012-09-01,1,0,0,0,1,1,0,1,4,12,0,4,0,0,0,2,1,0,9,0,0,2004,2040,4.901960784313725e-4,0,0,0,4.901960784313725e-4,4.901960784313725e-4,0,4.901960784313725e-4,0.00196078431372549,0.0058823529411764705,0,0.00196078431372549,0,0,0,9.80392156862745e-4,4.901960784313725e-4,0,0.004411764705882353,0,0,0.003431372549019608,0,0.0014705882352941176,0.012254901960784314,0,4.901960784313725e-4
Kyrgyzstan,China,2012-10-01,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,1,0,2383,2395,0,0,0,0,0,0,0,0,0,0.003340292275574113,0,0,0,0,0,0,0.0012526096033402922,0,0,4.175365344467641e-4,0,0,0,0,0.003757828810020877,0,0.0012526096033402922
