country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Malawi,Combined,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,594,597,0,0,0,0,0,0,0,0,0.0016750418760469012,0,0,0.0016750418760469012,0,0,0,0,0.0016750418760469012,0,0,0,0,0.0016750418760469012,0,0,0.0016750418760469012,0,0.0016750418760469012
Malawi,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,Combined,2012-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,579,580,0,0,0,0,0,0,0,0,0.0017241379310344827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017241379310344827,0,0
Malawi,Combined,2012-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,886,887,0,0,0,0,0,0,0,0,0.0011273957158962795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011273957158962795,0,0
Malawi,Combined,2012-05-01,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,865,868,0,0,0,0,0,0,0,0.001152073732718894,0,0.001152073732718894,0,0.001152073732718894,0,0,0,0,0,0,0,0,0,0.001152073732718894,0,0.001152073732718894,0.001152073732718894,0,0
Malawi,Combined,2012-06-01,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,869,873,0,0,0,0.001145475372279496,0,0.001145475372279496,0,0,0,0.001145475372279496,0,0,0,0,0,0,0,0.001145475372279496,0,0,0,0,0,0.002290950744558992,0.002290950744558992,0,0
Malawi,Combined,2012-07-01,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,2,0,874,882,0,0,0,0,0,0,0,0,0.0011337868480725624,0.003401360544217687,0,0,0,0,0,0,0,0,0.0022675736961451248,0.0022675736961451248,0,0,0,0,0.009070294784580499,0,0
Malawi,Combined,2012-08-01,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,888,892,0,0,0,0,0,0.0011210762331838565,0,0,0,0.0011210762331838565,0,0,0,0.0011210762331838565,0,0,0,0.0011210762331838565,0,0,0,0.0011210762331838565,0,0.0011210762331838565,0.002242152466367713,0,0
Malawi,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,980,984,0,0,0,0,0,0,0,0,0,0.003048780487804878,0,0,0,0,0,0,0,0,0.0010162601626016261,0,0,0,0,0,0.0040650406504065045,0,0
Malawi,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1086,1087,0,0,0,0,0,0,0,0,0,9.199632014719411e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.199632014719411e-4,0,0
