country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Malaysia,Combined,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,2287,0,0,0,0,0,0,4.3725404459991256e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3725404459991256e-4,0,0,0
Malaysia,Combined,2012-02-01,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,2,0,0,2259,2407,0,0,0,0,0,4.154549231408392e-4,0,0,4.154549231408392e-4,0,0,4.154549231408392e-4,0,0,4.154549231408392e-4,0,0.0016618196925633569,0,8.309098462816784e-4,0,0,4.154549231408392e-4,0,4.154549231408392e-4,0.0012463647694225177,4.154549231408392e-4,0.0016618196925633569
Malaysia,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2547,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.127583749109052e-4,0,0,0,0,0,0,0,0,0,7.127583749109052e-4
Malaysia,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,2353,2647,0,0,0,0,0,0,0,0,0,3.7778617302606723e-4,0,7.555723460521345e-4,0,0,3.7778617302606723e-4,0,3.7778617302606723e-4,0,0,0,0,7.555723460521345e-4,0,0,3.7778617302606723e-4,3.7778617302606723e-4,3.7778617302606723e-4
Malaysia,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2578,2916,0,0,0,0,0,0,0,0,0,0,0,6.858710562414266e-4,0,0,0,0,6.858710562414266e-4,0,0,0,0,6.858710562414266e-4,0,0,0,0,6.858710562414266e-4
Malaysia,Combined,2012-06-01,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,2293,2667,0,0,0,0,0,0,3.749531308586427e-4,0,0,3.749531308586427e-4,0,3.749531308586427e-4,0,0,0,0,0.0014998125234345708,0,0,0,0,3.749531308586427e-4,0,3.749531308586427e-4,3.749531308586427e-4,0,0.0014998125234345708
Malaysia,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Combined,2012-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2123,2466,0,0,0,4.0551500405515005e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.0551500405515005e-4,0,0,0,0,0,0,4.0551500405515005e-4,0,0,4.0551500405515005e-4
Malaysia,Combined,2012-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2310,2627,0,0,0,0,0,0,0,3.8066235249333843e-4,0,0,0,0,0,3.8066235249333843e-4,0,0,0,0,3.8066235249333843e-4,0,0,3.8066235249333843e-4,0,3.8066235249333843e-4,3.8066235249333843e-4,0,0
Malaysia,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2326,2654,0,0,0,0,0,0,0,0,0,3.7678975131876413e-4,0,0,0,0,0,0,0.0011303692539562924,0,0,0,0,0,0,0,3.7678975131876413e-4,0,0.0011303692539562924
Malaysia,Combined,2012-11-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2091,2350,0,0,0,0,0,4.25531914893617e-4,4.25531914893617e-4,0,0,0,0,0,0,0,0,0,4.25531914893617e-4,0,0,0,0,0,0,8.51063829787234e-4,0,0,4.25531914893617e-4
