country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Mali,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,257,258,0,0,0,0,0,0,0,0,0,0,0,0.003875968992248062,0,0,0,0,0,0,0,0,0,0.003875968992248062,0,0,0,0,0
Mali,Combined,2012-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,612,0,0,0,0,0.0016339869281045752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016339869281045752,0,0,0
Mali,Combined,2012-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,1649,0,0,0,0,0,0.001212856276531231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001212856276531231,0,0,0
Mali,Combined,2012-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,1561,0,0,0,0,0.0012812299807815502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012812299807815502,0,0,0
Mali,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Combined,2012-07-01,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1385,1394,0,0,0,0,0,0.0028694404591104736,0.0014347202295552368,0,7.173601147776184e-4,0,0,0,0,7.173601147776184e-4,0,0,0,7.173601147776184e-4,0,0,0,7.173601147776184e-4,0,0.004304160688665711,0.0014347202295552368,0,0
Mali,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,918,919,0,0,0,0,0,0,0,0,0,0,0,0.001088139281828074,0,0,0,0,0,0,0,0,0,0.001088139281828074,0,0,0,0,0
Mali,Combined,2012-09-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1302,1306,0,0,0,0,0,0,0,7.656967840735069e-4,0,0,0,7.656967840735069e-4,0,0,0,0,0,0.0015313935681470138,0,0,0,7.656967840735069e-4,0,7.656967840735069e-4,0.0015313935681470138,0,0
Mali,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1755,1756,0,0,0,0,0,0,0,0,0,5.694760820045558e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.694760820045558e-4,0,0
Mali,Combined,2012-11-01,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1526,1534,6.51890482398957e-4,0,0,0,0,0,0,0,0.003259452411994785,0,0,0,0,0,0,0,0,6.51890482398957e-4,6.51890482398957e-4,0,0,6.51890482398957e-4,0,0,0.004563233376792699,0,0
Mali,Combined,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,909,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021929824561403508,0,0,0,0,0.0010964912280701754,0,0,0.0021929824561403508,0,0,0.0010964912280701754,0,0
Mali,Combined,2013-01-01,1,0,0,0,0,1,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,4065,4076,2.453385672227674e-4,0,0,0,0,2.453385672227674e-4,4.906771344455348e-4,0,0,0,0,4.906771344455348e-4,0,0.0012266928361138372,0,0,0,0,0,0,0,0.001962708537782139,0,7.360157016683023e-4,0,0,0
Mali,Combined,2013-02-01,3,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,2224,2234,0.0013428827215756492,0,0,0,0,0,8.952551477170994e-4,0,8.952551477170994e-4,0,0,4.476275738585497e-4,0,0,4.476275738585497e-4,0,0,4.476275738585497e-4,0,0,0,0.0017905102954341987,0,8.952551477170994e-4,0.0013428827215756492,4.476275738585497e-4,0
Mali,Combined,2013-03-01,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1816,1820,0.001098901098901099,0,0,0,0,0,0,0,0,0,0,0.00054945054945054945,0,0.00054945054945054945,0,0,0,0,0,0,0,0.002197802197802198,0,0,0,0,0
Mali,Combined,2013-04-01,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2273,2279,8.775778850372971e-4,0,0,0,0,0,4.3878894251864854e-4,0,0,0,0,0,0,0.0013163668275559457,0,0,0,0,0,0,0,0.002193944712593243,0,4.3878894251864854e-4,0,0,0
