country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Mali,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,1649,0,0,0,0,0,6.064281382656155e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.064281382656155e-4,0,0,0
Mali,Russia,2012-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,1561,0,0,0,0,0,0,6.406149903907751e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.406149903907751e-4,0,0,0
Mali,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1392,1394,0,0,0,0,0,0,7.173601147776184e-4,0,0,0,0,0,0,7.173601147776184e-4,0,0,0,0,0,0,0,7.173601147776184e-4,0,7.173601147776184e-4,0,0,0
Mali,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,910,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021929824561403508,0,0,0,0,0,0,0,0.0021929824561403508,0,0,0,0,0
Mali,Russia,2013-01-01,1,0,0,0,0,0,2,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4063,4076,2.453385672227674e-4,0,0,0,0,0,4.906771344455348e-4,0,0,0,0,7.360157016683023e-4,0,0.0017173699705593719,0,0,0,0,0,0,0,0.0026987242394504417,0,4.906771344455348e-4,0,0,0
Mali,Russia,2013-02-01,3,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2225,2234,0.0013428827215756492,0,0,0,0,4.476275738585497e-4,4.476275738585497e-4,0,8.952551477170994e-4,0,0,4.476275738585497e-4,0,4.476275738585497e-4,0,0,0,0,0,0,0,0.0022381378692927483,0,8.952551477170994e-4,8.952551477170994e-4,0,0
Mali,Russia,2013-03-01,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1816,1820,0.001098901098901099,0,0,0,0,0,0,0,0,0,0,0.00054945054945054945,0,0.00054945054945054945,0,0,0,0,0,0,0,0.002197802197802198,0,0,0,0,0
Mali,Russia,2013-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2274,2279,8.775778850372971e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0013163668275559457,0,0,0,0,0,0,0,0.002193944712593243,0,0,0,0,0
Mali,Russia,2013-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1397,1398,0,0,0,0,0,0,0,0,0,7.15307582260372e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15307582260372e-4,0,0
Mali,Russia,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2013-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,2061,0,0,0,0,0,0,4.8520135856380397e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8520135856380397e-4,0,0,0
Mali,Russia,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2013-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2146,2148,0,0,0,0,0,0,4.655493482309125e-4,0,0,0,0,0,0,4.655493482309125e-4,0,0,0,0,0,0,0,4.655493482309125e-4,0,4.655493482309125e-4,0,0,0
Mali,Russia,2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2014-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1517,1519,0,0,0,0,0,6.583278472679394e-4,0,0,0,0,0,0,0,0,0,0,6.583278472679394e-4,0,0,0,0,0,0,6.583278472679394e-4,0,0,6.583278472679394e-4
Mali,Russia,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Russia,2014-03-01,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1064,1074,0,0,0,0.002793296089385475,0.00186219739292365,0.002793296089385475,0,0,0,0,0,0,0,9.31098696461825e-4,0,0,0,0,0,0,9.31098696461825e-4,9.31098696461825e-4,9.31098696461825e-4,0.0074487895716946,0,0,0
Mali,Russia,2014-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,1539,0,0,0,0,0,0,6.49772579597141e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49772579597141e-4,0,0,0
Mali,Russia,2014-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2061,2062,0,0,0,0,0,0,0,0,0,0,4.8496605237633366e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8496605237633366e-4,0
Mali,Russia,2014-06-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2087,2090,0,0,0,0,0,4.784688995215311e-4,4.784688995215311e-4,0,0,0,0,0,0,0,0,0,0,0,4.784688995215311e-4,0,0,0,0,9.569377990430622e-4,4.784688995215311e-4,0,0
Mali,Russia,2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
