country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Mauritania,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,303,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003289473684210526,0,0,0,0,0,0.003289473684210526,0,0
Mauritania,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,370,371,0,0,0,0,0,0,0,0,0,0.0026954177897574125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026954177897574125,0,0
Mauritania,Combined,2012-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,303,0,0,0,0,0,0.0033003300330033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033003300330033004,0,0,0
Mauritania,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,313,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031847133757961785,0,0,0,0,0,0,0,0,0,0.0031847133757961785
Mauritania,Combined,2012-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,323,0,0,0,0,0,0,0.0030959752321981426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030959752321981426,0,0,0
Mauritania,Combined,2012-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,157,0,0,0,0,0,0.006369426751592357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006369426751592357,0,0.006369426751592357,0.006369426751592357,0,0,0
Mauritania,Combined,2012-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,336,0,0.002976190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002976190476190476,0,0,0,0
Mauritania,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,279,281,0,0,0,0,0,0,0,0,0,0.0071174377224199285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071174377224199285,0,0
Mauritania,Combined,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,272,274,0,0,0,0,0,0,0,0,0,0,0,0.0036496350364963502,0,0,0,0,0,0,0,0,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0,0,0,0
Mauritania,Combined,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223,224,0,0,0,0,0,0,0,0,0,0.004464285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004464285714285714,0,0
Mauritania,Combined,2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2013-12-01,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,247,252,0,0,0,0,0,0,0.003968253968253968,0,0,0.011904761904761904,0,0.003968253968253968,0,0,0,0,0,0,0,0,0,0.003968253968253968,0,0.003968253968253968,0.011904761904761904,0,0
Mauritania,Combined,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,102,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0
Mauritania,Combined,2014-04-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,282,284,0,0,0,0,0,0,0,0,0,0.0035211267605633804,0,0.0035211267605633804,0,0,0,0,0,0,0,0,0,0.0035211267605633804,0,0,0.0035211267605633804,0,0
Mauritania,Combined,2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,324,325,0,0,0,0,0,0,0,0,0.003076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003076923076923077,0,0
Mauritania,Combined,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,369,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002702702702702703,0,0,0,0,0,0,0,0,0,0.002702702702702703
Mauritania,Combined,2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2014-12-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,518,520,0,0,0,0,0,0,0,0,0,0.0019230769230769232,0,0.0019230769230769232,0,0,0,0,0,0,0,0,0,0.0019230769230769232,0,0,0.0019230769230769232,0,0
Mauritania,Combined,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2015-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,387,0.002583979328165375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002583979328165375,0,0,0,0,0
Mauritania,Combined,2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2015-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,446,449,0,0,0,0,0,0,0,0,0,0,0,0.0022271714922048997,0,0.0022271714922048997,0,0,0,0,0.0022271714922048997,0,0,0.004454342984409799,0,0,0.0022271714922048997,0,0
Mauritania,Combined,2015-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,2,403,410,0,0,0,0,0,0,0,0,0,0.004878048780487805,0,0,0,0.0024390243902439024,0,0,0.0024390243902439024,0,0.0024390243902439024,0,0.004878048780487805,0.0024390243902439024,0.004878048780487805,0,0.007317073170731707,0,0.0024390243902439024
Mauritania,Combined,2015-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,392,395,0,0,0,0,0,0,0,0,0.002531645569620253,0,0,0,0,0,0,0,0.005063291139240506,0,0,0,0,0,0,0,0.002531645569620253,0,0.005063291139240506
Mauritania,Combined,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2015-09-01,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,269,274,0,0,0,0,0,0.0072992700729927005,0,0,0,0.0036496350364963502,0,0.0036496350364963502,0,0,0,0,0,0,0.0036496350364963502,0,0,0.0036496350364963502,0,0.0072992700729927005,0.0072992700729927005,0,0
Mauritania,Combined,2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,374,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026666666666666666,0,0,0,0,0,0,0,0,0,0.0026666666666666666
Mauritania,Combined,2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Combined,2015-12-01,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,380,383,0,0,0,0,0,0.005221932114882507,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005221932114882507,0.0026109660574412533,0,0
Mauritania,Combined,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
