country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Mexico,China,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,242,243,0,0,0,0,0,0,0,0,0,0.00411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411522633744856,0,0
Mexico,China,2012-02-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,382,387,0,0,0,0,0,0,0,0,0.002583979328165375,0.00516795865633075,0,0,0,0,0,0,0,0,0.002583979328165375,0.002583979328165375,0,0,0,0,0.012919896640826874,0,0
Mexico,China,2012-03-01,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2,1,570,578,0,0,0,0,0,0,0,0.0017301038062283738,0,0.005190311418685121,0,0,0,0,0,0,0,0,0.0017301038062283738,0.0034602076124567475,0.0017301038062283738,0,0.0017301038062283738,0.0017301038062283738,0.010380622837370242,0,0
Mexico,China,2012-04-01,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,6,0,578,589,0,0,0,0,0,0,0,0,0,0.003395585738539898,0,0.001697792869269949,0,0.001697792869269949,0,0,0.001697792869269949,0,0,0.010186757215619695,0,0.003395585738539898,0,0,0.013582342954159592,0,0.001697792869269949
Mexico,China,2012-05-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,644,646,0,0,0,0,0,0,0,0,0,0.0015479876160990713,0,0.0015479876160990713,0,0,0,0,0,0,0,0,0,0.0015479876160990713,0,0,0.0015479876160990713,0,0
Mexico,China,2012-06-01,1,2,0,0,1,4,1,0,3,1,0,2,0,1,0,0,1,0,2,1,0,997,1017,9.832841691248771e-4,0.0019665683382497543,0,0,9.832841691248771e-4,0.003933136676499509,9.832841691248771e-4,0,0.0029498525073746312,9.832841691248771e-4,0,0.0019665683382497543,0,9.832841691248771e-4,0,0,9.832841691248771e-4,0,0.0019665683382497543,9.832841691248771e-4,0,0.003933136676499509,0.0019665683382497543,0.0058997050147492625,0.00688298918387414,0,9.832841691248771e-4
Mexico,China,2012-07-01,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,729,733,0,0,0,0.001364256480218281,0,0,0,0,0,0.001364256480218281,0,0.001364256480218281,0,0,0,0,0,0,0,0.001364256480218281,0,0.001364256480218281,0,0.001364256480218281,0.002728512960436562,0,0
Mexico,China,2012-08-01,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,746,750,0,0,0,0,0,0.0013333333333333333,0,0,0,0.0026666666666666666,0,0,0,0,0,0,0,0,0.0013333333333333333,0,0,0,0,0.0013333333333333333,0.004,0,0
Mexico,China,2012-09-01,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,572,579,0,0,0,0,0,0,0.0017271157167530224,0,0,0.010362694300518135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017271157167530224,0.010362694300518135,0,0
Mexico,China,2012-10-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1775,1783,0,0,0,0,0,0,0.0011217049915872126,0,0,0,0,0,0,0,0,0,0,0,0.0016825574873808188,0.0016825574873808188,0,0,0,0.0011217049915872126,0.0033651149747616375,0,0
Mexico,China,2012-11-01,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,3,1,0,2450,2459,0,0,0,0,0,8.133387555917039e-4,0,0,0,4.0666937779585197e-4,0,0,0,0,0,0,8.133387555917039e-4,0,0.0012200081333875558,4.0666937779585197e-4,0,0,0,8.133387555917039e-4,0.0020333468889792597,0,8.133387555917039e-4
Mexico,China,2012-12-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2137,2141,0,0,0,0,0,0,0,4.6707146193367583e-4,0,9.341429238673517e-4,0,0,0,0,0,0,0,0,4.6707146193367583e-4,0,0,0,0,4.6707146193367583e-4,0.0014012143858010274,0,0
Mexico,China,2013-01-01,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,2341,2348,0,0,0,8.517887563884157e-4,0,0,0,0,0,0.0012776831345826234,0,4.2589437819420784e-4,0,0,0,0,4.2589437819420784e-4,0,0,0,0,4.2589437819420784e-4,0,8.517887563884157e-4,0.0012776831345826234,0,4.2589437819420784e-4
Mexico,China,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2586,2588,0,0,0,0,0,0,0,0,0,0,0,7.727975270479134e-4,0,0,0,0,0,0,0,0,0,7.727975270479134e-4,0,0,0,0,0
Mexico,China,2013-03-01,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2639,2645,0,0,0,0,0,3.780718336483932e-4,0,0,0,0.0011342155009451795,0,0,0,0,0,0,0,0,3.780718336483932e-4,0,3.780718336483932e-4,0,3.780718336483932e-4,3.780718336483932e-4,0.0015122873345935726,0,0
Mexico,China,2013-04-01,0,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,6,0,0,2670,2684,0,0,0,0,0,7.451564828614009e-4,3.7257824143070045e-4,3.7257824143070045e-4,0,0.0011177347242921013,0,0,0,0,0,0,3.7257824143070045e-4,0,0.0022354694485842027,0,0,0,0,0.0014903129657228018,0.003353204172876304,0,3.7257824143070045e-4
Mexico,China,2013-05-01,0,0,0,0,0,7,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,2577,2593,0,0,0,0,0,0.002699575780948708,3.856536829926726e-4,0,0,0.0015426147319706903,0,0,0,0,0,0,0,0,0.0015426147319706903,0,0,0,0,0.0030852294639413806,0.0030852294639413806,0,0
